title,id,created,adref,redirect_url,longitude,description,__CLASS__,location,latitude,salary_is_predicted,company,category,contract_time,contract_type,salary_max,salary_min
Entwicklungsingenieur (m/w/d) im Bereich Messtechnik / Data Science,5220260083,2025-05-28T19:48:24Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTIyMDI2MDA4MyIsInMiOiJfS3Z4a25GSDhCR083LWN6X2tfS2l3In0.QX7K53hIx1ELeHvyRTTfuedlGw_P6ZK63U4lXFRtQvk,https://www.adzuna.de/land/ad/5220260083?se=_KvxknFH8BGO7-cz_k_Kiw&utm_medium=api&utm_source=a4bcf954&v=944165EBAFFAE24950EE145AF4FE32E936AFC887,13.756452,"Für den Weltmarkt projektieren und fertigen wir Hochspannungs- und Hochstromprüfsysteme zur Prüfung von Energiekabeln, Hochspannungstransformatoren und weiteren Geräten der elektrischen Energieübertragung. Mit unseren innovativen Produkten und digitalen Lösungen unterstützen wir den Netzausbau für eine nachhaltige Energieversorgung. Wir eröffnen Ihnen als Unternehmen in der REINHAUSEN Gruppe vielfältige Möglichkeiten in einer zukunftsorientierten Branche. HIGHVOLT - where Power meets Passion. F…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Sachsen', 'Dresden'], 'display_name': 'Dresden, Sachsen'}",51.052725,0,"{'display_name': 'HIGHVOLT Prüftechnik Dresden GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs', 'label': 'Technikerstellen'}",,,,
Professur (FH) für Data Science mit Option Studiengangsleitung (w/m/d),5242964179,2025-06-10T20:05:12Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiX0t2eGtuRkg4QkdPNy1jel9rX0tpdyIsImkiOiI1MjQyOTY0MTc5In0.1GZwhzrmz5u4wshLbe_HHVwsUXi8JNQOnBEAVZHRKiQ,https://www.adzuna.de/land/ad/5242964179?se=_KvxknFH8BGO7-cz_k_Kiw&utm_medium=api&utm_source=a4bcf954&v=92E24831F6CD074C04F718D417DCE7C5A1D70F1B,,"Die Fachhochschule Kufstein Tirol ist international mehrfach ausgezeichnet und laut dem Wirtschaftsmagazin trend im Tirol-Ranking 2022 auf Platz 1 der besten Arbeitgeber:innen. Wir sind eine sich stetig weiterentwickelnde Wissensorganisation. Als Arbeitgeberin bieten wir vielseitige, interessante Aufgaben, ein leistungsförderndes und familienfreundliches Umfeld mit flexiblen Arbeitsbedingungen in einer partnerschaftlich geprägten Kultur. Die FH verfügt bei 2200 Studierenden und 10000 Absolvent:…",Adzuna::API::Response::Job,"{'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland']}",,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Fachhochschule Kufstein Tirol Bildungs GmbH'}","{'label': 'Beraterstellen', 'tag': 'consultancy-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
Wissenschaftliche*r Mitarbeiter*in (m/w/d) Data Science,5245022068,2025-06-11T20:08:43Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI0NTAyMjA2OCIsInMiOiJfS3Z4a25GSDhCR083LWN6X2tfS2l3In0.r45mk8Zk8WD59_h-dNxWTAjLAUMpnMxs-0RV9igJzVA,https://www.adzuna.de/land/ad/5245022068?se=_KvxknFH8BGO7-cz_k_Kiw&utm_medium=api&utm_source=a4bcf954&v=9AE6E5F0B58AE01B1D07A10BD75911CA14BB57D8,13.756452,Universitätsklinikum Carl Gustav Carus Dresden Aufgaben Wissenschaftliche*r Mitarbeiter*in (m/w/d) Data Science in der Krebsforschung in der Medizinischen Klinik und Poliklinik I Die Stelle ist zum nächstmöglichen Zeitpunkt in Voll- und Teilzeit für zunächst 24 Monate befristet zu besetzen. Die Vergütung erfolgt nach den Eingruppierungsvorschriften des Tarifvertrages für den öffentlichen Dienst der Länder (TV-L) und ist bei Vorliegen der persönlichen Voraussetzungen in die Entgeltgruppe E13 mög…,Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Sachsen', 'Dresden'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Dresden, Sachsen'}",51.052725,0,"{'display_name': 'Universitätsklinikum Carl Gustav Carus Dresden', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",,,,
Pflichtpraktikum in den Bereichen Wasserstoffcampus und energieorientiertes Data Science,5240890986,2025-06-09T08:06:40Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI0MDg5MDk4NiIsInMiOiJfS3Z4a25GSDhCR083LWN6X2tfS2l3In0.pzOERiqJl1qHM8_m4ytTXNvygF0Jcek4JTLI8aQBTgc,https://www.adzuna.de/land/ad/5240890986?se=_KvxknFH8BGO7-cz_k_Kiw&utm_medium=api&utm_source=a4bcf954&v=C0F8D1DED804AD09C017986B74D27460ED794985,10.373516,"Möchten Sie Ihre Ideen in nutzbringende und sinnvolle Technologien verwandeln? Ob im Bereich Mobility Solutions, Consumer Goods, Industrial Technology oder Energy and Building Technology - mit uns verbessern Sie die Lebensqualität der Menschen auf der ganzen Welt. Willkommen bei Bosch. Die Robert Bosch Elektronik GmbH freut sich auf Ihre Bewerbung! Anstellungsart: Befristet Arbeitszeit: Vollzeit Arbeitsort: Salzgitter Aufgaben Wir suchen eine engagierte Persönlichkeit, die Teil unseres Projektt…",Adzuna::API::Response::Job,"{'display_name': 'Salzgitter, Niedersachsen', 'area': ['Deutschland', 'Niedersachsen', 'Salzgitter'], '__CLASS__': 'Adzuna::API::Response::Location'}",52.120502,0,"{'display_name': 'Bosch Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}",,,,
Dualer Student Data Science & Scientific Computing (w/m/x),5181672095,2025-05-05T19:22:21Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiX0t2eGtuRkg4QkdPNy1jel9rX0tpdyIsImkiOiI1MTgxNjcyMDk1In0.qpIM7WtSjs9M2MIOeN6nZHlAycKSXxRxaVhMA0tH8yE,https://www.adzuna.de/land/ad/5181672095?se=_KvxknFH8BGO7-cz_k_Kiw&utm_medium=api&utm_source=a4bcf954&v=51839DCB8391F1AE9399BEA67A993842230B0A9C,12.49782,"Mit unseren Marken BMW, MINI, Rolls-Royce und BMW Motorrad sind wir einer der weltweit führenden Premium-Hersteller von Automobilen sowie Motorrädern und darüber hinaus Anbieter von Premium-Finanz- und Mobilitätsdienstleistungen. Für den Unternehmensbereich am Standort Dingolfing suchen wir Sie als Dualer Student Data Science & Scientific Computing (w/m/x) Aufgaben Du liebst es, Ursachen für Probleme zu entdecken und Lösungen zu finden und möchtest an Zukunftsthemen arbeiten? Du hast eine Leide…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'Dingolfing-Landau (Kreis)', 'Dingolfing'], 'display_name': 'Dingolfing, Dingolfing-Landau (Kreis)'}",48.62848,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'BMW Group'}","{'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
Praktikum Data Science,5196599071,2025-05-13T19:32:53Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiX0t2eGtuRkg4QkdPNy1jel9rX0tpdyIsImkiOiI1MTk2NTk5MDcxIn0.4bbHE1aLfKVADbT6Jglv11ktS8FJWBKmte6v4zOFrxg,https://www.adzuna.de/land/ad/5196599071?se=_KvxknFH8BGO7-cz_k_Kiw&utm_medium=api&utm_source=a4bcf954&v=B05D2F43BE90D34C617E73D32CA793E4E1837E9E,9.2274,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",Adzuna::API::Response::Job,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location'}",49.18975,0,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",,,,
Working Student Data Science (f/m/d),5242951191,2025-06-10T20:04:11Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiX0t2eGtuRkg4QkdPNy1jel9rX0tpdyIsImkiOiI1MjQyOTUxMTkxIn0.Q_olu5w7jqwD__jOaciqcTZq4u4IX-2pTkQ0O-iipbQ,https://www.adzuna.de/land/ad/5242951191?se=_KvxknFH8BGO7-cz_k_Kiw&utm_medium=api&utm_source=a4bcf954&v=5C560FDE3E4EB07A886883826096AC5208FC39B8,,"Siegwerk is one of the world's leading suppliers of Printing Inks and sustainable packaging solutions. A career here will give you significant flexibility and support in a company focused on making a positive impact in the world. Siegwerk is poised to disrupt the global packaging industry; changing the way packaging is produced and consumed for the benefit of us all. At Siegwerk, you will have everything you need to help make that change. Join us, let's Do it. With Heart. Location: Alfred-Kelle…",Adzuna::API::Response::Job,"{'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland'}",,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Siegwerk Druckfarben AG & Co. KGaA'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}",,,,
Data Science Lead - Price,5221191207,2025-05-29T07:53:45Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTIyMTE5MTIwNyIsInMiOiJfS3Z4a25GSDhCR083LWN6X2tfS2l3In0.g4IW8dgI1CMirZzl9bSK2koj7ljfS5YubKicEOJesqc,https://www.adzuna.de/land/ad/5221191207?se=_KvxknFH8BGO7-cz_k_Kiw&utm_medium=api&utm_source=a4bcf954&v=98645105F045E80C016B917754C84A02C09FDF07,6.808387,"When travelers are searching for a hotel, we want the obvious choice to be trivago! Our leading metasearch engine is super fast and constantly optimized – enabling millions of travelers to compare hotel prices from hundreds of booking sites and find great deals in just a few clicks. We use cutting-edge technology, real-time auction, and machine learning techniques with petabytes of data to create an experience – time and money saved! In the lively city of Düsseldorf, we seize opportunities to l…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Düsseldorf'], 'display_name': 'Düsseldorf, Nordrhein-Westfalen'}",51.226802,0,"{'display_name': 'trivago N.V.', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",,,,
Team Lead Data Science Engineering (m/w/d),5207046190,2025-05-20T07:34:57Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTIwNzA0NjE5MCIsInMiOiJfS3Z4a25GSDhCR083LWN6X2tfS2l3In0.wbyXsoWxdREOxxFEWvXyT6PmKZcw52a1r1nU7s_G0mw,https://www.adzuna.de/land/ad/5207046190?se=_KvxknFH8BGO7-cz_k_Kiw&utm_medium=api&utm_source=a4bcf954&v=99ABBDD1537458D2EC7E10DBD42B3B5690D3F12E,7.014478,"Als eigenfinanziertes Familienunternehmen sind wir mehr als nur ein ca. 4.700 Standorte umspannendes Filialnetz in 34 Ländern, mehr als ca. 8,7 Mrd. Euro Jahresumsatz und mehr als einer der erfolgreichsten Online-Shops für Schuhe in Europa. Deichmann ist Wegbereiter, Förderer und Arbeitgeber von über 49.000 engagierten Mitarbeiterinnen und Mitarbeitern weltweit. Als nachhaltig expandierendes Unternehmen sind wir seit mehreren Jahrzehnten in der Lage, unseren Mitarbeitern einen sicheren Arbeitsp…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Essen'], 'display_name': 'Essen, Nordrhein-Westfalen'}",51.444823,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Deichmann SE'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs', 'label': 'Technikerstellen'}",,,,
Werkstudent Data Science im Bereich Fahrzeugdiagnose (m/w/d),5219518184,2025-05-28T07:47:05Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiX0t2eGtuRkg4QkdPNy1jel9rX0tpdyIsImkiOiI1MjE5NTE4MTg0In0.ALnl1_6gXyV_X5rcoEs_n0neoKLrv8WqRHAcSA6P-hI,https://www.adzuna.de/land/ad/5219518184?se=_KvxknFH8BGO7-cz_k_Kiw&utm_medium=api&utm_source=a4bcf954&v=42F75465F5B4BA6EF2DBF8E83732084E63E842C1,9.856945,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Ulm, Baden-Württemberg'}",48.383137,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz Tech Innovation'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}",,,,
