longitude,category,description,latitude,redirect_url,company,adref,location,created,salary_is_predicted,title,__CLASS__,id,contract_time,salary_min,contract_type,salary_max
13.756452,"{'tag': 'engineering-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Technikerstellen'}","Für den Weltmarkt projektieren und fertigen wir Hochspannungs- und Hochstromprüfsysteme zur Prüfung von Energiekabeln, Hochspannungstransformatoren und weiteren Geräten der elektrischen Energieübertragung. Mit unseren innovativen Produkten und digitalen Lösungen unterstützen wir den Netzausbau für eine nachhaltige Energieversorgung. Wir eröffnen Ihnen als Unternehmen in der REINHAUSEN Gruppe vielfältige Möglichkeiten in einer zukunftsorientierten Branche. HIGHVOLT - where Power meets Passion. F…",51.052725,https://www.adzuna.de/land/ad/5220260083?se=yG0pzYxK8BGy-YfGv-mJsQ&utm_medium=api&utm_source=a4bcf954&v=944165EBAFFAE24950EE145AF4FE32E936AFC887,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'HIGHVOLT Prüftechnik Dresden GmbH'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUcwcHpZeEs4Qkd5LVlmR3YtbUpzUSIsImkiOiI1MjIwMjYwMDgzIn0.6MhcVyBLxWuk0oKk2eBkk04ECG995kHYz_8iH_8goD8,"{'display_name': 'Dresden, Sachsen', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Sachsen', 'Dresden']}",2025-05-28T19:48:24Z,0,Entwicklungsingenieur (m/w/d) im Bereich Messtechnik / Data Science,Adzuna::API::Response::Job,5220260083,,,,
,"{'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category'}","Digitale Trans­formation. Nach­haltig­keit. Friedens­sicherung. Spannende Aufgaben, an denen auch wir bei Diehl in unseren fünf Teil­konzernen Metall, Controls, Defence, Aviation und Metering und unsere über 16.000 Mit­arbeiter­innen und Mit­arbeiter mit Hochdruck arbeiten. Entdecke faszinierende Techno­logien und bewirb dich. In einem von Vertrauen und Mut geprägten Familien­unter­nehmen, das beständig und stabil ist – aus Tradition. Für unseren Standort Diehl Defence GmbH & Co. KG in Röthenba…",,https://www.adzuna.de/land/ad/5249132168?se=yG0pzYxK8BGy-YfGv-mJsQ&utm_medium=api&utm_source=a4bcf954&v=41227E6BC9520477E6203531A73A8F0B669D43F9,"{'display_name': 'Diehl Defence GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUcwcHpZeEs4Qkd5LVlmR3YtbUpzUSIsImkiOiI1MjQ5MTMyMTY4In0.eJqIYKNHlX8oLztUIzhzfORfqiO47mNjFwMYi3Egj8s,"{'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland']}",2025-06-13T20:26:51Z,0,Praktikant (m/w/d) Data Science,Adzuna::API::Response::Job,5249132168,,,,
10.373516,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}","Möchten Sie Ihre Ideen in nutzbringende und sinnvolle Technologien verwandeln? Ob im Bereich Mobility Solutions, Consumer Goods, Industrial Technology oder Energy and Building Technology - mit uns verbessern Sie die Lebensqualität der Menschen auf der ganzen Welt. Willkommen bei Bosch. Die Robert Bosch Elektronik GmbH freut sich auf Ihre Bewerbung! Anstellungsart: Befristet Arbeitszeit: Vollzeit Arbeitsort: Salzgitter Aufgaben Wir suchen eine engagierte Persönlichkeit, die Teil unseres Projektt…",52.120502,https://www.adzuna.de/land/ad/5240890986?se=yG0pzYxK8BGy-YfGv-mJsQ&utm_medium=api&utm_source=a4bcf954&v=C0F8D1DED804AD09C017986B74D27460ED794985,"{'display_name': 'Bosch Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI0MDg5MDk4NiIsInMiOiJ5RzBwell4SzhCR3ktWWZHdi1tSnNRIn0.nMW1O0x5wtBmmO__jsf_vMWuemv-XqC4f8mBMCchaPk,"{'display_name': 'Salzgitter, Niedersachsen', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Niedersachsen', 'Salzgitter']}",2025-06-09T08:06:40Z,0,Pflichtpraktikum in den Bereichen Wasserstoffcampus und energieorientiertes Data Science,Adzuna::API::Response::Job,5240890986,,,,
12.49782,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","Mit unseren Marken BMW, MINI, Rolls-Royce und BMW Motorrad sind wir einer der weltweit führenden Premium-Hersteller von Automobilen sowie Motorrädern und darüber hinaus Anbieter von Premium-Finanz- und Mobilitätsdienstleistungen. Für den Unternehmensbereich am Standort Dingolfing suchen wir Sie als Dualer Student Data Science & Scientific Computing (w/m/x) Aufgaben Du liebst es, Ursachen für Probleme zu entdecken und Lösungen zu finden und möchtest an Zukunftsthemen arbeiten? Du hast eine Leide…",48.62848,https://www.adzuna.de/land/ad/5181672095?se=yG0pzYxK8BGy-YfGv-mJsQ&utm_medium=api&utm_source=a4bcf954&v=51839DCB8391F1AE9399BEA67A993842230B0A9C,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'BMW Group'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTE4MTY3MjA5NSIsInMiOiJ5RzBwell4SzhCR3ktWWZHdi1tSnNRIn0.biohvk5zpzFjOyu57e4O1FNm8Zo07FS20OZCYyvBzl4,"{'display_name': 'Dingolfing, Dingolfing-Landau (Kreis)', 'area': ['Deutschland', 'Bayern', 'Dingolfing-Landau (Kreis)', 'Dingolfing'], '__CLASS__': 'Adzuna::API::Response::Location'}",2025-05-05T19:22:21Z,0,Dualer Student Data Science & Scientific Computing (w/m/x),Adzuna::API::Response::Job,5181672095,,,,
9.2274,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}","Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",49.18975,https://www.adzuna.de/land/ad/5196599071?se=yG0pzYxK8BGy-YfGv-mJsQ&utm_medium=api&utm_source=a4bcf954&v=B05D2F43BE90D34C617E73D32CA793E4E1837E9E,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUcwcHpZeEs4Qkd5LVlmR3YtbUpzUSIsImkiOiI1MTk2NTk5MDcxIn0.h1og2z__uDF5grvCjKdAuBkCJ0awI466FukDcvb2nOo,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location'}",2025-05-13T19:32:53Z,0,Praktikum Data Science,Adzuna::API::Response::Job,5196599071,,,,
,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","WE ARE AGAIN AWARDED AS TOP ARBEITGEBER 2025! At AP Sensing, we're building on a success story that began in the garage of Bill Hewlett and Dave Packard. As an independent HP spin-off, we combine over 40 years of technological expertise with a passion for innovation. Together we'll continue to enhance infrastructure, protect people, and safeguard our planet. With a commitment to fiber optic sensing, we value every voice and empower growth. Join us in thinking ahead to create a smarter, safer wo…",,https://www.adzuna.de/land/ad/5250027883?se=yG0pzYxK8BGy-YfGv-mJsQ&utm_medium=api&utm_source=a4bcf954&v=378D8EDD4606F2BBFE08CE141637AA9235EF39B6,"{'display_name': 'AP Sensing GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1MDAyNzg4MyIsInMiOiJ5RzBwell4SzhCR3ktWWZHdi1tSnNRIn0.ZPaFM6yYBovhcdnMpHw4MmSG9tlNVvssCEfB3y4aJNg,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Böblingen (Kreis)', 'Böblingen'], 'display_name': 'Böblingen, Böblingen (Kreis)'}",2025-06-14T08:26:20Z,0,Data Science Team Lead (m/f/d),Adzuna::API::Response::Job,5250027883,,,,
6.808387,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}","When travelers are searching for a hotel, we want the obvious choice to be trivago! Our leading metasearch engine is super fast and constantly optimized – enabling millions of travelers to compare hotel prices from hundreds of booking sites and find great deals in just a few clicks. We use cutting-edge technology, real-time auction, and machine learning techniques with petabytes of data to create an experience – time and money saved! In the lively city of Düsseldorf, we seize opportunities to l…",51.226802,https://www.adzuna.de/land/ad/5221191207?se=yG0pzYxK8BGy-YfGv-mJsQ&utm_medium=api&utm_source=a4bcf954&v=98645105F045E80C016B917754C84A02C09FDF07,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'trivago N.V.'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUcwcHpZeEs4Qkd5LVlmR3YtbUpzUSIsImkiOiI1MjIxMTkxMjA3In0.Ejn0HGsLBTnGtz72n4zT8lv2J8TRopJVj6VfjLAxnZ4,"{'display_name': 'Düsseldorf, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Düsseldorf'], '__CLASS__': 'Adzuna::API::Response::Location'}",2025-05-29T07:53:45Z,0,Data Science Lead - Price,Adzuna::API::Response::Job,5221191207,,,,
9.187224,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}","WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2025 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",48.776198,https://www.adzuna.de/land/ad/5246910580?se=yG0pzYxK8BGy-YfGv-mJsQ&utm_medium=api&utm_source=a4bcf954&v=272E4D43ED29E3AC323D2EF790B4D0CF431CD3E2,"{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI0NjkxMDU4MCIsInMiOiJ5RzBwell4SzhCR3ktWWZHdi1tSnNRIn0.hKl91pZDqThyXlkqONMl0uyS6HFZDufob__dbfsyO00,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg'}",2025-06-12T20:09:32Z,0,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science (01.09.2025),Adzuna::API::Response::Job,5246910580,,,,
9.856945,"{'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category'}","Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",48.383137,https://www.adzuna.de/land/ad/5219518184?se=yG0pzYxK8BGy-YfGv-mJsQ&utm_medium=api&utm_source=a4bcf954&v=42F75465F5B4BA6EF2DBF8E83732084E63E842C1,"{'display_name': 'Mercedes-Benz Tech Innovation', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTIxOTUxODE4NCIsInMiOiJ5RzBwell4SzhCR3ktWWZHdi1tSnNRIn0.ZqaQS-cIRhat4GdQHGoFSZ9WnyowlT_0KWN2TFDD3rY,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ulm'], 'display_name': 'Ulm, Baden-Württemberg'}",2025-05-28T07:47:05Z,0,Werkstudent Data Science im Bereich Fahrzeugdiagnose (m/w/d),Adzuna::API::Response::Job,5219518184,,,,
9.026231,"{'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}","Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",48.720071,https://www.adzuna.de/land/ad/5213860028?se=yG0pzYxK8BGy-YfGv-mJsQ&utm_medium=api&utm_source=a4bcf954&v=A0B67FD174DDEF1EC2CC55A4AC0CAEF7F84AC25F,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz AG'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUcwcHpZeEs4Qkd5LVlmR3YtbUpzUSIsImkiOiI1MjEzODYwMDI4In0.tPfP1wgr-3aZXS9JCBGINGFJyO8Fbd8CaTK8zWf6uZM,"{'display_name': 'Sindelfingen, Böblingen (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Böblingen (Kreis)', 'Sindelfingen'], '__CLASS__': 'Adzuna::API::Response::Location'}",2025-05-24T07:39:49Z,0,Praktikant*in Data Analytics/Data Science,Adzuna::API::Response::Job,5213860028,,,,
9.209895,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}","Du willst mehr als Uni und möchtest erste Berufseinblicke und Kontakte knüpfen? Dann bist du hier richtig! Als Werkstudent oder Praktikant bei Kaufland gehörst du von Beginn an zu einem starken Team und kannst zeigen, was in dir steckt. Werde auch du Teil von teamkaufland! Aufgaben Wir zählen auf dich: Du unterstützt unser Team bei der Bearbeitung unserer Analytics Use Cases entlang der gesamten Wertschöpfungskette bei Kaufland. Vielfältige Aufgaben? Na klar: Lerne unsere Projekte und Arbeitswe…",49.142335,https://www.adzuna.de/land/ad/5220264884?se=yG0pzYxK8BGy-YfGv-mJsQ&utm_medium=api&utm_source=a4bcf954&v=E5D9C0F42BD4B2D101CC5446F52C0F73D1C57AE4,"{'display_name': 'Kaufland', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoieUcwcHpZeEs4Qkd5LVlmR3YtbUpzUSIsImkiOiI1MjIwMjY0ODg0In0.hAru-Fj8g2EIS-E8AfGAbgqpeRnxVt3DFFvAgn7Maa0,"{'display_name': 'Heilbronn, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Heilbronn']}",2025-05-28T19:50:11Z,0,Praktikant Data Science (m/w/d),Adzuna::API::Response::Job,5220264884,,,,
