title,salary_is_predicted,redirect_url,location,category,__CLASS__,id,created,adref,description,company,latitude,longitude,contract_time,salary_min,contract_type,salary_max
Professur (FH) für Data Science mit Option Studiengangsleitung (w/m/d),0,https://www.adzuna.de/land/ad/5255162552?se=lq3fDdtM8BGrepoAcaHO5A&utm_medium=api&utm_source=a4bcf954&v=8999EFBCA7563AEC600A8674A82FA90785DC87B3,"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'label': 'Beraterstellen', 'tag': 'consultancy-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",Adzuna::API::Response::Job,5255162552,2025-06-17T20:17:23Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1NTE2MjU1MiIsInMiOiJscTNmRGR0TThCR3JlcG9BY2FITzVBIn0.eedeUwx_I0-iuDay0zvE1xsFvrS4F-1Q72gQhzHP2cc,"Die Fachhochschule Kufstein Tirol ist international mehrfach ausgezeichnet und laut dem Wirtschaftsmagazin trend im Tirol-Ranking 2022 auf Platz 1 der besten Arbeitgeber:innen. Wir sind eine sich stetig weiterentwickelnde Wissensorganisation. Als Arbeitgeberin bieten wir vielseitige, interessante Aufgaben, ein leistungsförderndes und familienfreundliches Umfeld mit flexiblen Arbeitsbedingungen in einer partnerschaftlich geprägten Kultur. Die FH verfügt bei 2200 Studierenden und 10000 Absolvent:…","{'display_name': 'Fachhochschule Kufstein Tirol Bildungs GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",,,,,,
Entwicklungsingenieur (m/w/d) im Bereich Messtechnik / Data Science,0,https://www.adzuna.de/land/ad/5255834752?se=lq3fDdtM8BGrepoAcaHO5A&utm_medium=api&utm_source=a4bcf954&v=94B66F8BF6E0C83268B3098E5D148F361A572815,"{'display_name': 'Dresden, Sachsen', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Sachsen', 'Dresden']}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs', 'label': 'Technikerstellen'}",Adzuna::API::Response::Job,5255834752,2025-06-18T08:09:16Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHEzZkRkdE04QkdyZXBvQWNhSE81QSIsImkiOiI1MjU1ODM0NzUyIn0.X0TfxS8QlyX5FpKt_WFStOk7yI3j3nWiioktFn6QKBI,"Für den Weltmarkt projektieren und fertigen wir Hochspannungs- und Hochstromprüfsysteme zur Prüfung von Energiekabeln, Hochspannungstransformatoren und weiteren Geräten der elektrischen Energieübertragung. Mit unseren innovativen Produkten und digitalen Lösungen unterstützen wir den Netzausbau für eine nachhaltige Energieversorgung. Wir eröffnen Ihnen als Unternehmen in der REINHAUSEN Gruppe vielfältige Möglichkeiten in einer zukunftsorientierten Branche. HIGHVOLT - where Power meets Passion. F…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'HIGHVOLT Prüftechnik Dresden GmbH'}",51.052725,13.756452,,,,
Pflichtpraktikum in den Bereichen Wasserstoffcampus und energieorientiertes Data Science,0,https://www.adzuna.de/land/ad/5240890986?se=lq3fDdtM8BGrepoAcaHO5A&utm_medium=api&utm_source=a4bcf954&v=C0F8D1DED804AD09C017986B74D27460ED794985,"{'area': ['Deutschland', 'Niedersachsen', 'Salzgitter'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Salzgitter, Niedersachsen'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}",Adzuna::API::Response::Job,5240890986,2025-06-09T08:06:40Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI0MDg5MDk4NiIsInMiOiJscTNmRGR0TThCR3JlcG9BY2FITzVBIn0.AfDanh6_RYa7Ks71VJf07caHdcQBpnWjaxo1V1zlHbQ,"Möchten Sie Ihre Ideen in nutzbringende und sinnvolle Technologien verwandeln? Ob im Bereich Mobility Solutions, Consumer Goods, Industrial Technology oder Energy and Building Technology - mit uns verbessern Sie die Lebensqualität der Menschen auf der ganzen Welt. Willkommen bei Bosch. Die Robert Bosch Elektronik GmbH freut sich auf Ihre Bewerbung! Anstellungsart: Befristet Arbeitszeit: Vollzeit Arbeitsort: Salzgitter Aufgaben Wir suchen eine engagierte Persönlichkeit, die Teil unseres Projektt…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Bosch Gruppe'}",52.120502,10.373516,,,,
"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026",0,https://www.adzuna.de/land/ad/5255157657?se=lq3fDdtM8BGrepoAcaHO5A&utm_medium=api&utm_source=a4bcf954&v=8B7522BAAFFC072ED980160B1A956D88C8C2EE3C,"{'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen']}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",Adzuna::API::Response::Job,5255157657,2025-06-17T20:17:09Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1NTE1NzY1NyIsInMiOiJscTNmRGR0TThCR3JlcG9BY2FITzVBIn0.er-lrgsb9zw3cJcStcdpwY7TOpbjQttIfFfwfhitcjY,"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",48.78408,10.10558,,,,
Praktikum Data Science,0,https://www.adzuna.de/land/ad/5196599071?se=lq3fDdtM8BGrepoAcaHO5A&utm_medium=api&utm_source=a4bcf954&v=B05D2F43BE90D34C617E73D32CA793E4E1837E9E,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",Adzuna::API::Response::Job,5196599071,2025-05-13T19:32:53Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTE5NjU5OTA3MSIsInMiOiJscTNmRGR0TThCR3JlcG9BY2FITzVBIn0.V2vlnbAKDbEUz6l7lmewz6-EYw7OKSfes1nBx-KGmNc,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",49.18975,9.2274,,,,
Praktikant*in Data Analytics/Data Science (Pflicht-Praktikum),0,https://www.adzuna.de/land/ad/5255323613?se=lq3fDdtM8BGrepoAcaHO5A&utm_medium=api&utm_source=a4bcf954&v=683C13E38318D7BFC69E9C3D0250945735BAC3A0,"{'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}",Adzuna::API::Response::Job,5255323613,2025-06-17T20:33:47Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHEzZkRkdE04QkdyZXBvQWNhSE81QSIsImkiOiI1MjU1MzIzNjEzIn0.WMh_GUj3Tde-UwZUlpdpQHsAbA5UNqVt1Xb8PLUdTCc,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…","{'display_name': 'Mercedes-Benz Group AG', '__CLASS__': 'Adzuna::API::Response::Company'}",48.776198,9.187224,,,,
Data Science Lead - Price,0,https://www.adzuna.de/land/ad/5221191207?se=lq3fDdtM8BGrepoAcaHO5A&utm_medium=api&utm_source=a4bcf954&v=98645105F045E80C016B917754C84A02C09FDF07,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Düsseldorf'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Düsseldorf, Nordrhein-Westfalen'}","{'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",Adzuna::API::Response::Job,5221191207,2025-05-29T07:53:45Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHEzZkRkdE04QkdyZXBvQWNhSE81QSIsImkiOiI1MjIxMTkxMjA3In0.g863PqJzU1thKSv5q4o6p-LlRyx9c_ohQnCpzLfyQsw,"When travelers are searching for a hotel, we want the obvious choice to be trivago! Our leading metasearch engine is super fast and constantly optimized – enabling millions of travelers to compare hotel prices from hundreds of booking sites and find great deals in just a few clicks. We use cutting-edge technology, real-time auction, and machine learning techniques with petabytes of data to create an experience – time and money saved! In the lively city of Düsseldorf, we seize opportunities to l…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'trivago N.V.'}",51.226802,6.808387,,,,
Team Lead Data Science Engineering (m/w/d),0,https://www.adzuna.de/land/ad/5207046190?se=lq3fDdtM8BGrepoAcaHO5A&utm_medium=api&utm_source=a4bcf954&v=99ABBDD1537458D2EC7E10DBD42B3B5690D3F12E,"{'display_name': 'Essen, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Essen'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'label': 'Technikerstellen', 'tag': 'engineering-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",Adzuna::API::Response::Job,5207046190,2025-05-20T07:34:57Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHEzZkRkdE04QkdyZXBvQWNhSE81QSIsImkiOiI1MjA3MDQ2MTkwIn0.TZn4gjaeSj_ALayu2W_11sunHjTxpXuW3GPEN2elf0E,"Als eigenfinanziertes Familienunternehmen sind wir mehr als nur ein ca. 4.700 Standorte umspannendes Filialnetz in 34 Ländern, mehr als ca. 8,7 Mrd. Euro Jahresumsatz und mehr als einer der erfolgreichsten Online-Shops für Schuhe in Europa. Deichmann ist Wegbereiter, Förderer und Arbeitgeber von über 49.000 engagierten Mitarbeiterinnen und Mitarbeitern weltweit. Als nachhaltig expandierendes Unternehmen sind wir seit mehreren Jahrzehnten in der Lage, unseren Mitarbeitern einen sicheren Arbeitsp…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Deichmann SE'}",51.444823,7.014478,,,,
Werkstudent Data Science im Bereich Fahrzeugdiagnose (m/w/d),0,https://www.adzuna.de/land/ad/5255176901?se=lq3fDdtM8BGrepoAcaHO5A&utm_medium=api&utm_source=a4bcf954&v=04DB68A1074178292A3B1B98FFAA9D2491BABE66,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ulm'], 'display_name': 'Ulm, Baden-Württemberg'}","{'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category'}",Adzuna::API::Response::Job,5255176901,2025-06-17T20:18:01Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1NTE3NjkwMSIsInMiOiJscTNmRGR0TThCR3JlcG9BY2FITzVBIn0.dRn-92vDzlqtW0JyCZoHqROT33KhmZRDv0PJgCPVbf8,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…","{'display_name': 'Mercedes-Benz Tech Innovation', '__CLASS__': 'Adzuna::API::Response::Company'}",48.383137,9.856945,,,,
"Duales Studium Wirtschaftsinformatik/Data Science (B.Sc.), Stuttgart 2026 (w/m/d)",0,https://www.adzuna.de/land/ad/5255165929?se=lq3fDdtM8BGrepoAcaHO5A&utm_medium=api&utm_source=a4bcf954&v=7FB9DB8FF1444E8A1FCE53928BE7AF3A84FE5ADF,"{'display_name': 'Esslingen am Neckar, Esslingen (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Esslingen am Neckar'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",Adzuna::API::Response::Job,5255165929,2025-06-17T20:17:32Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibHEzZkRkdE04QkdyZXBvQWNhSE81QSIsImkiOiI1MjU1MTY1OTI5In0.ifsi2NjUdADrMNGxGjLYsHUDa_2_pwmWwZL34ZAAGTs,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…","{'display_name': 'Mercedes-Benz Group AG', '__CLASS__': 'Adzuna::API::Response::Company'}",48.745846,9.315933,,,,
