adref,title,id,longitude,created,latitude,salary_is_predicted,company,redirect_url,description,location,__CLASS__,category,contract_time,salary_min,salary_max,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI2MDMwNDk2NSIsInMiOiIzQVZCc0c1TzhCR1lyN1hJSDFKM2JRIn0.VxbS4T7OOMBZ9sknTgjTZe7_74wYhu37CnWQyDxH_MY,Praktikant*in Data Science,5260304965,9.026231,2025-06-20T20:16:16Z,48.720071,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz AG'}",https://www.adzuna.de/land/ad/5260304965?se=3AVBsG5O8BGYr7XIH1J3bQ&utm_medium=api&utm_source=a4bcf954&v=701E5AA4F3202C85D8320133D77B5D40CD2A6890,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…","{'area': ['Deutschland', 'Baden-Württemberg', 'Böblingen (Kreis)', 'Sindelfingen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Sindelfingen, Böblingen (Kreis)'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1OTQ1NjgzMyIsInMiOiIzQVZCc0c1TzhCR1lyN1hJSDFKM2JRIn0.3nhxYFR0BWxMobMVKr-duaneNeEU97aF8bwvozP6xIA,Duales Studium Data Science und Künstliche Intelligenz (m/w/d) ab September 2025,5259456833,,2025-06-20T08:10:10Z,,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZIEHL-ABEGG SE'}",https://www.adzuna.de/land/ad/5259456833?se=3AVBsG5O8BGYr7XIH1J3bQ&utm_medium=api&utm_source=a4bcf954&v=7D454F40DB3F8BDFAC92C9573484439CD29266C2,"Du begeisterst dich für die komplexen Zusammenhänge in der IT und arbeitest gerne im Team? Willkommen in der Königsklasse Die Firma ZIEHL-ABEGG SE, mit derzeit über 5.000 Mitarbeitern weltweit, entwickelt, produziert und vertreibt global Ventilatoren, elektrische Spezialmotoren und Regelsysteme für die allgemeine Lufttechnik und Antriebstechnik. Neben dem Hauptsitz in Künzelsau befinden sich weitere süddeutsche Standorte des Unternehmens in Bieringen und Gewerbepark Hohenlohe. Als mittelständis…","{'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland'}",Adzuna::API::Response::Job,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1NTE1NzY1NyIsInMiOiIzQVZCc0c1TzhCR1lyN1hJSDFKM2JRIn0.GbiqaTVfU83BHQNa_1lx3O-PFSfQaDpSHFybgevOPlk,"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026",5255157657,10.10558,2025-06-17T20:17:09Z,48.78408,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",https://www.adzuna.de/land/ad/5255157657?se=3AVBsG5O8BGYr7XIH1J3bQ&utm_medium=api&utm_source=a4bcf954&v=8B7522BAAFFC072ED980160B1A956D88C8C2EE3C,"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …","{'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Oberkochen, Ostalbkreis'}",Adzuna::API::Response::Job,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM0FWQnNHNU84QkdZcjdYSUgxSjNiUSIsImkiOiI1MjQwODkwOTg2In0.jIE-fWFcbI0z6-rLpzB-gUlVc7AqlJn5hbmH-74qdWU,Pflichtpraktikum in den Bereichen Wasserstoffcampus und energieorientiertes Data Science,5240890986,10.373516,2025-06-09T08:06:40Z,52.120502,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Bosch Gruppe'}",https://www.adzuna.de/land/ad/5240890986?se=3AVBsG5O8BGYr7XIH1J3bQ&utm_medium=api&utm_source=a4bcf954&v=C0F8D1DED804AD09C017986B74D27460ED794985,"Möchten Sie Ihre Ideen in nutzbringende und sinnvolle Technologien verwandeln? Ob im Bereich Mobility Solutions, Consumer Goods, Industrial Technology oder Energy and Building Technology - mit uns verbessern Sie die Lebensqualität der Menschen auf der ganzen Welt. Willkommen bei Bosch. Die Robert Bosch Elektronik GmbH freut sich auf Ihre Bewerbung! Anstellungsart: Befristet Arbeitszeit: Vollzeit Arbeitsort: Salzgitter Aufgaben Wir suchen eine engagierte Persönlichkeit, die Teil unseres Projektt…","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Salzgitter, Niedersachsen', 'area': ['Deutschland', 'Niedersachsen', 'Salzgitter']}",Adzuna::API::Response::Job,"{'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM0FWQnNHNU84QkdZcjdYSUgxSjNiUSIsImkiOiI1MjYxMTE1MzkyIn0.enWpl3iTT6BAO6moMaNVNYUxO9i19DNq_iMj-HcNVVo,Professur (FH) für Data Science mit Option Studiengangsleitung (w/m/d),5261115392,,2025-06-21T08:12:10Z,,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Fachhochschule Kufstein Tirol Bildungs GmbH'}",https://www.adzuna.de/land/ad/5261115392?se=3AVBsG5O8BGYr7XIH1J3bQ&utm_medium=api&utm_source=a4bcf954&v=BFBD95D932C51A8AA6F7CD0ACCEF9548E73A5960,"Die Fachhochschule Kufstein Tirol ist international mehrfach ausgezeichnet und laut dem Wirtschaftsmagazin trend im Tirol-Ranking 2022 auf Platz 1 der besten Arbeitgeber:innen. Wir sind eine sich stetig weiterentwickelnde Wissensorganisation. Als Arbeitgeberin bieten wir vielseitige, interessante Aufgaben, ein leistungsförderndes und familienfreundliches Umfeld mit flexiblen Arbeitsbedingungen in einer partnerschaftlich geprägten Kultur. Die FH verfügt bei 2200 Studierenden und 10000 Absolvent:…","{'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland']}",Adzuna::API::Response::Job,"{'tag': 'consultancy-jobs', 'label': 'Beraterstellen', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTE5NjU5OTA3MSIsInMiOiIzQVZCc0c1TzhCR1lyN1hJSDFKM2JRIn0.RSCuLA2OqoXo3s7CDLQXy22QjgNheXCsFvh_-iDy-D8,Praktikum Data Science,5196599071,9.2274,2025-05-13T19:32:53Z,49.18975,0,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",https://www.adzuna.de/land/ad/5196599071?se=3AVBsG5O8BGYr7XIH1J3bQ&utm_medium=api&utm_source=a4bcf954&v=B05D2F43BE90D34C617E73D32CA793E4E1837E9E,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …","{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM0FWQnNHNU84QkdZcjdYSUgxSjNiUSIsImkiOiI1MjA3MDQ2MTkwIn0.BW42PebiChbPvVmv1we0nOLelyJarpGyTNGVj3N4e4k,Team Lead Data Science Engineering (m/w/d),5207046190,7.014478,2025-05-20T07:34:57Z,51.444823,0,"{'display_name': 'Deichmann SE', '__CLASS__': 'Adzuna::API::Response::Company'}",https://www.adzuna.de/land/ad/5207046190?se=3AVBsG5O8BGYr7XIH1J3bQ&utm_medium=api&utm_source=a4bcf954&v=99ABBDD1537458D2EC7E10DBD42B3B5690D3F12E,"Als eigenfinanziertes Familienunternehmen sind wir mehr als nur ein ca. 4.700 Standorte umspannendes Filialnetz in 34 Ländern, mehr als ca. 8,7 Mrd. Euro Jahresumsatz und mehr als einer der erfolgreichsten Online-Shops für Schuhe in Europa. Deichmann ist Wegbereiter, Förderer und Arbeitgeber von über 49.000 engagierten Mitarbeiterinnen und Mitarbeitern weltweit. Als nachhaltig expandierendes Unternehmen sind wir seit mehreren Jahrzehnten in der Lage, unseren Mitarbeitern einen sicheren Arbeitsp…","{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Essen'], 'display_name': 'Essen, Nordrhein-Westfalen', '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,"{'label': 'Technikerstellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1OTQ1NjM2NCIsInMiOiIzQVZCc0c1TzhCR1lyN1hJSDFKM2JRIn0.iM5n-PQTA-SK50DqtKNL535KVEJbw3f-xwmdN-C5hlU,Entwicklungsingenieur (m/w/d) im Bereich Messtechnik / Data Science,5259456364,13.756452,2025-06-20T08:10:04Z,51.052725,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'HIGHVOLT Prüftechnik Dresden GmbH'}",https://www.adzuna.de/land/ad/5259456364?se=3AVBsG5O8BGYr7XIH1J3bQ&utm_medium=api&utm_source=a4bcf954&v=CE8D9B408A667807C1CD5BA8E130395827DBE9FE,"Für den Weltmarkt projektieren und fertigen wir Hochspannungs- und Hochstromprüfsysteme zur Prüfung von Energiekabeln, Hochspannungstransformatoren und weiteren Geräten der elektrischen Energieübertragung. Mit unseren innovativen Produkten und digitalen Lösungen unterstützen wir den Netzausbau für eine nachhaltige Energieversorgung. Wir eröffnen Ihnen als Unternehmen in der REINHAUSEN Gruppe vielfältige Möglichkeiten in einer zukunftsorientierten Branche. HIGHVOLT - where Power meets Passion. F…","{'area': ['Deutschland', 'Sachsen', 'Dresden'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Dresden, Sachsen'}",Adzuna::API::Response::Job,"{'label': 'Technikerstellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiM0FWQnNHNU84QkdZcjdYSUgxSjNiUSIsImkiOiI1MjU1MTY1OTI5In0.EdQWn_yVvxhHkdYaRa3IMxqTwfdAF_Xr1Ln2YcUFOTA,"Duales Studium Wirtschaftsinformatik/Data Science (B.Sc.), Stuttgart 2026 (w/m/d)",5255165929,9.315933,2025-06-17T20:17:32Z,48.745846,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz Group AG'}",https://www.adzuna.de/land/ad/5255165929?se=3AVBsG5O8BGYr7XIH1J3bQ&utm_medium=api&utm_source=a4bcf954&v=7FB9DB8FF1444E8A1FCE53928BE7AF3A84FE5ADF,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…","{'display_name': 'Esslingen am Neckar, Esslingen (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Esslingen am Neckar']}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1NTMyNjY2MSIsInMiOiIzQVZCc0c1TzhCR1lyN1hJSDFKM2JRIn0.k21SZ52RHoU8RIeLc4onB4vYqB7mO8WOUyWwBj-1y5c,Praktikant (m/w/d) Data Science,5255326661,,2025-06-17T20:34:37Z,,0,"{'display_name': 'Diehl Defence GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",https://www.adzuna.de/land/ad/5255326661?se=3AVBsG5O8BGYr7XIH1J3bQ&utm_medium=api&utm_source=a4bcf954&v=06B8B48822FB9358CAC69427E3D19EBC11DC89EE,"Digitale Trans­formation. Nach­haltig­keit. Friedens­sicherung. Spannende Aufgaben, an denen auch wir bei Diehl in unseren fünf Teil­konzernen Metall, Controls, Defence, Aviation und Metering und unsere über 16.000 Mit­arbeiter­innen und Mit­arbeiter mit Hochdruck arbeiten. Entdecke faszinierende Techno­logien und bewirb dich. In einem von Vertrauen und Mut geprägten Familien­unter­nehmen, das beständig und stabil ist – aus Tradition. Für unseren Standort Diehl Defence GmbH & Co. KG in Röthenba…","{'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland']}",Adzuna::API::Response::Job,"{'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
