location,category,latitude,description,created,longitude,salary_is_predicted,id,adref,company,__CLASS__,redirect_url,title,contract_time,salary_max,contract_type,salary_min
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg'}","{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}",48.776198,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2025 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",2025-06-23T20:26:11Z,9.187224,0,5264365818,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkgxTVBvSlY4Qkd4R3NzR29IdkNHQSIsImkiOiI1MjY0MzY1ODE4In0.uLtMz2OgSLF37LPES9A2gG6IPckOf-VrsQWAaRL6-y4,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5264365818?se=JH1MPoJV8BGxGssGoHvCGA&utm_medium=api&utm_source=a4bcf954&v=372B4B9041B035EF15CED17A01097531BFA71797,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science (01.09.2025),,,,
"{'area': ['Deutschland', 'Niedersachsen', 'Salzgitter'], 'display_name': 'Salzgitter, Niedersachsen', '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",52.120502,"Möchten Sie Ihre Ideen in nutzbringende und sinnvolle Technologien verwandeln? Ob im Bereich Mobility Solutions, Consumer Goods, Industrial Technology oder Energy and Building Technology - mit uns verbessern Sie die Lebensqualität der Menschen auf der ganzen Welt. Willkommen bei Bosch. Die Robert Bosch Elektronik GmbH freut sich auf Ihre Bewerbung! Anstellungsart: Befristet Arbeitszeit: Vollzeit Arbeitsort: Salzgitter Aufgaben Wir suchen eine engagierte Persönlichkeit, die Teil unseres Projektt…",2025-06-09T08:06:40Z,10.373516,0,5240890986,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkgxTVBvSlY4Qkd4R3NzR29IdkNHQSIsImkiOiI1MjQwODkwOTg2In0.G-ODuyMakyKSQvtJoeQN1ZQPgPGJVWguSrhnnzr6O38,"{'display_name': 'Bosch Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5240890986?se=JH1MPoJV8BGxGssGoHvCGA&utm_medium=api&utm_source=a4bcf954&v=C0F8D1DED804AD09C017986B74D27460ED794985,Pflichtpraktikum in den Bereichen Wasserstoffcampus und energieorientiertes Data Science,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Esslingen am Neckar, Esslingen (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Esslingen am Neckar']}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",48.745846,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",2025-06-24T08:17:17Z,9.315933,0,5265152809,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI2NTE1MjgwOSIsInMiOiJKSDFNUG9KVjhCR3hHc3NHb0h2Q0dBIn0.xYWnJ0iKyz4OxJnPefV6tqFezGU8OvtLUnClmYbB3RE,"{'display_name': 'Mercedes-Benz Group AG', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5265152809?se=JH1MPoJV8BGxGssGoHvCGA&utm_medium=api&utm_source=a4bcf954&v=E0BF10CD9C7E420B7D18FF0255857CDCD6126D56,"Duales Studium Wirtschaftsinformatik/Data Science (B.Sc.), Stuttgart 2026 (w/m/d)",,,,
"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'label': 'Beraterstellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'consultancy-jobs'}",,"Die Fachhochschule Kufstein Tirol ist international mehrfach ausgezeichnet und laut dem Wirtschaftsmagazin trend im Tirol-Ranking 2022 auf Platz 1 der besten Arbeitgeber:innen. Wir sind eine sich stetig weiterentwickelnde Wissensorganisation. Als Arbeitgeberin bieten wir vielseitige, interessante Aufgaben, ein leistungsförderndes und familienfreundliches Umfeld mit flexiblen Arbeitsbedingungen in einer partnerschaftlich geprägten Kultur. Die FH verfügt bei 2200 Studierenden und 10000 Absolvent:…",2025-06-21T08:12:10Z,,0,5261115392,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkgxTVBvSlY4Qkd4R3NzR29IdkNHQSIsImkiOiI1MjYxMTE1MzkyIn0.MqlLIb4WMesnAJd5Nf1BahfnVpZGsK7c7ieel9Xg3Wk,"{'display_name': 'Fachhochschule Kufstein Tirol Bildungs GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5261115392?se=JH1MPoJV8BGxGssGoHvCGA&utm_medium=api&utm_source=a4bcf954&v=BFBD95D932C51A8AA6F7CD0ACCEF9548E73A5960,Professur (FH) für Data Science mit Option Studiengangsleitung (w/m/d),,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Essen'], 'display_name': 'Essen, Nordrhein-Westfalen'}","{'label': 'Technikerstellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs'}",51.444823,"Als eigenfinanziertes Familienunternehmen sind wir mehr als nur ein ca. 4.700 Standorte umspannendes Filialnetz in 34 Ländern, mehr als ca. 8,7 Mrd. Euro Jahresumsatz und mehr als einer der erfolgreichsten Online-Shops für Schuhe in Europa. Deichmann ist Wegbereiter, Förderer und Arbeitgeber von über 49.000 engagierten Mitarbeiterinnen und Mitarbeitern weltweit. Als nachhaltig expandierendes Unternehmen sind wir seit mehreren Jahrzehnten in der Lage, unseren Mitarbeitern einen sicheren Arbeitsp…",2025-05-20T07:34:57Z,7.014478,0,5207046190,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTIwNzA0NjE5MCIsInMiOiJKSDFNUG9KVjhCR3hHc3NHb0h2Q0dBIn0.ODth39EfdAjrPS3jkJd5Avy76c4QF_tmYW2Ud_4FeF8,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Deichmann SE'}",Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5207046190?se=JH1MPoJV8BGxGssGoHvCGA&utm_medium=api&utm_source=a4bcf954&v=99ABBDD1537458D2EC7E10DBD42B3B5690D3F12E,Team Lead Data Science Engineering (m/w/d),,,,
"{'display_name': 'Ulm, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Ulm'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",48.383137,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",2025-06-29T08:21:37Z,9.856945,0,5274411224,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkgxTVBvSlY4Qkd4R3NzR29IdkNHQSIsImkiOiI1Mjc0NDExMjI0In0.EGvSKkcV9tlVFL89Ybb1eu1WbvfNaWD7hQbE9_oEXU8,"{'display_name': 'Mercedes-Benz Tech Innovation', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5274411224?se=JH1MPoJV8BGxGssGoHvCGA&utm_medium=api&utm_source=a4bcf954&v=AD0849EE4AFD9B5683F0F68F8CDE02F240267186,Duales Studium Data Science / Künstliche Intelligenz in Kooperation mit der Dualen Hochschule Baden-Württemberg 2026 (m/w/d),,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München'], 'display_name': 'München, München (Kreis)'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'consultancy-jobs', 'label': 'Beraterstellen'}",48.137418,"Wir suchen zum nächstmöglichen Zeitpunkt unbefristet in der Metropolregion München eine Leiterin (w/m/d) des Referats Applied Data Science EG 15 TVöD Bund/A 15 BBesO | Voll- oder Teilzeit | Big Data Zufriedene Mitarbeitende erzeugen die beste Arbeitsatmosphäre. Unser Ziel ist deshalb, ein gesundes, flexibles und inspirierendes Umfeld zu schaffen. Dafür wurden wir bereits mit den Awards „Top Company“ und „Open Company“ ausgezeichnet. Wir, als Behörde im Geschäftsbereich des Bundesministeriums de…",2025-06-27T20:21:52Z,11.555737,0,5272032724,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkgxTVBvSlY4Qkd4R3NzR29IdkNHQSIsImkiOiI1MjcyMDMyNzI0In0.1UZNrXChlvNrmYJV2QtGd6VIgu9RnrRQP92VJNmaNCI,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZITiS - Zentrale Stelle für Informationstechnik im Sicherheitsbereich'}",Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5272032724?se=JH1MPoJV8BGxGssGoHvCGA&utm_medium=api&utm_source=a4bcf954&v=EDCF780360927324CB4FD4DA6BED4A1D1A246135,Leiterin (w/m/d) des Referats Applied Data Science,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland'], 'display_name': 'Deutschland'}","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",,"Du begeisterst dich für die komplexen Zusammenhänge in der IT und arbeitest gerne im Team? Willkommen in der Königsklasse Die Firma ZIEHL-ABEGG SE, mit derzeit über 5.000 Mitarbeitern weltweit, entwickelt, produziert und vertreibt global Ventilatoren, elektrische Spezialmotoren und Regelsysteme für die allgemeine Lufttechnik und Antriebstechnik. Neben dem Hauptsitz in Künzelsau befinden sich weitere süddeutsche Standorte des Unternehmens in Bieringen und Gewerbepark Hohenlohe. Als mittelständis…",2025-06-30T08:46:36Z,,0,5275415022,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkgxTVBvSlY4Qkd4R3NzR29IdkNHQSIsImkiOiI1Mjc1NDE1MDIyIn0.EJhVY7yDLLwK-rvyw3PCGDrb-3xMtvBJFMbvxhsr9Sg,"{'display_name': 'ZIEHL-ABEGG SE', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5275415022?se=JH1MPoJV8BGxGssGoHvCGA&utm_medium=api&utm_source=a4bcf954&v=F4BE9900C7DFBC47CEFACD46CBA4AD6C3340E143,Duales Studium Data Science und Künstliche Intelligenz (m/w/d) ab September 2025,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], 'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",48.78408,"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",2025-06-17T20:17:09Z,10.10558,0,5255157657,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1NTE1NzY1NyIsInMiOiJKSDFNUG9KVjhCR3hHc3NHb0h2Q0dBIn0.7hsoZ6PXKjEy2-D6p3oiaGw3THIdAJZdmmdIN8ZDEho,"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5255157657?se=JH1MPoJV8BGxGssGoHvCGA&utm_medium=api&utm_source=a4bcf954&v=8B7522BAAFFC072ED980160B1A956D88C8C2EE3C,"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026",,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'München, München (Kreis)', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München']}","{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}",48.137418,"Über die Wollmilchsau GmbH Moin! Wir sind die Wollmilchsau GmbH, ein inhabergeführtes Software-Unternehmen aus Hamburg. Wir entwickeln den Jobspreader, eine Lösung für Programmatic Job Advertising. Damit unterstützen wir Recruiter dabei, Stellenanzeigen automatisiert und auf CPC-Basis auf Jobsuchmaschinen zu platzieren und bieten neben dem reinen Traffic noch viele Features, die das Recruiting und Personalmarketing unserer Kunden erleichtern und optimieren. Stell dir vor… Du scrollst durch Jobs…",2025-06-12T21:49:41Z,11.555737,0,5247281218,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSkgxTVBvSlY4Qkd4R3NzR29IdkNHQSIsImkiOiI1MjQ3MjgxMjE4In0.YW3aEGaLodN2gqmWDfipfvHx6w4kdACHXcCuJxgvg58,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Wollmilchsau GmbH'}",Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5247281218?se=JH1MPoJV8BGxGssGoHvCGA&utm_medium=api&utm_source=a4bcf954&v=01F4528B768B3AB1B57D7D4DBC6F75537905264F,Werkstudent Data Science NLP & Jobklassifikation,full_time,,,
