location,redirect_url,salary_is_predicted,category,created,title,description,adref,company,latitude,__CLASS__,longitude,id,contract_time,salary_max,salary_min,contract_type
"{'area': ['Deutschland', 'Rheinland-Pfalz', 'Neuwied (Kreis)', 'Neuwied'], 'display_name': 'Neuwied, Neuwied (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",https://www.adzuna.de/land/ad/5287005027?se=zNc0Aihb8BGP4L_2pSMN2Q&utm_medium=api&utm_source=a4bcf954&v=1AD232B8BB4C20B190BBD9ECC04C760CA327B0BD,0,"{'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category'}",2025-07-05T09:47:27Z,Technician Data Science (m/w/d),"Willkommen im (K)leben! Wir freuen uns, dass Sie sich für Lohmann, den Spezialisten für Klebelösungen, interessieren. Unsere Erfolgsgeschichte begann bereits vor über 170 Jahren. Ein familiengeführtes Unternehmen mit sozialer Verantwortung sind wir noch heute. Und wir sind stolz darauf, für unsere Kunden ein verlässlicher Partner mit zukunftsweisenden Technologien zu sein. An unserer Firmenzentrale in Neuwied produzieren wir High-Tech-Klebebänder für die Industrie im engen Verbund mit unseren r…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiek5jMEFpaGI4QkdQNExfMnBTTU4yUSIsImkiOiI1Mjg3MDA1MDI3In0.9ern4jyiYfLNJcnBHEx1iAF7zFCvURl7V4Z_YkqUwzU,"{'display_name': 'Lohmann GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",50.4438,Adzuna::API::Response::Job,7.475025,5287005027,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Künzelsau, Hohenlohekreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Hohenlohekreis', 'Künzelsau']}",https://www.adzuna.de/land/ad/5217005619?se=zNc0Aihb8BGP4L_2pSMN2Q&utm_medium=api&utm_source=a4bcf954&v=E70C953D35BA5CCF99D063CC6F22C80378CDBC79,0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Gastronomie & Catering', 'tag': 'hospitality-catering-jobs'}",2025-05-26T18:15:38Z,Duales Studium Wirtschaftsinformatik - Data Science,"Zeit für deine Zukunft. Zeit für Würth. Bewirb dich jetzt auf ein duales Studium Wirtschaftsinformatik - Data Science! Das bieten wir dir: ✓ Ein familiäres und herzliches Arbeitsklima sowie gemeinsame Aktivitäten (z. B. Azubi-Skiausfahrt, Sportturniere) ✓ Enges Mentoring und begleitende Seminare für eine individuelle Weiterentwicklung ✓ Soziale und internationale Ausbildungsbausteine und Projekte (z.B. Auslandspraktikum) ✓ Eine faire Vergütung und viele Zusatzleistungen (z.B. Chance auf das Azu…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTIxNzAwNTYxOSIsInMiOiJ6TmMwQWloYjhCR1A0TF8ycFNNTjJRIn0.FMvrC8doDjDqD1sx1M7Uv2LNtUlbgAFqSQVOnZt9cWI,"{'display_name': 'Adolf Würth GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",49.27945,Adzuna::API::Response::Job,9.68788,5217005619,full_time,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Esslingen am Neckar'], 'display_name': 'Esslingen am Neckar, Esslingen (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",https://www.adzuna.de/land/ad/5283908891?se=zNc0Aihb8BGP4L_2pSMN2Q&utm_medium=api&utm_source=a4bcf954&v=7997CC2219EC40C832448FE6D95B93ADEB6EB77A,0,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",2025-07-04T09:47:36Z,"Duales Studium Wirtschaftsinformatik/Data Science (B.Sc.), Stuttgart 2026 (w/m/d)","Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiek5jMEFpaGI4QkdQNExfMnBTTU4yUSIsImkiOiI1MjgzOTA4ODkxIn0.KyHsVBvoFWxS36lfWSeRdPFFilbOuN-lTWTe6QuVRT4,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz Group AG'}",48.745846,Adzuna::API::Response::Job,9.315933,5283908891,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Böblingen (Kreis)', 'Sindelfingen'], 'display_name': 'Sindelfingen, Böblingen (Kreis)'}",https://www.adzuna.de/land/ad/5263279651?se=zNc0Aihb8BGP4L_2pSMN2Q&utm_medium=api&utm_source=a4bcf954&v=766C2BDA46630F0E10DA757264CB3D3F182E0A57,0,"{'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs'}",2025-06-22T20:44:16Z,Praktikant*in Data Science,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiek5jMEFpaGI4QkdQNExfMnBTTU4yUSIsImkiOiI1MjYzMjc5NjUxIn0.X7D2qoAjXs4dZ0W7VI4ds_iBfIUeqpl98HiVj6IO9bE,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz AG'}",48.720071,Adzuna::API::Response::Job,9.026231,5263279651,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",https://www.adzuna.de/land/ad/5196599071?se=zNc0Aihb8BGP4L_2pSMN2Q&utm_medium=api&utm_source=a4bcf954&v=B05D2F43BE90D34C617E73D32CA793E4E1837E9E,0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}",2025-05-13T19:32:53Z,Praktikum Data Science,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTE5NjU5OTA3MSIsInMiOiJ6TmMwQWloYjhCR1A0TF8ycFNNTjJRIn0.389vQpUy-fuPpHB_QvoseeyljggzSs0tKDyEdIkhALI,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",49.18975,Adzuna::API::Response::Job,9.2274,5196599071,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}",https://www.adzuna.de/land/ad/5264365818?se=zNc0Aihb8BGP4L_2pSMN2Q&utm_medium=api&utm_source=a4bcf954&v=372B4B9041B035EF15CED17A01097531BFA71797,0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}",2025-06-23T20:26:11Z,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science (01.09.2025),"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2025 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiek5jMEFpaGI4QkdQNExfMnBTTU4yUSIsImkiOiI1MjY0MzY1ODE4In0.uOlnsOkPjC_ASISXfWsuQokykQHZ0dxqVMWMZ1KUapE,"{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}",48.776198,Adzuna::API::Response::Job,9.187224,5264365818,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Salzgitter, Niedersachsen', 'area': ['Deutschland', 'Niedersachsen', 'Salzgitter']}",https://www.adzuna.de/land/ad/5240890986?se=zNc0Aihb8BGP4L_2pSMN2Q&utm_medium=api&utm_source=a4bcf954&v=C0F8D1DED804AD09C017986B74D27460ED794985,0,"{'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs'}",2025-06-09T08:06:40Z,Pflichtpraktikum in den Bereichen Wasserstoffcampus und energieorientiertes Data Science,"Möchten Sie Ihre Ideen in nutzbringende und sinnvolle Technologien verwandeln? Ob im Bereich Mobility Solutions, Consumer Goods, Industrial Technology oder Energy and Building Technology - mit uns verbessern Sie die Lebensqualität der Menschen auf der ganzen Welt. Willkommen bei Bosch. Die Robert Bosch Elektronik GmbH freut sich auf Ihre Bewerbung! Anstellungsart: Befristet Arbeitszeit: Vollzeit Arbeitsort: Salzgitter Aufgaben Wir suchen eine engagierte Persönlichkeit, die Teil unseres Projektt…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiek5jMEFpaGI4QkdQNExfMnBTTU4yUSIsImkiOiI1MjQwODkwOTg2In0.in8Of9c3hnsdgJW8KjWXJwppZraR7bmlOE7ez60h1XA,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Bosch Gruppe'}",52.120502,Adzuna::API::Response::Job,10.373516,5240890986,,,,
"{'area': ['Deutschland'], 'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location'}",https://www.adzuna.de/land/ad/5261115392?se=zNc0Aihb8BGP4L_2pSMN2Q&utm_medium=api&utm_source=a4bcf954&v=BFBD95D932C51A8AA6F7CD0ACCEF9548E73A5960,0,"{'tag': 'consultancy-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Beraterstellen'}",2025-06-21T08:12:10Z,Professur (FH) für Data Science mit Option Studiengangsleitung (w/m/d),"Die Fachhochschule Kufstein Tirol ist international mehrfach ausgezeichnet und laut dem Wirtschaftsmagazin trend im Tirol-Ranking 2022 auf Platz 1 der besten Arbeitgeber:innen. Wir sind eine sich stetig weiterentwickelnde Wissensorganisation. Als Arbeitgeberin bieten wir vielseitige, interessante Aufgaben, ein leistungsförderndes und familienfreundliches Umfeld mit flexiblen Arbeitsbedingungen in einer partnerschaftlich geprägten Kultur. Die FH verfügt bei 2200 Studierenden und 10000 Absolvent:…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiek5jMEFpaGI4QkdQNExfMnBTTU4yUSIsImkiOiI1MjYxMTE1MzkyIn0.OXXODFSKahX31425wIg7jRV8Ps3EMdw2R2SvhWa019I,"{'display_name': 'Fachhochschule Kufstein Tirol Bildungs GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",,Adzuna::API::Response::Job,,5261115392,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Oberkochen, Ostalbkreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen']}",https://www.adzuna.de/land/ad/5283911663?se=zNc0Aihb8BGP4L_2pSMN2Q&utm_medium=api&utm_source=a4bcf954&v=0712A8E7EBD7DB4024C8551907CD380B2C1BCB1D,0,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",2025-07-04T09:48:18Z,"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026","Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI4MzkxMTY2MyIsInMiOiJ6TmMwQWloYjhCR1A0TF8ycFNNTjJRIn0.YuLkdRLH5H5INooDykpXbiAqHIwnwBRKxqXhoR8_Rq0,"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",48.78408,Adzuna::API::Response::Job,10.10558,5283911663,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Wuppertal, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Wuppertal']}",https://www.adzuna.de/land/ad/5283913931?se=zNc0Aihb8BGP4L_2pSMN2Q&utm_medium=api&utm_source=a4bcf954&v=241255B3EFA6F768E0E7E0A657157377C724C359,0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",2025-07-04T09:48:42Z,Duales Studium Data Science & Controlling (B.A.) – Start ins Gesundheitswesen,"Duales Studium Data Science & Controlling (B.A.) – Start ins Gesundheitswesen Wir sind über 15.000 Kolleginnen und Kollegen. Jeder von uns hat seinen individuellen Grund, bei der BARMER zu arbeiten – und jeder Grund ist uns wichtig. Aber eines haben wir alle gemeinsam: Wer hier arbeitet, setzt sich täglich für die Gesundheit von Millionen von Menschen ein: Weil wir helfen, gesünder zu leben, bei Krankheit die bestmögliche Versorgung sicherstellen und bei Vorsorge unterstützen. Mit diesem Anspru…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiek5jMEFpaGI4QkdQNExfMnBTTU4yUSIsImkiOiI1MjgzOTEzOTMxIn0.p8dsUxWa-T5y-MFu5NOcV6XYsag_2pAwuLh8jETazxg,"{'display_name': 'BARMER', '__CLASS__': 'Adzuna::API::Response::Company'}",51.253998,Adzuna::API::Response::Job,7.184113,5283913931,,,,
