longitude,location,id,description,title,salary_is_predicted,company,category,redirect_url,__CLASS__,latitude,adref,created,contract_time,salary_max,salary_min,contract_type
9.2274,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",5299022197,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",Duales Studium Wirtschaftsinformatik - Data Science 2026,0,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.de/land/ad/5299022197?se=9JnAD9Fg8BGKVvd5PMLpTw&utm_medium=api&utm_source=a4bcf954&v=6BDDC0F74D14C8171F1CEAE1263E5A17829486A3,Adzuna::API::Response::Job,49.18975,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOUpuQUQ5Rmc4QkdLVnZkNVBNTHBUdyIsImkiOiI1Mjk5MDIyMTk3In0.aV1n2Jm2zXDnNHhgPUctWevNJENH6G3MlG2_JPrzt4E,2025-07-12T06:09:52Z,,,,
9.2274,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",5299022067,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",Duales Studium Data Science und KI - Smart Operations Management 2026,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",https://www.adzuna.de/land/ad/5299022067?se=9JnAD9Fg8BGKVvd5PMLpTw&utm_medium=api&utm_source=a4bcf954&v=7D6C148ECCB66412882E934CDD5FEC06298D3555,Adzuna::API::Response::Job,49.18975,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOUpuQUQ5Rmc4QkdLVnZkNVBNTHBUdyIsImkiOiI1Mjk5MDIyMDY3In0.MqRbp-KB06cVqI3R7PWmg8Oyxz4qW8XPjm-vOPsFUwk,2025-07-12T06:09:51Z,,,,
9.2274,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location'}",5299533081,"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. {Studienbeginn:} 01.09.2026 mit dem Begrüßungsmonat {Studiendauer:} 3 Jahre {Studiendauer:} 01.10…",Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Schwarz IT'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",https://www.adzuna.de/land/ad/5299533081?se=9JnAD9Fg8BGKVvd5PMLpTw&utm_medium=api&utm_source=a4bcf954&v=47450E9BAEB32A86408607D4C91255BFC24E5022,Adzuna::API::Response::Job,49.18975,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOUpuQUQ5Rmc4QkdLVnZkNVBNTHBUdyIsImkiOiI1Mjk5NTMzMDgxIn0.5aF_w3S5Cc3OouU-QLbBlIe8Bq4fZpwF0GjyCix2ttI,2025-07-12T18:09:10Z,,,,
9.2274,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",5295182458,"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. Studienbeginn: 01.09.2026 mit dem Begrüßungsmonat, Studienstart: zum 01.10.2026 Studiendauer: 3 J…",Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'STACKIT'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",https://www.adzuna.de/land/ad/5295182458?se=9JnAD9Fg8BGKVvd5PMLpTw&utm_medium=api&utm_source=a4bcf954&v=B46421617137AAE5AF515101E1B2BDE4F0AFBB47,Adzuna::API::Response::Job,49.18975,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOUpuQUQ5Rmc4QkdLVnZkNVBNTHBUdyIsImkiOiI1Mjk1MTgyNDU4In0.A3gkPfsVR_rG8XBr-epqWmKGWuFn9w5qkmKW_J7kRKY,2025-07-10T06:05:17Z,,,,
9.315933,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Esslingen am Neckar, Esslingen (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Esslingen am Neckar']}",5283908891,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…","Duales Studium Wirtschaftsinformatik/Data Science (B.Sc.), Stuttgart 2026 (w/m/d)",0,"{'display_name': 'Mercedes-Benz Group AG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",https://www.adzuna.de/land/ad/5283908891?se=9JnAD9Fg8BGKVvd5PMLpTw&utm_medium=api&utm_source=a4bcf954&v=7997CC2219EC40C832448FE6D95B93ADEB6EB77A,Adzuna::API::Response::Job,48.745846,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI4MzkwODg5MSIsInMiOiI5Sm5BRDlGZzhCR0tWdmQ1UE1McFR3In0.JLRSuTnKuiwyJHj9D0xTj1AYeyKfMtTg_NnCwCnbBKk,2025-07-04T09:47:36Z,,,,
7.014478,"{'display_name': 'Essen, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Essen'], '__CLASS__': 'Adzuna::API::Response::Location'}",5301598200,"Als eigenfinanziertes Familienunternehmen sind wir mehr als nur ein ca. 4.700 Standorte umspannendes Filialnetz in 34 Ländern, mehr als ca. 8,7 Mrd. Euro Jahresumsatz und mehr als einer der erfolgreichsten Online-Shops für Schuhe in Europa. Deichmann ist Wegbereiter, Förderer und Arbeitgeber von über 49.000 engagierten Mitarbeiterinnen und Mitarbeitern weltweit. Als nachhaltig expandierendes Unternehmen sind wir seit mehreren Jahrzehnten in der Lage, unseren Mitarbeitern einen sicheren Arbeitsp…",Team Lead Data Science Engineering (m/w/d),0,"{'display_name': 'Deichmann SE', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",https://www.adzuna.de/land/ad/5301598200?se=9JnAD9Fg8BGKVvd5PMLpTw&utm_medium=api&utm_source=a4bcf954&v=81FDFC4341E0531CA5CD12D4EEC66146BCE752A4,Adzuna::API::Response::Job,51.444823,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTMwMTU5ODIwMCIsInMiOiI5Sm5BRDlGZzhCR0tWdmQ1UE1McFR3In0.Ul6tGAXaLLhIpF8KdCCfy0G5UGi9cid4rW2NkehrroM,2025-07-14T06:09:42Z,,,,
9.856945,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ulm'], 'display_name': 'Ulm, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location'}",5274411224,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",Duales Studium Data Science / Künstliche Intelligenz in Kooperation mit der Dualen Hochschule Baden-Württemberg 2026 (m/w/d),0,"{'display_name': 'Mercedes-Benz Tech Innovation', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",https://www.adzuna.de/land/ad/5274411224?se=9JnAD9Fg8BGKVvd5PMLpTw&utm_medium=api&utm_source=a4bcf954&v=AD0849EE4AFD9B5683F0F68F8CDE02F240267186,Adzuna::API::Response::Job,48.383137,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOUpuQUQ5Rmc4QkdLVnZkNVBNTHBUdyIsImkiOiI1Mjc0NDExMjI0In0.IPRjrC9yxUWEtYg-XupemObAd6qkBTplYePEx8RNdT0,2025-06-29T08:21:37Z,,,,
10.68758,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Lübeck', 'area': ['Deutschland', 'Schleswig-Holstein', 'Lübeck', 'Lübeck']}",5300824681,"Die Technische Hochschule Lübeck ist eine zukunftsorientierte Hochschule, gute Lehre und Forschung sind unser Fundament. Hier studieren, lehren und forschen ca. 5000 Studierende und 130 Professor*innen in vier Fachbereichen, unterstützt von rund 400 Mitarbeiterinnen und Mitarbeitern. Das Profil der TH Lübeck – Technik, Ressourcen, Lebenswelten- beruht auf den fachlichen Schwerpunkten in den Bereichen Technik, Naturwissenschaften, Architektur und Wirtschaft. Mit unserer Expertise und unseren Erf…",Lehrkraft für besondere Aufgaben (m/w/d) für den Bereich Data Science,0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Land Schleswig Holstein'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.de/land/ad/5300824681?se=9JnAD9Fg8BGKVvd5PMLpTw&utm_medium=api&utm_source=a4bcf954&v=039CD8ADFB8DA1D28FCAA5DB44E5BCE0EA01AC3F,Adzuna::API::Response::Job,53.86956,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTMwMDgyNDY4MSIsInMiOiI5Sm5BRDlGZzhCR0tWdmQ1UE1McFR3In0.MLQUNr-b-g2uPMX4P4vbxTRf_GXalhjolDsAM8QJeW0,2025-07-13T18:08:41Z,,,,
7.475025,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Rheinland-Pfalz', 'Neuwied (Kreis)', 'Neuwied'], 'display_name': 'Neuwied, Neuwied (Kreis)'}",5287005027,"Willkommen im (K)leben! Wir freuen uns, dass Sie sich für Lohmann, den Spezialisten für Klebelösungen, interessieren. Unsere Erfolgsgeschichte begann bereits vor über 170 Jahren. Ein familiengeführtes Unternehmen mit sozialer Verantwortung sind wir noch heute. Und wir sind stolz darauf, für unsere Kunden ein verlässlicher Partner mit zukunftsweisenden Technologien zu sein. An unserer Firmenzentrale in Neuwied produzieren wir High-Tech-Klebebänder für die Industrie im engen Verbund mit unseren r…",Technician Data Science (m/w/d),0,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lohmann GmbH & Co. KG'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",https://www.adzuna.de/land/ad/5287005027?se=9JnAD9Fg8BGKVvd5PMLpTw&utm_medium=api&utm_source=a4bcf954&v=1AD232B8BB4C20B190BBD9ECC04C760CA327B0BD,Adzuna::API::Response::Job,50.4438,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI4NzAwNTAyNyIsInMiOiI5Sm5BRDlGZzhCR0tWdmQ1UE1McFR3In0._aj8AbkFUJFTHhpB721_e8Iwe0PPw0FcwC1L2AYe5lU,2025-07-05T09:47:27Z,,,,
7.184113,"{'display_name': 'Wuppertal, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Wuppertal'], '__CLASS__': 'Adzuna::API::Response::Location'}",5279271471,"Duales Studium Data Science & Controlling (B.A.) – Start ins Gesundheitswesen Wir sind über 15.000 Kolleginnen und Kollegen. Jeder von uns hat seinen individuellen Grund, bei der BARMER zu arbeiten – und jeder Grund ist uns wichtig. Aber eines haben wir alle gemeinsam: Wer hier arbeitet, setzt sich täglich für die Gesundheit von Millionen von Menschen ein: Weil wir helfen, gesünder zu leben, bei Krankheit die bestmögliche Versorgung sicherstellen und bei Vorsorge unterstützen. Mit diesem Anspru…",Duales Studium Data Science & Controlling (B.A.) – Start ins Gesundheitswesen,0,"{'display_name': 'BARMER', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",https://www.adzuna.de/land/ad/5279271471?se=9JnAD9Fg8BGKVvd5PMLpTw&utm_medium=api&utm_source=a4bcf954&v=BB4E688025D68887169115092391B4C414F82B2E,Adzuna::API::Response::Job,51.253998,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOUpuQUQ5Rmc4QkdLVnZkNVBNTHBUdyIsImkiOiI1Mjc5MjcxNDcxIn0.jDbOYjVbX1XxlX2g_YKflUkYL32UdeZe9ja9TL5q0jw,2025-07-02T09:47:24Z,,,,
