latitude,salary_is_predicted,redirect_url,created,description,longitude,title,location,category,id,company,adref,__CLASS__,contract_time,contract_type,salary_max,salary_min
50.4438,0,https://www.adzuna.de/land/ad/5287005027?se=suEOsQNm8BGhwN6tA21z6g&utm_medium=api&utm_source=a4bcf954&v=1AD232B8BB4C20B190BBD9ECC04C760CA327B0BD,2025-07-05T09:47:27Z,"Willkommen im (K)leben! Wir freuen uns, dass Sie sich für Lohmann, den Spezialisten für Klebelösungen, interessieren. Unsere Erfolgsgeschichte begann bereits vor über 170 Jahren. Ein familiengeführtes Unternehmen mit sozialer Verantwortung sind wir noch heute. Und wir sind stolz darauf, für unsere Kunden ein verlässlicher Partner mit zukunftsweisenden Technologien zu sein. An unserer Firmenzentrale in Neuwied produzieren wir High-Tech-Klebebänder für die Industrie im engen Verbund mit unseren r…",7.475025,Technician Data Science (m/w/d),"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neuwied, Neuwied (Kreis)', 'area': ['Deutschland', 'Rheinland-Pfalz', 'Neuwied (Kreis)', 'Neuwied']}","{'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",5287005027,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lohmann GmbH & Co. KG'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic3VFT3NRTm04Qkdod042dEEyMXo2ZyIsImkiOiI1Mjg3MDA1MDI3In0.LnA09XPPRenje9ZPuFcHm8fDA0fh-HWxVDMO5W6XnA4,Adzuna::API::Response::Job,,,,
49.18975,0,https://www.adzuna.de/land/ad/5299022197?se=suEOsQNm8BGhwN6tA21z6g&utm_medium=api&utm_source=a4bcf954&v=6BDDC0F74D14C8171F1CEAE1263E5A17829486A3,2025-07-12T06:09:52Z,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",9.2274,Duales Studium Wirtschaftsinformatik - Data Science 2026,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",5299022197,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI5OTAyMjE5NyIsInMiOiJzdUVPc1FObThCR2h3TjZ0QTIxejZnIn0.Tzqe_Qfos59ylnfXOaF_-mKkhYkEYWAINK5RcQH-sO8,Adzuna::API::Response::Job,,,,
53.86956,0,https://www.adzuna.de/land/ad/5297278875?se=suEOsQNm8BGhwN6tA21z6g&utm_medium=api&utm_source=a4bcf954&v=82722447969BA9459EDD33E2EF229AC280717152,2025-07-11T06:06:28Z,"Die Technische Hochschule Lübeck ist eine zukunftsorientierte Hochschule, gute Lehre und Forschung sind unser Fundament. Hier studieren, lehren und forschen ca. 5000 Studierende und 130 Professor*innen in vier Fachbereichen, unterstützt von rund 400 Mitarbeiterinnen und Mitarbeitern. Das Profil der TH Lübeck – Technik, Ressourcen, Lebenswelten- beruht auf den fachlichen Schwerpunkten in den Bereichen Technik, Naturwissenschaften, Architektur und Wirtschaft. Mit unserer Expertise und unseren Erf…",10.68758,Lehrkraft für besondere Aufgaben (m/w/d) für den Bereich Data Science,"{'area': ['Deutschland', 'Schleswig-Holstein', 'Lübeck', 'Lübeck'], 'display_name': 'Lübeck', '__CLASS__': 'Adzuna::API::Response::Location'}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",5297278875,"{'display_name': 'Land Schleswig Holstein', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic3VFT3NRTm04Qkdod042dEEyMXo2ZyIsImkiOiI1Mjk3Mjc4ODc1In0.S63jeuqpKTTBP7lO3IxaTJehd5a1ey0j18RthFnMFl0,Adzuna::API::Response::Job,,,,
49.18975,0,https://www.adzuna.de/land/ad/5299022067?se=suEOsQNm8BGhwN6tA21z6g&utm_medium=api&utm_source=a4bcf954&v=7D6C148ECCB66412882E934CDD5FEC06298D3555,2025-07-12T06:09:51Z,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",9.2274,Duales Studium Data Science und KI - Smart Operations Management 2026,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",5299022067,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI5OTAyMjA2NyIsInMiOiJzdUVPc1FObThCR2h3TjZ0QTIxejZnIn0.0PjaGOEP7_J2uFn1flOgNHzJU7HWs-XlMcCaizaQrkU,Adzuna::API::Response::Job,,,,
49.18975,0,https://www.adzuna.de/land/ad/5299533081?se=suEOsQNm8BGhwN6tA21z6g&utm_medium=api&utm_source=a4bcf954&v=47450E9BAEB32A86408607D4C91255BFC24E5022,2025-07-12T18:09:10Z,"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. {Studienbeginn:} 01.09.2026 mit dem Begrüßungsmonat {Studiendauer:} 3 Jahre {Studiendauer:} 01.10…",9.2274,Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",5299533081,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Schwarz IT'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI5OTUzMzA4MSIsInMiOiJzdUVPc1FObThCR2h3TjZ0QTIxejZnIn0.Vf1TbYFDa6YACM5JeNQ9Weo4o6zIKUKbOJR2lCkVuQc,Adzuna::API::Response::Job,,,,
49.18975,0,https://www.adzuna.de/land/ad/5295182458?se=suEOsQNm8BGhwN6tA21z6g&utm_medium=api&utm_source=a4bcf954&v=B46421617137AAE5AF515101E1B2BDE4F0AFBB47,2025-07-10T06:05:17Z,"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. Studienbeginn: 01.09.2026 mit dem Begrüßungsmonat, Studienstart: zum 01.10.2026 Studiendauer: 3 J…",9.2274,Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",5295182458,"{'display_name': 'STACKIT', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic3VFT3NRTm04Qkdod042dEEyMXo2ZyIsImkiOiI1Mjk1MTgyNDU4In0._dUTumSpH28MF6rJ90252qWgpUGr1ay1jFkZF-kO_HY,Adzuna::API::Response::Job,,,,
48.78408,0,https://www.adzuna.de/land/ad/5255157657?se=suEOsQNm8BGhwN6tA21z6g&utm_medium=api&utm_source=a4bcf954&v=8B7522BAAFFC072ED980160B1A956D88C8C2EE3C,2025-06-17T20:17:09Z,"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",10.10558,"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026","{'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], 'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location'}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",5255157657,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1NTE1NzY1NyIsInMiOiJzdUVPc1FObThCR2h3TjZ0QTIxejZnIn0.XpwlEVHiHmqnQFFBrCOjs4zc97eKUMkqz4WpRKfV7XQ,Adzuna::API::Response::Job,,,,
48.745846,0,https://www.adzuna.de/land/ad/5265152809?se=suEOsQNm8BGhwN6tA21z6g&utm_medium=api&utm_source=a4bcf954&v=E0BF10CD9C7E420B7D18FF0255857CDCD6126D56,2025-06-24T08:17:17Z,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",9.315933,"Duales Studium Wirtschaftsinformatik/Data Science (B.Sc.), Stuttgart 2026 (w/m/d)","{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Esslingen am Neckar'], 'display_name': 'Esslingen am Neckar, Esslingen (Kreis)'}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",5265152809,"{'display_name': 'Mercedes-Benz Group AG', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic3VFT3NRTm04Qkdod042dEEyMXo2ZyIsImkiOiI1MjY1MTUyODA5In0.TgycQS801DA1RYtsOeAuRiq2hvD-8OvnP-ogqZ8R3q8,Adzuna::API::Response::Job,,,,
51.444823,0,https://www.adzuna.de/land/ad/5301598200?se=suEOsQNm8BGhwN6tA21z6g&utm_medium=api&utm_source=a4bcf954&v=81FDFC4341E0531CA5CD12D4EEC66146BCE752A4,2025-07-14T06:09:42Z,"Als eigenfinanziertes Familienunternehmen sind wir mehr als nur ein ca. 4.700 Standorte umspannendes Filialnetz in 34 Ländern, mehr als ca. 8,7 Mrd. Euro Jahresumsatz und mehr als einer der erfolgreichsten Online-Shops für Schuhe in Europa. Deichmann ist Wegbereiter, Förderer und Arbeitgeber von über 49.000 engagierten Mitarbeiterinnen und Mitarbeitern weltweit. Als nachhaltig expandierendes Unternehmen sind wir seit mehreren Jahrzehnten in der Lage, unseren Mitarbeitern einen sicheren Arbeitsp…",7.014478,Team Lead Data Science Engineering (m/w/d),"{'display_name': 'Essen, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Essen'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",5301598200,"{'display_name': 'Deichmann SE', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTMwMTU5ODIwMCIsInMiOiJzdUVPc1FObThCR2h3TjZ0QTIxejZnIn0.nVI-vPR2l5RmExStfcUF3bZFzuFusr23wRhhGmQYyJM,Adzuna::API::Response::Job,,,,
48.754667,0,https://www.adzuna.de/land/ad/5272767144?se=suEOsQNm8BGhwN6tA21z6g&utm_medium=api&utm_source=a4bcf954&v=2BE82BE6F585031FA9721B7F3A84BC8C78A20690,2025-06-28T08:20:17Z,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",8.235274,Duales Studium Data Science / Künstliche Intelligenz in Kooperation mit der Dualen Hochschule Baden-Württemberg 2026 (m/w/d),"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Baden-Baden, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Baden-Baden']}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",5272767144,"{'display_name': 'Mercedes-Benz Tech Innovation', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI3Mjc2NzE0NCIsInMiOiJzdUVPc1FObThCR2h3TjZ0QTIxejZnIn0.NSYHRApseCWt1sLpOibHFdxodY03hntCygWY7Hadb_U,Adzuna::API::Response::Job,,,,
