title,redirect_url,company,longitude,adref,salary_is_predicted,__CLASS__,location,latitude,description,id,category,created,contract_time,contract_type,salary_max,salary_min
Technician Data Science (m/w/d),https://www.adzuna.de/land/ad/5287005027?se=ziwSioNr8BG_QdaBTQ4Oag&utm_medium=api&utm_source=a4bcf954&v=1AD232B8BB4C20B190BBD9ECC04C760CA327B0BD,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lohmann GmbH & Co. KG'}",7.475025,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI4NzAwNTAyNyIsInMiOiJ6aXdTaW9OcjhCR19RZGFCVFE0T2FnIn0.Gr5HPjulskLVn242hP0zpc0Ovc5fijr7bSKQG2vjMAM,0,Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Rheinland-Pfalz', 'Neuwied (Kreis)', 'Neuwied'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neuwied, Neuwied (Kreis)'}",50.4438,"Willkommen im (K)leben! Wir freuen uns, dass Sie sich für Lohmann, den Spezialisten für Klebelösungen, interessieren. Unsere Erfolgsgeschichte begann bereits vor über 170 Jahren. Ein familiengeführtes Unternehmen mit sozialer Verantwortung sind wir noch heute. Und wir sind stolz darauf, für unsere Kunden ein verlässlicher Partner mit zukunftsweisenden Technologien zu sein. An unserer Firmenzentrale in Neuwied produzieren wir High-Tech-Klebebänder für die Industrie im engen Verbund mit unseren r…",5287005027,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}",2025-07-05T09:47:27Z,,,,
Duales Studium Wirtschaftsinformatik - Data Science 2026,https://www.adzuna.de/land/ad/5299022197?se=ziwSioNr8BG_QdaBTQ4Oag&utm_medium=api&utm_source=a4bcf954&v=6BDDC0F74D14C8171F1CEAE1263E5A17829486A3,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",9.2274,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieml3U2lvTnI4QkdfUWRhQlRRNE9hZyIsImkiOiI1Mjk5MDIyMTk3In0.6smmTLVBH5NFpzzugsXBjr3ClZayyX-MRiBzQFr6WeY,0,Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",49.18975,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",5299022197,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",2025-07-12T06:09:52Z,,,,
DHBW Studium - Data Science und Künstliche Intelligenz,https://www.adzuna.de/land/ad/5319458241?se=ziwSioNr8BG_QdaBTQ4Oag&utm_medium=api&utm_source=a4bcf954&v=EEBCA93D426BC6DBFA053BF2FC789B52D48EBA4E,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Liebherr-International Deutschland GmbH'}",9.14146,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieml3U2lvTnI4QkdfUWRhQlRRNE9hZyIsImkiOiI1MzE5NDU4MjQxIn0.ikxpGwcuL6S3NK4TTKy8yBHOhfdtmEyg3YSZdyMBOIo,0,Adzuna::API::Response::Job,"{'display_name': 'Biberach, Heilbronn', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Heilbronn', 'Biberach']}",49.19277,"​Die Liebherr-Werk Biberach GmbH stellt hochwertige Turmdrehkrane und Mobilbaukrane her. Schnelleinsatzkrane, Obendreherkrane und Mobilbaukrane sind weltweit erfolgreich im Einsatz und stehen für Umschlagleistung und Wirtschaftlichkeit Aufgaben Studierende beschäftigen sich neben den Grundlagen der Informatik und Wirtschaftsinformatik mit den Kerninhalten von Data Science. Dies beinhaltet etwa Cloud Computing, Big Data, Machine Learning und Projektmanagement. Zur Vertiefung werden zwei Wahlopti…",5319458241,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",2025-07-24T06:25:38Z,,,,
Lehrkraft für besondere Aufgaben (m/w/d) für den Bereich Data Science,https://www.adzuna.de/land/ad/5297278875?se=ziwSioNr8BG_QdaBTQ4Oag&utm_medium=api&utm_source=a4bcf954&v=82722447969BA9459EDD33E2EF229AC280717152,"{'display_name': 'Land Schleswig Holstein', '__CLASS__': 'Adzuna::API::Response::Company'}",10.68758,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI5NzI3ODg3NSIsInMiOiJ6aXdTaW9OcjhCR19RZGFCVFE0T2FnIn0.hQd5j8bHtB2OED9_n1GoxXkyeXXalsuEGyQST_5suX0,0,Adzuna::API::Response::Job,"{'display_name': 'Lübeck', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Schleswig-Holstein', 'Lübeck', 'Lübeck']}",53.86956,"Die Technische Hochschule Lübeck ist eine zukunftsorientierte Hochschule, gute Lehre und Forschung sind unser Fundament. Hier studieren, lehren und forschen ca. 5000 Studierende und 130 Professor*innen in vier Fachbereichen, unterstützt von rund 400 Mitarbeiterinnen und Mitarbeitern. Das Profil der TH Lübeck – Technik, Ressourcen, Lebenswelten- beruht auf den fachlichen Schwerpunkten in den Bereichen Technik, Naturwissenschaften, Architektur und Wirtschaft. Mit unserer Expertise und unseren Erf…",5297278875,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",2025-07-11T06:06:28Z,,,,
Duales Studium Data Science und KI - Smart Operations Management 2026,https://www.adzuna.de/land/ad/5299022067?se=ziwSioNr8BG_QdaBTQ4Oag&utm_medium=api&utm_source=a4bcf954&v=7D6C148ECCB66412882E934CDD5FEC06298D3555,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",9.2274,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI5OTAyMjA2NyIsInMiOiJ6aXdTaW9OcjhCR19RZGFCVFE0T2FnIn0.Qn_3GHbCioe1Q7QrqhlgcFZdXfIwiH1WJNQFw5RgeQs,0,Adzuna::API::Response::Job,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",49.18975,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",5299022067,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",2025-07-12T06:09:51Z,,,,
Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),https://www.adzuna.de/land/ad/5323326712?se=ziwSioNr8BG_QdaBTQ4Oag&utm_medium=api&utm_source=a4bcf954&v=857DD246F9A4DD12656F8F0E32FB1416441DF46E,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Schwarz Corporate Solutions'}",9.2274,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTMyMzMyNjcxMiIsInMiOiJ6aXdTaW9OcjhCR19RZGFCVFE0T2FnIn0.4v0w1ihURFDkyWnC3ntO-G2kbc2Km6S8EWpW4AlBOEw,0,Adzuna::API::Response::Job,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",49.18975,"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. {Studienbeginn:} 01.09.2026 mit dem Begrüßungsmonat {Studiendauer:} 3 Jahre {Studiendauer:} 01.10…",5323326712,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",2025-07-26T18:27:23Z,,,,
Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),https://www.adzuna.de/land/ad/5323326784?se=ziwSioNr8BG_QdaBTQ4Oag&utm_medium=api&utm_source=a4bcf954&v=7BF6635D69C54666C67A56F560B4042091C804EE,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Schwarz Corporate Solutions'}",9.2274,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTMyMzMyNjc4NCIsInMiOiJ6aXdTaW9OcjhCR19RZGFCVFE0T2FnIn0.edkIf8zoMKwr_u4yGHu7e3nVQbbcWgGZRAmvY1Z2ilc,0,Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",49.18975,"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. Studienbeginn: 01.09.2026 mit dem Begrüßungsmonat, Studienstart: zum 01.10.2026 Studiendauer: 3 J…",5323326784,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",2025-07-26T18:27:24Z,,,,
Team Lead Data Science Engineering (m/w/d),https://www.adzuna.de/land/ad/5322747980?se=ziwSioNr8BG_QdaBTQ4Oag&utm_medium=api&utm_source=a4bcf954&v=3239FDE3337E8747DB2523B0F97E8C48B7EDE7B3,"{'display_name': 'Deichmann SE', '__CLASS__': 'Adzuna::API::Response::Company'}",7.014478,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTMyMjc0Nzk4MCIsInMiOiJ6aXdTaW9OcjhCR19RZGFCVFE0T2FnIn0.EG1JXHEt3aOeApo_wimkbqEzQ3SqEeknmq7_HPaVzwA,0,Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Essen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Essen, Nordrhein-Westfalen'}",51.444823,"Als eigenfinanziertes Familienunternehmen sind wir mehr als nur ein ca. 4.700 Standorte umspannendes Filialnetz in 34 Ländern, mehr als ca. 8,7 Mrd. Euro Jahresumsatz und mehr als einer der erfolgreichsten Online-Shops für Schuhe in Europa. Deichmann ist Wegbereiter, Förderer und Arbeitgeber von über 49.000 engagierten Mitarbeiterinnen und Mitarbeitern weltweit. Als nachhaltig expandierendes Unternehmen sind wir seit mehreren Jahrzehnten in der Lage, unseren Mitarbeitern einen sicheren Arbeitsp…",5322747980,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Technikerstellen', 'tag': 'engineering-jobs'}",2025-07-26T06:48:16Z,,,,
Procurement Specialist (m/w/d) Data Science & AI,https://www.adzuna.de/land/ad/5321175170?se=ziwSioNr8BG_QdaBTQ4Oag&utm_medium=api&utm_source=a4bcf954&v=B440D0C4CAA90767E2B932C1020D32E7082DFE5D,"{'display_name': 'Leadec Management Central Europe BV & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",9.187224,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieml3U2lvTnI4QkdfUWRhQlRRNE9hZyIsImkiOiI1MzIxMTc1MTcwIn0.0ZP1Zi9zOd0U5rzYSf4P1Y4L46_qNPwN4jnMJqIM_7o,0,Adzuna::API::Response::Job,"{'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}",48.776198,"Wir sorgen mit unseren Services jeden Tag dafür, dass in der Produktion unserer Kunden auf der ganzen Welt alles rund läuft. Dabei denken wir in Lösungen und optimieren entlang des gesamten Prozesses - von der Planung bis zur Instandhaltung, Modernisierung und Digitalisierung. Als Servicespezialist in der Fertigungsindustrie wissen wir, dass Menschen den Unterschied machen. Respekt, Teamspirit und Vielseitigkeit zeichnen das Arbeiten bei Leadec aus. Auf unsere Arbeit sind wir stolz - über 22.50…",5321175170,"{'tag': 'logistics-warehouse-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Logistik & Lagerhaltung'}",2025-07-25T06:26:19Z,,,,
"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026",https://www.adzuna.de/land/ad/5255157657?se=ziwSioNr8BG_QdaBTQ4Oag&utm_medium=api&utm_source=a4bcf954&v=8B7522BAAFFC072ED980160B1A956D88C8C2EE3C,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",10.10558,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI1NTE1NzY1NyIsInMiOiJ6aXdTaW9OcjhCR19RZGFCVFE0T2FnIn0.vQH3U1V7iqy4o3uVM8ufOYPCgc6li7V6lOWo-862TCY,0,Adzuna::API::Response::Job,"{'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen']}",48.78408,"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",5255157657,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",2025-06-17T20:17:09Z,,,,
