created,title,company,__CLASS__,adref,longitude,location,category,description,redirect_url,latitude,id,salary_is_predicted,contract_time,salary_min,salary_max,contract_type
2025-07-26T18:27:24Z,Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Schwarz Corporate Solutions'}",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEYwNjRQdHg4QkdaLUowczFiUEs2USIsImkiOiI1MzIzMzI2Nzg0In0.cYKJpaS6UXA-6qq3DCFt3mn6VvQHPagbAd3MM19VgRs,9.2274,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. Studienbeginn: 01.09.2026 mit dem Begrüßungsmonat, Studienstart: zum 01.10.2026 Studiendauer: 3 J…",https://www.adzuna.de/land/ad/5323326784?se=8F064Ptx8BGZ-J0s1bPK6Q&utm_medium=api&utm_source=a4bcf954&v=7BF6635D69C54666C67A56F560B4042091C804EE,49.18975,5323326784,0,,,,
2025-07-12T06:09:52Z,Duales Studium Wirtschaftsinformatik - Data Science 2026,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI5OTAyMjE5NyIsInMiOiI4RjA2NFB0eDhCR1otSjBzMWJQSzZRIn0.eDdYCXuuXdjt6O2NJbjmYqBmP7bimpjkY4Vra18bo0k,9.2274,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",https://www.adzuna.de/land/ad/5299022197?se=8F064Ptx8BGZ-J0s1bPK6Q&utm_medium=api&utm_source=a4bcf954&v=6BDDC0F74D14C8171F1CEAE1263E5A17829486A3,49.18975,5299022197,0,,,,
2025-07-23T06:23:14Z,Lehrkraft für besondere Aufgaben (m/w/d) für den Bereich Data Science,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Land Schleswig Holstein'}",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTMxNzU2NjYxNyIsInMiOiI4RjA2NFB0eDhCR1otSjBzMWJQSzZRIn0.AjzM5LgaXJ3rNEipBJvqDqKukSplnileVmvOWVuZqTA,10.68758,"{'area': ['Deutschland', 'Schleswig-Holstein', 'Lübeck', 'Lübeck'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Lübeck'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","Die Technische Hochschule Lübeck ist eine zukunftsorientierte Hochschule, gute Lehre und Forschung sind unser Fundament. Hier studieren, lehren und forschen ca. 5000 Studierende und 130 Professor*innen in vier Fachbereichen, unterstützt von rund 400 Mitarbeiterinnen und Mitarbeitern. Das Profil der TH Lübeck – Technik, Ressourcen, Lebenswelten- beruht auf den fachlichen Schwerpunkten in den Bereichen Technik, Naturwissenschaften, Architektur und Wirtschaft. Mit unserer Expertise und unseren Erf…",https://www.adzuna.de/land/ad/5317566617?se=8F064Ptx8BGZ-J0s1bPK6Q&utm_medium=api&utm_source=a4bcf954&v=19775EB93DB19EA6E666BA0754316C31F14AC5EB,53.86956,5317566617,0,,,,
2025-07-12T06:09:51Z,Duales Studium Data Science und KI - Smart Operations Management 2026,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEYwNjRQdHg4QkdaLUowczFiUEs2USIsImkiOiI1Mjk5MDIyMDY3In0.fYACeMpEYhow8fxJOwiQGEzRvOv0DFckkH5s_N-oAuw,9.2274,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",https://www.adzuna.de/land/ad/5299022067?se=8F064Ptx8BGZ-J0s1bPK6Q&utm_medium=api&utm_source=a4bcf954&v=7D6C148ECCB66412882E934CDD5FEC06298D3555,49.18975,5299022067,0,,,,
2025-08-05T06:38:15Z,Werkstudent Software & Data Science Entwicklung Projektionsoptiken (m/w/x),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTMzODA0NTA2MSIsInMiOiI4RjA2NFB0eDhCR1otSjBzMWJQSzZRIn0.znw-l02cE6GV-0v8V-CLA9q3alARXeRi-O5qw5LuwTM,10.10558,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Oberkochen, Ostalbkreis'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}","Als Studierender (m/w/x) arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst Dir ideale Voraussetzungen für Deine spätere Karriere. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer Kultur, die von Expertenwissen und Teamgeist geprägt ist. All das wird getragen von der besonderen Eigentümerstruktur und dem langfristigen Ziel der Carl-Zeiss-Stiftung: Wissenschaft und Gesellsch…",https://www.adzuna.de/land/ad/5338045061?se=8F064Ptx8BGZ-J0s1bPK6Q&utm_medium=api&utm_source=a4bcf954&v=EED45A99251A573D32C0D5CAA7F210249C77CA91,48.78408,5338045061,0,,,,
2025-08-01T18:40:27Z,DHBW Studium - Data Science und Künstliche Intelligenz,"{'display_name': 'Liebherr-Werk Biberach GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEYwNjRQdHg4QkdaLUowczFiUEs2USIsImkiOiI1MzMyMjEwNDcwIn0.Cxui-QOxIWEvG_xMOkj1AoDMC-1el43bh2UjcPd0pA8,9.14146,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Biberach, Heilbronn', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Heilbronn', 'Biberach']}","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","​Die Liebherr-Werk Biberach GmbH stellt hochwertige Turmdrehkrane und Mobilbaukrane her. Schnelleinsatzkrane, Obendreherkrane und Mobilbaukrane sind weltweit erfolgreich im Einsatz und stehen für Umschlagleistung und Wirtschaftlichkeit Aufgaben Studierende beschäftigen sich neben den Grundlagen der Informatik und Wirtschaftsinformatik mit den Kerninhalten von Data Science. Dies beinhaltet etwa Cloud Computing, Big Data, Machine Learning und Projektmanagement. Zur Vertiefung werden zwei Wahlopti…",https://www.adzuna.de/land/ad/5332210470?se=8F064Ptx8BGZ-J0s1bPK6Q&utm_medium=api&utm_source=a4bcf954&v=2136F659C49138386EC236E0818BB885504692BD,49.19277,5332210470,0,,,,
2025-07-26T18:27:23Z,Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),"{'display_name': 'Schwarz Corporate Solutions', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTMyMzMyNjcxMiIsInMiOiI4RjA2NFB0eDhCR1otSjBzMWJQSzZRIn0.B_6qToyiJ2qeFGvyvk0CnhxRcnb3ReoIOwqDIcpaat8,9.2274,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. {Studienbeginn:} 01.09.2026 mit dem Begrüßungsmonat {Studiendauer:} 3 Jahre {Studiendauer:} 01.10…",https://www.adzuna.de/land/ad/5323326712?se=8F064Ptx8BGZ-J0s1bPK6Q&utm_medium=api&utm_source=a4bcf954&v=857DD246F9A4DD12656F8F0E32FB1416441DF46E,49.18975,5323326712,0,,,,
2025-07-25T06:26:19Z,Procurement Specialist (m/w/d) Data Science & AI,"{'display_name': 'Leadec Management Central Europe BV & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEYwNjRQdHg4QkdaLUowczFiUEs2USIsImkiOiI1MzIxMTc1MTcwIn0.9zV7bEeWr2V_fR3mHLRdgZkvalszXamVBhZUM8HFrro,9.187224,"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Logistik & Lagerhaltung', 'tag': 'logistics-warehouse-jobs'}","Wir sorgen mit unseren Services jeden Tag dafür, dass in der Produktion unserer Kunden auf der ganzen Welt alles rund läuft. Dabei denken wir in Lösungen und optimieren entlang des gesamten Prozesses - von der Planung bis zur Instandhaltung, Modernisierung und Digitalisierung. Als Servicespezialist in der Fertigungsindustrie wissen wir, dass Menschen den Unterschied machen. Respekt, Teamspirit und Vielseitigkeit zeichnen das Arbeiten bei Leadec aus. Auf unsere Arbeit sind wir stolz - über 22.50…",https://www.adzuna.de/land/ad/5321175170?se=8F064Ptx8BGZ-J0s1bPK6Q&utm_medium=api&utm_source=a4bcf954&v=B440D0C4CAA90767E2B932C1020D32E7082DFE5D,48.776198,5321175170,0,,,,
2025-06-17T20:17:09Z,"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026","{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEYwNjRQdHg4QkdaLUowczFiUEs2USIsImkiOiI1MjU1MTU3NjU3In0.B60BiH4-7uLMpE9qNMWmD2NV4RU5R0WypDhkKVu98GI,10.10558,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], 'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location'}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",https://www.adzuna.de/land/ad/5255157657?se=8F064Ptx8BGZ-J0s1bPK6Q&utm_medium=api&utm_source=a4bcf954&v=8B7522BAAFFC072ED980160B1A956D88C8C2EE3C,48.78408,5255157657,0,,,,
2025-08-04T18:49:06Z,"Duales Studium Wirtschaftsinformatik/Data Science (B.Sc.), Stuttgart 2026 (w/m/d)","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz Group AG'}",Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTMzNzM1MjE2NyIsInMiOiI4RjA2NFB0eDhCR1otSjBzMWJQSzZRIn0.-Ob31XoJFtnG_ifYgYVSrdnEvqs2NF1NtJ_1KcO5TEI,9.315933,"{'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Esslingen am Neckar'], 'display_name': 'Esslingen am Neckar, Esslingen (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",https://www.adzuna.de/land/ad/5337352167?se=8F064Ptx8BGZ-J0s1bPK6Q&utm_medium=api&utm_source=a4bcf954&v=CCB3DBF40FD1BFD5A086F8DC5B9E0B7EE7840F43,48.745846,5337352167,0,,,,
