company,id,created,description,latitude,location,__CLASS__,title,adref,category,salary_is_predicted,redirect_url,longitude,contract_time,salary_max,salary_min,contract_type
"{'display_name': 'Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth', '__CLASS__': 'Adzuna::API::Response::Company'}",5342105306,2025-08-07T19:13:44Z,"An der Jade Hochschule in Wilhelmshaven, Oldenburg und Elsfleth studieren rund 6.400 Menschen mit mehr als 200 Professorinnen und Professoren. Lehre und Forschung zeichnen sich durch innovative Ansätze, kooperative Zusammenarbeit und eine zugewandte Haltung aus. In allen Bereichen fördert die Hochschule Kompetenz und Vielfalt. Die Jade Hochschule entwickelt aufgrund der herausragenden Bedeutung der Künstlichen Intelligenz bis zum Jahr 2030 eine Identität als KI-Hochschule und setzt diese Identi…",53.550256,"{'display_name': 'Wilhelmshaven, Niedersachsen', 'area': ['Deutschland', 'Niedersachsen', 'Wilhelmshaven'], '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,Professur (m/w/d) für das Gebiet Applied Data Science,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM0MjEwNTMwNiIsInMiOiJ3c3BPeVlOMjhCRzhjOFN5em05ZUxBIn0.qTo6IbhRBHmZ7v9afoslpPsQqXhR_ivtJ2y7YPqCAf0,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",0,https://www.adzuna.de/land/ad/5342105306?se=wspOyYN28BG8c8Syzm9eLA&utm_medium=api&utm_source=a4bcf954&v=968365E0395913889F562A263118EF39D650CD20,8.087806,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Leuze electronic GmbH + Co. KG'}",5343933355,2025-08-08T19:14:07Z,"Duales Bachelor Studium: Wirtschafts­informatik – Data Science (September 2026 – DHBW Stuttgart) Bereich: Ausbildung / Duales Studium Standort: Owen bei Kirchheim / Teck Beschäftigungsart: Duales Studium Über 60 Jahre Erfahrung haben Leuze zum Experten für innovative und effiziente Sensor- und Sicherheits­lösungen in der Automatisierungs­technik gemacht. Heute sorgen wir – rund 1.600 Sensor People weltweit – mit Neugier, Leiden­schaft und Entschlossen­heit für Fort­schritt und Wandel. Unser Ant…",,"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,Duales Bachelor Studium: Wirtschaftsinformatik – Data Science (September 2026 – DHBW Stuttgart),eyJhbGciOiJIUzI1NiJ9.eyJzIjoid3NwT3lZTjI4Qkc4YzhTeXptOWVMQSIsImkiOiI1MzQzOTMzMzU1In0.OUeuLnvwVBvYbyrAj1xcmOTXIjgzs8mE9zldIDEh-c8,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",0,https://www.adzuna.de/land/ad/5343933355?se=wspOyYN28BG8c8Syzm9eLA&utm_medium=api&utm_source=a4bcf954&v=B0250CEDADFD66FDEB1E4B8C77A2CCC69A9F066E,,,,,
"{'display_name': 'Deichmann SE', '__CLASS__': 'Adzuna::API::Response::Company'}",5282247592,2025-07-03T19:36:02Z,"Als Team Lead Data Science Engineering (m/w/d) verstärkst Du unsere Data & Analytics Unit und bist der Dreh- und Angelpunkt, um aus unsere Data Science Produkte das Beste für Deichmann und unsere Kunden herauszuholen. Mit unseren innovativen Produkten, die wir in enger Kooperation mit den Fachbereichen entwickelt haben, sind wir direkt verzahnt mit dem Unternehmenserfolg. Werde Teil von Deichmann und hilf uns Data Science noch besser in d Tätigkeiten Du führst ein engagiertes Team von Data Scie…",51.444823,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Essen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Essen, Nordrhein-Westfalen'}",Adzuna::API::Response::Job,Team Lead Data Science Engineering,eyJhbGciOiJIUzI1NiJ9.eyJzIjoid3NwT3lZTjI4Qkc4YzhTeXptOWVMQSIsImkiOiI1MjgyMjQ3NTkyIn0.zgMWfibBVUugXHIzY_Oj3GUJnacB4eSYNlQLWI0aBWo,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",0,https://www.adzuna.de/land/ad/5282247592?se=wspOyYN28BG8c8Syzm9eLA&utm_medium=api&utm_source=a4bcf954&v=F51E7B41920493406F7D7DDDCDAB8B6D640DB2B4,7.014478,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'itmX GmbH'}",5329747685,2025-07-31T14:43:44Z,"Bei itmX fokussieren wir uns auf die Geschäftsprozesse in den Bereichen Marketing, Vertrieb, Service und Commerce unter Verwendung der Microsoft Power Platform, Microsoft 365, SAP ERP und unser eigenem Produkt der itmX crm suite. Unser Ziel ist es dabei Microsoft und SAP bestmöglich prozessual sowie funktional zu verbinden. Tätigkeiten Analyse von Geschäftsprozessen und Identifikation von Optimierungspotenzialen durch den Einsatz von KI für Digitalisierungsprojekte Beratung und Unterstützung un…",48.883606,"{'display_name': 'Pforzheim, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Pforzheim']}",Adzuna::API::Response::Job,KI/ Data Science Consultant (Mensch*),eyJhbGciOiJIUzI1NiJ9.eyJzIjoid3NwT3lZTjI4Qkc4YzhTeXptOWVMQSIsImkiOiI1MzI5NzQ3Njg1In0.0AeNUY6YkSUZH57zf9tixuPdzg6r3wgDta7qz0O5ujQ,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",0,https://www.adzuna.de/land/ad/5329747685?se=wspOyYN28BG8c8Syzm9eLA&utm_medium=api&utm_source=a4bcf954&v=2740610CD96FF89A7E39BEB54DD59EFD7863E14A,8.697363,,,,
"{'display_name': 'Leadec Management Central Europe BV & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",5321175170,2025-07-25T06:26:19Z,"Wir sorgen mit unseren Services jeden Tag dafür, dass in der Produktion unserer Kunden auf der ganzen Welt alles rund läuft. Dabei denken wir in Lösungen und optimieren entlang des gesamten Prozesses - von der Planung bis zur Instandhaltung, Modernisierung und Digitalisierung. Als Servicespezialist in der Fertigungsindustrie wissen wir, dass Menschen den Unterschied machen. Respekt, Teamspirit und Vielseitigkeit zeichnen das Arbeiten bei Leadec aus. Auf unsere Arbeit sind wir stolz - über 22.50…",48.776198,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg'}",Adzuna::API::Response::Job,Procurement Specialist (m/w/d) Data Science & AI,eyJhbGciOiJIUzI1NiJ9.eyJzIjoid3NwT3lZTjI4Qkc4YzhTeXptOWVMQSIsImkiOiI1MzIxMTc1MTcwIn0.Kt5VFaoCoGDGfrLLCG0UgctfwB_nTAfEWro8r1xNC2g,"{'tag': 'logistics-warehouse-jobs', 'label': 'Stellen aus Logistik & Lagerhaltung', '__CLASS__': 'Adzuna::API::Response::Category'}",0,https://www.adzuna.de/land/ad/5321175170?se=wspOyYN28BG8c8Syzm9eLA&utm_medium=api&utm_source=a4bcf954&v=B440D0C4CAA90767E2B932C1020D32E7082DFE5D,9.187224,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",5346802572,2025-08-10T19:41:38Z,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",48.776198,"{'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}",Adzuna::API::Response::Job,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,eyJhbGciOiJIUzI1NiJ9.eyJzIjoid3NwT3lZTjI4Qkc4YzhTeXptOWVMQSIsImkiOiI1MzQ2ODAyNTcyIn0.J_3jjM0y2Vh3bIL5PCMCIyBGtIe-EU7mgh1y1q1fjIY,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}",0,https://www.adzuna.de/land/ad/5346802572?se=wspOyYN28BG8c8Syzm9eLA&utm_medium=api&utm_source=a4bcf954&v=37C2CC6142F0BCFED30C08D7F4298C67295A131E,9.187224,,,,
"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",5255157657,2025-06-17T20:17:09Z,"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",48.78408,"{'display_name': 'Oberkochen, Ostalbkreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026",eyJhbGciOiJIUzI1NiJ9.eyJzIjoid3NwT3lZTjI4Qkc4YzhTeXptOWVMQSIsImkiOiI1MjU1MTU3NjU3In0.Q7MAiLr5Dr-YXKAcNAvBLg3C9GaT1XeRBLcvy8yhp28,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",0,https://www.adzuna.de/land/ad/5255157657?se=wspOyYN28BG8c8Syzm9eLA&utm_medium=api&utm_source=a4bcf954&v=8B7522BAAFFC072ED980160B1A956D88C8C2EE3C,10.10558,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",5326787797,2025-07-29T18:50:46Z,"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",50.923007,"{'area': ['Deutschland', 'Thüringen', 'Jena'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Jena, Thüringen'}",Adzuna::API::Response::Job,"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026",eyJhbGciOiJIUzI1NiJ9.eyJzIjoid3NwT3lZTjI4Qkc4YzhTeXptOWVMQSIsImkiOiI1MzI2Nzg3Nzk3In0.gCR79OVwOHNAOLtBxx5AMvafEHXtuEMUnUkudf5-fyo,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",0,https://www.adzuna.de/land/ad/5326787797?se=wspOyYN28BG8c8Syzm9eLA&utm_medium=api&utm_source=a4bcf954&v=B04963BA300E5315ACA4A02B552529B7E046D96B,11.589469,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Leadec'}",5324478801,2025-07-27T20:56:14Z,"Über uns Wir sorgen mit unseren Services jeden Tag dafür, dass in der Produktion unserer Kunden auf der ganzen Welt alles rund läuft.Dabei denken wir in Lösungen und optimieren entlang des gesamten Prozesses – von der Planung bis zur Instandhaltung, Modernisierung und Digitalisierung.Als Servicespezialist in der Fertigungsindustrie wissen wir, dass Menschen den Unterschied machen.Respekt, Teamspirit und Vielseitigkeit zeichnen das Arbeiten bei Leadec aus.Auf unsere Arbeit sind wir stolz – über …",48.72994,"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart', 'Vaihingen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Vaihingen, Stuttgart'}",Adzuna::API::Response::Job,Procurement Specialist (m/w/d) Data Science & AI,eyJhbGciOiJIUzI1NiJ9.eyJzIjoid3NwT3lZTjI4Qkc4YzhTeXptOWVMQSIsImkiOiI1MzI0NDc4ODAxIn0.9hZpAbblzE7QjLMxihqAvYS6oDwwbCTVkc_GzujnKqk,"{'label': 'Technikerstellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs'}",0,https://www.adzuna.de/land/ad/5324478801?se=wspOyYN28BG8c8Syzm9eLA&utm_medium=api&utm_source=a4bcf954&v=677A172E0E4B7396BC21F4F91169F0271CD25C86,9.10973,full_time,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Sparkassen Rating und Risikosysteme GmbH'}",5343932765,2025-08-08T19:14:02Z,"Die Sparkassen Rating und Risikosysteme (SR) ist der zentrale Dienstleister für Verfahren des Risiko­manage­ments in der Sparkassen-Finanzgruppe. Wir unterstützen die Institute mit Standardlösungen in den Bereichen der Risiko­messung und -steuerung, der regulatorischen Banksteuerung sowie im Vertrieb mit Data-Analytics-Lösungen. Gemeinsam mit unseren Partnern bieten wir den Instituten, von der Konzeption der Verfahren, über deren Weiterentwicklung, IT-Umsetzung und Umsetzungsunterstützung, zent…",52.507706,"{'display_name': 'Berlin, Deutschland', 'area': ['Deutschland', 'Berlin'], '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,Senior Spezialist (m/w/d) – Meldewesen | Regulatorik | Data Science,eyJhbGciOiJIUzI1NiJ9.eyJzIjoid3NwT3lZTjI4Qkc4YzhTeXptOWVMQSIsImkiOiI1MzQzOTMyNzY1In0.KHNzVOoP6wm-L3JTL8dmY2Rdo-tVRqleOBVHMqbGfvo,"{'tag': 'accounting-finance-jobs', 'label': 'Stellen aus Buchhaltung & Finanzwesen', '__CLASS__': 'Adzuna::API::Response::Category'}",0,https://www.adzuna.de/land/ad/5343932765?se=wspOyYN28BG8c8Syzm9eLA&utm_medium=api&utm_source=a4bcf954&v=D2DC6157318334CE0CCB1C0F028363936FAD6232,13.420806,,,,
