location,latitude,description,salary_is_predicted,title,id,redirect_url,__CLASS__,created,longitude,category,company,adref,contract_time,salary_min,salary_max,contract_type
"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",49.18975,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",0,Duales Studium Wirtschaftsinformatik - Data Science 2026,5359779439,https://www.adzuna.de/land/ad/5359779439?se=qJPmXoOB8BGjQvcl1I0Lpg&utm_medium=api&utm_source=a4bcf954&v=7160DA53517062946DE76608ED6F78C2572E19DE,Adzuna::API::Response::Job,2025-08-20T07:52:35Z,9.2274,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUpQbVhvT0I4QkdqUXZjbDFJMExwZyIsImkiOiI1MzU5Nzc5NDM5In0.GljpqUuDap-j1jbNNyWz8pNs8-jxx7q5ePr12Tj-_kU,,,,
"{'area': ['Deutschland', 'Niedersachsen', 'Emden'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Emden, Niedersachsen'}",53.364317,"Bodenständig, friesisch, authentisch – und in einer Spitzenposition, wenn es um zukunftsweisende Innovationen geht: Die Hochschule Emden/​Leer ist Impulsgeberin für die Region. An der Hochschule Emden/Leer, die sich als innovative, richtungs­weisende Zukunftshochschule versteht , ist im Fachbereich Technik in der Abteilung Elektrotechnik und Informatik am Campus Emden zum nächstmöglichen Zeitpunkt folgende Professur der BesGr. W 2 zu besetzen: Professur (m/w/d) für Data Science und Programmieru…",0,Professur (m/w/d) für Data Science und Programmierung,5352525092,https://www.adzuna.de/land/ad/5352525092?se=qJPmXoOB8BGjQvcl1I0Lpg&utm_medium=api&utm_source=a4bcf954&v=F14C3B53473B2CE3BB9935E97B7249A15E9BE9A4,Adzuna::API::Response::Job,2025-08-14T20:01:11Z,7.197297,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT-Stellen'}","{'display_name': 'Hochschule Emden/Leer', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM1MjUyNTA5MiIsInMiOiJxSlBtWG9PQjhCR2pRdmNsMUkwTHBnIn0.NfIXR7U8ocIPgAGDiHVeA4t77aL6vYwfXGgRwgPjxa8,,,,
"{'display_name': 'Wilhelmshaven, Niedersachsen', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Niedersachsen', 'Wilhelmshaven']}",53.550256,"An der Jade Hochschule in Wilhelmshaven, Oldenburg und Elsfleth studieren rund 6.400 Menschen mit mehr als 200 Professorinnen und Professoren. Lehre und Forschung zeichnen sich durch innovative Ansätze, kooperative Zusammenarbeit und eine zugewandte Haltung aus. In allen Bereichen fördert die Hochschule Kompetenz und Vielfalt. Die Jade Hochschule entwickelt aufgrund der herausragenden Bedeutung der Künstlichen Intelligenz bis zum Jahr 2030 eine Identität als KI-Hochschule und setzt diese Identi…",0,Professur (m/w/d) für das Gebiet Applied Data Science,5342105306,https://www.adzuna.de/land/ad/5342105306?se=qJPmXoOB8BGjQvcl1I0Lpg&utm_medium=api&utm_source=a4bcf954&v=968365E0395913889F562A263118EF39D650CD20,Adzuna::API::Response::Job,2025-08-07T19:13:44Z,8.087806,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}","{'display_name': 'Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUpQbVhvT0I4QkdqUXZjbDFJMExwZyIsImkiOiI1MzQyMTA1MzA2In0.0KfPrzdoBK4sDd8vd4M6GzGGaCQ2ADytdq1c4BPrUoA,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg'}",48.776198,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",0,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,5350701113,https://www.adzuna.de/land/ad/5350701113?se=qJPmXoOB8BGjQvcl1I0Lpg&utm_medium=api&utm_source=a4bcf954&v=C527A93791B120D16FDB7D084705C2B4AD434B7C,Adzuna::API::Response::Job,2025-08-13T19:40:43Z,9.187224,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}","{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUpQbVhvT0I4QkdqUXZjbDFJMExwZyIsImkiOiI1MzUwNzAxMTEzIn0.CReOCM8JmzO6ENOREPJfOMAlXlyuboYLmU7mh1Oiqdw,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Böblingen (Kreis)', 'Sindelfingen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Sindelfingen, Böblingen (Kreis)'}",48.720071,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",0,Praktikant*in Data Science und AI (Pflicht-Praktikum),5365446388,https://www.adzuna.de/land/ad/5365446388?se=qJPmXoOB8BGjQvcl1I0Lpg&utm_medium=api&utm_source=a4bcf954&v=C365A16FAA1B794D2257E92E063E63C97035B0E1,Adzuna::API::Response::Job,2025-08-23T19:49:35Z,9.026231,"{'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs'}","{'display_name': 'Mercedes-Benz AG', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUpQbVhvT0I4QkdqUXZjbDFJMExwZyIsImkiOiI1MzY1NDQ2Mzg4In0.7ZKs9TXHZljUEgOlAggz6t7-FP2oCTJywqcFoNXZ8BU,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Köln, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Köln']}",50.940164,"Die igus GmbH ist ein inhabergeführtes Unternehmen mit Hauptsitz im Großraum Köln. Als „Hidden Champion“ sind wir ein internationaler agierender Hersteller von technischen Produkten aus Hochleistungskunststoffen. Unsere Produkte sind vielseitig und lassen sich in über 50 verschiedenen Branchen wiederfinden, darunter in der Automobilindustrie, der Raumfahrt oder im 3D-Druck. Die Kommunikation zwischen unseren weltweit über 4.600 Mitarbeiter:innen ist persönlich und unkompliziert, denn alle sind …",0,Praxissemester / Abschlussarbeit - Supply Chain & Data Science,5362143528,https://www.adzuna.de/land/ad/5362143528?se=qJPmXoOB8BGjQvcl1I0Lpg&utm_medium=api&utm_source=a4bcf954&v=6485212AD23F1340043CA8C697D620DDF5527A07,Adzuna::API::Response::Job,2025-08-21T19:47:31Z,6.969972,"{'label': 'Sonstige/Allgemeine Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'other-general-jobs'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'igus® GmbH'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM2MjE0MzUyOCIsInMiOiJxSlBtWG9PQjhCR2pRdmNsMUkwTHBnIn0.gMjRHKM_Jdf6UqNu5lzlx1NQoXi3hrUHMP2ddeLb_FM,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",49.18975,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",0,Duales Studium Data Science und KI - Smart Operations Management 2026,5359779636,https://www.adzuna.de/land/ad/5359779636?se=qJPmXoOB8BGjQvcl1I0Lpg&utm_medium=api&utm_source=a4bcf954&v=A2BBC24C292FE14F64985871DB832A400933F410,Adzuna::API::Response::Job,2025-08-20T07:52:39Z,9.2274,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUpQbVhvT0I4QkdqUXZjbDFJMExwZyIsImkiOiI1MzU5Nzc5NjM2In0.vS1dOI7-dRXfDIMQj19iCfvXpBD0YOdXxZB1pupGLEU,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Pforzheim'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Pforzheim, Baden-Württemberg'}",48.883606,"Bei itmX fokussieren wir uns auf die Geschäftsprozesse in den Bereichen Marketing, Vertrieb, Service und Commerce unter Verwendung der Microsoft Power Platform, Microsoft 365, SAP ERP und unser eigenem Produkt der itmX crm suite. Unser Ziel ist es dabei Microsoft und SAP bestmöglich prozessual sowie funktional zu verbinden. Tätigkeiten Analyse von Geschäftsprozessen und Identifikation von Optimierungspotenzialen durch den Einsatz von KI für Digitalisierungsprojekte Beratung und Unterstützung un…",0,KI/ Data Science Consultant (Mensch*),5329747685,https://www.adzuna.de/land/ad/5329747685?se=qJPmXoOB8BGjQvcl1I0Lpg&utm_medium=api&utm_source=a4bcf954&v=2740610CD96FF89A7E39BEB54DD59EFD7863E14A,Adzuna::API::Response::Job,2025-07-31T14:43:44Z,8.697363,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'itmX GmbH'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUpQbVhvT0I4QkdqUXZjbDFJMExwZyIsImkiOiI1MzI5NzQ3Njg1In0.nKs_dQiJbDtI_1Djf6AS6rqMQ3p2zyM9IYlC_9Su-As,,,,
"{'display_name': 'Heidelberg, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heidelberg']}",49.403755,"Heidelberg Materials ist einer der weltweit größten integrierten Hersteller von Baustoffen und -lösungen mit führenden Marktpositionen bei Zement, Zuschlagstoffen und Transportbeton. Wir sind mit mehr als 51.000 Beschäftigten an fast 3.000 Standorten in über 50 Ländern vertreten. Im Mittelpunkt unseres Handelns steht die Verantwortung für die Umwelt. Als Vorreiter auf dem Weg zur CO2-Neutralität und Kreislaufwirtschaft in der Baustoffindustrie arbeiten wir an nachhaltigen Baustoffen und Lösunge…",0,Duales Studium Data Science und Künstliche Intelligenz (w/m/d) 2026,5360497687,https://www.adzuna.de/land/ad/5360497687?se=qJPmXoOB8BGjQvcl1I0Lpg&utm_medium=api&utm_source=a4bcf954&v=8EEE0C41B3FD7E4438780FDC4ECEEE4A6A019171,Adzuna::API::Response::Job,2025-08-20T19:46:54Z,8.696891,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","{'display_name': 'Heidelberg Materials AG', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM2MDQ5NzY4NyIsInMiOiJxSlBtWG9PQjhCR2pRdmNsMUkwTHBnIn0.-7I63PeBq056tEFm5_asKeCfB3WYxrxI8FpiTIl85lk,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",49.18975,"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. Studienbeginn: 01.09.2026 mit dem Begrüßungsmonat, Studienstart: zum 01.10.2026 Studiendauer: 3 J…",0,Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),5348725539,https://www.adzuna.de/land/ad/5348725539?se=qJPmXoOB8BGjQvcl1I0Lpg&utm_medium=api&utm_source=a4bcf954&v=62E5C18EB76D7B94620CE4AB17FA4C67872E9AF0,Adzuna::API::Response::Job,2025-08-12T07:39:32Z,9.2274,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}","{'display_name': 'STACKIT', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUpQbVhvT0I4QkdqUXZjbDFJMExwZyIsImkiOiI1MzQ4NzI1NTM5In0.qZ2yHHEpqXoh5_8VmX7RUc5KTvDHsP5PHZLlxvjjUoU,,,,
