description,company,latitude,__CLASS__,redirect_url,category,adref,longitude,created,salary_is_predicted,id,title,location,contract_time,contract_type,salary_max,salary_min
"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …","{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",49.18975,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5299022197?se=7nUctgOS8BGwp-hCxDNFTA&utm_medium=api&utm_source=a4bcf954&v=6BDDC0F74D14C8171F1CEAE1263E5A17829486A3,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI5OTAyMjE5NyIsInMiOiI3blVjdGdPUzhCR3dwLWhDeERORlRBIn0.Hk1quVEMXM8e8E568_vFK3c1PFvt5EzcAw8A4MayIv0,9.2274,2025-07-12T06:09:52Z,0,5299022197,Duales Studium Wirtschaftsinformatik - Data Science 2026,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",,,,
"Du bist bereit, deine persönliche Entwicklung in den Bereichen Data Science, Analytics und KI zu fördern? Unser Data Science Team hilft Unternehmen, fundierte Entscheidungen zu treffen und ihr Wachstum voranzutreiben, indem wir Rohdaten in umsetzbare Erkenntnisse verwandeln. Werde Pionier der digitalen Transformation und unterstütze uns als (Senior) Consultant – Data Science. Simon-Kucher ist eine globale Unternehmensberatung mit mehr als 2.000 Mitarbeitenden in über 30 Ländern. Unser Fokus: „U…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Simon-Kucher'}",,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5397793077?se=7nUctgOS8BGwp-hCxDNFTA&utm_medium=api&utm_source=a4bcf954&v=2E7BC8FCAE9BD6379F2B7CAFE559E10383507DC0,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM5Nzc5MzA3NyIsInMiOiI3blVjdGdPUzhCR3dwLWhDeERORlRBIn0.Eru7_0lF5rvsQrtGrxT4ZQjNbfYL4i2LRVwhqeqniTY,,2025-09-13T20:22:13Z,0,5397793077,Senior Consultant Data Science (m/w/d),"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,,
"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",49.18975,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5299022067?se=7nUctgOS8BGwp-hCxDNFTA&utm_medium=api&utm_source=a4bcf954&v=7D6C148ECCB66412882E934CDD5FEC06298D3555,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI5OTAyMjA2NyIsInMiOiI3blVjdGdPUzhCR3dwLWhDeERORlRBIn0.7qAaoNC5fatVpTuHp_MlWhGPJM29pTUA4HVFdRfgxD4,9.2274,2025-07-12T06:09:51Z,0,5299022067,Duales Studium Data Science und KI - Smart Operations Management 2026,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",,,,
"Aufgaben Profil Wir bieten Bei PwC Deutschland arbeiten wir daran, entscheidende Herausforderungen zu lösen, nachhaltige Ergebnisse zu schaffen und das Vertrauen in die Wirtschaft und Gesellschaft auszubauen. Als Teil unserer Business Services Teams bist du der Treiber hinter unserem Versprechen: human-led und tech-powered. Unsere entscheidenden Bereiche sind Frontend- und Backend-Entwicklung, Datenanalyse, künstliche Intelligenz und die Entwicklung digitaler Lösungen zur Prozessoptimierung für…","{'display_name': 'PwC', '__CLASS__': 'Adzuna::API::Response::Company'}",51.226802,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5388408369?se=7nUctgOS8BGwp-hCxDNFTA&utm_medium=api&utm_source=a4bcf954&v=AD4DC9B67BC2FB8FBB76459CD9046591DD70D322,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN25VY3RnT1M4Qkd3cC1oQ3hETkZUQSIsImkiOiI1Mzg4NDA4MzY5In0.s3HBtjnEmVPAULE_vOPQN2lmGtawrTFxe4d5O_B6iwQ,6.808387,2025-09-07T20:04:07Z,0,5388408369,Duales Studium Data Science (B.S.) 2026,"{'display_name': 'Düsseldorf, Nordrhein-Westfalen', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Düsseldorf']}",,,,
"Heidelberg Materials ist einer der weltweit größten integrierten Hersteller von Baustoffen und -lösungen mit führenden Marktpositionen bei Zement, Zuschlagstoffen und Transportbeton. Wir sind mit mehr als 51.000 Beschäftigten an fast 3.000 Standorten in über 50 Ländern vertreten. Im Mittelpunkt unseres Handelns steht die Verantwortung für die Umwelt. Als Vorreiter auf dem Weg zur CO2-Neutralität und Kreislaufwirtschaft in der Baustoffindustrie arbeiten wir an nachhaltigen Baustoffen und Lösunge…","{'display_name': 'Heidelberg Materials AG', '__CLASS__': 'Adzuna::API::Response::Company'}",49.403755,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5379827014?se=7nUctgOS8BGwp-hCxDNFTA&utm_medium=api&utm_source=a4bcf954&v=10946874F8E577608BE5CE26DA528449C62D2660,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM3OTgyNzAxNCIsInMiOiI3blVjdGdPUzhCR3dwLWhDeERORlRBIn0.8VmGHFTJJVdGkxXk_Dvjb_7zNuOoZmtz5ypGidbQieM,8.696891,2025-09-02T20:01:52Z,0,5379827014,Duales Studium Data Science und Künstliche Intelligenz (w/m/d) 2026,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heidelberg'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Heidelberg, Baden-Württemberg'}",,,,
"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. {Studienbeginn:} 01.09.2026 mit dem Begrüßungsmonat {Studiendauer:} 3 Jahre {Studiendauer:} 01.10…","{'display_name': 'Schwarz IT', '__CLASS__': 'Adzuna::API::Response::Company'}",49.18975,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5395676629?se=7nUctgOS8BGwp-hCxDNFTA&utm_medium=api&utm_source=a4bcf954&v=3FD88D2728824D7813CCEE0BBA83858E3C1155FA,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN25VY3RnT1M4Qkd3cC1oQ3hETkZUQSIsImkiOiI1Mzk1Njc2NjI5In0.Iqfwh4m1zxdC5FmeRfIntS2ckdzb2NEAeOfW9fyZojw,9.2274,2025-09-12T08:07:08Z,0,5395676629,Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,,
"Die Technische Hochschule Augsburg ist mit 7.500 Studierenden und über 600 Mitarbeitenden in Lehre, Forschung und Verwaltung wichtiger wirtschaftlicher Motor und Innovationsschmiede für die Region. Gemeinsam gestalten wir die Welt – kreativ, sinnhaft und die Zukunft prägend. Die Technische Hochschule Augsburg sucht zum nächstmöglichen Zeitpunkt einen Postdoktoranden (w/m/d) im Bereich Data Science und KI befristet in Vollzeit in einem der folgenden Forschungsbereiche: GenAI (LLM/VLM/Diffusion m…","{'display_name': 'Technische Hochschule Augsburg', '__CLASS__': 'Adzuna::API::Response::Company'}",48.04792,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5373675725?se=7nUctgOS8BGwp-hCxDNFTA&utm_medium=api&utm_source=a4bcf954&v=68ECC2FFE28D7E4DD477AF9EDDB75F6F08E5457F,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN25VY3RnT1M4Qkd3cC1oQ3hETkZUQSIsImkiOiI1MzczNjc1NzI1In0.tx757YnNoGr8tbmujIWSdX82RXsTe2oYBHgJw9zNBP8,10.88248,2025-08-29T19:56:31Z,0,5373675725,Postdoktorand (w/m/d) im Bereich Data Science und KI befristet in Vollzeit,"{'display_name': 'Landsberg am Lech, Landsberg am Lech (Kreis)', 'area': ['Deutschland', 'Bayern', 'Landsberg am Lech (Kreis)', 'Landsberg am Lech'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,,
"Duales Bachelor Studium: Wirtschafts­informatik – Data Science (September 2026 – DHBW Stuttgart) Bereich: Ausbildung / Duales Studium Standort: Owen bei Kirchheim / Teck Beschäftigungsart: Duales Studium Über 60 Jahre Erfahrung haben Leuze zum Experten für innovative und effiziente Sensor- und Sicherheits­lösungen in der Automatisierungs­technik gemacht. Heute sorgen wir – rund 1.600 Sensor People weltweit – mit Neugier, Leiden­schaft und Entschlossen­heit für Fort­schritt und Wandel. Unser Ant…","{'display_name': 'Leuze electronic GmbH + Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5389541929?se=7nUctgOS8BGwp-hCxDNFTA&utm_medium=api&utm_source=a4bcf954&v=7A00F111AFD5361E0A10EBAC8FE876D66362B42E,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN25VY3RnT1M4Qkd3cC1oQ3hETkZUQSIsImkiOiI1Mzg5NTQxOTI5In0.3OrXFjnlGMAU9bkoooXrvYy2vWeVr2Nj0BLATd4vS04,,2025-09-08T20:03:45Z,0,5389541929,Duales Bachelor Studium: Wirtschaftsinformatik – Data Science (September 2026 – DHBW Stuttgart),"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,,
"Als eigenfinanziertes Familienunternehmen sind wir mehr als nur ein ca. 4.700 Standorte umspannendes Filialnetz in 34 Ländern, mehr als ca. 8,7 Mrd. Euro Jahresumsatz und mehr als einer der erfolgreichsten Online-Shops für Schuhe in Europa. Deichmann ist Wegbereiter, Förderer und Arbeitgeber von über 49.000 engagierten Mitarbeiterinnen und Mitarbeitern weltweit. Als nachhaltig expandierendes Unternehmen sind wir seit mehreren Jahrzehnten in der Lage, unseren Mitarbeitern einen sicheren Arbeitsp…","{'display_name': 'Deichmann SE', '__CLASS__': 'Adzuna::API::Response::Company'}",51.444823,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5379212667?se=7nUctgOS8BGwp-hCxDNFTA&utm_medium=api&utm_source=a4bcf954&v=08A46CC106A14F005E1BF2F583288BE48EB801F4,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Technikerstellen', 'tag': 'engineering-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM3OTIxMjY2NyIsInMiOiI3blVjdGdPUzhCR3dwLWhDeERORlRBIn0.vhUr2naburG6ligMiVQb9k9uHcCrEehohrcB7QdHlyU,7.014478,2025-09-02T07:59:54Z,0,5379212667,Team Lead Data Science Engineering (m/w/d),"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Essen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Essen, Nordrhein-Westfalen'}",,,,
"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",48.776198,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5388408253?se=7nUctgOS8BGwp-hCxDNFTA&utm_medium=api&utm_source=a4bcf954&v=4C50A23D27D85AFA929376921416CC4A93E6712D,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN25VY3RnT1M4Qkd3cC1oQ3hETkZUQSIsImkiOiI1Mzg4NDA4MjUzIn0.y-cbc2TQnbFp6AD3WzA4XTuvkv39-SDv-GiGbnBCfzA,9.187224,2025-09-07T20:04:02Z,0,5388408253,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,"{'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}",,,,
