description,__CLASS__,category,title,company,latitude,id,salary_is_predicted,location,longitude,redirect_url,created,adref,contract_time,salary_max,salary_min,contract_type
"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",Duales Studium Wirtschaftsinformatik - Data Science 2026,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",49.18975,5299022197,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",9.2274,https://www.adzuna.de/land/ad/5299022197?se=2vyEEASd8BGY2s-NTkgKww&utm_medium=api&utm_source=a4bcf954&v=6BDDC0F74D14C8171F1CEAE1263E5A17829486A3,2025-07-12T06:09:52Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI5OTAyMjE5NyIsInMiOiIydnlFRUFTZDhCR1kycy1OVGtnS3d3In0.ervX90JDn07u-BYo4zUXxqr6-ve2dJaL_4tZDS2z-Eg,,,,
"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",Adzuna::API::Response::Job,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}",DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,"{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}",48.776198,5403347604,0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location'}",9.187224,https://www.adzuna.de/land/ad/5403347604?se=2vyEEASd8BGY2s-NTkgKww&utm_medium=api&utm_source=a4bcf954&v=DE23C5F94BAE0AD1E352BCF74B511D9803A4FAAA,2025-09-17T20:29:27Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQwMzM0NzYwNCIsInMiOiIydnlFRUFTZDhCR1kycy1OVGtnS3d3In0.WS9rTCb2O4lUifpXOsEMiqGxMrtn1VMxa-cDfV1VKWw,,,,
"Das Produktportfolio der Groupe SEB umfasst ein breites Spektrum hochwertiger und innovativer Marken. Unter „SEB Professional“ bündeln wir unter anderem die Marken WMF Professional Coffee Machines, Schaerer und Wilbur Curtis und gehören damit zu den weltweit führenden Anbietern professioneller Kaffeemaschinen für unsere Geschäftskunden. Auch bei unseren Endkonsumenten punkten wir mit Qualität und Design: Haushaltsgeräte, Kochgeschirr und Metallwaren der Premiummarke WMF sowie von Rowenta, Tefal…",Adzuna::API::Response::Job,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",Duales Studium Data Science und Künstliche Intelligenz (B. Sc.) – 2026,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Groupe SEB WMF Shared Services GmbH'}",48.6248,5418980798,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Geislingen an der Steige, Göppingen (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Göppingen (Kreis)', 'Geislingen an der Steige']}",9.82692,https://www.adzuna.de/land/ad/5418980798?se=2vyEEASd8BGY2s-NTkgKww&utm_medium=api&utm_source=a4bcf954&v=F9B29E5B1D6C3C748AA5360EE38A7ACE65D4BA88,2025-09-28T08:33:57Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMnZ5RUVBU2Q4QkdZMnMtTlRrZ0t3dyIsImkiOiI1NDE4OTgwNzk4In0.06eW5ZD9YbssLeFqhnlEV52w2M0sNaP7LaQws37TOnI,,,,
"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",Adzuna::API::Response::Job,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",Duales Studium Data Science und KI - Smart Operations Management 2026,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",49.18975,5299022067,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",9.2274,https://www.adzuna.de/land/ad/5299022067?se=2vyEEASd8BGY2s-NTkgKww&utm_medium=api&utm_source=a4bcf954&v=7D6C148ECCB66412882E934CDD5FEC06298D3555,2025-07-12T06:09:51Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTI5OTAyMjA2NyIsInMiOiIydnlFRUFTZDhCR1kycy1OVGtnS3d3In0.QeHZCQSGDoSdunlMIB1SDD8NJ3GVxX63g2efydTj2oQ,,,,
"Aufgaben Profil Wir bieten Bei PwC Deutschland arbeiten wir daran, entscheidende Herausforderungen zu lösen, nachhaltige Ergebnisse zu schaffen und das Vertrauen in die Wirtschaft und Gesellschaft auszubauen. Als Teil unserer Business Services Teams bist du der Treiber hinter unserem Versprechen: human-led und tech-powered. Unsere entscheidenden Bereiche sind Frontend- und Backend-Entwicklung, Datenanalyse, künstliche Intelligenz und die Entwicklung digitaler Lösungen zur Prozessoptimierung für…",Adzuna::API::Response::Job,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",Duales Studium Data Science (B.S.) 2026,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'PwC'}",51.226802,5388408369,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Düsseldorf, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Düsseldorf']}",6.808387,https://www.adzuna.de/land/ad/5388408369?se=2vyEEASd8BGY2s-NTkgKww&utm_medium=api&utm_source=a4bcf954&v=AD4DC9B67BC2FB8FBB76459CD9046591DD70D322,2025-09-07T20:04:07Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM4ODQwODM2OSIsInMiOiIydnlFRUFTZDhCR1kycy1OVGtnS3d3In0.wGk7WIt9ACWepJJDOL5AVCMrmCGs-bJircpoKljRV6I,,,,
"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. {Studienbeginn:} 01.09.2026 mit dem Begrüßungsmonat {Studiendauer:} 3 Jahre {Studiendauer:} 01.10…",Adzuna::API::Response::Job,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Schwarz IT'}",49.18975,5404531574,0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",9.2274,https://www.adzuna.de/land/ad/5404531574?se=2vyEEASd8BGY2s-NTkgKww&utm_medium=api&utm_source=a4bcf954&v=3D4D73A066879CB1AABA838B45F8D1D8A3CB229A,2025-09-18T08:25:41Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQwNDUzMTU3NCIsInMiOiIydnlFRUFTZDhCR1kycy1OVGtnS3d3In0.PLZ7yxEAR50JHJ3Q3sLbXfMJFKPtN1WX2kpG5cDC1Qg,,,,
"Duales Bachelor Studium: Wirtschafts­informatik – Data Science (September 2026 – DHBW Stuttgart) Bereich: Ausbildung / Duales Studium Standort: Owen bei Kirchheim / Teck Beschäftigungsart: Duales Studium Über 60 Jahre Erfahrung haben Leuze zum Experten für innovative und effiziente Sensor- und Sicherheits­lösungen in der Automatisierungs­technik gemacht. Heute sorgen wir – rund 1.600 Sensor People weltweit – mit Neugier, Leiden­schaft und Entschlossen­heit für Fort­schritt und Wandel. Unser Ant…",Adzuna::API::Response::Job,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",Duales Bachelor Studium: Wirtschaftsinformatik – Data Science (September 2026 – DHBW Stuttgart),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Leuze electronic GmbH + Co. KG'}",,5389541929,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland', 'area': ['Deutschland']}",,https://www.adzuna.de/land/ad/5389541929?se=2vyEEASd8BGY2s-NTkgKww&utm_medium=api&utm_source=a4bcf954&v=7A00F111AFD5361E0A10EBAC8FE876D66362B42E,2025-09-08T20:03:45Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM4OTU0MTkyOSIsInMiOiIydnlFRUFTZDhCR1kycy1OVGtnS3d3In0.ASaJn6Lf_-ycsdkMDANN2d1HvugHR88SQMfV8btGJU8,,,,
"Bachelor of Science (B.Sc.) Studiengang: Data Science & Künstliche Intelligenz Ausschreibungs-Nr 2026_322 Ausbildungsbeginn 2026 Standort Schwäbisch Gmünd Aufgaben Gestalte die digitale Zukunft? Mit uns! Data Science & KI sind keine Buzzwords - sie sind der Motor unserer Zeit. Ob smarte Produkte, autonome Systeme oder datengetriebene Entscheidungen: Hier gestaltest du die Technologien, die morgen Alltag sind. Mit deinem dualen Studium bei uns verbindest du Wissen & Praxis: spannende Theorie an …",Adzuna::API::Response::Job,"{'label': 'Sonstige/Allgemeine Stellen', 'tag': 'other-general-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",Ausbildung: Bachelor of Science (B.Sc.) Studiengang: Data Science & Künstliche Intelligenz,"{'display_name': 'Robert Bosch GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",48.79495,5418978122,0,"{'display_name': 'Schwäbisch Gmünd, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Schwäbisch Gmünd']}",9.851063,https://www.adzuna.de/land/ad/5418978122?se=2vyEEASd8BGY2s-NTkgKww&utm_medium=api&utm_source=a4bcf954&v=C84CD7F803202091CB2C33CB3134442421C52C68,2025-09-28T08:33:46Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQxODk3ODEyMiIsInMiOiIydnlFRUFTZDhCR1kycy1OVGtnS3d3In0.jb0WwV7ZHg7WIAYcs-ExvMTq4Kuipc7029THsjSaIYM,,,,
"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",Adzuna::API::Response::Job,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",48.78408,5255157657,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Oberkochen, Ostalbkreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen']}",10.10558,https://www.adzuna.de/land/ad/5255157657?se=2vyEEASd8BGY2s-NTkgKww&utm_medium=api&utm_source=a4bcf954&v=8B7522BAAFFC072ED980160B1A956D88C8C2EE3C,2025-06-17T20:17:09Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMnZ5RUVBU2Q4QkdZMnMtTlRrZ0t3dyIsImkiOiI1MjU1MTU3NjU3In0.HvIwwc8afeRkAz7SuHauEoXBH-uEon6SpSEltZxdlaQ,,,,
"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}","Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026","{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",50.923007,5326787797,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Jena, Thüringen', 'area': ['Deutschland', 'Thüringen', 'Jena']}",11.589469,https://www.adzuna.de/land/ad/5326787797?se=2vyEEASd8BGY2s-NTkgKww&utm_medium=api&utm_source=a4bcf954&v=B04963BA300E5315ACA4A02B552529B7E046D96B,2025-07-29T18:50:46Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMnZ5RUVBU2Q4QkdZMnMtTlRrZ0t3dyIsImkiOiI1MzI2Nzg3Nzk3In0.83ZX2y22-KZSU2F2i8NsIMuIHeVQieTaavMRzPKJMy4,,,,
"Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…",Adzuna::API::Response::Job,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2026 (m/w/d),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Markant Gruppe'}",48.42392,5407153549,0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Offenburg, Ortenaukreis'}",7.94837,https://www.adzuna.de/land/ad/5407153549?se=2vyEEASd8BGY2s-NTkgKww&utm_medium=api&utm_source=a4bcf954&v=1FD496BF623787C332F079A8C1A5EE7F6CEECD79,2025-09-19T20:34:38Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMnZ5RUVBU2Q4QkdZMnMtTlRrZ0t3dyIsImkiOiI1NDA3MTUzNTQ5In0.jOj_THo_bE5mzWQYsbn-wVCHA1v4Ueql8zJzOlFgR7Q,,,,
"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",Adzuna::API::Response::Job,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",Duales Studium Data Science / Künstliche Intelligenz in Kooperation mit der Dualen Hochschule Baden-Württemberg 2026 (m/w/d),"{'display_name': 'Mercedes-Benz Tech Innovation', '__CLASS__': 'Adzuna::API::Response::Company'}",48.383137,5385070361,0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ulm'], 'display_name': 'Ulm, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location'}",9.856945,https://www.adzuna.de/land/ad/5385070361?se=2vyEEASd8BGY2s-NTkgKww&utm_medium=api&utm_source=a4bcf954&v=36876C6D296425B1B65DB0C908C07EDD98DF3F7B,2025-09-05T20:15:42Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM4NTA3MDM2MSIsInMiOiIydnlFRUFTZDhCR1kycy1OVGtnS3d3In0.ijqYDNLyhVo5gRIfBKgjo1k7HrwZg5JyY6-UYNziVzA,,,,
"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",Duales Studium Data Science / Künstliche Intelligenz in Kooperation mit der Dualen Hochschule Baden-Württemberg 2026 (m/w/d),"{'display_name': 'Mercedes-Benz Tech Innovation', '__CLASS__': 'Adzuna::API::Response::Company'}",48.754667,5373129749,0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Baden-Baden'], 'display_name': 'Baden-Baden, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location'}",8.235274,https://www.adzuna.de/land/ad/5373129749?se=2vyEEASd8BGY2s-NTkgKww&utm_medium=api&utm_source=a4bcf954&v=D27B1C942D2F2C4F0DE75074F01FB8BF84944164,2025-08-29T07:59:24Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTM3MzEyOTc0OSIsInMiOiIydnlFRUFTZDhCR1kycy1OVGtnS3d3In0.C3CsSqJiPaLONlqCS05T4ZtalxpiPlLDwz4oU8_W71M,,,,
