longitude,created,description,adref,title,latitude,location,category,salary_is_predicted,redirect_url,company,__CLASS__,id,contract_time,contract_type,salary_min,salary_max
9.2274,2025-10-02T20:38:55Z,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNGtzTVBvU2k4QkcyWnFDYzNrSlNKdyIsImkiOiI1NDI3Mzc5NTY4In0.shEx42TMZMs3QhnAUOx33ai9inS7ytRPII4f26n0Aag,Duales Studium Wirtschaftsinformatik - Data Science 2026,49.18975,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",0,https://www.adzuna.de/land/ad/5427379568?se=4ksMPoSi8BG2ZqCc3kJSJw&utm_medium=api&utm_source=a4bcf954&v=D2F4AE20A6DE629002E201B132302433F154741E,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",Adzuna::API::Response::Job,5427379568,,,,
9.187224,2025-10-02T20:38:42Z,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNGtzTVBvU2k4QkcyWnFDYzNrSlNKdyIsImkiOiI1NDI3MzczMTI2In0.qE-Jub84TSW_MkFixmIv-NrLHEX9LJXC7V0YyGaAgJA,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,48.776198,"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location'}","{'tag': 'it-jobs', 'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}",0,https://www.adzuna.de/land/ad/5427373126?se=4ksMPoSi8BG2ZqCc3kJSJw&utm_medium=api&utm_source=a4bcf954&v=60B1C27981CA50F989507CC725D14714052244FA,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",Adzuna::API::Response::Job,5427373126,,,,
9.198334,2025-10-03T20:43:25Z,"Gestalten Sie mit uns heute schon die Zukunft! Seit über 180 Jahren steht Wolters Kluwer dafür, Arbeitsprozesse mit innovativen Lösungen zu unterstützen und zu erleichtern. Unsere Niederlassungen in mehr als 40 Ländern betreuen Kunden in über 180 Ländern. Im Jahr 2023 verzeichneten wir einen Jahresumsatz von 5,6 Milliarden Euro. Unsere Expertenlösungen vereinen fundiertes Fachwissen mit Technologie, damit unsere Kunden die wichtigsten Herausforderungen meistern können. Für die Umsetzung unserer…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNGtzTVBvU2k4QkcyWnFDYzNrSlNKdyIsImkiOiI1NDI5OTI4Mzc2In0.4cyCLXppCp16CVPZ1NsFHw99z7IYWT_P7bn-J7XcBOM,Duales Studium Bachelor der Wirtschaftsinformatik - Data Science (m/w/d),48.876425,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ludwigsburg (Kreis)', 'Ludwigsburg'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Ludwigsburg, Ludwigsburg (Kreis)'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",0,https://www.adzuna.de/land/ad/5429928376?se=4ksMPoSi8BG2ZqCc3kJSJw&utm_medium=api&utm_source=a4bcf954&v=845DEDE359784297833D4E95EA85782A09D5261B,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Wolters Kluwer Tax & Accounting Deutschland GmbH'}",Adzuna::API::Response::Job,5429928376,,,,
10.10558,2025-10-06T08:42:57Z,"Als Studierender (m/w/x) arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst Dir ideale Voraussetzungen für Deine spätere Karriere. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer Kultur, die von Expertenwissen und Teamgeist geprägt ist. All das wird getragen von der besonderen Eigentümerstruktur und dem langfristigen Ziel der Carl-Zeiss-Stiftung: Wissenschaft und Gesellsch…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQzMzY2NzY0NiIsInMiOiI0a3NNUG9TaThCRzJacUNjM2tKU0p3In0.09xlVclgz6frNB33pUpeCjck0Mg6u1UhnsgofODz8V0,Werkstudent Software & Data Science Entwicklung Projektionsoptiken (m/w/x),48.78408,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], 'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}",0,https://www.adzuna.de/land/ad/5433667646?se=4ksMPoSi8BG2ZqCc3kJSJw&utm_medium=api&utm_source=a4bcf954&v=40221E424F7E9C9C85525B2EB743219E7C4BA270,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",Adzuna::API::Response::Job,5433667646,,,,
,2025-10-02T20:39:07Z,"Duales Bachelor Studium: Wirtschafts­informatik – Data Science (September 2026 – DHBW Stuttgart) Bereich: Ausbildung / Duales Studium Standort: Owen bei Kirchheim / Teck Beschäftigungsart: Duales Studium Über 60 Jahre Erfahrung haben Leuze zum Experten für innovative und effiziente Sensor- und Sicherheits­lösungen in der Automatisierungs­technik gemacht. Heute sorgen wir – rund 1.600 Sensor People weltweit – mit Neugier, Leiden­schaft und Entschlossen­heit für Fort­schritt und Wandel. Unser Ant…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNGtzTVBvU2k4QkcyWnFDYzNrSlNKdyIsImkiOiI1NDI3Mzg1NDk1In0.NKwAh-JK99O2a15m_FUUhc652lHfIiK3NY4_fpgP_lM,Duales Bachelor Studium: Wirtschaftsinformatik – Data Science (September 2026 – DHBW Stuttgart),,"{'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland'}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",0,https://www.adzuna.de/land/ad/5427385495?se=4ksMPoSi8BG2ZqCc3kJSJw&utm_medium=api&utm_source=a4bcf954&v=22D89AA1ECC949748411F93D737835D84A3D6093,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Leuze electronic GmbH + Co. KG'}",Adzuna::API::Response::Job,5427385495,,,,
9.2274,2025-10-02T20:38:31Z,"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. {Studienbeginn:} 01.09.2026 mit dem Begrüßungsmonat {Studiendauer:} 3 Jahre {Studiendauer:} 01.10…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQyNzM2NzIzMCIsInMiOiI0a3NNUG9TaThCRzJacUNjM2tKU0p3In0.WUZbIU1Hl3aY4U-dgKbkA5BkPQbTaqqINzZfUw3gUco,Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),49.18975,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",0,https://www.adzuna.de/land/ad/5427367230?se=4ksMPoSi8BG2ZqCc3kJSJw&utm_medium=api&utm_source=a4bcf954&v=C83F0B8CFFDD28422F753B593F121384903B17FB,"{'display_name': 'Schwarz IT', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,5427367230,,,,
8.412378,2025-10-03T20:43:28Z,"Die VBL mit Sitz in Karlsruhe ist Deutschlands größte Zusatzversorgungseinrichtung für Beschäftigte des öffentlichen Dienstes und betreut circa 5,3 Mio. Versicherte und circa 1,5 Mio. Rentenberechtigte. Sie begeistern sich für Daten, digitale Technologien und intelligente Systeme? Dann verbinden Sie Theorie und Praxis in einem zukunftsweisenden dualen Studium bei der VBL. Ab sofort suchen wir einen Studierenden für 2026. Duales Studium (B.Sc.) – Data Science und Künstliche Intelligenz (m/w/d) A…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQyOTkyODc5NiIsInMiOiI0a3NNUG9TaThCRzJacUNjM2tKU0p3In0.jR0N5A0OhIWyMfUYANI5klmeKWR2yY0-sQOAN6chAa0,Duales Studium (B.Sc.) – Data Science und Künstliche Intelligenz (m/w/d),49.001249,"{'display_name': 'Karlsruhe, Karlsruhe (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe']}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",0,https://www.adzuna.de/land/ad/5429928796?se=4ksMPoSi8BG2ZqCc3kJSJw&utm_medium=api&utm_source=a4bcf954&v=0D3614AB5325CBAB5A98DA18A8257CAE8E9D757C,"{'display_name': 'VBL. Versorgungsanstalt des Bundes und der Länder', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,5429928796,,,,
9.10973,2025-10-04T12:32:04Z,"About us Wir sorgen mit unseren Services jeden Tag dafür, dass in der Produktion unserer Kunden auf der ganzen Welt alles rund läuft.Dabei denken wir in Lösungen und optimieren entlang des gesamten Prozesses – von der Planung bis zur Instandhaltung, Modernisierung und Digitalisierung.Als Servicespezialist in der Fertigungsindustrie wissen wir, dass Menschen den Unterschied machen.Respekt, Teamspirit und Vielseitigkeit zeichnen das Arbeiten bei Leadec aus.Auf unsere Arbeit sind wir stolz – über …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQzMTEzNjc0OSIsInMiOiI0a3NNUG9TaThCRzJacUNjM2tKU0p3In0.HnWVA6Q-jo-PTIMBKL8VJqj3lyR8LJsanaA-jq7pR6E,Procurement Specialist (m/w/d) Data Science & AI,48.72994,"{'display_name': 'Vaihingen, Stuttgart', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart', 'Vaihingen']}","{'tag': 'other-general-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Sonstige/Allgemeine Stellen'}",0,https://www.adzuna.de/land/ad/5431136749?se=4ksMPoSi8BG2ZqCc3kJSJw&utm_medium=api&utm_source=a4bcf954&v=3126A44DD892E7CD9388605FB13538F25DFF6DD6,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Leadec'}",Adzuna::API::Response::Job,5431136749,full_time,,,
10.14187,2025-09-16T12:30:45Z,"Die WTSH ist die zentrale Wirtschaftsförderungsgesellschaft in Schleswig-Holstein. Als One-Stop-Agentur beraten wir Unternehmen, die in Schleswig-Holstein Geschäftsaktivitäten auf- oder ausbauen möchten. Die WTSH ist unter anderem Trägerin des vom Land Schleswig-Holstein geförderten Projektes „Big Data Trusted Science AI Plattform Schleswig-Holstein“ (BiTSEA SH). Mit dem Projekt BiTSEA SH entsteht eine hochskalierbare, hochverfügbare und vertrauenswürdige KI-Plattform für Daten und KI-gestützte…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNGtzTVBvU2k4QkcyWnFDYzNrSlNKdyIsImkiOiI1NDAxMzU3NzI1In0.mklYTfoZPT8wVzFAo56BGP5t0WkarZulHNneOaDMNu0,Projektmanager (m/w/d) KI Data Science,54.32167,"{'area': ['Deutschland', 'Schleswig-Holstein', 'Kiel', 'Altstadt'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Altstadt, Kiel'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Sonstige/Allgemeine Stellen', 'tag': 'other-general-jobs'}",0,https://www.adzuna.de/land/ad/5401357725?se=4ksMPoSi8BG2ZqCc3kJSJw&utm_medium=api&utm_source=a4bcf954&v=748F0F4B66AEBD9A3E84F6218ED7EF3EF2EB4273,"{'display_name': 'WTSH - Wirtschaftsförderung und Technologietransfer Schleswig-Holstein GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,5401357725,full_time,,,
,2025-10-05T08:40:24Z,"HENSOLDT ist ein führendes Unternehmen der europäischen Verteidigungsindustrie mit globaler Reichweite. Das Unternehmen mit Sitz in Taufkirchen bei München entwickelt Sensor-Komplettlösungen für Verteidigungs- und Sicherheitsanwendungen. Als Technologieführer treibt HENSOLDT die Entwicklung der Verteidigungselektronik und Optronik voran und baut sein Portfolio auf der Grundlage innovativer Ansätze für Datenmanagement, Robotik und Cybersicherheit kontinuierlich aus. Unsere Produkte sind einsetzb…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNGtzTVBvU2k4QkcyWnFDYzNrSlNKdyIsImkiOiI1NDMyNDIwOTE2In0.XPRM0NWHmCF8srLQ33hsoYBvbTJhwiyLHKe6FXQ3428,"Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Start 2026",,"{'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland']}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",0,https://www.adzuna.de/land/ad/5432420916?se=4ksMPoSi8BG2ZqCc3kJSJw&utm_medium=api&utm_source=a4bcf954&v=4A355C0939DD2102807518A16D605F4211ED46A6,"{'display_name': 'HENSOLDT', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,5432420916,,,,
