latitude,title,description,__CLASS__,location,category,longitude,redirect_url,created,company,adref,salary_is_predicted,id,contract_time,contract_type,salary_max,salary_min
50.43619,Werkstudent (w/m/d) - Data Science,"1&1 gehört mit über 3.200 Mitarbeitenden und fast 16 Millionen Kundenverträgen zu den führenden Telekommunikationsanbietern in Deutschland. Mit Pioniergeist, ungewöhnlichen Ideen und kreativen Teams haben wir eine führende Marktstellung im Mobilfunk und bei Breitband-Anschlüssen erobert. Durch die Kombination des über 50.000 km langen 1&1 Glasfasernetzes und regionalen Netzen schaffen wir das weitreichendste Glasfasernetz Deutschlands. Außerdem bauen wir das modernste 5G-Netz Europas, auf der B…",Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Rheinland-Pfalz', 'Westerwaldkreis', 'Montabaur'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Montabaur, Westerwaldkreis'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}",7.83315,https://www.adzuna.de/land/ad/5443355943?se=jP2zeASo8BG2galmFizh3g&utm_medium=api&utm_source=a4bcf954&v=FCBEE00CF575C448C6D6DF0FD407BE0FA95C27B2,2025-10-11T22:06:52Z,"{'display_name': '1&1', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoialAyemVBU284QkcyZ2FsbUZpemgzZyIsImkiOiI1NDQzMzU1OTQzIn0.TLItHS0g7vCm9zmGtGprc6ro3TEE_vdKTlv6olHzuvA,0,5443355943,,,,
48.876425,Duales Studium Bachelor der Wirtschaftsinformatik - Data Science (m/w/d),"Gestalten Sie mit uns heute schon die Zukunft! Seit über 180 Jahren steht Wolters Kluwer dafür, Arbeitsprozesse mit innovativen Lösungen zu unterstützen und zu erleichtern. Unsere Niederlassungen in mehr als 40 Ländern betreuen Kunden in über 180 Ländern. Im Jahr 2023 verzeichneten wir einen Jahresumsatz von 5,6 Milliarden Euro. Unsere Expertenlösungen vereinen fundiertes Fachwissen mit Technologie, damit unsere Kunden die wichtigsten Herausforderungen meistern können. Für die Umsetzung unserer…",Adzuna::API::Response::Job,"{'display_name': 'Ludwigsburg, Ludwigsburg (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ludwigsburg (Kreis)', 'Ludwigsburg']}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",9.198334,https://www.adzuna.de/land/ad/5429928376?se=jP2zeASo8BG2galmFizh3g&utm_medium=api&utm_source=a4bcf954&v=845DEDE359784297833D4E95EA85782A09D5261B,2025-10-03T20:43:25Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Wolters Kluwer Tax & Accounting Deutschland GmbH'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoialAyemVBU284QkcyZ2FsbUZpemgzZyIsImkiOiI1NDI5OTI4Mzc2In0.5OHJ1xn5Il1zR8r9vo-w9cMxOh54rT7rLVBTil7t8zo,0,5429928376,,,,
48.72994,Procurement Specialist (m/w/d) Data Science & AI,"About us Wir sorgen mit unseren Services jeden Tag dafür, dass in der Produktion unserer Kunden auf der ganzen Welt alles rund läuft.Dabei denken wir in Lösungen und optimieren entlang des gesamten Prozesses – von der Planung bis zur Instandhaltung, Modernisierung und Digitalisierung.Als Servicespezialist in der Fertigungsindustrie wissen wir, dass Menschen den Unterschied machen.Respekt, Teamspirit und Vielseitigkeit zeichnen das Arbeiten bei Leadec aus.Auf unsere Arbeit sind wir stolz – über …",Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart', 'Vaihingen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Vaihingen, Stuttgart'}","{'label': 'Sonstige/Allgemeine Stellen', 'tag': 'other-general-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",9.10973,https://www.adzuna.de/land/ad/5431136749?se=jP2zeASo8BG2galmFizh3g&utm_medium=api&utm_source=a4bcf954&v=3126A44DD892E7CD9388605FB13538F25DFF6DD6,2025-10-04T12:32:04Z,"{'display_name': 'Leadec', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoialAyemVBU284QkcyZ2FsbUZpemgzZyIsImkiOiI1NDMxMTM2NzQ5In0.Vboz5kIgDSfPtfzzbAu5GvLW1NxxXgHWu1XbRRb0qgQ,0,5431136749,full_time,,,
48.776198,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg'}","{'tag': 'it-jobs', 'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}",9.187224,https://www.adzuna.de/land/ad/5444602593?se=jP2zeASo8BG2galmFizh3g&utm_medium=api&utm_source=a4bcf954&v=F4FB2D6D0CEBB33B747A00B42F887DD14CF7C006,2025-10-12T22:06:54Z,"{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ0NDYwMjU5MyIsInMiOiJqUDJ6ZUFTbzhCRzJnYWxtRml6aDNnIn0.18IgOz_zWxaEz0X20BSpoBkMAIAsn28XXr1dYiCBmT8,0,5444602593,,,,
49.001249,Duales Studium (B.Sc.) – Data Science und Künstliche Intelligenz (m/w/d),"Die VBL mit Sitz in Karlsruhe ist Deutschlands größte Zusatzversorgungseinrichtung für Beschäftigte des öffentlichen Dienstes und betreut circa 5,3 Mio. Versicherte und circa 1,5 Mio. Rentenberechtigte. Sie begeistern sich für Daten, digitale Technologien und intelligente Systeme? Dann verbinden Sie Theorie und Praxis in einem zukunftsweisenden dualen Studium bei der VBL. Ab sofort suchen wir einen Studierenden für 2026. Duales Studium (B.Sc.) – Data Science und Künstliche Intelligenz (m/w/d) A…",Adzuna::API::Response::Job,"{'display_name': 'Karlsruhe, Karlsruhe (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",8.412378,https://www.adzuna.de/land/ad/5432419548?se=jP2zeASo8BG2galmFizh3g&utm_medium=api&utm_source=a4bcf954&v=3A34FAC5F246FF0D836CBE82C3DD1E9597ECFB13,2025-10-05T08:40:06Z,"{'display_name': 'VBL. Versorgungsanstalt des Bundes und der Länder', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoialAyemVBU284QkcyZ2FsbUZpemgzZyIsImkiOiI1NDMyNDE5NTQ4In0.vLgaScogPNPC2vZSVtaSf6yDnWva0iquN19LqgHtF3Q,0,5432419548,,,,
,"Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Start 2026","HENSOLDT ist ein führendes Unternehmen der europäischen Verteidigungsindustrie mit globaler Reichweite. Das Unternehmen mit Sitz in Taufkirchen bei München entwickelt Sensor-Komplettlösungen für Verteidigungs- und Sicherheitsanwendungen. Als Technologieführer treibt HENSOLDT die Entwicklung der Verteidigungselektronik und Optronik voran und baut sein Portfolio auf der Grundlage innovativer Ansätze für Datenmanagement, Robotik und Cybersicherheit kontinuierlich aus. Unsere Produkte sind einsetzb…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland'], 'display_name': 'Deutschland'}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,https://www.adzuna.de/land/ad/5432420916?se=jP2zeASo8BG2galmFizh3g&utm_medium=api&utm_source=a4bcf954&v=4A355C0939DD2102807518A16D605F4211ED46A6,2025-10-05T08:40:24Z,"{'display_name': 'HENSOLDT', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoialAyemVBU284QkcyZ2FsbUZpemgzZyIsImkiOiI1NDMyNDIwOTE2In0.nVr4mi_yXMzFS6tdgg3SCO0RrU7l6drtun_pnOvc5Bk,0,5432420916,,,,
48.78408,"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026","Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",Adzuna::API::Response::Job,"{'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen']}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",10.10558,https://www.adzuna.de/land/ad/5427355884?se=jP2zeASo8BG2galmFizh3g&utm_medium=api&utm_source=a4bcf954&v=6B5DA9F9C2848A659B1C18D45B1D8EFD25D19939,2025-10-02T20:38:12Z,"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoialAyemVBU284QkcyZ2FsbUZpemgzZyIsImkiOiI1NDI3MzU1ODg0In0.F6djjyK_9A86EITSxBGpKDMMYLro30bJ1jUbjkw0Ogc,0,5427355884,,,,
50.923007,"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026","Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",Adzuna::API::Response::Job,"{'display_name': 'Jena, Thüringen', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Thüringen', 'Jena']}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",11.589469,https://www.adzuna.de/land/ad/5436855899?se=jP2zeASo8BG2galmFizh3g&utm_medium=api&utm_source=a4bcf954&v=FDC9302FD225B6E1C97A15EF9A0D63DD18775A66,2025-10-08T08:47:14Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQzNjg1NTg5OSIsInMiOiJqUDJ6ZUFTbzhCRzJnYWxtRml6aDNnIn0.ujgQCZXJY3x_6MKzJkK_1ctf_vWQwJtZhDn-O82r078,0,5436855899,,,,
,Duales Bachelor Studium: Wirtschaftsinformatik – Data Science (September 2026 – DHBW Stuttgart),"Duales Bachelor Studium: Wirtschafts­informatik – Data Science (September 2026 – DHBW Stuttgart) Bereich: Ausbildung / Duales Studium Standort: Owen bei Kirchheim / Teck Beschäftigungsart: Duales Studium Über 60 Jahre Erfahrung haben Leuze zum Experten für innovative und effiziente Sensor- und Sicherheits­lösungen in der Automatisierungs­technik gemacht. Heute sorgen wir – rund 1.600 Sensor People weltweit – mit Neugier, Leiden­schaft und Entschlossen­heit für Fort­schritt und Wandel. Unser Ant…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland'], 'display_name': 'Deutschland'}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,https://www.adzuna.de/land/ad/5444603012?se=jP2zeASo8BG2galmFizh3g&utm_medium=api&utm_source=a4bcf954&v=7C75156C49A6BBB11E801CD0C2E18CCBD6D0B7B4,2025-10-12T22:07:10Z,"{'display_name': 'Leuze electronic GmbH + Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ0NDYwMzAxMiIsInMiOiJqUDJ6ZUFTbzhCRzJnYWxtRml6aDNnIn0.sR--5hB4RD8heKzteblyoszAVRQeWR-odAgCyU0oolA,0,5444603012,,,,
48.42392,Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2026 (m/w/d),"Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…",Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Offenburg, Ortenaukreis'}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",7.94837,https://www.adzuna.de/land/ad/5427390246?se=jP2zeASo8BG2galmFizh3g&utm_medium=api&utm_source=a4bcf954&v=02E417CDBB360048DED332B10683F1AE0A564A34,2025-10-02T20:39:18Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Markant Gruppe'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQyNzM5MDI0NiIsInMiOiJqUDJ6ZUFTbzhCRzJnYWxtRml6aDNnIn0.yCfzhQPekgzcsr8E1PpCqTZBsPVdsnTnjTCpFrj3Mz0,0,5427390246,,,,
