longitude,title,company,id,redirect_url,__CLASS__,location,latitude,adref,created,description,category,salary_is_predicted,contract_time,salary_min,salary_max,contract_type
8.412378,Duales Studium Data Science und Künstliche Intelligenz,"{'display_name': 'Atruvia AG', '__CLASS__': 'Adzuna::API::Response::Company'}",5450785708,https://www.adzuna.de/land/ad/5450785708?se=9uxDpYSt8BG_3I1AAPwYhw&utm_medium=api&utm_source=a4bcf954&v=11616AED50652A4A244DB1A0EFFA9F91FA641C30,Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Karlsruhe, Karlsruhe (Kreis)'}",49.001249,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOXV4RHBZU3Q4QkdfM0kxQUFQd1lodyIsImkiOiI1NDUwNzg1NzA4In0.2pnugfzvXraXTRGz-NFmRuv87SS95NabOVCglMaOEsE,2025-10-16T22:11:16Z,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",0,,,,
9.2274,Duales Studium Wirtschaftsinformatik - Data Science 2026,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",5427379568,https://www.adzuna.de/land/ad/5427379568?se=9uxDpYSt8BG_3I1AAPwYhw&utm_medium=api&utm_source=a4bcf954&v=D2F4AE20A6DE629002E201B132302433F154741E,Adzuna::API::Response::Job,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",49.18975,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOXV4RHBZU3Q4QkdfM0kxQUFQd1lodyIsImkiOiI1NDI3Mzc5NTY4In0.hUQmJp5LhuWLqFY-jyU1YrCs6AltjXnv0kMAdChw4y0,2025-10-02T20:38:55Z,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",0,,,,
9.187224,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,"{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}",5455606396,https://www.adzuna.de/land/ad/5455606396?se=9uxDpYSt8BG_3I1AAPwYhw&utm_medium=api&utm_source=a4bcf954&v=91D1ACF7C3E1519ADA866989A659EE22F4E1B964,Adzuna::API::Response::Job,"{'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}",48.776198,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOXV4RHBZU3Q4QkdfM0kxQUFQd1lodyIsImkiOiI1NDU1NjA2Mzk2In0.qpgu33qKPJw00rw8d09jwTSK_GXhst71xd2iC7yxOU8,2025-10-19T22:39:41Z,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…","{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}",0,,,,
9.198334,Duales Studium Bachelor der Wirtschaftsinformatik - Data Science (m/w/d),"{'display_name': 'Wolters Kluwer Tax & Accounting Deutschland GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",5429928376,https://www.adzuna.de/land/ad/5429928376?se=9uxDpYSt8BG_3I1AAPwYhw&utm_medium=api&utm_source=a4bcf954&v=845DEDE359784297833D4E95EA85782A09D5261B,Adzuna::API::Response::Job,"{'display_name': 'Ludwigsburg, Ludwigsburg (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ludwigsburg (Kreis)', 'Ludwigsburg']}",48.876425,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOXV4RHBZU3Q4QkdfM0kxQUFQd1lodyIsImkiOiI1NDI5OTI4Mzc2In0.3wARdAjjt8Qj8TyxkzyIOE1TLDWn7HWejNVQIvExkHE,2025-10-03T20:43:25Z,"Gestalten Sie mit uns heute schon die Zukunft! Seit über 180 Jahren steht Wolters Kluwer dafür, Arbeitsprozesse mit innovativen Lösungen zu unterstützen und zu erleichtern. Unsere Niederlassungen in mehr als 40 Ländern betreuen Kunden in über 180 Ländern. Im Jahr 2023 verzeichneten wir einen Jahresumsatz von 5,6 Milliarden Euro. Unsere Expertenlösungen vereinen fundiertes Fachwissen mit Technologie, damit unsere Kunden die wichtigsten Herausforderungen meistern können. Für die Umsetzung unserer…","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",0,,,,
9.82692,Duales Studium Data Science und Künstliche Intelligenz (B. Sc.) – 2026,"{'display_name': 'Groupe SEB WMF Shared Services GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",5455018911,https://www.adzuna.de/land/ad/5455018911?se=9uxDpYSt8BG_3I1AAPwYhw&utm_medium=api&utm_source=a4bcf954&v=42C4309A004A7D8201AAB20961F608F8F49546B7,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Göppingen (Kreis)', 'Geislingen an der Steige'], 'display_name': 'Geislingen an der Steige, Göppingen (Kreis)'}",48.6248,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ1NTAxODkxMSIsInMiOiI5dXhEcFlTdDhCR18zSTFBQVB3WWh3In0.PUoVRoluWlhwVsmHW--VNADu7hYubdQLE_sKEMWSc80,2025-10-19T10:31:20Z,"Das Produktportfolio der Groupe SEB umfasst ein breites Spektrum hochwertiger und innovativer Marken. Unter „SEB Professional“ bündeln wir unter anderem die Marken WMF Professional Coffee Machines, Schaerer und Wilbur Curtis und gehören damit zu den weltweit führenden Anbietern professioneller Kaffeemaschinen für unsere Geschäftskunden. Auch bei unseren Endkonsumenten punkten wir mit Qualität und Design: Haushaltsgeräte, Kochgeschirr und Metallwaren der Premiummarke WMF sowie von Rowenta, Tefal…","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",0,,,,
13.420806,Senior Spezialist (m/w/d) Meldewesen / Regulatorik / Data Science,"{'display_name': 'Sparkassen Rating und Risikosysteme GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",5455604358,https://www.adzuna.de/land/ad/5455604358?se=9uxDpYSt8BG_3I1AAPwYhw&utm_medium=api&utm_source=a4bcf954&v=0F1B90B4C9EA29F8AC5EEDBC33D187A3E24EC7EF,Adzuna::API::Response::Job,"{'display_name': 'Berlin, Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Berlin']}",52.507706,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ1NTYwNDM1OCIsInMiOiI5dXhEcFlTdDhCR18zSTFBQVB3WWh3In0.g-MjXJ_JBkYbvAVS_2i0odIHkP3vv4H8p6199xnN3BU,2025-10-19T22:39:08Z,"Die Sparkassen Rating und Risikosysteme (SR) ist der zentrale Dienstleister für Verfahren des Risiko­manage­ments in der Sparkassen-Finanzgruppe. Wir unterstützen die Institute mit Standardlösungen in den Bereichen der Risiko­messung und -steuerung, der regulatorischen Banksteuerung sowie im Vertrieb mit Data-Analytics-Lösungen. Gemeinsam mit unseren Partnern bieten wir den Instituten, von der Konzeption der Verfahren, über deren Weiterentwicklung, IT-Umsetzung und Umsetzungsunterstützung, zent…","{'label': 'Stellen aus Buchhaltung & Finanzwesen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'accounting-finance-jobs'}",0,,,,
,Duales Bachelor Studium: Wirtschaftsinformatik – Data Science (September 2026 – DHBW Stuttgart),"{'display_name': 'Leuze electronic GmbH + Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",5447520018,https://www.adzuna.de/land/ad/5447520018?se=9uxDpYSt8BG_3I1AAPwYhw&utm_medium=api&utm_source=a4bcf954&v=6FB09175FDC3AD0AC8848558D70A5EF65322E739,Adzuna::API::Response::Job,"{'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland']}",,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOXV4RHBZU3Q4QkdfM0kxQUFQd1lodyIsImkiOiI1NDQ3NTIwMDE4In0.YncOCQbv3ROTUq-nRbPdQd0OBV_K-qjitaMCVs4_GXA,2025-10-14T22:15:08Z,"Duales Bachelor Studium: Wirtschafts­informatik – Data Science (September 2026 – DHBW Stuttgart) Bereich: Ausbildung / Duales Studium Standort: Owen bei Kirchheim / Teck Beschäftigungsart: Duales Studium Über 60 Jahre Erfahrung haben Leuze zum Experten für innovative und effiziente Sensor- und Sicherheits­lösungen in der Automatisierungs­technik gemacht. Heute sorgen wir – rund 1.600 Sensor People weltweit – mit Neugier, Leiden­schaft und Entschlossen­heit für Fort­schritt und Wandel. Unser Ant…","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",0,,,,
8.412378,Duales Studium (B.Sc.) – Data Science und Künstliche Intelligenz (m/w/d),"{'display_name': 'VBL. Versorgungsanstalt des Bundes und der Länder', '__CLASS__': 'Adzuna::API::Response::Company'}",5429928796,https://www.adzuna.de/land/ad/5429928796?se=9uxDpYSt8BG_3I1AAPwYhw&utm_medium=api&utm_source=a4bcf954&v=0D3614AB5325CBAB5A98DA18A8257CAE8E9D757C,Adzuna::API::Response::Job,"{'display_name': 'Karlsruhe, Karlsruhe (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe']}",49.001249,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQyOTkyODc5NiIsInMiOiI5dXhEcFlTdDhCR18zSTFBQVB3WWh3In0.8Dg9NNXLlrXJ9Jx_J-B_cvCDAF-0NsMzlDVfnIJ3CoA,2025-10-03T20:43:28Z,"Die VBL mit Sitz in Karlsruhe ist Deutschlands größte Zusatzversorgungseinrichtung für Beschäftigte des öffentlichen Dienstes und betreut circa 5,3 Mio. Versicherte und circa 1,5 Mio. Rentenberechtigte. Sie begeistern sich für Daten, digitale Technologien und intelligente Systeme? Dann verbinden Sie Theorie und Praxis in einem zukunftsweisenden dualen Studium bei der VBL. Ab sofort suchen wir einen Studierenden für 2026. Duales Studium (B.Sc.) – Data Science und Künstliche Intelligenz (m/w/d) A…","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",0,,,,
9.10973,Procurement Specialist (m/w/d) Data Science & AI,"{'display_name': 'Leadec', '__CLASS__': 'Adzuna::API::Response::Company'}",5431781969,https://www.adzuna.de/land/ad/5431781969?se=9uxDpYSt8BG_3I1AAPwYhw&utm_medium=api&utm_source=a4bcf954&v=38A7EB2AE70175043F05906078E18A94C00AF8BE,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart', 'Vaihingen'], 'display_name': 'Vaihingen, Stuttgart'}",48.72994,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQzMTc4MTk2OSIsInMiOiI5dXhEcFlTdDhCR18zSTFBQVB3WWh3In0.YwlXI_SIYpmby-EYLVjlbkOBDC1bDC3fntWQMQT8HaY,2025-10-04T22:10:36Z,"About us Wir sorgen mit unseren Services jeden Tag dafür, dass in der Produktion unserer Kunden auf der ganzen Welt alles rund läuft.Dabei denken wir in Lösungen und optimieren entlang des gesamten Prozesses – von der Planung bis zur Instandhaltung, Modernisierung und Digitalisierung.Als Servicespezialist in der Fertigungsindustrie wissen wir, dass Menschen den Unterschied machen.Respekt, Teamspirit und Vielseitigkeit zeichnen das Arbeiten bei Leadec aus.Auf unsere Arbeit sind wir stolz – über …","{'tag': 'engineering-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Technikerstellen'}",0,full_time,,,
,"Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Start 2026","{'display_name': 'HENSOLDT', '__CLASS__': 'Adzuna::API::Response::Company'}",5432420916,https://www.adzuna.de/land/ad/5432420916?se=9uxDpYSt8BG_3I1AAPwYhw&utm_medium=api&utm_source=a4bcf954&v=4A355C0939DD2102807518A16D605F4211ED46A6,Adzuna::API::Response::Job,"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}",,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQzMjQyMDkxNiIsInMiOiI5dXhEcFlTdDhCR18zSTFBQVB3WWh3In0.rljbfCqQosHWM5bFLRsK-iUgjMtpegs7MuNY938owQY,2025-10-05T08:40:24Z,"HENSOLDT ist ein führendes Unternehmen der europäischen Verteidigungsindustrie mit globaler Reichweite. Das Unternehmen mit Sitz in Taufkirchen bei München entwickelt Sensor-Komplettlösungen für Verteidigungs- und Sicherheitsanwendungen. Als Technologieführer treibt HENSOLDT die Entwicklung der Verteidigungselektronik und Optronik voran und baut sein Portfolio auf der Grundlage innovativer Ansätze für Datenmanagement, Robotik und Cybersicherheit kontinuierlich aus. Unsere Produkte sind einsetzb…","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",0,,,,
