__CLASS__,description,location,id,longitude,latitude,adref,title,salary_is_predicted,redirect_url,category,company,created,contract_time,contract_type,salary_max,salary_min
Adzuna::API::Response::Job,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",5427379568,9.2274,49.18975,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNUZndjhJUzQ4QkdyUTZ2Xy1fU3V3QSIsImkiOiI1NDI3Mzc5NTY4In0.d4IYFMixEwJFP--3kI5OZGcQu_Zb6tDMTiUGh1nn228,Duales Studium Wirtschaftsinformatik - Data Science 2026,0,https://www.adzuna.de/land/ad/5427379568?se=5Fgv8IS48BGrQ6v_-_SuwA&utm_medium=api&utm_source=a4bcf954&v=D2F4AE20A6DE629002E201B132302433F154741E,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",2025-10-02T20:38:55Z,,,,
Adzuna::API::Response::Job,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Karlsruhe, Karlsruhe (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe']}",5477456475,8.412378,49.001249,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNUZndjhJUzQ4QkdyUTZ2Xy1fU3V3QSIsImkiOiI1NDc3NDU2NDc1In0.HSgkHnCd65Xl_2B6RMcfCx_b092OLjZlx0eYhZGdGRU,Duales Studium Data Science und Künstliche Intelligenz,0,https://www.adzuna.de/land/ad/5477456475?se=5Fgv8IS48BGrQ6v_-_SuwA&utm_medium=api&utm_source=a4bcf954&v=1425BA34DC8B006F04A16C7FBED6491A073C2652,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Atruvia AG'}",2025-11-02T21:54:57Z,,,,
Adzuna::API::Response::Job,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",5476059477,9.2274,49.18975,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ3NjA1OTQ3NyIsInMiOiI1Rmd2OElTNDhCR3JRNnZfLV9TdXdBIn0.x6LnktGhF0KS7MzZa8hFqEda3X5kSaLinzrpN7t9_lQ,Praktikum Data Science,0,https://www.adzuna.de/land/ad/5476059477?se=5Fgv8IS48BGrQ6v_-_SuwA&utm_medium=api&utm_source=a4bcf954&v=1662EC8CB50AEFCA44EBD5CCF72703EA5C965C7C,"{'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",2025-11-01T21:47:01Z,,,,
Adzuna::API::Response::Job,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…","{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg'}",5455606396,9.187224,48.776198,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNUZndjhJUzQ4QkdyUTZ2Xy1fU3V3QSIsImkiOiI1NDU1NjA2Mzk2In0.9Q7k5vJspzuB91M5qRV8312So7WAVz-Laig8JRDxrQ0,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,0,https://www.adzuna.de/land/ad/5455606396?se=5Fgv8IS48BGrQ6v_-_SuwA&utm_medium=api&utm_source=a4bcf954&v=91D1ACF7C3E1519ADA866989A659EE22F4E1B964,"{'tag': 'it-jobs', 'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",2025-10-19T22:39:41Z,,,,
Adzuna::API::Response::Job,"Die SPIEGEL-Gruppe benötigt zum nächstmöglichen Zeitpunkt, zunächst befristet für 1 Jahr, Deine Unterstützung am Standort Hamburg als Werkstudent (m/w/d) Data Science Unser interdisziplinäres Data & Research Team unterstützt die Produktentwicklung des SPIEGEL dabei, dateninformierte Entscheidungen zu treffen und wertschöpfende Produkte zu entwickeln. Dazu nutzen wir Methoden wie User Research, UX- und A/B-Tests, Data Science und Datenanalyse. Innerhalb des Teams hilfst Du dem Data Science Berei…","{'area': ['Deutschland', 'Hamburg'], 'display_name': 'Hamburg, Deutschland', '__CLASS__': 'Adzuna::API::Response::Location'}",5476053171,9.987297,53.557429,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ3NjA1MzE3MSIsInMiOiI1Rmd2OElTNDhCR3JRNnZfLV9TdXdBIn0.1fdZNRbIAgORKfLR8ge9NF6RsHsaIboTXmyVLTNpXdg,Werkstudent (m/w/d) Data Science,0,https://www.adzuna.de/land/ad/5476053171?se=5Fgv8IS48BGrQ6v_-_SuwA&utm_medium=api&utm_source=a4bcf954&v=7C39A8D67E920CC901FE3F4FCC3A2152B8F158F7,"{'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'DER SPIEGEL GmbH & Co. KG'}",2025-11-01T21:45:22Z,,,,
Adzuna::API::Response::Job,"Einleitung Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem d…","{'area': ['Deutschland'], 'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location'}",5474891396,,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ3NDg5MTM5NiIsInMiOiI1Rmd2OElTNDhCR3JRNnZfLV9TdXdBIn0.mW6V0kvfyzvkRPHq3aJd2dav16JuOrfOmzYs5oLL_C0,Praktikum Data Science,0,https://www.adzuna.de/land/ad/5474891396?se=5Fgv8IS48BGrQ6v_-_SuwA&utm_medium=api&utm_source=a4bcf954&v=8D6781E5AD3B2FA41D25D313FD7DEADAE030B70B,"{'tag': 'graduate-jobs', 'label': 'Stellen für Hochschulabsolventen', '__CLASS__': 'Adzuna::API::Response::Category'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",2025-11-01T13:25:37Z,,,,
Adzuna::API::Response::Job,"Die Hochschule Bielefeld (HSBI) mit ihren über 10.000 Studierenden steht für höchste Standards in Lehre, Forschung und Wissenstransfer. Die Fachbereiche Gestaltung, Campus Minden, Ingenieurwissenschaften und Mathematik, Sozialwesen, Wirtschaft und Gesundheit arbeiten interdisziplinär, forschungsbasiert und eng vernetzt. Regionale und internationale Kooperationen sowie gelebte Vielfalt und Nachhaltigkeit prägen die Arbeit an den Standorten Bielefeld, Minden und Gütersloh. Der Fachbereich Wirtsch…","{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bielefeld'], 'display_name': 'Bielefeld, Nordrhein-Westfalen'}",5476055617,8.543293,52.021203,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNUZndjhJUzQ4QkdyUTZ2Xy1fU3V3QSIsImkiOiI1NDc2MDU1NjE3In0.Zw-iTOMB9IfcrY2mttGuOatyb7209gjRQcLGSyD1QVw,"W2-Vertretungsprofessur Allgemeine Betriebswirtschaftslehre, insb. Personalmanagement, HR Data Science und KI",0,https://www.adzuna.de/land/ad/5476055617?se=5Fgv8IS48BGrQ6v_-_SuwA&utm_medium=api&utm_source=a4bcf954&v=CB8C632A79EC598D3A5BD65D849E671BD4459150,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Hochschule Bielefeld'}",2025-11-01T21:45:46Z,,,,
Adzuna::API::Response::Job,"Über uns Gemeinsam. Digital. Erfolgreich. – das ist karriere tutor® Karriere tutor® ist der Spezialist für Online-Weiterbildung. Unser Ziel ist es, Menschen mit unseren Weiterbildungen beruflich erfolgreicher und glücklicher zu machen. Wir schaffen Chancen durch Bildung und öffnen unseren Kundinnen und Kunden neue Karrieretüren. Dabei holen wir die Menschen dort ab, wo sie stehen, legen mit ihnen gemeinsam den Weg fest, begleiten sie bis zum erfolgreichen Zertifikat und unterstützen sie bei der…","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Gronau, Bonn', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bonn', 'Gronau']}",5473861929,7.12532,50.71807,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ3Mzg2MTkyOSIsInMiOiI1Rmd2OElTNDhCR3JRNnZfLV9TdXdBIn0.i5VvFFTNChtIT2Xjjz6klyEdX287nUw_dXnisAlIV68,Dozent (w/m/d) für Data Science in Bonn,0,https://www.adzuna.de/land/ad/5473861929?se=5Fgv8IS48BGrQ6v_-_SuwA&utm_medium=api&utm_source=a4bcf954&v=E4E2D5740DFDABF8B4DCA37C12844A7DEF6AC760,"{'tag': 'other-general-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Sonstige/Allgemeine Stellen'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'karriere tutor GmbH'}",2025-11-01T04:41:49Z,full_time,,,
Adzuna::API::Response::Job,"HENSOLDT ist ein führendes Unternehmen der europäischen Verteidigungsindustrie mit globaler Reichweite. Das Unternehmen mit Sitz in Taufkirchen bei München entwickelt Sensor-Komplettlösungen für Verteidigungs- und Sicherheitsanwendungen. Als Technologieführer treibt HENSOLDT die Entwicklung der Verteidigungselektronik und Optronik voran und baut sein Portfolio auf der Grundlage innovativer Ansätze für Datenmanagement, Robotik und Cybersicherheit kontinuierlich aus. Unsere Produkte sind einsetzb…","{'area': ['Deutschland'], 'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location'}",5473354821,,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ3MzM1NDgyMSIsInMiOiI1Rmd2OElTNDhCR3JRNnZfLV9TdXdBIn0.rVg9mzkSIE6u7X8LhKPcCLwdgc_kcl4CkKOCY4bTCwQ,"Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Start 2026",0,https://www.adzuna.de/land/ad/5473354821?se=5Fgv8IS48BGrQ6v_-_SuwA&utm_medium=api&utm_source=a4bcf954&v=9D8379B05EA369C33DD92D5CCAFDEB79FA9EE210,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}","{'display_name': 'HENSOLDT', '__CLASS__': 'Adzuna::API::Response::Company'}",2025-10-31T21:44:59Z,,,,
Adzuna::API::Response::Job,"Die Sparkassen Rating und Risikosysteme (SR) ist der zentrale Dienstleister für Verfahren des Risikomanagements in der Sparkassen-Finanzgruppe. Wir unterstützen die Institute mit Standardlösungen in den Bereichen der Risikomessung und -steuerung, der regulatorischen Banksteuerung sowie im Vertrieb, mit Data-Analytics-Lösungen. Gemeinsam mit unseren Partnern bieten wir den Instituten, von der Konzeption der Verfahren, über deren Weiterentwicklung, IT-Umsetzung und Umsetzungsunterstützung, zentra…","{'area': ['Deutschland', 'Berlin', 'Mitte'], 'display_name': 'Mitte, Berlin', '__CLASS__': 'Adzuna::API::Response::Location'}",5474891347,13.38475,52.51551,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNUZndjhJUzQ4QkdyUTZ2Xy1fU3V3QSIsImkiOiI1NDc0ODkxMzQ3In0.pd6Are4TOnwVGVwLP3I9BguQXtqkLR8oPJia8VLrIMw,Trainee (m/w/d) Risikomanagement | Data Science,0,https://www.adzuna.de/land/ad/5474891347?se=5Fgv8IS48BGrQ6v_-_SuwA&utm_medium=api&utm_source=a4bcf954&v=4E49B15B26770AA053D68734041542FB89D22D99,"{'tag': 'graduate-jobs', 'label': 'Stellen für Hochschulabsolventen', '__CLASS__': 'Adzuna::API::Response::Category'}","{'display_name': 'S Rating und Risikosysteme GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",2025-11-01T13:25:36Z,,,,
