longitude,company,created,__CLASS__,title,salary_is_predicted,category,description,redirect_url,latitude,location,adref,id,contract_time,contract_type,salary_max,salary_min
8.412378,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Atruvia AG'}",2025-11-02T21:54:57Z,Adzuna::API::Response::Job,Duales Studium Data Science und Künstliche Intelligenz,0,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,https://www.adzuna.de/land/ad/5477456475?se=eJP-DQW-8BG8weq5Y2Q7aA&utm_medium=api&utm_source=a4bcf954&v=1425BA34DC8B006F04A16C7FBED6491A073C2652,49.001249,"{'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Karlsruhe, Karlsruhe (Kreis)'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUpQLURRVy04Qkc4d2VxNVkyUTdhQSIsImkiOiI1NDc3NDU2NDc1In0.t7-_86SdpiXAzohH69TFWaAfZF2SPQJWcOyZ4rdgpHo,5477456475,,,,
9.2274,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",2025-11-07T19:45:24Z,Adzuna::API::Response::Job,Duales Studium Wirtschaftsinformatik - Data Science 2026,0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}","Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",https://www.adzuna.de/land/ad/5485957394?se=eJP-DQW-8BG8weq5Y2Q7aA&utm_medium=api&utm_source=a4bcf954&v=DD70E69F2197B19F1B6DCB78738B72DA0A6C6F1D,49.18975,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ4NTk1NzM5NCIsInMiOiJlSlAtRFFXLThCRzh3ZXE1WTJRN2FBIn0.rAyCC_AAEEH_FR7Z_AhKZVBxCJvMfyKb1ki-b5BjU80,5485957394,,,,
7.12532,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'karriere tutor GmbH'}",2025-11-03T18:03:56Z,Adzuna::API::Response::Job,Dozent (w/m/d) für Data Science in Bonn,0,"{'label': 'Sonstige/Allgemeine Stellen', 'tag': 'other-general-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}","Über uns Gemeinsam. Digital. Erfolgreich. – das ist karriere tutor® Karriere tutor® ist der Spezialist für Online-Weiterbildung. Unser Ziel ist es, Menschen mit unseren Weiterbildungen beruflich erfolgreicher und glücklicher zu machen. Wir schaffen Chancen durch Bildung und öffnen unseren Kundinnen und Kunden neue Karrieretüren. Dabei holen wir die Menschen dort ab, wo sie stehen, legen mit ihnen gemeinsam den Weg fest, begleiten sie bis zum erfolgreichen Zertifikat und unterstützen sie bei der…",https://www.adzuna.de/land/ad/5478499081?se=eJP-DQW-8BG8weq5Y2Q7aA&utm_medium=api&utm_source=a4bcf954&v=7C29EEE808220268609C39B5FFC30E669F9CB799,50.71807,"{'display_name': 'Gronau, Bonn', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bonn', 'Gronau']}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ3ODQ5OTA4MSIsInMiOiJlSlAtRFFXLThCRzh3ZXE1WTJRN2FBIn0.WkT5DpXg2HvP6fJUitOBl8UmN0b_L10ih-czU_32dnc,5478499081,full_time,,,
,"{'display_name': 'Leuze electronic GmbH + Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",2025-11-09T19:59:54Z,Adzuna::API::Response::Job,Duales Bachelor Studium: Wirtschaftsinformatik – Data Science (September 2026 – DHBW Stuttgart),0,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","Duales Bachelor Studium: Wirtschafts­informatik – Data Science (September 2026 – DHBW Stuttgart) Bereich: Ausbildung / Duales Studium Standort: Owen bei Kirchheim / Teck Beschäftigungsart: Duales Studium Über 60 Jahre Erfahrung haben Leuze zum Experten für innovative und effiziente Sensor- und Sicherheits­lösungen in der Automatisierungs­technik gemacht. Heute sorgen wir – rund 1.600 Sensor People weltweit – mit Neugier, Leiden­schaft und Entschlossen­heit für Fort­schritt und Wandel. Unser Ant…",https://www.adzuna.de/land/ad/5488728229?se=eJP-DQW-8BG8weq5Y2Q7aA&utm_medium=api&utm_source=a4bcf954&v=2BB391FE4079E831655247415A62B29D1E2C4027,,"{'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland']}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUpQLURRVy04Qkc4d2VxNVkyUTdhQSIsImkiOiI1NDg4NzI4MjI5In0.5hbBIWwRciRm5u-ozpncIa9QCINBL_S-DZ9vMfdYdSo,5488728229,,,,
,"{'display_name': 'HENSOLDT', '__CLASS__': 'Adzuna::API::Response::Company'}",2025-11-07T19:45:35Z,Adzuna::API::Response::Job,"Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Start 2026",0,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","HENSOLDT ist ein führendes Unternehmen der europäischen Verteidigungsindustrie mit globaler Reichweite. Das Unternehmen mit Sitz in Taufkirchen bei München entwickelt Sensor-Komplettlösungen für Verteidigungs- und Sicherheitsanwendungen. Als Technologieführer treibt HENSOLDT die Entwicklung der Verteidigungselektronik und Optronik voran und baut sein Portfolio auf der Grundlage innovativer Ansätze für Datenmanagement, Robotik und Cybersicherheit kontinuierlich aus. Unsere Produkte sind einsetzb…",https://www.adzuna.de/land/ad/5485958890?se=eJP-DQW-8BG8weq5Y2Q7aA&utm_medium=api&utm_source=a4bcf954&v=A324C126EF50848F51C29B062424DD3894914455,,"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ4NTk1ODg5MCIsInMiOiJlSlAtRFFXLThCRzh3ZXE1WTJRN2FBIn0.QmSrwf30bKBG752Gvz8I_FuZtiXiQ2IprQkmL4QT2q4,5485958890,,,,
7.816286,"{'display_name': 'Haufe Group SE', '__CLASS__': 'Adzuna::API::Response::Company'}",2025-10-27T21:42:06Z,Adzuna::API::Response::Job,Duales Studium 2026 - Data Science und KI B.Sc. (d/m/w),0,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}","Freiburg im Breisgau ab sofort Wir bilden aus und suchen begeisterte Daten-Enthusiast:innen! KI, Data Engineering, Cloud Computing oder Big Data sollen nicht länger nur theoretische Begriffe sein? Dann ist unser duales Studium mit dem Schwerpunkt Data Science und Künstliche Intelligenz die perfekte Gelegenheit, um deine Fähigkeiten zu entwickeln und in die vielschichtige Welt der Daten einzutauchen. Setze jetzt den Startschuss für deine Karriere ab September 2026 im Studiengang Data Science und…",https://www.adzuna.de/land/ad/5466725194?se=eJP-DQW-8BG8weq5Y2Q7aA&utm_medium=api&utm_source=a4bcf954&v=2E265F75D4E76BB298528A5390B9ADF9BE5E0796,47.999458,"{'area': ['Deutschland', 'Baden-Württemberg', 'Freiburg im Breisgau'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Freiburg im Breisgau, Baden-Württemberg'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUpQLURRVy04Qkc4d2VxNVkyUTdhQSIsImkiOiI1NDY2NzI1MTk0In0.dnIXP4EA0sTqHfTgJacKdBl8y9t7W9JCwYUO5F2Wldk,5466725194,full_time,,,
9.24596,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'DAT Deutsche Automobil Treuhand GmbH'}",2025-11-07T19:56:22Z,Adzuna::API::Response::Job,DHBW Student Wirtschaftsinformatik - Data Science (m/w/d),0,"{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","Tagtäglich stellen wir unser Wissen bereit - stets aktuelle Daten und Informationen rund ums Auto. Wir arbeiten beispielsweise für faire, unabhängig ermittelte Gebrauchtwagen- und Reparaturpreise für alle. Dabei übernimmt jeder Einzelne gerne Verantwortung für seine Aufgaben und: Es macht uns großen Spaß, gemeinsam erfolgreich zu sein. Weltweit entwickeln 550 Mitdenker und Mitdenkerinnen aus 26 Nationen zukunftsweisende IT-Lösungen, die den digitalen Wandel voranbringen. Aufgaben Ausbildungssta…",https://www.adzuna.de/land/ad/5485971518?se=eJP-DQW-8BG8weq5Y2Q7aA&utm_medium=api&utm_source=a4bcf954&v=410B2C9E6ACAC4F67A2E424CE3E12B81915815A1,48.72761,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Ostfildern'], 'display_name': 'Ostfildern, Esslingen (Kreis)'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ4NTk3MTUxOCIsInMiOiJlSlAtRFFXLThCRzh3ZXE1WTJRN2FBIn0.mNDdEHamtaZBG-Bh7U9Gg0PpSShlE_CKoE0r8FF9VmM,5485971518,,,,
9.851063,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Robert Bosch GmbH'}",2025-10-02T20:38:28Z,Adzuna::API::Response::Job,Ausbildung: Bachelor of Science (B.Sc.) Studiengang: Data Science & Künstliche Intelligenz,0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'other-general-jobs', 'label': 'Sonstige/Allgemeine Stellen'}","Bachelor of Science (B.Sc.) Studiengang: Data Science & Künstliche Intelligenz Ausschreibungs-Nr 2026_322 Ausbildungsbeginn 2026 Standort Schwäbisch Gmünd Aufgaben Gestalte die digitale Zukunft? Mit uns! Data Science & KI sind keine Buzzwords - sie sind der Motor unserer Zeit. Ob smarte Produkte, autonome Systeme oder datengetriebene Entscheidungen: Hier gestaltest du die Technologien, die morgen Alltag sind. Mit deinem dualen Studium bei uns verbindest du Wissen & Praxis: spannende Theorie an …",https://www.adzuna.de/land/ad/5427365393?se=eJP-DQW-8BG8weq5Y2Q7aA&utm_medium=api&utm_source=a4bcf954&v=846DE80256960021B702EE024365A3FBE036F87D,48.79495,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Schwäbisch Gmünd'], 'display_name': 'Schwäbisch Gmünd, Ostalbkreis'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZUpQLURRVy04Qkc4d2VxNVkyUTdhQSIsImkiOiI1NDI3MzY1MzkzIn0.JbQ_a3SCTFHV1-GoGZH2vxDCOwqJGSNYkf4e1HWG96A,5427365393,,,,
9.96608,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Deutsches Primatenzentrum GmbH - Leibniz-Institut für Primatenforschung '}",2025-11-05T19:20:56Z,Adzuna::API::Response::Job,PhD Candidates in Data Science (m/f/div),0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'teaching-jobs', 'label': 'Lehrberufe'}","The DPZ's Primate Data Science (PRIDAS) platform seeks to fill several positions for PhD Candidates in Data Science (m/f/div) The central task of the PRIDAS is developing and providing data science support services, processing and analysis methods, as well as management of highly complex multimodal data. Our research with primates involves a combination of neurophysiological, hormonal, pharmacological and genetic data with the recording of gaze direction, motor skills, as well as decision-makin…",https://www.adzuna.de/land/ad/5482537336?se=eJP-DQW-8BG8weq5Y2Q7aA&utm_medium=api&utm_source=a4bcf954&v=6294206879D7405F4683BF9727CB61D662DC11C3,51.5842,"{'area': ['Deutschland', 'Niedersachsen', 'Göttingen (Kreis)', 'Göttingen', 'Deppoldshausen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deppoldshausen, Göttingen'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ4MjUzNzMzNiIsInMiOiJlSlAtRFFXLThCRzh3ZXE1WTJRN2FBIn0.4U6C1zy0Yp7hiI_6POdrzBBwXR8sHp8sANVlie1Xzf0,5482537336,,,,
11.083642,"{'display_name': 'Datev eG', '__CLASS__': 'Adzuna::API::Response::Company'}",2025-08-01T03:06:44Z,Adzuna::API::Response::Job,"Duales Studium Bachelor of Science in Data Science und Künstlicher Intelligenz (m/w/d), ab 09/2026",0,"{'label': 'IT-Stellen', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}","Das ist das Arbeitsumfeld: Bei DATEV arbeitest du nicht nur in einem Team, sondern bist von Anfang an Teil einer Gemeinschaft, die rund 200 Auszubildende und dual Studierende umfasst. Du bist in verschiedene Aufgaben eingebunden, die sowohl herausfordernd als auch abwechslungsreich sind. Gemeinsam sorgen wir für exzellente Kundenberatung und langfristige Geschäftsbeziehungen. Du arbeitest in einem dynamischen und innovativen Umfeld, das neuen Ideen und Weiterentwicklungen stets offen gegenübers…",https://www.adzuna.de/land/ad/5331000753?se=eJP-DQW-8BG8weq5Y2Q7aA&utm_medium=api&utm_source=a4bcf954&v=D06BB784CDCAB65AF1288C4E55C766AC1F1D24B5,49.443967,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'Nürnberg'], 'display_name': 'Nürnberg, Bayern'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTMzMTAwMDc1MyIsInMiOiJlSlAtRFFXLThCRzh3ZXE1WTJRN2FBIn0.j-QrhkcKJ066KuNwIYRhDgEcpDe4PvnJ5lGp1KVGMcQ,5331000753,full_time,,,
