adref,location,salary_is_predicted,redirect_url,created,title,latitude,__CLASS__,category,longitude,description,id,company,contract_time,salary_min,salary_max,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaHBJVFRZWEQ4QkcxbVkyc29qWVRkdyIsImkiOiI1NDc2MDU1NjE3In0.6gRkcr5P7Hzg2-QkLuSagU-dTJRBfz9LPKbJU9h1O1I,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Bielefeld, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bielefeld']}",0,https://www.adzuna.de/land/ad/5476055617?se=hpITTYXD8BG1mY2sojYTdw&utm_medium=api&utm_source=a4bcf954&v=CB8C632A79EC598D3A5BD65D849E671BD4459150,2025-11-01T21:45:46Z,"W2-Vertretungsprofessur Allgemeine Betriebswirtschaftslehre, insb. Personalmanagement, HR Data Science und KI",52.021203,Adzuna::API::Response::Job,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",8.543293,"Die Hochschule Bielefeld (HSBI) mit ihren über 10.000 Studierenden steht für höchste Standards in Lehre, Forschung und Wissenstransfer. Die Fachbereiche Gestaltung, Campus Minden, Ingenieurwissenschaften und Mathematik, Sozialwesen, Wirtschaft und Gesundheit arbeiten interdisziplinär, forschungsbasiert und eng vernetzt. Regionale und internationale Kooperationen sowie gelebte Vielfalt und Nachhaltigkeit prägen die Arbeit an den Standorten Bielefeld, Minden und Gütersloh. Der Fachbereich Wirtsch…",5476055617,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Hochschule Bielefeld'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaHBJVFRZWEQ4QkcxbVkyc29qWVRkdyIsImkiOiI1NDk5NjEwOTgxIn0.Jl_23BoSdwsgJQ-NtORgY5mgeaz9uDuLv51lbVCI_dE,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Karlsruhe, Karlsruhe (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe']}",0,https://www.adzuna.de/land/ad/5499610981?se=hpITTYXD8BG1mY2sojYTdw&utm_medium=api&utm_source=a4bcf954&v=7206ECB00F82EDCB48B3D686C04246BA902D141D,2025-11-16T20:25:15Z,Duales Studium Data Science & Künstliche Intelligenz B.Sc.,49.001249,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",8.412378,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,5499610981,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Atruvia AG'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaHBJVFRZWEQ4QkcxbVkyc29qWVRkdyIsImkiOiI1NDk5NjEyOTc1In0.UkXwqtEBzl_MLhEKfK1nf1LfCijQmGr2XooqNEQuqJg,"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}",0,https://www.adzuna.de/land/ad/5499612975?se=hpITTYXD8BG1mY2sojYTdw&utm_medium=api&utm_source=a4bcf954&v=F141C0D95E4DB30AB032D1A5BE50727C085C8148,2025-11-16T20:25:45Z,Duales Bachelor Studium: Wirtschaftsinformatik – Data Science (September 2026 – DHBW Stuttgart),,Adzuna::API::Response::Job,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,"Duales Bachelor Studium: Wirtschafts­informatik – Data Science (September 2026 – DHBW Stuttgart) Bereich: Ausbildung / Duales Studium Standort: Owen bei Kirchheim / Teck Beschäftigungsart: Duales Studium Über 60 Jahre Erfahrung haben Leuze zum Experten für innovative und effiziente Sensor- und Sicherheits­lösungen in der Automatisierungs­technik gemacht. Heute sorgen wir – rund 1.600 Sensor People weltweit – mit Neugier, Leiden­schaft und Entschlossen­heit für Fort­schritt und Wandel. Unser Ant…",5499612975,"{'display_name': 'Leuze electronic GmbH + Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaHBJVFRZWEQ4QkcxbVkyc29qWVRkdyIsImkiOiI1NDk0NTI3ODIwIn0.K7WsDlXIcfRjLOt2jx2peYhoMsKVyDlr_IjuTCo5exo,"{'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location'}",0,https://www.adzuna.de/land/ad/5494527820?se=hpITTYXD8BG1mY2sojYTdw&utm_medium=api&utm_source=a4bcf954&v=6A8257699BC540EBB7756740C797DE0983C5C9BE,2025-11-13T20:21:00Z,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,48.776198,Adzuna::API::Response::Job,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}",9.187224,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",5494527820,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ4NTk1MzUwNiIsInMiOiJocElUVFlYRDhCRzFtWTJzb2pZVGR3In0.d8E0XtdFxCoTAXyfj85mIQ9M6dwt3_7wtOUAVFzkBL8,"{'area': ['Deutschland', 'Niedersachsen', 'Region Hannover (Kreis)', 'Hannover'], 'display_name': 'Hannover, Region Hannover (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",0,https://www.adzuna.de/land/ad/5485953506?se=hpITTYXD8BG1mY2sojYTdw&utm_medium=api&utm_source=a4bcf954&v=5A32F45EA5C62DC8DD0EBFBFFF5A6C2C07BE44DE,2025-11-07T19:45:00Z,"Dualer Masterstudent (m/w/d) Schwerpunkt Informatik, Data Science, Künstliche Intelligenz u.a.",52.378818,Adzuna::API::Response::Job,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",9.742751,"Das ITSC zählt zu den führenden IT-Dienstleistern im deutschen Gesundheitsmarkt und ist gleichzeitig einer der zentralen Orte in Deutschland zur Speicherung und Verarbeitung einer Vielzahl von Gesundheitsdaten. Wir begleiten unsere Kunden auf dem Weg der digitalen Transformation und gestalten auf diese Weise die Zukunft des deutschen Gesundheits-wesens. Du bist bei uns willkommen, wenn du etwas bewegen und dich in einem dynamischen Umfeld weiterentwickeln möchtest. Du hast bereits deinen Bachel…",5485953506,"{'display_name': 'ITSC GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaHBJVFRZWEQ4QkcxbVkyc29qWVRkdyIsImkiOiI1NDk4ODY2NzM5In0.RmSN9RsZUx9FT53eOe7yb61YAw2DBQZoh3vl-_oh5m8,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland'], 'display_name': 'Deutschland'}",0,https://www.adzuna.de/land/ad/5498866739?se=hpITTYXD8BG1mY2sojYTdw&utm_medium=api&utm_source=a4bcf954&v=70E5EC3F3425B15D4A7C0E27C7EDD897D5F2BC15,2025-11-16T07:16:23Z,"Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Start 2026",,Adzuna::API::Response::Job,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",,"HENSOLDT ist ein führendes Unternehmen der europäischen Verteidigungsindustrie mit globaler Reichweite. Das Unternehmen mit Sitz in Taufkirchen bei München entwickelt Sensor-Komplettlösungen für Verteidigungs- und Sicherheitsanwendungen. Als Technologieführer treibt HENSOLDT die Entwicklung der Verteidigungselektronik und Optronik voran und baut sein Portfolio auf der Grundlage innovativer Ansätze für Datenmanagement, Robotik und Cybersicherheit kontinuierlich aus. Unsere Produkte sind einsetzb…",5498866739,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'HENSOLDT'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaHBJVFRZWEQ4QkcxbVkyc29qWVRkdyIsImkiOiI1NDczNDgxOTIzIn0.s47EaiR5RMQ2jms5xGedcU7_6R_MCrKxG5eXzeGr2FU,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bonn', 'Gronau'], 'display_name': 'Gronau, Bonn'}",0,https://www.adzuna.de/land/ad/5473481923?se=hpITTYXD8BG1mY2sojYTdw&utm_medium=api&utm_source=a4bcf954&v=CC4CC5719039ECC16115B73A9DB875F82C968FDB,2025-10-31T23:57:43Z,Dozent (w/m/d) für Data Science in Bonn,50.71807,Adzuna::API::Response::Job,"{'tag': 'teaching-jobs', 'label': 'Lehrberufe', '__CLASS__': 'Adzuna::API::Response::Category'}",7.12532,"Über uns Gemeinsam. Digital. Erfolgreich. – das ist karriere tutor® Karriere tutor® ist der Spezialist für Online-Weiterbildung. Unser Ziel ist es, Menschen mit unseren Weiterbildungen beruflich erfolgreicher und glücklicher zu machen. Wir schaffen Chancen durch Bildung und öffnen unseren Kundinnen und Kunden neue Karrieretüren. Dabei holen wir die Menschen dort ab, wo sie stehen, legen mit ihnen gemeinsam den Weg fest, begleiten sie bis zum erfolgreichen Zertifikat und unterstützen sie bei der…",5473481923,"{'display_name': 'karriere tutor GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",full_time,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaHBJVFRZWEQ4QkcxbVkyc29qWVRkdyIsImkiOiI1NDgyNTM3MzM2In0.9cBqZvlH3wYy2iiMSMQz-zgxrx2IuIyM5eQc109ZOQc,"{'display_name': 'Deppoldshausen, Göttingen', 'area': ['Deutschland', 'Niedersachsen', 'Göttingen (Kreis)', 'Göttingen', 'Deppoldshausen'], '__CLASS__': 'Adzuna::API::Response::Location'}",0,https://www.adzuna.de/land/ad/5482537336?se=hpITTYXD8BG1mY2sojYTdw&utm_medium=api&utm_source=a4bcf954&v=6294206879D7405F4683BF9727CB61D662DC11C3,2025-11-05T19:20:56Z,PhD Candidates in Data Science (m/f/div),51.5842,Adzuna::API::Response::Job,"{'tag': 'teaching-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Lehrberufe'}",9.96608,"The DPZ's Primate Data Science (PRIDAS) platform seeks to fill several positions for PhD Candidates in Data Science (m/f/div) The central task of the PRIDAS is developing and providing data science support services, processing and analysis methods, as well as management of highly complex multimodal data. Our research with primates involves a combination of neurophysiological, hormonal, pharmacological and genetic data with the recording of gaze direction, motor skills, as well as decision-makin…",5482537336,"{'display_name': 'Deutsches Primatenzentrum GmbH - Leibniz-Institut für Primatenforschung ', '__CLASS__': 'Adzuna::API::Response::Company'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ3OTU0OTkxMCIsInMiOiJocElUVFlYRDhCRzFtWTJzb2pZVGR3In0.9mDr1cI8ERx0jvbVBlnJ9UuoDvPZMYMbkt7XzBbUPL8,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Gronau, Bonn', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bonn', 'Gronau']}",0,https://www.adzuna.de/land/ad/5479549910?se=hpITTYXD8BG1mY2sojYTdw&utm_medium=api&utm_source=a4bcf954&v=E9E5C42C489D687105F5648B9289E25B2BB6BA42,2025-11-04T08:00:47Z,Dozent (w/m/d) für Data Science in Bonn,50.71807,Adzuna::API::Response::Job,"{'tag': 'other-general-jobs', 'label': 'Sonstige/Allgemeine Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}",7.12532,"Über unsGemeinsam. Digital. Erfolgreich. – das ist karriere tutor®Karriere tutor® ist der Spezialist für Online-Weiterbildung. Unser Ziel ist es, Menschen mit unseren Weiterbildungen beruflich erfolgreicher und glücklicher zu machen. Wir schaffen Chancen durch Bildung und öffnen unseren Kundinnen und Kunden neue Karrieretüren. Dabei holen wir die Menschen dort ab, wo sie stehen, legen mit ihnen gemeinsam den Weg fest, begleiten sie bis zum erfolgreichen Zertifikat und unterstützen sie bei der S…",5479549910,"{'display_name': 'karriere tutor GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ5MTA1NTU3OSIsInMiOiJocElUVFlYRDhCRzFtWTJzb2pZVGR3In0.FkXs4MZBFcMxjmue0mCxrkFeLVPoxLQISakxYauvp1w,"{'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location'}",0,https://www.adzuna.de/land/ad/5491055579?se=hpITTYXD8BG1mY2sojYTdw&utm_medium=api&utm_source=a4bcf954&v=F433B68AA6CEB3DC6A6A522A1E1BC15F959119DB,2025-11-11T20:15:02Z,"Duales Studium Wirtschaftsinformatik - Vertiefung Data Science, Bachelor of Science, Mercedes-Benz Customer Solutions GmbH, Stuttgart Vaihingen, Studienbeginn 1. Oktober 2026 (m/w/d)",48.776198,Adzuna::API::Response::Job,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",9.187224,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",5491055579,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz Customer Solutions GmbH'}",,,,
