longitude,created,company,location,description,category,salary_is_predicted,__CLASS__,title,latitude,redirect_url,adref,id,contract_time,salary_min,contract_type,salary_max
8.543293,2025-11-01T21:45:46Z,"{'display_name': 'Hochschule Bielefeld', '__CLASS__': 'Adzuna::API::Response::Company'}","{'display_name': 'Bielefeld, Nordrhein-Westfalen', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bielefeld']}","Die Hochschule Bielefeld (HSBI) mit ihren über 10.000 Studierenden steht für höchste Standards in Lehre, Forschung und Wissenstransfer. Die Fachbereiche Gestaltung, Campus Minden, Ingenieurwissenschaften und Mathematik, Sozialwesen, Wirtschaft und Gesundheit arbeiten interdisziplinär, forschungsbasiert und eng vernetzt. Regionale und internationale Kooperationen sowie gelebte Vielfalt und Nachhaltigkeit prägen die Arbeit an den Standorten Bielefeld, Minden und Gütersloh. Der Fachbereich Wirtsch…","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",0,Adzuna::API::Response::Job,"W2-Vertretungsprofessur Allgemeine Betriebswirtschaftslehre, insb. Personalmanagement, HR Data Science und KI",52.021203,https://www.adzuna.de/land/ad/5476055617?se=zIfzeQXJ8BGwB5FR_YPEZA&utm_medium=api&utm_source=a4bcf954&v=CB8C632A79EC598D3A5BD65D849E671BD4459150,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ3NjA1NTYxNyIsInMiOiJ6SWZ6ZVFYSjhCR3dCNUZSX1lQRVpBIn0.8z5nSF2c0gj8rN34RhhjzGIpAYgJJXTpARBvdv3UDuA,5476055617,,,,
8.412378,2025-11-16T20:25:15Z,"{'display_name': 'Atruvia AG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], 'display_name': 'Karlsruhe, Karlsruhe (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",0,Adzuna::API::Response::Job,Duales Studium Data Science & Künstliche Intelligenz B.Sc.,49.001249,https://www.adzuna.de/land/ad/5499610981?se=zIfzeQXJ8BGwB5FR_YPEZA&utm_medium=api&utm_source=a4bcf954&v=7206ECB00F82EDCB48B3D686C04246BA902D141D,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ5OTYxMDk4MSIsInMiOiJ6SWZ6ZVFYSjhCR3dCNUZSX1lQRVpBIn0.-wHkPhfh7-JyiCFx5Oc8pWHP2fXZUHcqlp50SL3jLp4,5499610981,,,,
9.187224,2025-11-19T21:27:57Z,"{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}","WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}",0,Adzuna::API::Response::Job,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,48.776198,https://www.adzuna.de/land/ad/5504016108?se=zIfzeQXJ8BGwB5FR_YPEZA&utm_medium=api&utm_source=a4bcf954&v=9828DA095067207E083E60E18D6725E50B8E86C9,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwNDAxNjEwOCIsInMiOiJ6SWZ6ZVFYSjhCR3dCNUZSX1lQRVpBIn0.BsZUt4-FpdP0xUaJpgcKgzE6iRXQpLmbmWgC0LJfgcs,5504016108,,,,
8.412378,2025-11-23T10:55:27Z,"{'display_name': 'weisenburger bau GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}","{'display_name': 'Karlsruhe, Karlsruhe (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe']}","Standort: Karlsruhe Werkstudent (m/w/d) im Bereich Künstliche Intelligenz (KI) und Data Science „Wir bauen Zukunft!“ – unter diesem Slogan entwickelt sich weisenburger nach­haltig: 1955 gegründet, umfasst die weisenburger-Gruppe erfolg­reiche Unter­nehmen im Bau- und Immo­bilien­bereich. Mit mehr als 650 Mitar­beitern wird eine Gesamt­leis­tung von 500 Mio. € erreicht. weisenburger plant und errichtet Wohn­gebäude und Reihen­häuser, Pflege­einrich­tungen und Hotels sowie Büro- und Gewerbe­fläch…","{'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs'}",0,Adzuna::API::Response::Job,Werkstudent (m/w/d) im Bereich Künstliche Intelligenz (KI) und Data Science,49.001249,https://www.adzuna.de/land/ad/5510256451?se=zIfzeQXJ8BGwB5FR_YPEZA&utm_medium=api&utm_source=a4bcf954&v=DDDD54647A05403DDFCFD36DF074D246A198BDC7,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieklmemVRWEo4Qkd3QjVGUl9ZUEVaQSIsImkiOiI1NTEwMjU2NDUxIn0.UNwHvJAJOiSqHg4t7Xt8UngWtVLmnyRK_1JQFFtQY58,5510256451,,,,
,2025-11-16T20:25:45Z,"{'display_name': 'Leuze electronic GmbH + Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland']}","Duales Bachelor Studium: Wirtschafts­informatik – Data Science (September 2026 – DHBW Stuttgart) Bereich: Ausbildung / Duales Studium Standort: Owen bei Kirchheim / Teck Beschäftigungsart: Duales Studium Über 60 Jahre Erfahrung haben Leuze zum Experten für innovative und effiziente Sensor- und Sicherheits­lösungen in der Automatisierungs­technik gemacht. Heute sorgen wir – rund 1.600 Sensor People weltweit – mit Neugier, Leiden­schaft und Entschlossen­heit für Fort­schritt und Wandel. Unser Ant…","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",0,Adzuna::API::Response::Job,Duales Bachelor Studium: Wirtschaftsinformatik – Data Science (September 2026 – DHBW Stuttgart),,https://www.adzuna.de/land/ad/5499612975?se=zIfzeQXJ8BGwB5FR_YPEZA&utm_medium=api&utm_source=a4bcf954&v=F141C0D95E4DB30AB032D1A5BE50727C085C8148,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieklmemVRWEo4Qkd3QjVGUl9ZUEVaQSIsImkiOiI1NDk5NjEyOTc1In0.J9ILTtP901n7vzAHiNfn0u6TpUzGFBn0ofsYkdmyGWY,5499612975,,,,
11.589469,2025-11-17T21:26:08Z,"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}","{'area': ['Deutschland', 'Thüringen', 'Jena'], 'display_name': 'Jena, Thüringen', '__CLASS__': 'Adzuna::API::Response::Location'}","Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",0,Adzuna::API::Response::Job,"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026",50.923007,https://www.adzuna.de/land/ad/5500860789?se=zIfzeQXJ8BGwB5FR_YPEZA&utm_medium=api&utm_source=a4bcf954&v=60C1FBFECD9E0D5EEEBEB9541F3CA65D8B8F9C11,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwMDg2MDc4OSIsInMiOiJ6SWZ6ZVFYSjhCR3dCNUZSX1lQRVpBIn0.NcX6beyw0NKN32aPoKXweicHleWr2Obp-NGXuEyWXQQ,5500860789,,,,
,2025-11-16T07:16:23Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Hensoldt'}","{'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland'}","HENSOLDT ist ein führendes Unternehmen der europäischen Verteidigungsindustrie mit globaler Reichweite. Das Unternehmen mit Sitz in Taufkirchen bei München entwickelt Sensor-Komplettlösungen für Verteidigungs- und Sicherheitsanwendungen. Als Technologieführer treibt HENSOLDT die Entwicklung der Verteidigungselektronik und Optronik voran und baut sein Portfolio auf der Grundlage innovativer Ansätze für Datenmanagement, Robotik und Cybersicherheit kontinuierlich aus. Unsere Produkte sind einsetzb…","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",0,Adzuna::API::Response::Job,"Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Start 2026",,https://www.adzuna.de/land/ad/5498866739?se=zIfzeQXJ8BGwB5FR_YPEZA&utm_medium=api&utm_source=a4bcf954&v=70E5EC3F3425B15D4A7C0E27C7EDD897D5F2BC15,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieklmemVRWEo4Qkd3QjVGUl9ZUEVaQSIsImkiOiI1NDk4ODY2NzM5In0.4QxE6E4DSbJ6M5o6FDpiUM_oSJSPQ1mjuETBIRcFyVo,5498866739,,,,
9.742751,2025-11-11T20:14:22Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ITSC GmbH'}","{'area': ['Deutschland', 'Niedersachsen', 'Region Hannover (Kreis)', 'Hannover'], 'display_name': 'Hannover, Region Hannover (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}","Das ITSC zählt zu den führenden IT-Dienstleistern im deutschen Gesundheitsmarkt und ist gleichzeitig einer der zentralen Orte in Deutschland zur Speicherung und Verarbeitung einer Vielzahl von Gesundheitsdaten. Wir begleiten unsere Kunden auf dem Weg der digitalen Transformation und gestalten auf diese Weise die Zukunft des deutschen Gesundheits-wesens. Du bist bei uns willkommen, wenn du etwas bewegen und dich in einem dynamischen Umfeld weiterentwickeln möchtest. Du hast bereits deinen Bachel…","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",0,Adzuna::API::Response::Job,"Dualer Masterstudent (m/w/d) Schwerpunkt Informatik, Data Science, Künstliche Intelligenz u.a.",52.378818,https://www.adzuna.de/land/ad/5491053941?se=zIfzeQXJ8BGwB5FR_YPEZA&utm_medium=api&utm_source=a4bcf954&v=E94E284066FA256A052ED6C825DB874A5A5FD9ED,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieklmemVRWEo4Qkd3QjVGUl9ZUEVaQSIsImkiOiI1NDkxMDUzOTQxIn0.O0DV8sJbRIsR7DfvmuOtR9I8iNhjOBA5YU0gS-iOQyU,5491053941,,,,
11.083642,2025-11-17T14:42:01Z,"{'display_name': 'Datev eG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Nürnberg, Bayern', 'area': ['Deutschland', 'Bayern', 'Nürnberg']}","Das ist das Arbeitsumfeld: Das AI Office setzt als strategische Governance-Einheit den Rahmen, um Mehrwerte für unsere Kund:innen durch den Einsatz von Künstlicher Intelligenz (KI)/Machine Learning (ML) zu schaffen. Als Werkstudent (m/w/d) Data Science im AI Office begleitest und unterstützt Du die Mitarbeitenden bei der Beratung und Unterstützung von Workstreams in diesem Kontext, beispielsweise bei der Evaluierung und/oder Umsetzung konkreter Use Cases. Das sind die Aufgaben: Du setzt KI-Idee…","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}",0,Adzuna::API::Response::Job,Werkstudent Data Science & Machine Learning (m/w/d),49.443967,https://www.adzuna.de/land/ad/5500312617?se=zIfzeQXJ8BGwB5FR_YPEZA&utm_medium=api&utm_source=a4bcf954&v=60AF68BE5A5A1A528D428332FB5A010940AF9759,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwMDMxMjYxNyIsInMiOiJ6SWZ6ZVFYSjhCR3dCNUZSX1lQRVpBIn0.ZwPTLJ1cZvffWbAZLzxE7-0pkcgUqZ_8TckElhFKJsQ,5500312617,full_time,,,
8.235274,2025-10-28T09:43:36Z,"{'display_name': 'Mercedes-Benz Tech Innovation', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Baden-Baden, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Baden-Baden']}","Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",0,Adzuna::API::Response::Job,Duales Studium Data Science / Künstliche Intelligenz in Kooperation mit der Dualen Hochschule Baden-Württemberg 2026 (m/w/d),48.754667,https://www.adzuna.de/land/ad/5467591475?se=zIfzeQXJ8BGwB5FR_YPEZA&utm_medium=api&utm_source=a4bcf954&v=AB797B9F660A55C551EA09BBEB6270DEF68425BB,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieklmemVRWEo4Qkd3QjVGUl9ZUEVaQSIsImkiOiI1NDY3NTkxNDc1In0.R8ryQdrzxJvmNY_V0nMoWjrp9Afu0O6c_Z5ZSs9PRDM,5467591475,,,,
