longitude,salary_is_predicted,location,company,title,id,latitude,adref,description,redirect_url,__CLASS__,created,category,contract_time,contract_type,salary_min,salary_max
9.2274,0,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",Duales Studium Wirtschaftsinformatik - Data Science 2026,5485957394,49.18975,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ4NTk1NzM5NCIsInMiOiJiR0Q0Rm9iTzhCR3c4WktjV3ZCY0V3In0.wdtCYdf-xWYbGatGALqDKFjA_IZQ4JRuebIj34w4mjg,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",https://www.adzuna.de/land/ad/5485957394?se=bGD4FobO8BGw8ZKcWvBcEw&utm_medium=api&utm_source=a4bcf954&v=DD70E69F2197B19F1B6DCB78738B72DA0A6C6F1D,Adzuna::API::Response::Job,2025-11-07T19:45:24Z,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",,,,
9.187224,0,"{'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,5512400170,48.776198,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYkdENEZvYk84Qkd3OFpLY1d2QmNFdyIsImkiOiI1NTEyNDAwMTcwIn0.zXB1-85u-PukAifCSVpYxus_COTei1_RfRMzLFQ1-3U,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",https://www.adzuna.de/land/ad/5512400170?se=bGD4FobO8BGw8ZKcWvBcEw&utm_medium=api&utm_source=a4bcf954&v=E61D8E90A96E71B0FFD0F9530BFF8E45053B0E10,Adzuna::API::Response::Job,2025-11-25T12:57:53Z,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}",,,,
8.412378,0,"{'display_name': 'Karlsruhe, Karlsruhe (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'display_name': 'Atruvia AG', '__CLASS__': 'Adzuna::API::Response::Company'}",Duales Studium Data Science & Künstliche Intelligenz B.Sc.,5512404916,49.001249,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYkdENEZvYk84Qkd3OFpLY1d2QmNFdyIsImkiOiI1NTEyNDA0OTE2In0.eGF42XOXZfbXYVpMIZSlURopSDTzew-f0-MMNBzy76k,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,https://www.adzuna.de/land/ad/5512404916?se=bGD4FobO8BGw8ZKcWvBcEw&utm_medium=api&utm_source=a4bcf954&v=7E1A165FFAEEF7B4F64733A0A82B6A3121733053,Adzuna::API::Response::Job,2025-11-25T12:58:32Z,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",,,,
11.083642,0,"{'display_name': 'Nürnberg, Bayern', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'Nürnberg']}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Datev eG'}",Werkstudent Data Science & Machine Learning (m/w/d),5500312617,49.443967,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwMDMxMjYxNyIsInMiOiJiR0Q0Rm9iTzhCR3c4WktjV3ZCY0V3In0.QJfJdJjaxCGvk4_M-2TXHyXMuXhg5EaWgO9E6JTFCJ0,"Das ist das Arbeitsumfeld: Das AI Office setzt als strategische Governance-Einheit den Rahmen, um Mehrwerte für unsere Kund:innen durch den Einsatz von Künstlicher Intelligenz (KI)/Machine Learning (ML) zu schaffen. Als Werkstudent (m/w/d) Data Science im AI Office begleitest und unterstützt Du die Mitarbeitenden bei der Beratung und Unterstützung von Workstreams in diesem Kontext, beispielsweise bei der Evaluierung und/oder Umsetzung konkreter Use Cases. Das sind die Aufgaben: Du setzt KI-Idee…",https://www.adzuna.de/land/ad/5500312617?se=bGD4FobO8BGw8ZKcWvBcEw&utm_medium=api&utm_source=a4bcf954&v=60AF68BE5A5A1A528D428332FB5A010940AF9759,Adzuna::API::Response::Job,2025-11-17T14:42:01Z,"{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",full_time,,,
9.198334,0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ludwigsburg (Kreis)', 'Ludwigsburg'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Ludwigsburg, Ludwigsburg (Kreis)'}","{'display_name': 'Wolters Kluwer Tax & Accounting Deutschland GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Duales Studium Bachelor der Wirtschaftsinformatik - Data Science (m/w/d),5492611596,48.876425,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ5MjYxMTU5NiIsInMiOiJiR0Q0Rm9iTzhCR3c4WktjV3ZCY0V3In0.72mWUtKKBn5XDCFRnYSnRDtc7ojQFH5Wa6eE5UtTR1I,"Gestalten Sie mit uns heute schon die Zukunft! Seit über 180 Jahren steht Wolters Kluwer dafür, Arbeitsprozesse mit innovativen Lösungen zu unterstützen und zu erleichtern. Unsere Niederlassungen in mehr als 40 Ländern betreuen Kunden in über 180 Ländern. Im Jahr 2023 verzeichneten wir einen Jahresumsatz von 5,6 Milliarden Euro. Unsere Expertenlösungen vereinen fundiertes Fachwissen mit Technologie, damit unsere Kunden die wichtigsten Herausforderungen meistern können. Für die Umsetzung unserer…",https://www.adzuna.de/land/ad/5492611596?se=bGD4FobO8BGw8ZKcWvBcEw&utm_medium=api&utm_source=a4bcf954&v=CDB07FB77F0879684103641B6B6DA051BE7A9379,Adzuna::API::Response::Job,2025-11-12T19:57:46Z,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",,,,
9.12661,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Leingarten'], 'display_name': 'Leingarten, Heilbronn (Kreis)'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'thyssenkrupp Automotive Body Solutions GmbH'}",Duales Studium - Data Science/KI (m/w/d) 2026,5515527402,49.14383,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUxNTUyNzQwMiIsInMiOiJiR0Q0Rm9iTzhCR3c4WktjV3ZCY0V3In0.g-DQWIAH8L_pS-0Iuk3jDnnqqnLywUta9Dju4fTgyZo,"thyssenkrupp ist ein international aufgestellter Industrie- und Technologiekonzern mit rund 98.000 Beschäftigten. In 47 Ländern erwirtschaftete das Unternehmen im Geschäftsjahr 2023/2024 einen Umsatz von 35 Mrd €. Die Geschäftsaktivitäten sind in fünf Segmenten gebündelt: Automotive Technology, Decarbon Technologies, Materials Services, Steel Europe und Marine Systems. Mit umfassendem Technologie-Know-how entwickeln die Geschäfte innovative Lösungen für die Herausforderungen der Zukunft, vor al…",https://www.adzuna.de/land/ad/5515527402?se=bGD4FobO8BGw8ZKcWvBcEw&utm_medium=api&utm_source=a4bcf954&v=AF4EEDFF1531EE5375224377A65A0F336EB7AC5C,Adzuna::API::Response::Job,2025-11-27T00:39:03Z,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",,,,
11.59129,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München', 'Au-Haidhausen'], 'display_name': 'Au-Haidhausen, München'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'SPARKS University of Applied Sciences'}",Professur für Data Science,5515911716,48.13258,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYkdENEZvYk84Qkd3OFpLY1d2QmNFdyIsImkiOiI1NTE1OTExNzE2In0.bg7IYLEqc0_4_s9lFIN7slk0ZTO3tZjuI3Kr8oPh2bw,"Zum Wintersemester 2026/27 besetzen wir in Vollzeit oder Teilzeit (mind. 50% Stellenumfang) eine: Professur für Data Science Unsere Professor:innen sind so neugierig wie unsere Studierenden und lernen mit ihnen - nach einem akademischen Konzept, das kollaborativ und kreativ ist. Sie zünden SPARKS, die aus unseren Studierenden breit gebildete Fachkräfte für Marketing­kom­muni­ka­tion machen - und Expert:innen für ein Leben in Zeiten tiefgreifender Veränderungen. Ihr Profil Sie haben ein Hochschu…",https://www.adzuna.de/land/ad/5515911716?se=bGD4FobO8BGw8ZKcWvBcEw&utm_medium=api&utm_source=a4bcf954&v=73617BD5EFD6997AC0B4468EB6312F9B720BE069,Adzuna::API::Response::Job,2025-11-27T09:34:49Z,"{'tag': 'teaching-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Lehrberufe'}",,,,
8.543293,0,"{'display_name': 'Bielefeld, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bielefeld'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'display_name': 'Hochschule Bielefeld', '__CLASS__': 'Adzuna::API::Response::Company'}","W2-Vertretungsprofessur Allgemeine Betriebswirtschaftslehre, insb. Personalmanagement, HR Data Science und KI",5476055617,52.021203,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ3NjA1NTYxNyIsInMiOiJiR0Q0Rm9iTzhCR3c4WktjV3ZCY0V3In0.Y146xvjdIKJjIfLOzOFrX5yb4dfffAUCprQDXUsJ7Fc,"Die Hochschule Bielefeld (HSBI) mit ihren über 10.000 Studierenden steht für höchste Standards in Lehre, Forschung und Wissenstransfer. Die Fachbereiche Gestaltung, Campus Minden, Ingenieurwissenschaften und Mathematik, Sozialwesen, Wirtschaft und Gesundheit arbeiten interdisziplinär, forschungsbasiert und eng vernetzt. Regionale und internationale Kooperationen sowie gelebte Vielfalt und Nachhaltigkeit prägen die Arbeit an den Standorten Bielefeld, Minden und Gütersloh. Der Fachbereich Wirtsch…",https://www.adzuna.de/land/ad/5476055617?se=bGD4FobO8BGw8ZKcWvBcEw&utm_medium=api&utm_source=a4bcf954&v=CB8C632A79EC598D3A5BD65D849E671BD4459150,Adzuna::API::Response::Job,2025-11-01T21:45:46Z,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",,,,
,0,"{'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland']}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Leuze electronic GmbH + Co. KG'}",Duales Bachelor Studium: Wirtschaftsinformatik – Data Science (September 2026 – DHBW Stuttgart),5488728229,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYkdENEZvYk84Qkd3OFpLY1d2QmNFdyIsImkiOiI1NDg4NzI4MjI5In0.ojVgqogo1h0A0LIL7RCuiPAkKympVSuk3Xmv_ssaWmA,"Duales Bachelor Studium: Wirtschafts­informatik – Data Science (September 2026 – DHBW Stuttgart) Bereich: Ausbildung / Duales Studium Standort: Owen bei Kirchheim / Teck Beschäftigungsart: Duales Studium Über 60 Jahre Erfahrung haben Leuze zum Experten für innovative und effiziente Sensor- und Sicherheits­lösungen in der Automatisierungs­technik gemacht. Heute sorgen wir – rund 1.600 Sensor People weltweit – mit Neugier, Leiden­schaft und Entschlossen­heit für Fort­schritt und Wandel. Unser Ant…",https://www.adzuna.de/land/ad/5488728229?se=bGD4FobO8BGw8ZKcWvBcEw&utm_medium=api&utm_source=a4bcf954&v=2BB391FE4079E831655247415A62B29D1E2C4027,Adzuna::API::Response::Job,2025-11-09T19:59:54Z,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",,,,
,0,"{'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland'}","{'display_name': 'Swarco AG', '__CLASS__': 'Adzuna::API::Response::Company'}",Schulabsolvent als Dualer Student Künstliche Intelligenz & Data Science (m/w/d),5492336776,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYkdENEZvYk84Qkd3OFpLY1d2QmNFdyIsImkiOiI1NDkyMzM2Nzc2In0.0MpJLsHMCmtaGHl00riL7p0rhX-wZyLEuhY-mhYhK7c,"Aufgaben Das primäre Ziel ist die Ausbildung von Informatik-Allroundern (m/w/d) für eine Tätigkeit in der Berufspraxis Die Pflichtfächer decken ein breites fachliches Spektrum ab, eine große Zahl an Modulen mit Wahlmöglichkeit erlaubt die individuelle Vertiefung Während der Praxisphasen erhältst du von uns Projekte und/oder Problemstellungen, die du selbstständig behandelst und natürlich mit Unterstützung löst Das Studium verbindet ein wissenschaftliches Hochschulstudium mit unternehmerischer P…",https://www.adzuna.de/land/ad/5492336776?se=bGD4FobO8BGw8ZKcWvBcEw&utm_medium=api&utm_source=a4bcf954&v=2943AE67898FDE42079E37CFC5F7E390C951177C,Adzuna::API::Response::Job,2025-11-12T15:13:27Z,"{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",full_time,,,
