description,id,redirect_url,company,location,longitude,latitude,title,__CLASS__,created,category,adref,salary_is_predicted,contract_time,contract_type,salary_min,salary_max
"Die ZECH Building SE bündelt alle Baukompetenzen der Zech Group SE. Diese ist eine strategische Management-Holding, unter deren Dach drei Geschäftsbereiche mit ihren operativ tätigen Führungsgesellschaften zusammengefasst sind. Vielfältige Leistungen machen das Unternehmen zu einem kompetenten Partner in den Be­reichen Building, Real Estate und Hotel. Als breit aufge­stellte, diversifizierte Unternehmensgruppe konzentriert es sich auf die Wertschöpfungskette rund um die Immobilie. Mittelständis…",5526798924,https://www.adzuna.de/land/ad/5526798924?se=5gzDXgbU8BGpRoq5pupTig&utm_medium=api&utm_source=a4bcf954&v=154B82CEB3C2481C15F1967D09A1741B983B94E5,"{'display_name': 'Zech Building SE', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Bremen, Deutschland', 'area': ['Deutschland', 'Bremen']}",8.786477,53.10403,Data-Science-Experte (w/m/d),Adzuna::API::Response::Job,2025-12-04T00:45:34Z,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Sonstige/Allgemeine Stellen', 'tag': 'other-general-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNWd6RFhnYlU4QkdwUm9xNXB1cFRpZyIsImkiOiI1NTI2Nzk4OTI0In0.NVq8LSc9Azij2VxnnD3FnyRK6yfgsH2AmR_EV8UIp88,0,,,,
"Wer wir sind: Wir sind ein dynamisches, inhabergeführtes Unternehmen in der Technologieregion Karlsruhe. Als Systemspezialisten im Bereich Enterprise Service Management setzen wir auf maßgeschneiderte Lösungen, die unsere Kunden wirklich voranbringen. Mit einem klaren Fokus auf die neuesten Technologien und Produkte unserer renommierten Partner – Matrix42 und Nexthink – sowie unserem eigenen Produkt F4SD, helfen wir Unternehmen dabei, ihre Prozesse zu optimieren und ihre Effizienz zu steigern .…",5525065768,https://www.adzuna.de/land/ad/5525065768?se=5gzDXgbU8BGpRoq5pupTig&utm_medium=api&utm_source=a4bcf954&v=4E7553F1A79C8B2D9CD75B15ACF4215125125784,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Consulting4IT GmbH'}","{'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Waldbronn'], 'display_name': 'Waldbronn, Karlsruhe (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",8.47965,48.92967,Duales Studium Data Science & KI (m/w/d),Adzuna::API::Response::Job,2025-12-03T00:46:40Z,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNWd6RFhnYlU4QkdwUm9xNXB1cFRpZyIsImkiOiI1NTI1MDY1NzY4In0.X8w9G1pHxjA_sxX756y36xTLnO2MxYWl58-pxtjBvFE,0,,,,
"Der Verband der Privaten Krankenversicherung e.V. gehört zu den Spitzenverbänden der deutschen Wirtschaft und vertritt die Interessen der Privaten Krankenversicherung und seiner Mitgliedsunternehmen. Wir sind im Geschäftsbereich Mathematik/Statistik zuständig für die Erstellung und Auswertung von Statistiken und die Kalkulation von Branchentarifen für die private Kranken- und Pflegeversicherung. Mit Hilfe der erhobenen Daten analysieren wir die Entwicklung der Branche , zeigen Ursachen für die …",5525063272,https://www.adzuna.de/land/ad/5525063272?se=5gzDXgbU8BGpRoq5pupTig&utm_medium=api&utm_source=a4bcf954&v=A16B290D5DCCDCAC1CBD618C80A0690119E82E0B,"{'display_name': 'Verband der Privaten Krankenversicherung e.V.', '__CLASS__': 'Adzuna::API::Response::Company'}","{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Köln'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Köln, Nordrhein-Westfalen'}",6.969972,50.940164,Mathematiker / Data Science (w/m/div.),Adzuna::API::Response::Job,2025-12-03T00:45:55Z,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUyNTA2MzI3MiIsInMiOiI1Z3pEWGdiVThCR3BSb3E1cHVwVGlnIn0.Cu3nAdl1KTNieKCIR7ACqpvs8PCOn__jhkVV3zltGAM,0,,,,
"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",5528652369,https://www.adzuna.de/land/ad/5528652369?se=5gzDXgbU8BGpRoq5pupTig&utm_medium=api&utm_source=a4bcf954&v=EA6178EA138FE3E76C6F04C109EC134136F4F097,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",9.2274,49.18975,Duales Studium Wirtschaftsinformatik - Data Science 2026,Adzuna::API::Response::Job,2025-12-05T01:16:13Z,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNWd6RFhnYlU4QkdwUm9xNXB1cFRpZyIsImkiOiI1NTI4NjUyMzY5In0.c8jWNeitZ0gz6guDmdCRVW8uFuyEiXYU2jBh1iNgzyI,0,,,,
"Zum Wintersemester 2026/27 besetzen wir in Vollzeit oder Teilzeit (mind. 50% Stellenumfang) eine: Professur für Data Science Unsere Professor:innen sind so neugierig wie unsere Studierenden und lernen mit ihnen - nach einem akademischen Konzept, das kollaborativ und kreativ ist. Sie zünden SPARKS, die aus unseren Studierenden breit gebildete Fachkräfte für Marketing­kom­muni­ka­tion machen - und Expert:innen für ein Leben in Zeiten tiefgreifender Veränderungen. Ihr Profil Sie haben ein Hochschu…",5515911716,https://www.adzuna.de/land/ad/5515911716?se=5gzDXgbU8BGpRoq5pupTig&utm_medium=api&utm_source=a4bcf954&v=73617BD5EFD6997AC0B4468EB6312F9B720BE069,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'SPARKS University of Applied Sciences'}","{'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München', 'Au-Haidhausen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Au-Haidhausen, München'}",11.59129,48.13258,Professur für Data Science,Adzuna::API::Response::Job,2025-11-27T09:34:49Z,"{'tag': 'teaching-jobs', 'label': 'Lehrberufe', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUxNTkxMTcxNiIsInMiOiI1Z3pEWGdiVThCR3BSb3E1cHVwVGlnIn0.suRCdXzaD6BIGXrB1Yr4G_cPYNXxvo0zilvQX8D9dQA,0,,,,
"Die ALH Gruppe zählt zu den bedeutenden Versicherungs- und Finanzdienst­leistungsunternehmen in Deutschland. Rund 3.000 Mitarbeiterinnen und Mitarbeiter bilden das Fundament für unseren Erfolg und sorgen täglich für erstklassigen Service, individuelle Beratung und die langfristige Zufriedenheit unserer Kunden. Aufgaben Innovative Technologien vorantreiben und betriebswirtschaftliche Zusammenhänge optimieren – als Absolvent (m/w/d) des Studiengangs Wirtschaftsinformatik (B.Sc.) weißt du wie´s ge…",5526799602,https://www.adzuna.de/land/ad/5526799602?se=5gzDXgbU8BGpRoq5pupTig&utm_medium=api&utm_source=a4bcf954&v=50A05ECE703B9D8307ABA909BAE2B6ABBEF5564A,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ALH Gruppe'}","{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg'}",9.187224,48.776198,Duales Studium Wirtschaftsinformatik – Data Science (B.Sc.),Adzuna::API::Response::Job,2025-12-04T00:46:29Z,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNWd6RFhnYlU4QkdwUm9xNXB1cFRpZyIsImkiOiI1NTI2Nzk5NjAyIn0.-s2zulb_pC7908X-43MLHTLm_Q1D4_GWRrRibbkc5Yo,0,,,,
"HENSOLDT ist ein führendes Unternehmen der europäischen Verteidigungsindustrie mit globaler Reichweite. Das Unternehmen mit Sitz in Taufkirchen bei München entwickelt Sensor-Komplettlösungen für Verteidigungs- und Sicherheitsanwendungen. Als Technologieführer treibt HENSOLDT die Entwicklung der Verteidigungselektronik und Optronik voran und baut sein Portfolio auf der Grundlage innovativer Ansätze für Datenmanagement, Robotik und Cybersicherheit kontinuierlich aus. Unsere Produkte sind einsetzb…",5525064460,https://www.adzuna.de/land/ad/5525064460?se=5gzDXgbU8BGpRoq5pupTig&utm_medium=api&utm_source=a4bcf954&v=D0C62E630ADE5C2417003A4FC4B6A85176E87BE5,"{'display_name': 'HENSOLDT', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland', 'area': ['Deutschland']}",,,"Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Start 2026",Adzuna::API::Response::Job,2025-12-03T00:46:18Z,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNWd6RFhnYlU4QkdwUm9xNXB1cFRpZyIsImkiOiI1NTI1MDY0NDYwIn0.Mb_zHE5oZi3pd2UgAPbzAc1_DgI5_5B80eAMXkA6VLw,0,,,,
"Freiburg im Breisgau ab sofort Wir bilden aus und suchen begeisterte Daten-Enthusiast:innen! KI, Data Engineering, Cloud Computing oder Big Data sollen nicht länger nur theoretische Begriffe sein? Dann ist unser duales Studium mit dem Schwerpunkt Data Science und Künstliche Intelligenz die perfekte Gelegenheit, um deine Fähigkeiten zu entwickeln und in die vielschichtige Welt der Daten einzutauchen. Setze jetzt den Startschuss für deine Karriere ab September 2026 im Studiengang Data Science und…",5466725194,https://www.adzuna.de/land/ad/5466725194?se=5gzDXgbU8BGpRoq5pupTig&utm_medium=api&utm_source=a4bcf954&v=2E265F75D4E76BB298528A5390B9ADF9BE5E0796,"{'display_name': 'Haufe Group SE', '__CLASS__': 'Adzuna::API::Response::Company'}","{'area': ['Deutschland', 'Baden-Württemberg', 'Freiburg im Breisgau'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Freiburg im Breisgau, Baden-Württemberg'}",7.816286,47.999458,Duales Studium 2026 - Data Science und KI B.Sc. (d/m/w),Adzuna::API::Response::Job,2025-10-27T21:42:06Z,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ2NjcyNTE5NCIsInMiOiI1Z3pEWGdiVThCR3BSb3E1cHVwVGlnIn0.UDN9fPOFeZRqd1ei3N9wvDgWgxCdQ4HvXJHl81YXf34,0,full_time,,,
"thyssenkrupp ist ein international aufgestellter Industrie- und Technologiekonzern mit rund 98.000 Beschäftigten. In 47 Ländern erwirtschaftete das Unternehmen im Geschäftsjahr 2023/2024 einen Umsatz von 35 Mrd €. Die Geschäftsaktivitäten sind in fünf Segmenten gebündelt: Automotive Technology, Decarbon Technologies, Materials Services, Steel Europe und Marine Systems. Mit umfassendem Technologie-Know-how entwickeln die Geschäfte innovative Lösungen für die Herausforderungen der Zukunft, vor al…",5529126607,https://www.adzuna.de/land/ad/5529126607?se=5gzDXgbU8BGpRoq5pupTig&utm_medium=api&utm_source=a4bcf954&v=64E90BEBD429CB927A91C86DE74FCB71EC445B93,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'thyssenkrupp Automotive Body Solutions GmbH'}","{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Leingarten'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Leingarten, Heilbronn (Kreis)'}",9.12661,49.14383,Duales Studium - Data Science/KI (m/w/d) 2026,Adzuna::API::Response::Job,2025-12-05T13:11:40Z,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUyOTEyNjYwNyIsInMiOiI1Z3pEWGdiVThCR3BSb3E1cHVwVGlnIn0.brZT6v2kHnHEEZmpohBngD939K803EoDngAlS0q-bxU,0,,,,
"Gestalten Sie mit uns heute schon die Zukunft! Seit über 180 Jahren steht Wolters Kluwer dafür, Arbeitsprozesse mit innovativen Lösungen zu unterstützen und zu erleichtern. Unsere Niederlassungen in mehr als 40 Ländern betreuen Kunden in über 180 Ländern. Im Jahr 2023 verzeichneten wir einen Jahresumsatz von 5,6 Milliarden Euro. Unsere Expertenlösungen vereinen fundiertes Fachwissen mit Technologie, damit unsere Kunden die wichtigsten Herausforderungen meistern können. Für die Umsetzung unserer…",5529130119,https://www.adzuna.de/land/ad/5529130119?se=5gzDXgbU8BGpRoq5pupTig&utm_medium=api&utm_source=a4bcf954&v=48AB5C66454BA10D2F9020A95A9E6193F0987559,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Wolters Kluwer Tax & Accounting Deutschland GmbH'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Ludwigsburg, Ludwigsburg (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Ludwigsburg (Kreis)', 'Ludwigsburg']}",9.198334,48.876425,Duales Studium Bachelor der Wirtschaftsinformatik - Data Science (m/w/d),Adzuna::API::Response::Job,2025-12-05T13:12:24Z,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUyOTEzMDExOSIsInMiOiI1Z3pEWGdiVThCR3BSb3E1cHVwVGlnIn0.dMNEkxSJ1MsouftZFK2RjMPpL4jVxqJ9x-RIzZO5eiA,0,,,,
