title,__CLASS__,location,latitude,id,redirect_url,category,company,salary_is_predicted,created,description,longitude,adref,contract_time,salary_max,salary_min,contract_type
Duales Studium Wirtschaftsinformatik - Data Science 2026,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",49.18975,5548026116,https://www.adzuna.de/land/ad/5548026116?se=jiSavAbf8BG434aVLFkWZQ&utm_medium=api&utm_source=a4bcf954&v=41DA62D993B44B9FEB8847AABCB7D4124FE0CAAB,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",0,2025-12-19T02:02:51Z,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",9.2274,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU0ODAyNjExNiIsInMiOiJqaVNhdkFiZjhCRzQzNGFWTEZrV1pRIn0.fF_6ARTTwpZXh5picB_dxSLkL7PFXOvB4y0DMIvLDRM,,,,
Duales Studium Wirtschaftsinformatik – Data Science (B.Sc.),Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}",48.776198,5548460370,https://www.adzuna.de/land/ad/5548460370?se=jiSavAbf8BG434aVLFkWZQ&utm_medium=api&utm_source=a4bcf954&v=4AB0FB39A63354DA71F8E9978F4BFFD65C5C2B87,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","{'display_name': 'ALH Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}",0,2025-12-19T14:03:05Z,"Die ALH Gruppe zählt zu den bedeutenden Versicherungs- und Finanzdienst­leistungsunternehmen in Deutschland. Rund 3.000 Mitarbeiterinnen und Mitarbeiter bilden das Fundament für unseren Erfolg und sorgen täglich für erstklassigen Service, individuelle Beratung und die langfristige Zufriedenheit unserer Kunden. Aufgaben Innovative Technologien vorantreiben und betriebswirtschaftliche Zusammenhänge optimieren – als Absolvent (m/w/d) des Studiengangs Wirtschaftsinformatik (B.Sc.) weißt du wie´s ge…",9.187224,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU0ODQ2MDM3MCIsInMiOiJqaVNhdkFiZjhCRzQzNGFWTEZrV1pRIn0.sud_opjmil7WUunn7-TFG7aBEEK8orxlPU3ixpicdWs,,,,
Duales Studium Data Science & Künstliche Intelligenz B.Sc.,Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], 'display_name': 'Karlsruhe, Karlsruhe (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",49.001249,5547014836,https://www.adzuna.de/land/ad/5547014836?se=jiSavAbf8BG434aVLFkWZQ&utm_medium=api&utm_source=a4bcf954&v=9A40BB6289DF563EBCA1961334F112E532AFA62C,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Atruvia AG'}",0,2025-12-18T13:41:15Z,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,8.412378,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiamlTYXZBYmY4Qkc0MzRhVkxGa1daUSIsImkiOiI1NTQ3MDE0ODM2In0.eukt-NlniA2c8Ot8AkwJh5pXrbLjg4CL0rVB3OxyZyc,,,,
DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location'}",48.776198,5548460449,https://www.adzuna.de/land/ad/5548460449?se=jiSavAbf8BG434aVLFkWZQ&utm_medium=api&utm_source=a4bcf954&v=38E5DC5B715492B65AE40C68A710C6569519CE8C,"{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}",0,2025-12-19T14:03:07Z,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",9.187224,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiamlTYXZBYmY4Qkc0MzRhVkxGa1daUSIsImkiOiI1NTQ4NDYwNDQ5In0.w_OzOpHuUOZeJelTPV9rioGs0XegpsJSocI32cshqiQ,,,,
Professur für Data Science,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München', 'Au-Haidhausen'], 'display_name': 'Au-Haidhausen, München'}",48.13258,5515911716,https://www.adzuna.de/land/ad/5515911716?se=jiSavAbf8BG434aVLFkWZQ&utm_medium=api&utm_source=a4bcf954&v=73617BD5EFD6997AC0B4468EB6312F9B720BE069,"{'label': 'Lehrberufe', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'teaching-jobs'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'SPARKS University of Applied Sciences'}",0,2025-11-27T09:34:49Z,"Zum Wintersemester 2026/27 besetzen wir in Vollzeit oder Teilzeit (mind. 50% Stellenumfang) eine: Professur für Data Science Unsere Professor:innen sind so neugierig wie unsere Studierenden und lernen mit ihnen - nach einem akademischen Konzept, das kollaborativ und kreativ ist. Sie zünden SPARKS, die aus unseren Studierenden breit gebildete Fachkräfte für Marketing­kom­muni­ka­tion machen - und Expert:innen für ein Leben in Zeiten tiefgreifender Veränderungen. Ihr Profil Sie haben ein Hochschu…",11.59129,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUxNTkxMTcxNiIsInMiOiJqaVNhdkFiZjhCRzQzNGFWTEZrV1pRIn0.5pOLahXiA4Iywsi6TZpTktJyjqAb43sO-WjQ0vREnR4,,,,
Werkstudent Data Science (m/w/d),Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Osnabrück, Osnabrück (Kreis)', 'area': ['Deutschland', 'Niedersachsen', 'Osnabrück (Kreis)', 'Osnabrück']}",52.274227,5548035754,https://www.adzuna.de/land/ad/5548035754?se=jiSavAbf8BG434aVLFkWZQ&utm_medium=api&utm_source=a4bcf954&v=EF60532EF2EA8C550B537C0DD2D819CC330362FB,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Westnetz GmbH'}",0,2025-12-19T02:13:59Z,"Du. Mit uns? Du. Mit uns? Für unser Team Digitalisierung, Standort Dortmund , Essen, Münster, Osnabrück oder anderer Westnetz-Standort, suchen wir zum nächstmöglichen Zeitpunkt engagierte Verstärkung. Deine Arbeit sollte sinnstiftend sein und Du willst Dich mit all Deinen Facetten einbringen? Dann bist Du bei uns richtig. Wie Du bist, was Du fühlst: Wir sehen Dich. Die , eine 100-prozentige Tochter der Westenergie AG, ist der größte Verteilnetzbetreiber Deutschlands. Mit über 6.000 Mitarbeiter*…",8.055137,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU0ODAzNTc1NCIsInMiOiJqaVNhdkFiZjhCRzQzNGFWTEZrV1pRIn0.hEkl_G5hFzz82zeHpkLoc_F5gc5dDn7-_OM9jYIucSE,full_time,,,
Werkstudent Data Science (m/w/d),Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Dortmund, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Dortmund']}",51.504967,5548035758,https://www.adzuna.de/land/ad/5548035758?se=jiSavAbf8BG434aVLFkWZQ&utm_medium=api&utm_source=a4bcf954&v=47B126FD155569552EE7C3D6824997B82A3C28F4,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}","{'display_name': 'Westnetz GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",0,2025-12-19T02:13:59Z,"Du. Mit uns? Du. Mit uns? Für unser Team Digitalisierung, Standort Dortmund , Essen, Münster, Osnabrück oder anderer Westnetz-Standort, suchen wir zum nächstmöglichen Zeitpunkt engagierte Verstärkung. Deine Arbeit sollte sinnstiftend sein und Du willst Dich mit all Deinen Facetten einbringen? Dann bist Du bei uns richtig. Wie Du bist, was Du fühlst: Wir sehen Dich. Die , eine 100-prozentige Tochter der Westenergie AG, ist der größte Verteilnetzbetreiber Deutschlands. Mit über 6.000 Mitarbeiter*…",7.464954,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiamlTYXZBYmY4Qkc0MzRhVkxGa1daUSIsImkiOiI1NTQ4MDM1NzU4In0.rT5iRrXnA48mybGFvcc2p9YVRmWLbtLs0KJaVkJE-5I,full_time,,,
Werkstudent Data Science (m/w/d),Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Münster'], 'display_name': 'Münster, Nordrhein-Westfalen', '__CLASS__': 'Adzuna::API::Response::Location'}",51.955292,5548035753,https://www.adzuna.de/land/ad/5548035753?se=jiSavAbf8BG434aVLFkWZQ&utm_medium=api&utm_source=a4bcf954&v=134DD650632144EF4E53E004B2BE2D2ED799DEF8,"{'tag': 'it-jobs', 'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Westnetz GmbH'}",0,2025-12-19T02:13:59Z,"Du. Mit uns? Du. Mit uns? Für unser Team Digitalisierung, Standort Dortmund , Essen, Münster, Osnabrück oder anderer Westnetz-Standort, suchen wir zum nächstmöglichen Zeitpunkt engagierte Verstärkung. Deine Arbeit sollte sinnstiftend sein und Du willst Dich mit all Deinen Facetten einbringen? Dann bist Du bei uns richtig. Wie Du bist, was Du fühlst: Wir sehen Dich. Die , eine 100-prozentige Tochter der Westenergie AG, ist der größte Verteilnetzbetreiber Deutschlands. Mit über 6.000 Mitarbeiter*…",7.621504,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiamlTYXZBYmY4Qkc0MzRhVkxGa1daUSIsImkiOiI1NTQ4MDM1NzUzIn0.89lZ-lAQInAljZPlaG0XB-Fyyp53PgngtVss5qBJoBY,full_time,,,
Werkstudent Data Science (m/w/d),Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Essen'], 'display_name': 'Essen, Nordrhein-Westfalen', '__CLASS__': 'Adzuna::API::Response::Location'}",51.444823,5548035757,https://www.adzuna.de/land/ad/5548035757?se=jiSavAbf8BG434aVLFkWZQ&utm_medium=api&utm_source=a4bcf954&v=1F88ABE16C5694C5BCEDF103E8969391139E666E,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}","{'display_name': 'Westnetz GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",0,2025-12-19T02:13:59Z,"Du. Mit uns? Du. Mit uns? Für unser Team Digitalisierung, Standort Dortmund , Essen, Münster, Osnabrück oder anderer Westnetz-Standort, suchen wir zum nächstmöglichen Zeitpunkt engagierte Verstärkung. Deine Arbeit sollte sinnstiftend sein und Du willst Dich mit all Deinen Facetten einbringen? Dann bist Du bei uns richtig. Wie Du bist, was Du fühlst: Wir sehen Dich. Die , eine 100-prozentige Tochter der Westenergie AG, ist der größte Verteilnetzbetreiber Deutschlands. Mit über 6.000 Mitarbeiter*…",7.014478,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU0ODAzNTc1NyIsInMiOiJqaVNhdkFiZjhCRzQzNGFWTEZrV1pRIn0.z6KpAuAvDdgDu8OuCkoPTRpYXXkXtk2fBrVRJCz-06I,full_time,,,
Duales Studium 2026 - Data Science und KI B.Sc. (d/m/w),Adzuna::API::Response::Job,"{'display_name': 'Freiburg im Breisgau, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Freiburg im Breisgau'], '__CLASS__': 'Adzuna::API::Response::Location'}",47.999458,5466725194,https://www.adzuna.de/land/ad/5466725194?se=jiSavAbf8BG434aVLFkWZQ&utm_medium=api&utm_source=a4bcf954&v=2E265F75D4E76BB298528A5390B9ADF9BE5E0796,"{'tag': 'it-jobs', 'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Haufe Group SE'}",0,2025-10-27T21:42:06Z,"Freiburg im Breisgau ab sofort Wir bilden aus und suchen begeisterte Daten-Enthusiast:innen! KI, Data Engineering, Cloud Computing oder Big Data sollen nicht länger nur theoretische Begriffe sein? Dann ist unser duales Studium mit dem Schwerpunkt Data Science und Künstliche Intelligenz die perfekte Gelegenheit, um deine Fähigkeiten zu entwickeln und in die vielschichtige Welt der Daten einzutauchen. Setze jetzt den Startschuss für deine Karriere ab September 2026 im Studiengang Data Science und…",7.816286,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiamlTYXZBYmY4Qkc0MzRhVkxGa1daUSIsImkiOiI1NDY2NzI1MTk0In0.7vH3dzEwhiXZtEOhOOSn0SlOxLR7HaWO0cqWoWvnZlM,full_time,,,
Student Data Science als Werkstudent - Entwicklung & Automatisierung / Power BI (m/w/d),Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heidenheim (Kreis)'], 'display_name': 'Heidenheim (Kreis), Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location'}",48.67025,5522265370,https://www.adzuna.de/land/ad/5522265370?se=jiSavAbf8BG434aVLFkWZQ&utm_medium=api&utm_source=a4bcf954&v=4B2778BF3CB3A9E0159F412FDDF74B7D36BD0D7A,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'PAUL HARTMANN AG'}",0,2025-12-01T20:02:58Z,"Bei HARTMANN geht es uns darum, zu helfen , zu pflegen , zu schützen und zu wachsen . Wir unterstützen Fachkräfte im Gesundheitswesen, damit sie sich auf das konzentrieren können, was wirklich wichtig ist: das Leben der Menschen positiv zu beeinflussen. Wir realisieren Lösungen, die einen echten Beitrag leisten. Und mit Deinem Engagement kannst Du jeden Tag in Deinem Job wachsen. Bei HARTMANN glauben wir an den Unterschied, den Du bewirken kannst. Verstärke unser Team als Werkstudent (m/w/d) In…",10.181654,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUyMjI2NTM3MCIsInMiOiJqaVNhdkFiZjhCRzQzNGFWTEZrV1pRIn0.54cCd75RG7h0bjbSXt6d2MfAEpBB_h8dIdzLqxIm1qE,full_time,,,
Schulabsolvent als Dualer Student Künstliche Intelligenz & Data Science (m/w/d),Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland', 'area': ['Deutschland']}",,5492336776,https://www.adzuna.de/land/ad/5492336776?se=jiSavAbf8BG434aVLFkWZQ&utm_medium=api&utm_source=a4bcf954&v=2943AE67898FDE42079E37CFC5F7E390C951177C,"{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","{'display_name': 'Swarco AG', '__CLASS__': 'Adzuna::API::Response::Company'}",0,2025-11-12T15:13:27Z,"Aufgaben Das primäre Ziel ist die Ausbildung von Informatik-Allroundern (m/w/d) für eine Tätigkeit in der Berufspraxis Die Pflichtfächer decken ein breites fachliches Spektrum ab, eine große Zahl an Modulen mit Wahlmöglichkeit erlaubt die individuelle Vertiefung Während der Praxisphasen erhältst du von uns Projekte und/oder Problemstellungen, die du selbstständig behandelst und natürlich mit Unterstützung löst Das Studium verbindet ein wissenschaftliches Hochschulstudium mit unternehmerischer P…",,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ5MjMzNjc3NiIsInMiOiJqaVNhdkFiZjhCRzQzNGFWTEZrV1pRIn0.DFBZZdUacbF791wzgnQg6UameQEktZiZuIRKkpACi-A,full_time,,,
