longitude,created,adref,category,company,location,title,description,redirect_url,latitude,id,__CLASS__,salary_is_predicted,contract_time,contract_type,salary_max,salary_min
8.087806,2025-12-31T14:16:31Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRnUxLW1RZnE4QkctZTVUa1FzWGFvQSIsImkiOiI1NTYwODg1MjY0In0.ENEGZluCb32mJ3N4j4zcRjSVMmVMdiuRG4ZUoM-u12g,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","{'display_name': 'Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Wilhelmshaven, Niedersachsen', 'area': ['Deutschland', 'Niedersachsen', 'Wilhelmshaven']}",Professur (m/w/d) für das Gebiet Data Science and AI in Business Intelligence,"An der Jade Hochschule in Wilhelmshaven, Oldenburg und Elsfleth studieren rund 6.500 Menschen mit mehr als 200 Professorinnen und Professoren. Lehre und Forschung zeichnen sich durch innovative Ansätze, kooperative Zusammenarbeit und eine zugewandte Haltung aus. In allen Bereichen fördert die Hochschule Kompetenz und Vielfalt. Die Jade Hochschule entwickelt aufgrund der herausragenden Bedeutung der Künstlichen Intelligenz bis zum Jahr 2030 eine Identität als KI‑Hochschule und setzt diese Identi…",https://www.adzuna.de/land/ad/5560885264?se=Fu1-mQfq8BG-e5TkQsXaoA&utm_medium=api&utm_source=a4bcf954&v=0835BDE08617A9E1D86DB914D5557EE02FEC3F0D,53.550256,5560885264,Adzuna::API::Response::Job,0,,,,
7.816286,2025-10-27T21:42:06Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRnUxLW1RZnE4QkctZTVUa1FzWGFvQSIsImkiOiI1NDY2NzI1MTk0In0._sgBOlDk932cOYdkutTiS0NP-_wHbqxB8tvpXvUCKkQ,"{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","{'display_name': 'Haufe Group SE', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Freiburg im Breisgau'], 'display_name': 'Freiburg im Breisgau, Baden-Württemberg'}",Duales Studium 2026 - Data Science und KI B.Sc. (d/m/w),"Freiburg im Breisgau ab sofort Wir bilden aus und suchen begeisterte Daten-Enthusiast:innen! KI, Data Engineering, Cloud Computing oder Big Data sollen nicht länger nur theoretische Begriffe sein? Dann ist unser duales Studium mit dem Schwerpunkt Data Science und Künstliche Intelligenz die perfekte Gelegenheit, um deine Fähigkeiten zu entwickeln und in die vielschichtige Welt der Daten einzutauchen. Setze jetzt den Startschuss für deine Karriere ab September 2026 im Studiengang Data Science und…",https://www.adzuna.de/land/ad/5466725194?se=Fu1-mQfq8BG-e5TkQsXaoA&utm_medium=api&utm_source=a4bcf954&v=2E265F75D4E76BB298528A5390B9ADF9BE5E0796,47.999458,5466725194,Adzuna::API::Response::Job,0,full_time,,,
,2025-11-12T15:13:27Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRnUxLW1RZnE4QkctZTVUa1FzWGFvQSIsImkiOiI1NDkyMzM2Nzc2In0.9Oa6O9P0s7-0k6dl3YpPmtSCU0ZAY_F787FIGu-HUz0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Swarco AG'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland'], 'display_name': 'Deutschland'}",Schulabsolvent als Dualer Student Künstliche Intelligenz & Data Science (m/w/d),"Aufgaben Das primäre Ziel ist die Ausbildung von Informatik-Allroundern (m/w/d) für eine Tätigkeit in der Berufspraxis Die Pflichtfächer decken ein breites fachliches Spektrum ab, eine große Zahl an Modulen mit Wahlmöglichkeit erlaubt die individuelle Vertiefung Während der Praxisphasen erhältst du von uns Projekte und/oder Problemstellungen, die du selbstständig behandelst und natürlich mit Unterstützung löst Das Studium verbindet ein wissenschaftliches Hochschulstudium mit unternehmerischer P…",https://www.adzuna.de/land/ad/5492336776?se=Fu1-mQfq8BG-e5TkQsXaoA&utm_medium=api&utm_source=a4bcf954&v=2943AE67898FDE42079E37CFC5F7E390C951177C,,5492336776,Adzuna::API::Response::Job,0,full_time,,,
8.650578,2026-01-02T23:53:51Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRnUxLW1RZnE4QkctZTVUa1FzWGFvQSIsImkiOiI1NTY1NDE3NjYxIn0.kYTG7xprovM4Jhag_l2xc91p7_8_EuqRG63-eDTuecw,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Deutsche Bundesbank'}","{'display_name': 'Frankfurt am Main, Hessen', 'area': ['Deutschland', 'Hessen', 'Frankfurt am Main'], '__CLASS__': 'Adzuna::API::Response::Location'}",Praktikum im Bereich Data Science - Inklusiver Job   ,"Die Deutsche Bundesbank ist eine besondere Bank: Ein integraler Bestandteil des Europäischen Systems der Zentralbanken mit bedeutender Funktion in der Finanzstabilität, Bankenaufsicht, Geldpolitik und im Zahlungsverkehr in Deutschland. Allem voran jedoch sind wir ein starkes Team aus zuverlässigen und verantwortungsbewussten Menschen, die mit ihrer täglichen Arbeit die Voraussetzungen für einen stabilen Euro und eine funktionierende Wirtschaft schaffen. Finden auch Sie bei uns Ihre verantwortun…",https://www.adzuna.de/details/5565417661?utm_medium=api&utm_source=a4bcf954,50.129683,5565417661,Adzuna::API::Response::Job,0,,,,
10.517347,2026-01-02T19:15:43Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRnUxLW1RZnE4QkctZTVUa1FzWGFvQSIsImkiOiI1NTY0NzIwMzk1In0.xog_z0FX_c3yRJxOz9GC5tXJD5aAKpKNTdRalaPkazc,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ISR Information Products AG'}","{'display_name': 'Braunschweig, Niedersachsen', 'area': ['Deutschland', 'Niedersachsen', 'Braunschweig'], '__CLASS__': 'Adzuna::API::Response::Location'}",Junior Berater Business Intelligence SAP / Data Science Cloud (m/w/d),"Dein Team Du hast Freude an Innovationen, spannenden Inhalten und kollegialem Teamspirit? Mit unseren Berater:innen wächst du mit deinen Aufgaben und lernst von unseren Expert:innen. Gemeinsam beraten wir unsere deutsch- und englischsprachigen Kunden bei ihren Herausforderungen im Umfeld von Business Intelligence, Planung, Advanced Analytics & Data Science. Wir verbinden höchste Beratungskompetenz mit technischer Expertise. Dabei konzipieren und implementieren wir maßgeschneiderte Lösungen auf …",https://www.adzuna.de/land/ad/5564720395?se=Fu1-mQfq8BG-e5TkQsXaoA&utm_medium=api&utm_source=a4bcf954&v=1F36DF3ACFF6EC33C76FC9EE528C6EAB5DE85890,52.263026,5564720395,Adzuna::API::Response::Job,0,full_time,,,
6.969972,2026-01-02T19:15:43Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU2NDcyMDM4NCIsInMiOiJGdTEtbVFmcThCRy1lNVRrUXNYYW9BIn0.a4FhXQCVQHwysaFxhp8J0yNEOim58YKi8I66GcOP__I,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","{'display_name': 'ISR Information Products AG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Köln, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Köln']}",Junior Berater Business Intelligence SAP / Data Science Cloud (m/w/d),"Dein Team Du hast Freude an Innovationen, spannenden Inhalten und kollegialem Teamspirit? Mit unseren Berater:innen wächst du mit deinen Aufgaben und lernst von unseren Expert:innen. Gemeinsam beraten wir unsere deutsch- und englischsprachigen Kunden bei ihren Herausforderungen im Umfeld von Business Intelligence, Planung, Advanced Analytics & Data Science. Wir verbinden höchste Beratungskompetenz mit technischer Expertise. Dabei konzipieren und implementieren wir maßgeschneiderte Lösungen auf …",https://www.adzuna.de/land/ad/5564720384?se=Fu1-mQfq8BG-e5TkQsXaoA&utm_medium=api&utm_source=a4bcf954&v=695BD257D4F6703209705D5E02E57AC16CF38013,50.940164,5564720384,Adzuna::API::Response::Job,0,full_time,,,
7.621504,2026-01-02T19:15:43Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU2NDcyMDM5MCIsInMiOiJGdTEtbVFmcThCRy1lNVRrUXNYYW9BIn0.GIz2qCrDuJ7olEpOGwdLH24LjtPQCwZC2LLzNr7sglw,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","{'display_name': 'ISR Information Products AG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'display_name': 'Münster, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Münster'], '__CLASS__': 'Adzuna::API::Response::Location'}",Junior Berater Business Intelligence SAP / Data Science Cloud (m/w/d),"Dein Team Du hast Freude an Innovationen, spannenden Inhalten und kollegialem Teamspirit? Mit unseren Berater:innen wächst du mit deinen Aufgaben und lernst von unseren Expert:innen. Gemeinsam beraten wir unsere deutsch- und englischsprachigen Kunden bei ihren Herausforderungen im Umfeld von Business Intelligence, Planung, Advanced Analytics & Data Science. Wir verbinden höchste Beratungskompetenz mit technischer Expertise. Dabei konzipieren und implementieren wir maßgeschneiderte Lösungen auf …",https://www.adzuna.de/land/ad/5564720390?se=Fu1-mQfq8BG-e5TkQsXaoA&utm_medium=api&utm_source=a4bcf954&v=9F6F5D0800271CE5F45C530724AB89A3F7F36B40,51.955292,5564720390,Adzuna::API::Response::Job,0,full_time,,,
10.181654,2025-12-01T20:02:58Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUyMjI2NTM3MCIsInMiOiJGdTEtbVFmcThCRy1lNVRrUXNYYW9BIn0.x5HQiDKKMt4hOTLGTspVrvLQRJQjNrZnUma2-N-PZlw,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'PAUL HARTMANN AG'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Heidenheim (Kreis), Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Heidenheim (Kreis)']}",Student Data Science als Werkstudent - Entwicklung & Automatisierung / Power BI (m/w/d),"Bei HARTMANN geht es uns darum, zu helfen , zu pflegen , zu schützen und zu wachsen . Wir unterstützen Fachkräfte im Gesundheitswesen, damit sie sich auf das konzentrieren können, was wirklich wichtig ist: das Leben der Menschen positiv zu beeinflussen. Wir realisieren Lösungen, die einen echten Beitrag leisten. Und mit Deinem Engagement kannst Du jeden Tag in Deinem Job wachsen. Bei HARTMANN glauben wir an den Unterschied, den Du bewirken kannst. Verstärke unser Team als Werkstudent (m/w/d) In…",https://www.adzuna.de/land/ad/5522265370?se=Fu1-mQfq8BG-e5TkQsXaoA&utm_medium=api&utm_source=a4bcf954&v=4B2778BF3CB3A9E0159F412FDDF74B7D36BD0D7A,48.67025,5522265370,Adzuna::API::Response::Job,0,full_time,,,
,2025-10-30T11:48:56Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRnUxLW1RZnE4QkctZTVUa1FzWGFvQSIsImkiOiI1NDcwODM2OTU0In0.mbKtq8bBSX2aKXVabvsdfBu99WAjXsNeL39hmNgSzPs,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Rutronik Elektronische Bauelemente GmbH'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland', 'area': ['Deutschland']}",Duales Studium Data Science & KI - 2026,"Entdecke die Welt der elektronischen Bauelemente! Starte als Teamplayer bei Rutronik! Die Welt der Elektronik ist unser Zuhause. Als eines der weltweit führenden Unternehmen für den Vertrieb elektronischer Bauteile mit mehr als 1.900 Mitarbeitern an über 82 Standorten rund um den Globus suchen wir laufend Verstärkung. Entdecke jetzt die Perspektiven und Chancen, die dir dein Job bei Rutronik bietet und werde Teil unseres Erfolges! Duales Studium Data Science & KI - 2026 Bachelor of Science | DH…",https://www.adzuna.de/land/ad/5470836954?se=Fu1-mQfq8BG-e5TkQsXaoA&utm_medium=api&utm_source=a4bcf954&v=E70652E6B5948754343F2422B9EC6385EC0A4CF3,,5470836954,Adzuna::API::Response::Job,0,,,,
9.2274,2026-01-03T09:36:12Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU2NTg1MDQzNyIsInMiOiJGdTEtbVFmcThCRy1lNVRrUXNYYW9BIn0.z2ZYxMlcJI3T8iyEBRshQvfvyaJMNsNJU3pVQN9puyE,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl'}","{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",Duales Studium Wirtschaftsinformatik - Data Science 2026,"Einleitung Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem d…",https://www.adzuna.de/land/ad/5565850437?se=Fu1-mQfq8BG-e5TkQsXaoA&utm_medium=api&utm_source=a4bcf954&v=C69B89E40D6E778B15544786165BB3D8E6886E82,49.18975,5565850437,Adzuna::API::Response::Job,0,,,,
