adref,company,id,created,category,title,location,__CLASS__,longitude,description,latitude,redirect_url,salary_is_predicted,contract_time,contract_type,salary_max,salary_min
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0xEUEFnajE4QkdDUS1YTGJsY0g4USIsImkiOiI1NTQ4MDI2MTE2In0.8pnOCClKOq-TP3wQSLdDqoutmg2tue1tL0HE9LAB_xA,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",5548026116,2025-12-19T02:02:51Z,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",Duales Studium Wirtschaftsinformatik - Data Science 2026,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,9.2274,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",49.18975,https://www.adzuna.de/land/ad/5548026116?se=7LDPAgj18BGCQ-XLblcH8Q&utm_medium=api&utm_source=a4bcf954&v=41DA62D993B44B9FEB8847AABCB7D4124FE0CAAB,0,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0xEUEFnajE4QkdDUS1YTGJsY0g4USIsImkiOiI1NTgwMDY0MzU0In0.nmI2xy7B1i-sa8_3GEhPPNmpXXWu7DWI6oQydYYPbdo,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ALH Gruppe'}",5580064354,2026-01-12T02:26:24Z,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",Duales Studium Wirtschaftsinformatik – Data Science (B.Sc.),"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}",Adzuna::API::Response::Job,9.187224,"Die ALH Gruppe zählt zu den bedeutenden Versicherungs- und Finanzdienst­leistungsunternehmen in Deutschland. Rund 3.000 Mitarbeiterinnen und Mitarbeiter bilden das Fundament für unseren Erfolg und sorgen täglich für erstklassigen Service, individuelle Beratung und die langfristige Zufriedenheit unserer Kunden. Aufgaben Innovative Technologien vorantreiben und betriebswirtschaftliche Zusammenhänge optimieren – als Absolvent (m/w/d) des Studiengangs Wirtschaftsinformatik (B.Sc.) weißt du wie´s ge…",48.776198,https://www.adzuna.de/land/ad/5580064354?se=7LDPAgj18BGCQ-XLblcH8Q&utm_medium=api&utm_source=a4bcf954&v=2EEDF1EF612B34EC59922B39CE575F6368D2E183,0,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0xEUEFnajE4QkdDUS1YTGJsY0g4USIsImkiOiI1NTkwMzg0Nzg2In0.4dgWuCfj5uLRpHcaH8H9pcVR8iSHObQ2urpOVHLp1mI,"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",5590384786,2026-01-18T14:30:10Z,"{'tag': 'other-general-jobs', 'label': 'Sonstige/Allgemeine Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}",Abschlussarbeit Data Science / Mechanikdesign (m/w/x),"{'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], 'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,10.10558,"Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…",48.78408,https://www.adzuna.de/land/ad/5590384786?se=7LDPAgj18BGCQ-XLblcH8Q&utm_medium=api&utm_source=a4bcf954&v=D5EDA302125CC28E7373563C90E08D04CD4957EE,0,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0xEUEFnajE4QkdDUS1YTGJsY0g4USIsImkiOiI1NTkwMzg0NzMzIn0.GHbHlZ-3UHlPl9UQUljPVXNhUyBlWo-nz3r5zSvPUII,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Atruvia AG'}",5590384733,2026-01-18T14:30:08Z,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",Duales Studium Data Science & Künstliche Intelligenz B.Sc.,"{'display_name': 'Karlsruhe, Karlsruhe (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,8.412378,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,49.001249,https://www.adzuna.de/land/ad/5590384733?se=7LDPAgj18BGCQ-XLblcH8Q&utm_medium=api&utm_source=a4bcf954&v=BB106DEC81D27587501E4178F426681058E6AF00,0,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU4OTE5OTMwMiIsInMiOiI3TERQQWdqMThCR0NRLVhMYmxjSDhRIn0.NC3NdEYBwC0mvMQwvQzbAqwwr8TcBId713N4ANvOfrU,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'MID GmbH'}",5589199302,2026-01-17T15:24:15Z,"{'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",Senior Consultant (m/w/d) Data Science / Künstliche Intelligenz / AI,"{'area': ['Deutschland', 'Bayern', 'Nürnberg'], 'display_name': 'Nürnberg, Bayern', '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,11.083642,"Teil von MID zu sein, bedeutet MIDgestalter:in zu sein! Gemeinsam als Team – aktuell 170 Kolleg:innen – brennen wir täglich darauf, den Wandel bei unseren Kunden in zukunftsfähige Mehrwerte zu überführen. Schneller denn je ändern sich durch neue Technologien und Wettbewerb die Randbedingungen für aktuelle Geschäftsmodelle. Um erfolgreich zu sein, sollten IT-Fähigkeiten, -Strukturen, -Assets und -Prozesse mindestens genauso schnell angepasst und weiterentwickelt werden können. Und genau hier set…",49.443967,https://www.adzuna.de/land/ad/5589199302?se=7LDPAgj18BGCQ-XLblcH8Q&utm_medium=api&utm_source=a4bcf954&v=2EE4EBD4DA36D2340F16BEEB18C1515D2A2B93B6,0,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0xEUEFnajE4QkdDUS1YTGJsY0g4USIsImkiOiI1NTgwNDMyNjA3In0.Mqi7iSR-fg6_yQaAAzb7DLsygHMTElmie2cUJWtm4oo,"{'display_name': 'ITSCare-IT-Services für den Gesundheitsmarkt GbR', '__CLASS__': 'Adzuna::API::Response::Company'}",5580432607,2026-01-12T14:27:17Z,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",Duales Studium Wirtschaftsinformatik - Data Science (B.Sc.) (m/w/d),"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,9.187224,"Die ITSCare mit Sitz in Frankfurt a.M. und zentralem Unternehmensstandort in Stuttgart ist 100% Tochter von drei AOKs. Als Dienstleister sind wir mit ca. 700 qualifizierten Mitarbeitenden verantwortlich für die Verarbeitung und Speicherung der Sozialdaten von ca. 7,5 Millionen Versicherten. Als Spezialist für Netzwerke, Hardware, Software, Telekommunikation und Rechenzentrumsbetrieb stehen wir für Leistungen und Services von höchster Güte. Du möchtest an der Weiterentwicklung eines kompetenten …",48.776198,https://www.adzuna.de/land/ad/5580432607?se=7LDPAgj18BGCQ-XLblcH8Q&utm_medium=api&utm_source=a4bcf954&v=B29C27DC2A3C1962362EE47455E1CF3E533DFE4C,0,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0xEUEFnajE4QkdDUS1YTGJsY0g4USIsImkiOiI1NTkwMzg0NTM1In0.4HguPlzREApU8ibrJNJYKEHwu1HgBBsnFZBcqElw1DE,"{'display_name': 'Trelleborg Sealing Solutions Germany GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",5590384535,2026-01-18T14:30:01Z,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","Duales Studium Wirtschaftsinformatik-Data Science, Studienbeginn 2026 (m/w/d)","{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg'}",Adzuna::API::Response::Job,9.187224,"Duales Studium Wirtschaftsinformatik-Data Science, Studienbeginn 2026 (m/w/d) Trelleborg is a world leader in engineered polymer solutions for almost every industry on the planet. And we are where we are because our talents brought us here. By specializing in the polymer engineering that makes innovation and application possible, Trelleborg works closely with leading industry brands to accelerate their performance, drive their business forward—and along the way, shape the industry and progress …",48.776198,https://www.adzuna.de/land/ad/5590384535?se=7LDPAgj18BGCQ-XLblcH8Q&utm_medium=api&utm_source=a4bcf954&v=7FC70AD183E4145B0A9E7DEE1D66BC6D9B1563C5,0,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0xEUEFnajE4QkdDUS1YTGJsY0g4USIsImkiOiI1NTgwMDYzODcwIn0.rIwrtqQTL2kzbItheh14llsCCVfIQyBaUF-pjWEs5Ec,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'HENSOLDT'}",5580063870,2026-01-12T02:26:08Z,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}","Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Start 2026","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland', 'area': ['Deutschland']}",Adzuna::API::Response::Job,,"HENSOLDT ist ein führendes Unternehmen der europäischen Verteidigungsindustrie mit globaler Reichweite. Das Unternehmen mit Sitz in Taufkirchen bei München entwickelt Sensor-Komplettlösungen für Verteidigungs- und Sicherheitsanwendungen. Als Technologieführer treibt HENSOLDT die Entwicklung der Verteidigungselektronik und Optronik voran und baut sein Portfolio auf der Grundlage innovativer Ansätze für Datenmanagement, Robotik und Cybersicherheit kontinuierlich aus. Unsere Produkte sind einsetzb…",,https://www.adzuna.de/land/ad/5580063870?se=7LDPAgj18BGCQ-XLblcH8Q&utm_medium=api&utm_source=a4bcf954&v=A75A69E40CE700A321A509006160716F89F15B61,0,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU2MDg4NTI2NCIsInMiOiI3TERQQWdqMThCR0NRLVhMYmxjSDhRIn0.yhBClH_9JCSV_RbM22M0hr6QPM98zkrQEnmFcUDHJ18,"{'display_name': 'Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth', '__CLASS__': 'Adzuna::API::Response::Company'}",5560885264,2025-12-31T14:16:31Z,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",Professur (m/w/d) für das Gebiet Data Science and AI in Business Intelligence,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Wilhelmshaven, Niedersachsen', 'area': ['Deutschland', 'Niedersachsen', 'Wilhelmshaven']}",Adzuna::API::Response::Job,8.087806,"An der Jade Hochschule in Wilhelmshaven, Oldenburg und Elsfleth studieren rund 6.500 Menschen mit mehr als 200 Professorinnen und Professoren. Lehre und Forschung zeichnen sich durch innovative Ansätze, kooperative Zusammenarbeit und eine zugewandte Haltung aus. In allen Bereichen fördert die Hochschule Kompetenz und Vielfalt. Die Jade Hochschule entwickelt aufgrund der herausragenden Bedeutung der Künstlichen Intelligenz bis zum Jahr 2030 eine Identität als KI‑Hochschule und setzt diese Identi…",53.550256,https://www.adzuna.de/land/ad/5560885264?se=7LDPAgj18BGCQ-XLblcH8Q&utm_medium=api&utm_source=a4bcf954&v=0835BDE08617A9E1D86DB914D5557EE02FEC3F0D,0,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiN0xEUEFnajE4QkdDUS1YTGJsY0g4USIsImkiOiI1NTcwNzk4NTE2In0.iDu7Nf4u_hJYxtt19NbPvmLLPRMG9pjBIJ6XJLYzJrQ,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",5570798516,2026-01-07T02:23:38Z,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}",DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,"{'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,9.187224,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",48.776198,https://www.adzuna.de/land/ad/5570798516?se=7LDPAgj18BGCQ-XLblcH8Q&utm_medium=api&utm_source=a4bcf954&v=03D91ADE3C0AEC40AE2A5BC6D19095317BA0BB69,0,,,,
