latitude,salary_is_predicted,id,title,created,company,adref,longitude,__CLASS__,description,redirect_url,location,category,contract_time,salary_max,contract_type,salary_min
49.18975,0,5580064689,Duales Studium Wirtschaftsinformatik - Data Science 2026,2026-01-12T02:26:42Z,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSnJ4U0dBc0E4UkdkbTdPX29FX1dsZyIsImkiOiI1NTgwMDY0Njg5In0.iUv2vZzxwn8WvEpkAmebve2tNpqStybwQVrAJB9SI50,9.2274,Adzuna::API::Response::Job,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",https://www.adzuna.de/land/ad/5580064689?se=JrxSGAsA8RGdm7O_oE_Wlg&utm_medium=api&utm_source=a4bcf954&v=CE15D5B1CD55E6EF31FA4DA539B67AB836DBE9F1,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",,,,
48.78408,0,5593924256,Abschlussarbeit Data Science / Mechanikdesign (m/w/x),2026-01-21T14:32:59Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSnJ4U0dBc0E4UkdkbTdPX29FX1dsZyIsImkiOiI1NTkzOTI0MjU2In0.qajQnQy8jPEE5hsHUP-7gAv_t8V9TolNYUdnhDcIj_g,10.10558,Adzuna::API::Response::Job,"Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…",https://www.adzuna.de/land/ad/5593924256?se=JrxSGAsA8RGdm7O_oE_Wlg&utm_medium=api&utm_source=a4bcf954&v=AAAC87DA5767C2B47EED19529F9FB1A6A76C7DE8,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], 'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location'}","{'label': 'Sonstige/Allgemeine Stellen', 'tag': 'other-general-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
,0,5593921894,Duales Studium Data Science und Künstliche Intelligenz (B.Sc.) – Start Herbst 2026,2026-01-21T14:32:36Z,"{'display_name': 'fischerwerke GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSnJ4U0dBc0E4UkdkbTdPX29FX1dsZyIsImkiOiI1NTkzOTIxODk0In0.ma5rdsIza5zNikBhah7nTxwuJXn7IvgTQyJKm2t1gBU,,Adzuna::API::Response::Job,"Wegweisende Ideen, höchste Qualitätsansprüche, maximaler Kundennutzen: Rund um den Globus setzen wir mit über 4.700 Mitarbeiterinnen und Mitarbeitern Maßstäbe. Unser Handeln wird weltweit bestimmt von unserem Leitbild und unseren Werten – innovativ, eigenverantwortlich und seriös. Kern unseres fischerProzessSystems (fPS) ist es, in allen Unternehmensbereichen Prozesse ständig weiter zu verbessern, diese an den Bedürfnissen unserer Kunden auszurichten, Verschwendung zu vermeiden und wertschöpfen…",https://www.adzuna.de/land/ad/5593921894?se=JrxSGAsA8RGdm7O_oE_Wlg&utm_medium=api&utm_source=a4bcf954&v=683AE9E8BC417FF6354B2BFCE26736431D9B6381,"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
,0,5580063870,"Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Start 2026",2026-01-12T02:26:08Z,"{'display_name': 'HENSOLDT', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU4MDA2Mzg3MCIsInMiOiJKcnhTR0FzQThSR2RtN09fb0VfV2xnIn0.vfMXTeGfvnS9YacMTIzYKEJQk59dCh6HH3Y4mYS6XOs,,Adzuna::API::Response::Job,"HENSOLDT ist ein führendes Unternehmen der europäischen Verteidigungsindustrie mit globaler Reichweite. Das Unternehmen mit Sitz in Taufkirchen bei München entwickelt Sensor-Komplettlösungen für Verteidigungs- und Sicherheitsanwendungen. Als Technologieführer treibt HENSOLDT die Entwicklung der Verteidigungselektronik und Optronik voran und baut sein Portfolio auf der Grundlage innovativer Ansätze für Datenmanagement, Robotik und Cybersicherheit kontinuierlich aus. Unsere Produkte sind einsetzb…",https://www.adzuna.de/land/ad/5580063870?se=JrxSGAsA8RGdm7O_oE_Wlg&utm_medium=api&utm_source=a4bcf954&v=A75A69E40CE700A321A509006160716F89F15B61,"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
48.776198,0,5598733322,IT-Architekt mit Schwerpunkt Data Science (m/w/d),2026-01-24T14:34:57Z,"{'display_name': 'S-Management Services GmbH - Ein Unternehmen der DSV-Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU5ODczMzMyMiIsInMiOiJKcnhTR0FzQThSR2RtN09fb0VfV2xnIn0.dnOOzIdqFJ9MB0L2UdOaYilk_CVPshr42HG1ySaw14I,9.187224,Adzuna::API::Response::Job,"Die S-Management Services GmbH ist ein Unternehmen der Sparkassen-Finanzgruppe und Partner für Business-Lösungen im Firmenkunden- und Immobiliengeschäft sowie im Formular- und Nachhaltigkeitsmanagement. Ihre Expertise ist es, Lösungen vom Konzept bis zur Umsetzung zu gestalten und in bestehende Business-Prozesse und IT-Landschaften sinnvoll zu integrieren. Mit Kopf, Herz und Hand ist die S-Management Services der BusinessMöglichMacher in der DSV-Gruppe, dem zentralen Dienstleister der Sparkasse…",https://www.adzuna.de/land/ad/5598733322?se=JrxSGAsA8RGdm7O_oE_Wlg&utm_medium=api&utm_source=a4bcf954&v=FE6449DFBF746A531E967D969B70398A3696C013,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg'}","{'tag': 'it-jobs', 'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
50.923007,0,5570796474,"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2026",2026-01-07T02:23:24Z,"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU3MDc5NjQ3NCIsInMiOiJKcnhTR0FzQThSR2RtN09fb0VfV2xnIn0.MNFTWp7-sTKCbtq5E-kU5hDwmb95Dyh8hHUlqZVT1LU,11.589469,Adzuna::API::Response::Job,"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",https://www.adzuna.de/land/ad/5570796474?se=JrxSGAsA8RGdm7O_oE_Wlg&utm_medium=api&utm_source=a4bcf954&v=BFE461CB059B74432B13FBF98D69943A4442D7D6,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Thüringen', 'Jena'], 'display_name': 'Jena, Thüringen'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
48.42392,0,5580431177,Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2026 (m/w/d),2026-01-12T14:26:50Z,"{'display_name': 'Markant Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU4MDQzMTE3NyIsInMiOiJKcnhTR0FzQThSR2RtN09fb0VfV2xnIn0.7M1JnqG2c9pWA9a3ITZSg72brqUYVLCPk36Rhks8_oQ,7.94837,Adzuna::API::Response::Job,"Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…",https://www.adzuna.de/land/ad/5580431177?se=JrxSGAsA8RGdm7O_oE_Wlg&utm_medium=api&utm_source=a4bcf954&v=2E6B8F51946A46E66D952E85E2EB207E293F04E3,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Offenburg, Ortenaukreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg']}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
48.776198,0,5607399979,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,2026-01-31T14:56:25Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSnJ4U0dBc0E4UkdkbTdPX29FX1dsZyIsImkiOiI1NjA3Mzk5OTc5In0.jZ14i5Zq74cTbbEGKfM_H09ZAR45FIxElAGQvI_c0Hs,9.187224,Adzuna::API::Response::Job,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",https://www.adzuna.de/land/ad/5607399979?se=JrxSGAsA8RGdm7O_oE_Wlg&utm_medium=api&utm_source=a4bcf954&v=BF7EE698F7943F667DB385DA3B718BDD7B438724,"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location'}","{'label': 'IT-Stellen', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
51.476986,0,5608734794,Senior AI / Data Science Engineer (m/w/d),2026-02-01T15:51:42Z,"{'display_name': 'GBTEC Software AG', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSnJ4U0dBc0E4UkdkbTdPX29FX1dsZyIsImkiOiI1NjA4NzM0Nzk0In0.pdchSHunENm3S2ZC1nSYDIIyVQVHbc5Rwpqa0Yd13bE,7.211571,Adzuna::API::Response::Job,"Seit mehr als 20 Jahren entwickeln wir erfolgreich innovative Softwarelösungen und begleiten Kunden weltweit in erstklassigen Beratungsprojekten. Die Zukunftsfähigkeit unserer Branche sowie die agilen Strukturen unseres Unternehmens bilden den Grundstein für weiteres, gesundes Wachstum GBTECs. Als attraktiver Arbeitgeber arbeiten wir stetig daran, das Beste für unsere GBTEChies herauszuholen. Überzeuge Dich selbst und lerne uns im Karrierebereich kennen. Aufgaben Als (Senior) AI / Data Science …",https://www.adzuna.de/land/ad/5608734794?se=JrxSGAsA8RGdm7O_oE_Wlg&utm_medium=api&utm_source=a4bcf954&v=E2CFDE5F938B62B451E8BA306A0D1822FB44475A,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bochum'], 'display_name': 'Bochum, Nordrhein-Westfalen'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}",,,,
49.443967,0,5606729201,Werkstudent Data Science & Analytics (m/w/d),2026-01-30T20:32:45Z,"{'display_name': 'Datev eG', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSnJ4U0dBc0E4UkdkbTdPX29FX1dsZyIsImkiOiI1NjA2NzI5MjAxIn0.OkP_C0G1e0BZvsNO4G3HMXoC3qTWVU2_EKexUOaXKHE,11.083642,Adzuna::API::Response::Job,"Das ist das Arbeitsumfeld: Bist Du neugierig auf die Welt der Daten und Datenanalyse? In unserer Abteilung Business Intelligence arbeiten wir daran, tiefere Einblicke in die Bedürfnisse unserer Kund:innen zu gewinnen. Wir suchen Unterstützung, Daten zu analysieren, KI-Use Cases zu implementieren und kreative Ansätze zur Verbesserung unserer Kundeninteraktion zu entwickeln. Wenn Du ein Talent für Datenanalyse und erste Erfahrungen im Bereich Künstliche Intelligenz hast, freuen wir uns darauf, Di…",https://www.adzuna.de/land/ad/5606729201?se=JrxSGAsA8RGdm7O_oE_Wlg&utm_medium=api&utm_source=a4bcf954&v=A945D6A2B84CB66C8FE8FB2D342935C465AD5071,"{'area': ['Deutschland', 'Bayern', 'Nürnberg'], 'display_name': 'Nürnberg, Bayern', '__CLASS__': 'Adzuna::API::Response::Location'}","{'label': 'IT-Stellen', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",full_time,,,
