company,id,__CLASS__,longitude,salary_is_predicted,created,redirect_url,description,title,adref,latitude,location,category,contract_time,salary_max,contract_type,salary_min
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",5580064689,Adzuna::API::Response::Job,9.2274,0,2026-01-12T02:26:42Z,https://www.adzuna.de/land/ad/5580064689?se=mPT9XowF8RGs7Pgbz-MvGA&utm_medium=api&utm_source=a4bcf954&v=CE15D5B1CD55E6EF31FA4DA539B67AB836DBE9F1,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",Duales Studium Wirtschaftsinformatik - Data Science 2026,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibVBUOVhvd0Y4UkdzN1BnYnotTXZHQSIsImkiOiI1NTgwMDY0Njg5In0.iPj2nBQUwrgqMlosZ1pxONQKFJrfQ7tX1URJso5MwEc,49.18975,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
"{'display_name': 'ALH Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}",5618494305,Adzuna::API::Response::Job,9.187224,0,2026-02-07T03:56:37Z,https://www.adzuna.de/land/ad/5618494305?se=mPT9XowF8RGs7Pgbz-MvGA&utm_medium=api&utm_source=a4bcf954&v=52DB7B31F606147EABC48227892C75C6A4C2B619,"Die ALH Gruppe zählt zu den bedeutenden Versicherungs- und Finanzdienst­leistungsunternehmen in Deutschland. Rund 3.000 Mitarbeiterinnen und Mitarbeiter bilden das Fundament für unseren Erfolg und sorgen täglich für erstklassigen Service, individuelle Beratung und die langfristige Zufriedenheit unserer Kunden. Aufgaben Innovative Technologien vorantreiben und betriebswirtschaftliche Zusammenhänge optimieren – als Absolvent (m/w/d) des Studiengangs Wirtschaftsinformatik (B.Sc.) weißt du wie´s ge…",Duales Studium Wirtschaftsinformatik – Data Science (B.Sc.),eyJhbGciOiJIUzI1NiJ9.eyJzIjoibVBUOVhvd0Y4UkdzN1BnYnotTXZHQSIsImkiOiI1NjE4NDk0MzA1In0.qVKAlvHGc4sbihkOhK_XeK21xr4AjL97FN_A2BAhLG8,48.776198,"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",,,,
"{'display_name': 'Atruvia AG', '__CLASS__': 'Adzuna::API::Response::Company'}",5593923007,Adzuna::API::Response::Job,8.412378,0,2026-01-21T14:32:46Z,https://www.adzuna.de/land/ad/5593923007?se=mPT9XowF8RGs7Pgbz-MvGA&utm_medium=api&utm_source=a4bcf954&v=FD4D398594FA4C9EC5B86A580EABD1973C648298,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,Duales Studium Data Science & Künstliche Intelligenz B.Sc.,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibVBUOVhvd0Y4UkdzN1BnYnotTXZHQSIsImkiOiI1NTkzOTIzMDA3In0.XGQDE1ZrqDU5M3Tpxz9gSiO08CgN9wZOmLaugpcVUog,49.001249,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], 'display_name': 'Karlsruhe, Karlsruhe (Kreis)'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",,,,
"{'display_name': 'Trelleborg Sealing Solutions Germany GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",5616730720,Adzuna::API::Response::Job,9.187224,0,2026-02-06T03:56:22Z,https://www.adzuna.de/land/ad/5616730720?se=mPT9XowF8RGs7Pgbz-MvGA&utm_medium=api&utm_source=a4bcf954&v=D8B1E977722EF5BE1C85BBDC5336139C8CFC1205,"Duales Studium Wirtschaftsinformatik-Data Science, Studienbeginn 2026 (m/w/d) Trelleborg is a world leader in engineered polymer solutions for almost every industry on the planet. And we are where we are because our talents brought us here. By specializing in the polymer engineering that makes innovation and application possible, Trelleborg works closely with leading industry brands to accelerate their performance, drive their business forward—and along the way, shape the industry and progress …","Duales Studium Wirtschaftsinformatik-Data Science, Studienbeginn 2026 (m/w/d)",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYxNjczMDcyMCIsInMiOiJtUFQ5WG93RjhSR3M3UGdiei1NdkdBIn0.Ui3h1ZtgCF3qmlDYDSzlZwsbv3GEjp2aMH4xLiSg_JI,48.776198,"{'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'fischerwerke GmbH & Co. KG'}",5593921894,Adzuna::API::Response::Job,,0,2026-01-21T14:32:36Z,https://www.adzuna.de/land/ad/5593921894?se=mPT9XowF8RGs7Pgbz-MvGA&utm_medium=api&utm_source=a4bcf954&v=683AE9E8BC417FF6354B2BFCE26736431D9B6381,"Wegweisende Ideen, höchste Qualitätsansprüche, maximaler Kundennutzen: Rund um den Globus setzen wir mit über 4.700 Mitarbeiterinnen und Mitarbeitern Maßstäbe. Unser Handeln wird weltweit bestimmt von unserem Leitbild und unseren Werten – innovativ, eigenverantwortlich und seriös. Kern unseres fischerProzessSystems (fPS) ist es, in allen Unternehmensbereichen Prozesse ständig weiter zu verbessern, diese an den Bedürfnissen unserer Kunden auszurichten, Verschwendung zu vermeiden und wertschöpfen…",Duales Studium Data Science und Künstliche Intelligenz (B.Sc.) – Start Herbst 2026,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU5MzkyMTg5NCIsInMiOiJtUFQ5WG93RjhSR3M3UGdiei1NdkdBIn0._0eNjmhiIF--2sp7FqX-QJv9dekUkhu3xMvnriEL6oY,,"{'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland'}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
"{'display_name': 'Hensoldt', '__CLASS__': 'Adzuna::API::Response::Company'}",5617354353,Adzuna::API::Response::Job,,0,2026-02-06T15:56:27Z,https://www.adzuna.de/land/ad/5617354353?se=mPT9XowF8RGs7Pgbz-MvGA&utm_medium=api&utm_source=a4bcf954&v=86430D4E4D30909BAAEEF9D478D92DE34297074B,"HENSOLDT ist ein führendes Unternehmen der europäischen Verteidigungsindustrie mit globaler Reichweite. Das Unternehmen mit Sitz in Taufkirchen bei München entwickelt Sensor-Komplettlösungen für Verteidigungs- und Sicherheitsanwendungen. Als Technologieführer treibt HENSOLDT die Entwicklung der Verteidigungselektronik und Optronik voran und baut sein Portfolio auf der Grundlage innovativer Ansätze für Datenmanagement, Robotik und Cybersicherheit kontinuierlich aus. Unsere Produkte sind einsetzb…","Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Start 2026",eyJhbGciOiJIUzI1NiJ9.eyJzIjoibVBUOVhvd0Y4UkdzN1BnYnotTXZHQSIsImkiOiI1NjE3MzU0MzUzIn0.NdkXqE0dinz5l75eack-BbzlwrXEs-_Pti2Lt4q5I7Y,,"{'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
"{'display_name': 'Markant Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}",5606120726,Adzuna::API::Response::Job,7.94837,0,2026-01-30T14:51:49Z,https://www.adzuna.de/land/ad/5606120726?se=mPT9XowF8RGs7Pgbz-MvGA&utm_medium=api&utm_source=a4bcf954&v=66CFB9D058686A1D67A8E946C8871255E473E18B,"Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…",Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2027 (m/w/d),eyJhbGciOiJIUzI1NiJ9.eyJzIjoibVBUOVhvd0Y4UkdzN1BnYnotTXZHQSIsImkiOiI1NjA2MTIwNzI2In0.T6n3MxzYGgM0CPMRXsTK9glD1sNAXc5b-MED_eN9VFQ,48.42392,"{'display_name': 'Offenburg, Ortenaukreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
"{'display_name': 'Datev eG', '__CLASS__': 'Adzuna::API::Response::Company'}",5606729201,Adzuna::API::Response::Job,11.083642,0,2026-01-30T20:32:45Z,https://www.adzuna.de/land/ad/5606729201?se=mPT9XowF8RGs7Pgbz-MvGA&utm_medium=api&utm_source=a4bcf954&v=A945D6A2B84CB66C8FE8FB2D342935C465AD5071,"Das ist das Arbeitsumfeld: Die Abteilung Experience Management unterstützt alle Entwicklungsbereiche und Kontaktpunkte der DATEV bei der Erstellung von Customer Journeys, Kundenerlebnismessungen sowie UX-Research. Das Team CX Visualizations & Technologies stellt automatisierte und datengetriebene Lösungen bereit, um eine Verbesserung des Kundenerlebnisses zu ermöglichen. Hier freuen wir uns auf Deine studentische Unterstützung. Aufgabenschwerpunkte sind insbesondere: Du unterstützt bei der Erst…",Werkstudent Data Science & Analytics (m/w/d),eyJhbGciOiJIUzI1NiJ9.eyJzIjoibVBUOVhvd0Y4UkdzN1BnYnotTXZHQSIsImkiOiI1NjA2NzI5MjAxIn0.yawjepNSGFbDGUeH2rit7uZuWfJU7OdEk57agZ6xoNM,49.443967,"{'display_name': 'Nürnberg, Bayern', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'Nürnberg']}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT-Stellen'}",full_time,,,
"{'display_name': 'DAT Deutsche Automobil Treuhand GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",5618496010,Adzuna::API::Response::Job,9.24596,0,2026-02-07T03:57:05Z,https://www.adzuna.de/land/ad/5618496010?se=mPT9XowF8RGs7Pgbz-MvGA&utm_medium=api&utm_source=a4bcf954&v=3D8B5C03F8398F99BEEDC0AE4C969A1995AE4508,"Tagtäglich stellen wir unser Wissen bereit - stets aktuelle Daten und Informationen rund ums Auto. Wir arbeiten beispielsweise für faire, unabhängig ermittelte Gebrauchtwagen- und Reparaturpreise für alle. Dabei übernimmt jeder Einzelne gerne Verantwortung für seine Aufgaben und: Es macht uns großen Spaß, gemeinsam erfolgreich zu sein. Weltweit entwickeln 550 Mitdenker und Mitdenkerinnen aus 26 Nationen zukunftsweisende IT-Lösungen, die den digitalen Wandel voranbringen. Aufgaben Ausbildungssta…",DHBW Student Wirtschaftsinformatik - Data Science (m/w/d),eyJhbGciOiJIUzI1NiJ9.eyJzIjoibVBUOVhvd0Y4UkdzN1BnYnotTXZHQSIsImkiOiI1NjE4NDk2MDEwIn0.OvRWDxXsRi-0XN_wlr1lSXBbgZHxYPp6rZipv7y60VM,48.72761,"{'display_name': 'Ostfildern, Esslingen (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Ostfildern']}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}",,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",5616732101,Adzuna::API::Response::Job,9.187224,0,2026-02-06T03:56:35Z,https://www.adzuna.de/land/ad/5616732101?se=mPT9XowF8RGs7Pgbz-MvGA&utm_medium=api&utm_source=a4bcf954&v=71430176880FBD14EC08C5B2204A87008A7DE656,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,eyJhbGciOiJIUzI1NiJ9.eyJzIjoibVBUOVhvd0Y4UkdzN1BnYnotTXZHQSIsImkiOiI1NjE2NzMyMTAxIn0.0LHIKm9xmF9RsixZDBiBM0FQhUUOUfakH15loPLh7vo,48.776198,"{'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}","{'label': 'IT-Stellen', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
