location,category,redirect_url,title,latitude,description,salary_is_predicted,longitude,adref,company,id,created,__CLASS__,contract_time,salary_max,salary_min,contract_type
"{'display_name': 'Grünwald, München (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'Grünwald']}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",https://www.adzuna.de/land/ad/5637313010?se=or0KZYwQ8RGN54km_8BaUQ&utm_medium=api&utm_source=a4bcf954&v=D215E3D1993A1D18DAC380C9C7730ED8A5416954,Duales Studium - Data Science und Künstliche Intelligenz,48.03972,"Über RTLZWEI Überraschend, unangepasst, optimistisch und ganz nah dran: Das ist RTLZWEI. Hier erlebt das Publikum das Leben in all seinen Facetten. Als „Home of Reality“ zeigt der Sender Dokumentationen, Reportagen und Doku-Soaps, faszinierende Menschen und bewegende Schicksale. Mit einer konsequenten Multichannel-Strategie steigen die Reichweiten in den digitalen Kanälen stetig an. Exklusive Inhalte werden unter anderem auch im Streaming-Dienst RTL angeboten. Studieren und gleichzeitig Praxise…",0,11.52226,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib3IwS1pZd1E4UkdONTRrbV84QmFVUSIsImkiOiI1NjM3MzEzMDEwIn0.seedNo2Bly4xgWRnenf9FH6QiR4uXa8kkgPZbAWDQqs,"{'display_name': 'RTL2 Fernsehen GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",5637313010,2026-02-20T06:17:47Z,Adzuna::API::Response::Job,,,,
"{'area': ['Deutschland', 'Bayern', 'Aschaffenburg (Kreis)', 'Bessenbach'], 'display_name': 'Bessenbach, Aschaffenburg (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",https://www.adzuna.de/land/ad/5636196209?se=or0KZYwQ8RGN54km_8BaUQ&utm_medium=api&utm_source=a4bcf954&v=6C483C7E884BD7AC3CBF3D41CF68F6FA8A9CA3D2,Duales Studium Data Science und Künstliche Intelligenz (m/w/d),49.9599,"SAF-HOLLAND ist ein international führender Hersteller von fahrwerksbezogenen Baugruppen und Komponenten für Trailer, LKW und Busse. Auf sechs Kontinenten beschäftigt SAF-HOLLAND rund 6.000 engagierte Mitarbeitende. Die Produktpalette umfasst unter anderem Achs- und Federungssysteme für Trailer sowie Sattelkupplungen und Kupplungssysteme für LKW, Anhänger und Sattelauflieger als auch Brems- und EBS-Systeme. SAF-HOLLAND entwickelt innovative Produkte zur Erhöhung der Effizienz, Sicherheit und Um…",0,9.24812,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYzNjE5NjIwOSIsInMiOiJvcjBLWll3UThSR041NGttXzhCYVVRIn0.psqEgmE4VaOg1c9IKEpxOnpF2f4eTSpOO32IGOYrgN4,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'SAF-HOLLAND GmbH'}",5636196209,2026-02-19T18:16:27Z,Adzuna::API::Response::Job,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",https://www.adzuna.de/land/ad/5626242079?se=or0KZYwQ8RGN54km_8BaUQ&utm_medium=api&utm_source=a4bcf954&v=5644DE369E385FE48F7DC9AB889E338BF3BF0D58,Duales Studium Wirtschaftsinformatik – Data Science (B.Sc.),48.776198,"Die ALH Gruppe zählt zu den bedeutenden Versicherungs- und Finanzdienst­leistungsunternehmen in Deutschland. Rund 3.000 Mitarbeiterinnen und Mitarbeiter bilden das Fundament für unseren Erfolg und sorgen täglich für erstklassigen Service, individuelle Beratung und die langfristige Zufriedenheit unserer Kunden. Aufgaben Innovative Technologien vorantreiben und betriebswirtschaftliche Zusammenhänge optimieren – als Absolvent (m/w/d) des Studiengangs Wirtschaftsinformatik (B.Sc.) weißt du wie´s ge…",0,9.187224,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib3IwS1pZd1E4UkdONTRrbV84QmFVUSIsImkiOiI1NjI2MjQyMDc5In0.NshVayi72nsTWEhusHQkJvUjK8u6F9NYq724zsOPLdo,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ALH Gruppe'}",5626242079,2026-02-12T18:14:22Z,Adzuna::API::Response::Job,,,,
"{'area': ['Deutschland', 'Niedersachsen', 'Osnabrück (Kreis)', 'Osnabrück'], 'display_name': 'Osnabrück, Osnabrück (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",https://www.adzuna.de/land/ad/5640884832?se=or0KZYwQ8RGN54km_8BaUQ&utm_medium=api&utm_source=a4bcf954&v=111D727DDF0D49E051001B018EB2C41B17E8A09D,Duales Studium Data Science & Künstliche Intelligenz zum 01.08.2026,52.274227,"Bereit, mit uns die Zukunft zu gestalten? Bei Hellmann stehen unsere Mitarbeitenden im Zentrum all unseres Handelns – denn für uns zählen Beziehungen. Teil von Hellmann zu werden bedeutet mehr, als nur in ein globales Unternehmen einzusteigen. Es ist eine Einladung, gemeinsam mit uns die Zukunft der Logistikbranche zu prägen. Unsere Hellmann-Kultur basiert auf vier Werten: Caring, Entrepreneurial, Forward-Thinking und Reliable . Du findest dich in diesen Werten wieder? Dann werde Teil unserer F…",0,8.055137,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib3IwS1pZd1E4UkdONTRrbV84QmFVUSIsImkiOiI1NjQwODg0ODMyIn0.wtiNbjhhg-K73ZTCzkyA1wqZvcPqGDxRXsbgR3sJwUw,"{'display_name': 'Hellmann Worldwide Logistics SE & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",5640884832,2026-02-22T06:10:37Z,Adzuna::API::Response::Job,,,,
"{'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}",https://www.adzuna.de/land/ad/5622824158?se=or0KZYwQ8RGN54km_8BaUQ&utm_medium=api&utm_source=a4bcf954&v=6BABE1FF9D4FCC2A61BF69CD713CDAB9103BE6F7,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,48.776198,"WHAT DO YOU DO FOR A LIVING? Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir dir im Herzen Stuttgarts viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Für den Studienstart am 1. September 2026 suchen wir am Standort Stuttgart aufge­schlossene und moti­vierte Studierende. DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Aufgaben Drei Jahre bei der WGV studieren, dann hast du es geschafft und kannst d…",0,9.187224,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYyMjgyNDE1OCIsInMiOiJvcjBLWll3UThSR041NGttXzhCYVVRIn0.cXntz6rDcsgqcGDoZv7QShorNnKqjC005wh3Q21fQ2g,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",5622824158,2026-02-10T18:21:14Z,Adzuna::API::Response::Job,,,,
"{'area': ['Deutschland'], 'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",https://www.adzuna.de/land/ad/5622803754?se=or0KZYwQ8RGN54km_8BaUQ&utm_medium=api&utm_source=a4bcf954&v=1735AED97C25CFA6AC0BF8C71D50DD1176AD3718,"Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Start 2026",,"HENSOLDT ist ein führendes Unternehmen der europäischen Verteidigungsindustrie mit globaler Reichweite. Das Unternehmen mit Sitz in Taufkirchen bei München entwickelt Sensor-Komplettlösungen für Verteidigungs- und Sicherheitsanwendungen. Als Technologieführer treibt HENSOLDT die Entwicklung der Verteidigungselektronik und Optronik voran und baut sein Portfolio auf der Grundlage innovativer Ansätze für Datenmanagement, Robotik und Cybersicherheit kontinuierlich aus. Unsere Produkte sind einsetzb…",0,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYyMjgwMzc1NCIsInMiOiJvcjBLWll3UThSR041NGttXzhCYVVRIn0.8ohpmXt0_K32CMfXxD-Fp8CzU3_5k7KZNlQat-kJlhA,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'HENSOLDT'}",5622803754,2026-02-10T18:18:11Z,Adzuna::API::Response::Job,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.de/land/ad/5636197769?se=or0KZYwQ8RGN54km_8BaUQ&utm_medium=api&utm_source=a4bcf954&v=00A5A97F7226883A3152F8F99190EA5731F703D3,"Student*in für Masterarbeit ""Realismus-Boost für Fahrzeugsimulationen (Data Science & Engineering)""",48.776198,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",0,9.187224,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib3IwS1pZd1E4UkdONTRrbV84QmFVUSIsImkiOiI1NjM2MTk3NzY5In0.AeZF9VeU5QztpJQgsgMtN3Sd-d8EXxGv9FVJhy_hTFI,"{'display_name': 'Mercedes-Benz AG', '__CLASS__': 'Adzuna::API::Response::Company'}",5636197769,2026-02-19T18:17:53Z,Adzuna::API::Response::Job,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Offenburg, Ortenaukreis'}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",https://www.adzuna.de/land/ad/5622817856?se=or0KZYwQ8RGN54km_8BaUQ&utm_medium=api&utm_source=a4bcf954&v=404F5FB72C4F7F8D9EE26AE8371D1C61670FFAB2,Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2027 (m/w/d),48.42392,"Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…",0,7.94837,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYyMjgxNzg1NiIsInMiOiJvcjBLWll3UThSR041NGttXzhCYVVRIn0.plSZa54A5bxZ7whL5y85JZ-2XDbjdn9GPhbX-xrx4XI,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Markant Gruppe'}",5622817856,2026-02-10T18:20:07Z,Adzuna::API::Response::Job,,,,
"{'display_name': 'Ostfildern, Esslingen (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Ostfildern']}","{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",https://www.adzuna.de/land/ad/5639280062?se=or0KZYwQ8RGN54km_8BaUQ&utm_medium=api&utm_source=a4bcf954&v=51F6B868EC88BD599779DB4BCC1EDE9A40DD899A,DHBW Student Wirtschaftsinformatik - Data Science (m/w/d),48.72761,"Tagtäglich stellen wir unser Wissen bereit - stets aktuelle Daten und Informationen rund ums Auto. Wir arbeiten beispielsweise für faire, unabhängig ermittelte Gebrauchtwagen- und Reparaturpreise für alle. Dabei übernimmt jeder Einzelne gerne Verantwortung für seine Aufgaben und: Es macht uns großen Spaß, gemeinsam erfolgreich zu sein. Weltweit entwickeln 550 Mitdenker und Mitdenkerinnen aus 26 Nationen zukunftsweisende IT-Lösungen, die den digitalen Wandel voranbringen. Aufgaben Ausbildungssta…",0,9.24596,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYzOTI4MDA2MiIsInMiOiJvcjBLWll3UThSR041NGttXzhCYVVRIn0.Y12AVGM6amE1p3iUHvsREfuGY8pk9fkRPFGKMSa7iQM,"{'display_name': 'DAT Deutsche Automobil Treuhand GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",5639280062,2026-02-21T06:23:05Z,Adzuna::API::Response::Job,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Obertshausen, Offenbach (Kreis)', 'area': ['Deutschland', 'Hessen', 'Offenbach (Kreis)', 'Obertshausen']}","{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",https://www.adzuna.de/land/ad/5640893398?se=or0KZYwQ8RGN54km_8BaUQ&utm_medium=api&utm_source=a4bcf954&v=A6C1B9205E05A4BBE94B1500575A3B0888E33859,Duales Studium Bachelor of Science (B.Sc.) Data Science und Künstliche Intelligenz,50.08229,"Wir sind MAINGAU – ein ambitioniertes Energie- und Techunternehmen mit klarem Fokus auf technologiegetriebene Lösungen für die Energiewelt von morgen. Mehr als 1.000.000 Kundenbeziehungen europaweit und ein Umsatz von 1,3 Milliarden Euro in 2024 machen uns zu einem der am schnellsten wachsenden Energieunternehmen Deutschlands. Neben dem Strom- und Gasvertrieb bieten wir vielfältige Produkte in den Bereichen E-Mobilität, Internet und Mobilfunk und betreiben einen Onlineshop. An unserem Standort …",0,8.86518,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0MDg5MzM5OCIsInMiOiJvcjBLWll3UThSR041NGttXzhCYVVRIn0.Ty2UMMRIkapZjgezW7GoGKfFneDgq2b2o3v0igSNEE8,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'MAINGAU Energie GmbH'}",5640893398,2026-02-22T06:32:14Z,Adzuna::API::Response::Job,,,,
