location,company,__CLASS__,category,title,id,description,salary_is_predicted,redirect_url,created,adref,longitude,latitude,contract_time,contract_type,salary_min,salary_max
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland', 'area': ['Deutschland']}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Fachhochschule Kufstein Tirol Bildungs GmbH'}",Adzuna::API::Response::Job,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",Professur (FH) für Data Science und Artificial Intelligence (w/m/d),5645809169,"Die Fachhochschule Kufstein Tirol ist eine international ausgezeichnete Hochschule und zählt laut trend zu den besten Arbeitgeber:innen Tirols. Als moderne Wissensorganisation mit über 2.400 Studierenden, mehr als 10.600 Absolvent:innen und einem globalen Netzwerk von über 250 Partnerinstitutionen bieten wir ein wertschätzendes, familienfreundliches Arbeitsumfeld mit flexiblen Rahmenbedingungen, vielseitigen Aufgaben und internationaler Vernetzung. Professur (FH) für Data Science und Artificial…",0,https://www.adzuna.de/land/ad/5645809169?se=0s7VyQsW8RGloeotAmUcTA&utm_medium=api&utm_source=a4bcf954&v=7A64338C6BF1606A0A910E6A214787E95A94ABA5,2026-02-26T06:33:20Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0NTgwOTE2OSIsInMiOiIwczdWeVFzVzhSR2xvZW90QW1VY1RBIn0.pFaGPE4W9IVJfYF8G0Rpe0ykr1yYbEYfjG3RrRKobDs,,,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}","{'display_name': 'ALH Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",Duales Studium Wirtschaftsinformatik – Data Science (B.Sc.),5626242079,"Die ALH Gruppe zählt zu den bedeutenden Versicherungs- und Finanzdienst­leistungsunternehmen in Deutschland. Rund 3.000 Mitarbeiterinnen und Mitarbeiter bilden das Fundament für unseren Erfolg und sorgen täglich für erstklassigen Service, individuelle Beratung und die langfristige Zufriedenheit unserer Kunden. Aufgaben Innovative Technologien vorantreiben und betriebswirtschaftliche Zusammenhänge optimieren – als Absolvent (m/w/d) des Studiengangs Wirtschaftsinformatik (B.Sc.) weißt du wie´s ge…",0,https://www.adzuna.de/land/ad/5626242079?se=0s7VyQsW8RGloeotAmUcTA&utm_medium=api&utm_source=a4bcf954&v=5644DE369E385FE48F7DC9AB889E338BF3BF0D58,2026-02-12T18:14:22Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYyNjI0MjA3OSIsInMiOiIwczdWeVFzVzhSR2xvZW90QW1VY1RBIn0.FcWprF6xxXsX97dAdh8F_JmWU_OLJGanoTStnxCgMQ8,9.187224,48.776198,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], 'display_name': 'Oberkochen, Ostalbkreis'}","{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'tag': 'other-general-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Sonstige/Allgemeine Stellen'}",Abschlussarbeit Data Science / Mechanikdesign (m/w/x),5648255808,"Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…",0,https://www.adzuna.de/land/ad/5648255808?se=0s7VyQsW8RGloeotAmUcTA&utm_medium=api&utm_source=a4bcf954&v=94199157C255DD05FA931560A9DCB29A1F1E5984,2026-02-28T06:34:52Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMHM3VnlRc1c4Ukdsb2VvdEFtVWNUQSIsImkiOiI1NjQ4MjU1ODA4In0.lKhMjyGz0tXOJKVy3zUS100cDchmgPqXQa8yR6azscI,10.10558,48.78408,,,,
"{'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'Grünwald'], 'display_name': 'Grünwald, München (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}","{'display_name': 'RTL2 Fernsehen GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",Duales Studium - Data Science und Künstliche Intelligenz,5644512810,"Über RTLZWEI Überraschend, unangepasst, optimistisch und ganz nah dran: Das ist RTLZWEI. Hier erlebt das Publikum das Leben in all seinen Facetten. Als „Home of Reality“ zeigt der Sender Dokumentationen, Reportagen und Doku-Soaps, faszinierende Menschen und bewegende Schicksale. Mit einer konsequenten Multichannel-Strategie steigen die Reichweiten in den digitalen Kanälen stetig an. Exklusive Inhalte werden unter anderem auch im Streaming-Dienst RTL angeboten. Studieren und gleichzeitig Praxise…",0,https://www.adzuna.de/land/ad/5644512810?se=0s7VyQsW8RGloeotAmUcTA&utm_medium=api&utm_source=a4bcf954&v=E0322B39C4B33ADBD7D5CF312DBAA5EF3CB4DD30,2026-02-25T06:34:38Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0NDUxMjgxMCIsInMiOiIwczdWeVFzVzhSR2xvZW90QW1VY1RBIn0.tOsD9ds3dX2FCCPJ3kONfV9M85KQg4Z8Dk3eo-elUo8,11.52226,48.03972,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Ostfildern'], 'display_name': 'Ostfildern, Esslingen (Kreis)'}","{'display_name': 'DAT Deutsche Automobil Treuhand GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}",DHBW Student Wirtschaftsinformatik - Data Science (m/w/d),5639280062,"Tagtäglich stellen wir unser Wissen bereit - stets aktuelle Daten und Informationen rund ums Auto. Wir arbeiten beispielsweise für faire, unabhängig ermittelte Gebrauchtwagen- und Reparaturpreise für alle. Dabei übernimmt jeder Einzelne gerne Verantwortung für seine Aufgaben und: Es macht uns großen Spaß, gemeinsam erfolgreich zu sein. Weltweit entwickeln 550 Mitdenker und Mitdenkerinnen aus 26 Nationen zukunftsweisende IT-Lösungen, die den digitalen Wandel voranbringen. Aufgaben Ausbildungssta…",0,https://www.adzuna.de/land/ad/5639280062?se=0s7VyQsW8RGloeotAmUcTA&utm_medium=api&utm_source=a4bcf954&v=51F6B868EC88BD599779DB4BCC1EDE9A40DD899A,2026-02-21T06:23:05Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYzOTI4MDA2MiIsInMiOiIwczdWeVFzVzhSR2xvZW90QW1VY1RBIn0.u4Ysd7TbSCLm9XZYwvuF0aPlXPd0hISdxEmndq_4ges,9.24596,48.72761,,,,
"{'area': ['Deutschland', 'Berlin'], 'display_name': 'Berlin, Deutschland', '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Horváth'}",Adzuna::API::Response::Job,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}",Praktikum als Fellow Consultant (w/m/d) Data Science & AI,5649460992,"Als unabhängige, internationale Managementberatung begegnen wir täglich spannenden Aufgaben und Kunden. Durch individuelle Stärken und Talente sowie umfassende Expertise wachsen wir über uns hinaus. Wir nehmen Herausforderungen an – als Team auf Augenhöhe. Freundschaftlich und mit Humor. Successfully together! That's Horváth. Aufgaben Praktikum. Weiter gedacht. Du bist nicht nur Teil unseres Teams, sondern startest auch direkt inhaltlich in unseren anspruchsvollen Entwicklungs- und Beratungspro…",0,https://www.adzuna.de/land/ad/5649460992?se=0s7VyQsW8RGloeotAmUcTA&utm_medium=api&utm_source=a4bcf954&v=18284E703C73C77FE224025A4CE84B2AD57A8A9E,2026-03-01T06:34:51Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMHM3VnlRc1c4Ukdsb2VvdEFtVWNUQSIsImkiOiI1NjQ5NDYwOTkyIn0.9BljR_wImjQe4C8YfpyTNJo-35W1vgE01LS-8X4l2_c,13.420806,52.507706,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Hessen', 'Offenbach (Kreis)', 'Obertshausen'], 'display_name': 'Obertshausen, Offenbach (Kreis)'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'MAINGAU Energie GmbH'}",Adzuna::API::Response::Job,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",Duales Studium Bachelor of Science (B.Sc.) Data Science und Künstliche Intelligenz,5640893398,"Wir sind MAINGAU – ein ambitioniertes Energie- und Techunternehmen mit klarem Fokus auf technologiegetriebene Lösungen für die Energiewelt von morgen. Mehr als 1.000.000 Kundenbeziehungen europaweit und ein Umsatz von 1,3 Milliarden Euro in 2024 machen uns zu einem der am schnellsten wachsenden Energieunternehmen Deutschlands. Neben dem Strom- und Gasvertrieb bieten wir vielfältige Produkte in den Bereichen E-Mobilität, Internet und Mobilfunk und betreiben einen Onlineshop. An unserem Standort …",0,https://www.adzuna.de/land/ad/5640893398?se=0s7VyQsW8RGloeotAmUcTA&utm_medium=api&utm_source=a4bcf954&v=A6C1B9205E05A4BBE94B1500575A3B0888E33859,2026-02-22T06:32:14Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMHM3VnlRc1c4Ukdsb2VvdEFtVWNUQSIsImkiOiI1NjQwODkzMzk4In0.2DDoIiaMv85dQN8VCsSUtF6aCcKXj8ppQR1RIcf1kLc,8.86518,50.08229,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], 'display_name': 'Karlsruhe, Karlsruhe (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Atruvia AG'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",Duales Studium Data Science & Künstliche Intelligenz B.Sc.,5639275194,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,0,https://www.adzuna.de/land/ad/5639275194?se=0s7VyQsW8RGloeotAmUcTA&utm_medium=api&utm_source=a4bcf954&v=B812228E5F2C59E11283C7A9A37710EDC0F392A9,2026-02-21T06:20:19Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYzOTI3NTE5NCIsInMiOiIwczdWeVFzVzhSR2xvZW90QW1VY1RBIn0.9Wh8HJDgYH0Edjn221LRC_IWLJ6BU3_lkc35Fk2RUfA,8.412378,49.001249,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz AG'}",Adzuna::API::Response::Job,"{'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}","Student*in für Masterarbeit ""Realismus-Boost für Fahrzeugsimulationen (Data Science & Engineering)""",5648804857,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",0,https://www.adzuna.de/land/ad/5648804857?se=0s7VyQsW8RGloeotAmUcTA&utm_medium=api&utm_source=a4bcf954&v=A120887B73531ACD420A49F5D7251409232FC38D,2026-02-28T18:34:24Z,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMHM3VnlRc1c4Ukdsb2VvdEFtVWNUQSIsImkiOiI1NjQ4ODA0ODU3In0.P0bhVG3EMGWqPES8gvqRhw_t5B5iwKbrWh1szoPq5-c,9.187224,48.776198,,,,
"{'area': ['Deutschland', 'Bayern', 'Aschaffenburg (Kreis)', 'Bessenbach'], 'display_name': 'Bessenbach, Aschaffenburg (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'SAF-HOLLAND GmbH'}",Adzuna::API::Response::Job,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",Duales Studium Data Science und Künstliche Intelligenz (m/w/d),5644513626,"SAF-HOLLAND ist ein international führender Hersteller von fahrwerksbezogenen Baugruppen und Komponenten für Trailer, LKW und Busse. Auf sechs Kontinenten beschäftigt SAF-HOLLAND rund 6.000 engagierte Mitarbeitende. Die Produktpalette umfasst unter anderem Achs- und Federungssysteme für Trailer sowie Sattelkupplungen und Kupplungssysteme für LKW, Anhänger und Sattelauflieger als auch Brems- und EBS-Systeme. SAF-HOLLAND entwickelt innovative Produkte zur Erhöhung der Effizienz, Sicherheit und Um…",0,https://www.adzuna.de/land/ad/5644513626?se=0s7VyQsW8RGloeotAmUcTA&utm_medium=api&utm_source=a4bcf954&v=6A6D18B03F9AF3040E0AAF2E60DA600583BCE903,2026-02-25T06:35:07Z,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0NDUxMzYyNiIsInMiOiIwczdWeVFzVzhSR2xvZW90QW1VY1RBIn0.hbci1WgVMqS8M2uq3WIKqjzf79zbMpgdmgl71E4ok_E,9.24812,49.9599,,,,
