location,title,adref,longitude,latitude,company,category,description,__CLASS__,salary_is_predicted,created,id,redirect_url,contract_time,salary_min,salary_max,contract_type
"{'display_name': 'Teltow, Potsdam-Mittelmark (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Brandenburg', 'Potsdam-Mittelmark (Kreis)', 'Teltow']}",Mitarbeiter IT-Data Science (m/w/d),eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY1ODM1MzU0MyIsInMiOiJYUE5UUDR3YjhSR2NCOWIydzFoQmVRIn0.02HN_lTgVGap71hO0k1Pz4pQjaToqNY6fmwf6y_FMqo,13.26532,52.40101,"{'display_name': 'Evangelisches Diakonissenhaus Berlin Teltow Lehnin', '__CLASS__': 'Adzuna::API::Response::Company'}","{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}","Der Unternehmensverbund Diakonissenhaus Teltow zählt zu den großen Anbietern diakonischer Dienste in Berlin, Brandenburg und Sachsen-Anhalt. Schwerpunkte der Arbeit sind das Gesundheitswesen, die Altenhilfe sowie die Bereiche Teilhabe und Bildung. Mehr als 3.000 Mitarbeitende gehen in den Bereichen Gesundheitswesen, Altenhilfe, Teilhabe und Bildung Wege mit Menschen, die sich ihnen anvertrauen. Zur Verstärkung unseres Teams in einer neu geschaffenen Serviceeinheit suchen wir Sie zum nächstmögli…",Adzuna::API::Response::Job,0,2026-03-08T06:48:24Z,5658353543,https://www.adzuna.de/land/ad/5658353543?se=XPNTP4wb8RGcB9b2w1hBeQ&utm_medium=api&utm_source=a4bcf954&v=E63C74685B4359AA35F88977651C067A5D1CEB71,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Karlsruhe, Karlsruhe (Kreis)'}",Duales Studium Data Science & Künstliche Intelligenz B.Sc.,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWFBOVFA0d2I4UkdjQjliMncxaEJlUSIsImkiOiI1NjM5Mjc1MTk0In0.n9AbKT9om1V8kgdJFzjVpJzG9ty1E3B133CzA58JCnQ,8.412378,49.001249,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Atruvia AG'}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,Adzuna::API::Response::Job,0,2026-02-21T06:20:19Z,5639275194,https://www.adzuna.de/land/ad/5639275194?se=XPNTP4wb8RGcB9b2w1hBeQ&utm_medium=api&utm_source=a4bcf954&v=B812228E5F2C59E11283C7A9A37710EDC0F392A9,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg'}","Student*in für Masterarbeit ""Realismus-Boost für Fahrzeugsimulationen (Data Science & Engineering)""",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWFBOVFA0d2I4UkdjQjliMncxaEJlUSIsImkiOiI1NjQ4ODA0ODU3In0.ZqkblKfxfb7I-7xGiwWgtHs-3MHSND7-5jAIG5eMQxM,9.187224,48.776198,"{'display_name': 'Mercedes-Benz AG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category'}","Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",Adzuna::API::Response::Job,0,2026-02-28T18:34:24Z,5648804857,https://www.adzuna.de/land/ad/5648804857?se=XPNTP4wb8RGcB9b2w1hBeQ&utm_medium=api&utm_source=a4bcf954&v=A120887B73531ACD420A49F5D7251409232FC38D,,,,
"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}",Professur (FH) für Data Science und Artificial Intelligence (w/m/d),eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWFBOVFA0d2I4UkdjQjliMncxaEJlUSIsImkiOiI1NjQ1ODA5MTY5In0.vpocrzfPn3IW3StiAXYk-m1l5AVweds7_P3GVyEiHC4,,,"{'display_name': 'Fachhochschule Kufstein Tirol Bildungs GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}","Die Fachhochschule Kufstein Tirol ist eine international ausgezeichnete Hochschule und zählt laut trend zu den besten Arbeitgeber:innen Tirols. Als moderne Wissensorganisation mit über 2.400 Studierenden, mehr als 10.600 Absolvent:innen und einem globalen Netzwerk von über 250 Partnerinstitutionen bieten wir ein wertschätzendes, familienfreundliches Arbeitsumfeld mit flexiblen Rahmenbedingungen, vielseitigen Aufgaben und internationaler Vernetzung. Professur (FH) für Data Science und Artificial…",Adzuna::API::Response::Job,0,2026-02-26T06:33:20Z,5645809169,https://www.adzuna.de/land/ad/5645809169?se=XPNTP4wb8RGcB9b2w1hBeQ&utm_medium=api&utm_source=a4bcf954&v=7A64338C6BF1606A0A910E6A214787E95A94ABA5,,,,
"{'display_name': 'Bessenbach, Aschaffenburg (Kreis)', 'area': ['Deutschland', 'Bayern', 'Aschaffenburg (Kreis)', 'Bessenbach'], '__CLASS__': 'Adzuna::API::Response::Location'}",Duales Studium Data Science und Künstliche Intelligenz (m/w/d),eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0NTgxMDc5MSIsInMiOiJYUE5UUDR3YjhSR2NCOWIydzFoQmVRIn0.20Yty8HUk_helu2OsexV84vUzrLxLT9InvJ7cZBNQwY,9.24812,49.9599,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'SAF-HOLLAND GmbH'}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","SAF-HOLLAND ist ein international führender Hersteller von fahrwerksbezogenen Baugruppen und Komponenten für Trailer, LKW und Busse. Auf sechs Kontinenten beschäftigt SAF-HOLLAND rund 6.000 engagierte Mitarbeitende. Die Produktpalette umfasst unter anderem Achs- und Federungssysteme für Trailer sowie Sattelkupplungen und Kupplungssysteme für LKW, Anhänger und Sattelauflieger als auch Brems- und EBS-Systeme. SAF-HOLLAND entwickelt innovative Produkte zur Erhöhung der Effizienz, Sicherheit und Um…",Adzuna::API::Response::Job,0,2026-02-26T06:33:40Z,5645810791,https://www.adzuna.de/land/ad/5645810791?se=XPNTP4wb8RGcB9b2w1hBeQ&utm_medium=api&utm_source=a4bcf954&v=1E1EAADCA1031C3B36C5947DCC3BFB638EB20060,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Oberkochen, Ostalbkreis'}",Abschlussarbeit Data Science / Mechanikdesign (m/w/x),eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWFBOVFA0d2I4UkdjQjliMncxaEJlUSIsImkiOiI1NjIyODMyNTM0In0.40oMHs1iOmLN4tHFIG1cLSnoOQ6z3cnZFIsetjVVKmE,10.10558,48.78408,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}","{'label': 'Sonstige/Allgemeine Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'other-general-jobs'}","Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…",Adzuna::API::Response::Job,0,2026-02-10T18:22:40Z,5622832534,https://www.adzuna.de/land/ad/5622832534?se=XPNTP4wb8RGcB9b2w1hBeQ&utm_medium=api&utm_source=a4bcf954&v=411517FCC700B03D3572A60E95C39FC05258DFD6,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg'}",DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWFBOVFA0d2I4UkdjQjliMncxaEJlUSIsImkiOiI1NjU3MTk2NjQzIn0.y2tb8uaTp7rv2ZAxYr5DZFY6X33FiSR7JvCspsX8lVo,9.187224,48.776198,"{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}","{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Bereit für ein echt spannendes und abwechslungsreiches Studium? Wir machen dich fit für deine Zukunft in einer modernen Versicherung. Für den Studienstart am 01.09.2026 in Stuttgart suchen wir aufgeschlossene und motivierte Studierende. Aufgaben Drei Jahre…,Adzuna::API::Response::Job,0,2026-03-07T06:45:57Z,5657196643,https://www.adzuna.de/land/ad/5657196643?se=XPNTP4wb8RGcB9b2w1hBeQ&utm_medium=api&utm_source=a4bcf954&v=19BEA335771F54E02942A0CDDB554DDADA9C03FD,,,,
"{'display_name': 'Grünwald, München (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'Grünwald']}",Duales Studium - Data Science und Künstliche Intelligenz,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0NDUxMjgxMCIsInMiOiJYUE5UUDR3YjhSR2NCOWIydzFoQmVRIn0.Be-TLaiNtugGDcdus5iK7zbkvmfCg7fBJVHGe2x8Suw,11.52226,48.03972,"{'display_name': 'RTL2 Fernsehen GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}","Über RTLZWEI Überraschend, unangepasst, optimistisch und ganz nah dran: Das ist RTLZWEI. Hier erlebt das Publikum das Leben in all seinen Facetten. Als „Home of Reality“ zeigt der Sender Dokumentationen, Reportagen und Doku-Soaps, faszinierende Menschen und bewegende Schicksale. Mit einer konsequenten Multichannel-Strategie steigen die Reichweiten in den digitalen Kanälen stetig an. Exklusive Inhalte werden unter anderem auch im Streaming-Dienst RTL angeboten. Studieren und gleichzeitig Praxise…",Adzuna::API::Response::Job,0,2026-02-25T06:34:38Z,5644512810,https://www.adzuna.de/land/ad/5644512810?se=XPNTP4wb8RGcB9b2w1hBeQ&utm_medium=api&utm_source=a4bcf954&v=E0322B39C4B33ADBD7D5CF312DBAA5EF3CB4DD30,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland'], 'display_name': 'Deutschland'}",Duales Studium – Wirtschaftsinformatik – Data Science (B. Sc.),eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWFBOVFA0d2I4UkdjQjliMncxaEJlUSIsImkiOiI1NjU4MzU0MDA0In0.VWqFpgQ-RqiLt6WAu-sI3AQM8DsFlX0vVkbQMytRdig,,,"{'display_name': 'BOS GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","BE PART OF THE BOS FAMILY BE PART OF THE AUTOMOTIVE FUTURE BOS ist eine internationale Unternehmensgruppe in mehrheitlichem Familienbesitz und gehört zu den Hidden Champions in der Automobilindustrie. Wir entwickeln und produzieren innovative Mechatronik-, Kinematik- und Kunststoffsysteme und sind Technologieführer für Abdeckrollos und Sonnenschutzsysteme. Mit unseren über 6.250 Mitarbeitern gestalten wir die globale automobile Zukunft ebenso aktiv wie dynamisch mit und setzen Maßstäbe in Komfo…",Adzuna::API::Response::Job,0,2026-03-08T06:48:46Z,5658354004,https://www.adzuna.de/land/ad/5658354004?se=XPNTP4wb8RGcB9b2w1hBeQ&utm_medium=api&utm_source=a4bcf954&v=01CDC0CA36822379CEE19BA68862DC29D39AC4D8,,,,
"{'display_name': 'Offenburg, Ortenaukreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg'], '__CLASS__': 'Adzuna::API::Response::Location'}",Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2027 (m/w/d),eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWFBOVFA0d2I4UkdjQjliMncxaEJlUSIsImkiOiI1NjIyODE3ODU2In0.jBaAI5HDHb7FzLQHOPE9_YwMdhMnp6ZZygQFIXWPsIU,7.94837,48.42392,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Markant Gruppe'}","{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…",Adzuna::API::Response::Job,0,2026-02-10T18:20:07Z,5622817856,https://www.adzuna.de/land/ad/5622817856?se=XPNTP4wb8RGcB9b2w1hBeQ&utm_medium=api&utm_source=a4bcf954&v=404F5FB72C4F7F8D9EE26AE8371D1C61670FFAB2,,,,
