description,title,company,salary_is_predicted,redirect_url,adref,__CLASS__,category,location,id,created,latitude,longitude,contract_time,salary_max,salary_min,contract_type
"Die Fachhochschule Kufstein Tirol ist eine international ausgezeichnete Hochschule und zählt laut trend zu den besten Arbeitgeber:innen Tirols. Als moderne Wissensorganisation mit über 2.400 Studierenden, mehr als 10.600 Absolvent:innen und einem globalen Netzwerk von über 250 Partnerinstitutionen bieten wir ein wertschätzendes, familienfreundliches Arbeitsumfeld mit flexiblen Rahmenbedingungen, vielseitigen Aufgaben und internationaler Vernetzung. Professur (FH) für Data Science und Artificial…",Professur (FH) für Data Science und Artificial Intelligence (w/m/d),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Fachhochschule Kufstein Tirol Bildungs GmbH'}",0,https://www.adzuna.de/land/ad/5646952973?se=Rnz44A4h8RGx_uICYc_4Pg&utm_medium=api&utm_source=a4bcf954&v=A35A4A76A32E9C785FBF88017CAAB8D6191B1B59,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0Njk1Mjk3MyIsInMiOiJSbno0NEE0aDhSR3hfdUlDWWNfNFBnIn0.uOXZSkZ4RRUk8nPogHqpro64KO5N_mBk9SAAN186f5Y,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}","{'area': ['Deutschland'], 'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location'}",5646952973,2026-02-27T06:33:49Z,,,,,,
DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Bereit für ein echt spannendes und abwechslungsreiches Studium? Wir machen dich fit für deine Zukunft in einer modernen Versicherung. Für den Studienstart am 01.09.2026 in Stuttgart suchen wir aufgeschlossene und motivierte Studierende. Aufgaben Drei Jahre…,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",0,https://www.adzuna.de/land/ad/5666156256?se=Rnz44A4h8RGx_uICYc_4Pg&utm_medium=api&utm_source=a4bcf954&v=9B8C79B32988E99D1F5029716D5CD5BAF76D9DFF,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY2NjE1NjI1NiIsInMiOiJSbno0NEE0aDhSR3hfdUlDWWNfNFBnIn0.BEWDzKuSUavGbKB-0rY7cnIj48G4vpU0aUuwvgPgXmw,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT-Stellen'}","{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location'}",5666156256,2026-03-15T06:57:44Z,48.776198,9.187224,,,,
Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,Duales Studium Data Science & Künstliche Intelligenz B.Sc.,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Atruvia AG'}",0,https://www.adzuna.de/land/ad/5633384365?se=Rnz44A4h8RGx_uICYc_4Pg&utm_medium=api&utm_source=a4bcf954&v=A5E1CF98D9FFE243FF52F38E5B15E2E7E2B489C3,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYzMzM4NDM2NSIsInMiOiJSbno0NEE0aDhSR3hfdUlDWWNfNFBnIn0.v6HbJYMlQ7alqbc44zoqyTCWyf70fqhiyIlaY5ZhAhA,Adzuna::API::Response::Job,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","{'display_name': 'Karlsruhe, Karlsruhe (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe']}",5633384365,2026-02-17T19:44:26Z,49.001249,8.412378,,,,
"Publicis Media ist das weltweit zweitgrößte Mediaagenturnetzwerk und Teil des französischen Kommunikationskonzerns Publicis Groupe. Als globale Holding lebt Publicis Media durch seine globalen Agenturmarken Zenith, Starcom und Spark, die das Kundengeschäft in der strategischen Kommunikationsberatung in über 100 Ländern steuern und ständig weiterentwickeln. Darüber hinaus unterstützen bei Publicis Media zentrale Spezialistenteams die Kunden der Agenturen in den Bereichen: Data und Technology, An…",Duales BA-Studium Wirtschaftsinformatik Data Science & KI (m/w/d) - Düsseldorf & Ravensburg,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Publicis Media GmbH'}",0,https://www.adzuna.de/land/ad/5663210876?se=Rnz44A4h8RGx_uICYc_4Pg&utm_medium=api&utm_source=a4bcf954&v=3BAA8D59FEAB996B4CF35AB2888AF9249F26DE29,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUm56NDRBNGg4Ukd4X3VJQ1ljXzRQZyIsImkiOiI1NjYzMjEwODc2In0.tP6kSZg-8oBAdlFle5vQNWEUDqYjSG-DKXz_dWiJv0o,Adzuna::API::Response::Job,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Düsseldorf, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Düsseldorf']}",5663210876,2026-03-13T06:48:50Z,51.226802,6.808387,,,,
"Die VBL mit Sitz in Karlsruhe ist Deutschlands größte Zusatzversorgungseinrichtung für Beschäftigte des öffentlichen Dienstes und betreut circa 5,3 Mio. Versicherte und circa 1,5 Mio. Rentenberechtigte. Sie begeistern sich für Daten, digitale Technologien und intelligente Systeme? Dann verbinden Sie Theorie und Praxis in einem zukunftsweisenden dualen Studium bei der VBL. Ab sofort suchen wir einen Studierenden für 2026. Duales Studium (B.Sc.) – Data Science und Künstliche Intelligenz (m/w/d) I…",Duales Studium (B.Sc.) – Data Science und Künstliche Intelligenz (m/w/d),"{'display_name': 'VBL. Versorgungsanstalt des Bundes und der Länder', '__CLASS__': 'Adzuna::API::Response::Company'}",0,https://www.adzuna.de/land/ad/5651442717?se=Rnz44A4h8RGx_uICYc_4Pg&utm_medium=api&utm_source=a4bcf954&v=2CAD5BE373B9F891F96F29A54CE98BBAA8E0B0CD,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY1MTQ0MjcxNyIsInMiOiJSbno0NEE0aDhSR3hfdUlDWWNfNFBnIn0.AivgoSaOQV3Rotxzg5-CL83VyMtPWewdsX65v0I37Eo,Adzuna::API::Response::Job,"{'tag': 'other-general-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Sonstige/Allgemeine Stellen'}","{'display_name': 'Innenstadt, Karlsruhe', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe', 'Innenstadt']}",5651442717,2026-03-02T17:07:53Z,49.01336,8.38979,full_time,,,
"SAF-HOLLAND ist ein international führender Hersteller von fahrwerksbezogenen Baugruppen und Komponenten für Trailer, LKW und Busse. Auf sechs Kontinenten beschäftigt SAF-HOLLAND rund 6.000 engagierte Mitarbeitende. Die Produktpalette umfasst unter anderem Achs- und Federungssysteme für Trailer sowie Sattelkupplungen und Kupplungssysteme für LKW, Anhänger und Sattelauflieger als auch Brems- und EBS-Systeme. SAF-HOLLAND entwickelt innovative Produkte zur Erhöhung der Effizienz, Sicherheit und Um…",Duales Studium Data Science und Künstliche Intelligenz (m/w/d),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'SAF-HOLLAND GmbH'}",0,https://www.adzuna.de/land/ad/5644513626?se=Rnz44A4h8RGx_uICYc_4Pg&utm_medium=api&utm_source=a4bcf954&v=6A6D18B03F9AF3040E0AAF2E60DA600583BCE903,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0NDUxMzYyNiIsInMiOiJSbno0NEE0aDhSR3hfdUlDWWNfNFBnIn0.qFvgyKAlGgHNu-tsgDipLJUl4wsie3jTE12eQhaWVa0,Adzuna::API::Response::Job,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}","{'display_name': 'Bessenbach, Aschaffenburg (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'Aschaffenburg (Kreis)', 'Bessenbach']}",5644513626,2026-02-25T06:35:07Z,49.9599,9.24812,,,,
"Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…",Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2027 (m/w/d),"{'display_name': 'Markant Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}",0,https://www.adzuna.de/land/ad/5622817856?se=Rnz44A4h8RGx_uICYc_4Pg&utm_medium=api&utm_source=a4bcf954&v=404F5FB72C4F7F8D9EE26AE8371D1C61670FFAB2,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYyMjgxNzg1NiIsInMiOiJSbno0NEE0aDhSR3hfdUlDWWNfNFBnIn0.U1SeyHu--zDCHQTWwwtIDZTl7rpjhxWOICv_DUOfx8Y,Adzuna::API::Response::Job,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Offenburg, Ortenaukreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg']}",5622817856,2026-02-10T18:20:07Z,48.42392,7.94837,,,,
"Bachelor of Science (B.Sc.) Studiengang: Data Science & Künstliche Intelligenz Ausschreibungs-Nr 2026_322 Ausbildungsbeginn 2026 Standort Schwäbisch Gmünd Aufgaben Gestalte die digitale Zukunft? Mit uns! Data Science & KI sind keine Buzzwords - sie sind der Motor unserer Zeit. Ob smarte Produkte, autonome Systeme oder datengetriebene Entscheidungen: Hier gestaltest du die Technologien, die morgen Alltag sind. Mit deinem dualen Studium bei uns verbindest du Wissen & Praxis: spannende Theorie an …",Ausbildung: Bachelor of Science (B.Sc.) Studiengang: Data Science & Künstliche Intelligenz,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Robert Bosch GmbH'}",0,https://www.adzuna.de/land/ad/5622834281?se=Rnz44A4h8RGx_uICYc_4Pg&utm_medium=api&utm_source=a4bcf954&v=6D642A829F728BB14673BB6BFC67D60F5CADB897,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYyMjgzNDI4MSIsInMiOiJSbno0NEE0aDhSR3hfdUlDWWNfNFBnIn0.Ob5JCz_JDhWRi__NTdPMCs86r3eta8CXDGLiY12vlbQ,Adzuna::API::Response::Job,"{'tag': 'other-general-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Sonstige/Allgemeine Stellen'}","{'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Schwäbisch Gmünd'], 'display_name': 'Schwäbisch Gmünd, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location'}",5622834281,2026-02-10T18:22:57Z,48.79495,9.851063,,,,
"Du interessiert dich für klassisches maschinelles Lernen und Data Science und möchtest einen vielfältigen Praxiseinblick, der dich weiterbringt? Dann hallo bei Vetter! Klingt das spannend für dich? Im Rahmen deiner Masterarbeit tauchst du tief in die Welt von Textdaten aus unseren Qualitätsprozessen ein. Dein Ziel ist es, mit Methoden aus dem Natural Language Processing (NLP) und Machine-Learning-Algorithmen Erkenntnisse zu gewinnen, die echten Mehrwert schaffen. Dabei arbeitest du eng mit unse…",Abschlussarbeit Data Science (m/w/d),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Ausbildungsbetrieb Vetter Pharma-Fertigung GmbH & Co. KG'}",0,https://www.adzuna.de/land/ad/5550398973?se=Rnz44A4h8RGx_uICYc_4Pg&utm_medium=api&utm_source=a4bcf954&v=148C3908A1BDDEDD29E11CED57FBDF3118DBD1FA,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU1MDM5ODk3MyIsInMiOiJSbno0NEE0aDhSR3hfdUlDWWNfNFBnIn0.0jzvF3q1q-Rs3dA29LXPqZD8lH7NOnrwGiz65PZFTis,Adzuna::API::Response::Job,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Ravensburg (Kreis), Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Ravensburg (Kreis)']}",5550398973,2025-12-20T20:39:24Z,47.839602,9.667396,,,,
"W3-Professur für Computational Mathematics und Data Science (w/m/d) Kennziffer 2026/055. Die W3-Professur im Fachbereich Mathematik und Statistik, Mathematische-Naturwissenschaftliche Sektion, soll vorbehaltlich der Zustimmung des Universitätsrates ab 01. Oktober 2027 besetzt werden. Gesucht wird eine wissenschaftlich hervorragend ausgewiesene Person mit international sichtbarem Forschungsprofil im Bereich Computational Mathematics und Data Science oder in verwandten Bereichen, etwa zu datenget…",W3-Professur für Computational Mathematics und Data Science (w/m/d),"{'display_name': 'Universität Konstanz', '__CLASS__': 'Adzuna::API::Response::Company'}",0,https://www.adzuna.de/land/ad/5655477180?se=Rnz44A4h8RGx_uICYc_4Pg&utm_medium=api&utm_source=a4bcf954&v=A5B9A5351A00D30DB74122A5D596785DAE18ED89,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUm56NDRBNGg4Ukd4X3VJQ1ljXzRQZyIsImkiOiI1NjU1NDc3MTgwIn0.x3rqB6RT8GrriBkPCl4eWynhrL07ZCx7Xk_Bues4KnI,Adzuna::API::Response::Job,"{'tag': 'teaching-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Lehrberufe'}","{'display_name': 'Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland']}",5655477180,2026-03-05T22:58:40Z,,,,,,
