adref,longitude,id,description,__CLASS__,latitude,location,redirect_url,category,salary_is_predicted,title,company,created,contract_time,salary_min,salary_max,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEMxUE54RXM4UkdIYV8yRlpxdGs2QSIsImkiOiI1NjgyMjU5NDYwIn0.biCfqlbHU8ivxLNT8W1lZEp9xvyK31Gm2Gyj1WnXeRg,11.52226,5682259460,"Über RTLZWEI Überraschend, unangepasst, optimistisch und ganz nah dran: Das ist RTLZWEI. Hier erlebt das Publikum das Leben in all seinen Facetten. Als „Home of Reality“ zeigt der Sender Dokumentationen, Reportagen und Doku-Soaps, faszinierende Menschen und bewegende Schicksale. Mit einer konsequenten Multichannel-Strategie steigen die Reichweiten in den digitalen Kanälen stetig an. Exklusive Inhalte werden unter anderem auch im Streaming-Dienst RTL angeboten. Studieren und gleichzeitig Praxise…",Adzuna::API::Response::Job,48.03972,"{'display_name': 'Grünwald, München (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'Grünwald']}",https://www.adzuna.de/land/ad/5682259460?se=0C1PNxEs8RGHa_2FZqtk6A&utm_medium=api&utm_source=a4bcf954&v=E9108BDEC7733330B504665D7FCC863E1E1E5D78,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",0,Duales Studium - Data Science und Künstliche Intelligenz,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'RTL2 Fernsehen GmbH & Co. KG'}",2026-03-29T16:22:31Z,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEMxUE54RXM4UkdIYV8yRlpxdGs2QSIsImkiOiI1NjY2MTU2MjU2In0.IXj4_pRefYBQmI4RxuA6rm6YIr0g7xE4zCdY1dR2VXY,9.187224,5666156256,DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Bereit für ein echt spannendes und abwechslungsreiches Studium? Wir machen dich fit für deine Zukunft in einer modernen Versicherung. Für den Studienstart am 01.09.2026 in Stuttgart suchen wir aufgeschlossene und motivierte Studierende. Aufgaben Drei Jahre…,Adzuna::API::Response::Job,48.776198,"{'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}",https://www.adzuna.de/land/ad/5666156256?se=0C1PNxEs8RGHa_2FZqtk6A&utm_medium=api&utm_source=a4bcf954&v=9B8C79B32988E99D1F5029716D5CD5BAF76D9DFF,"{'tag': 'it-jobs', 'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}",0,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",2026-03-15T06:57:44Z,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MjExODQyMCIsInMiOiIwQzFQTnhFczhSR0hhXzJGWnF0azZBIn0.uglnkdqZ56na293FZQX_p2HEiydd8crpZq7Q43YO2pA,8.68432,5682118420,"Deine Aufgaben Werde für 4-6 Monate Teil unseres Daten & KI Teams, unterstütze datenbasierte Analysen und entwickle innovative Automatisierungslösungen. … konkret heißt das: Erhalte Einblicke in Big Data und Machine Learning Technologien Wirke mit bei Datenerhebung, -aufbereitung und explorativer Analyse Entwickle, validiere und pilotiere KI- und Statistik-basierte Lösungen für automatisierte Entscheidungen in Fachabteilungen. Bringe dich in die strategische Definition von Daten- & KI-Themen ei…",Adzuna::API::Response::Job,50.11218,"{'display_name': 'Altstadt, Frankfurt am Main', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Hessen', 'Frankfurt am Main', 'Altstadt']}",https://www.adzuna.de/land/ad/5682118420?se=0C1PNxEs8RGHa_2FZqtk6A&utm_medium=api&utm_source=a4bcf954&v=E6C515115BBE5C5DA7A3819F7BFE36388F8E8957,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",0,Praktikum Data Science,"{'display_name': 'Lidl Stiftung & Co KG', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-03-29T10:57:33Z,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MjExNzk5OSIsInMiOiIwQzFQTnhFczhSR0hhXzJGWnF0azZBIn0.DnbzFpZBoVAEWu4snnLtkC2T1GlRS0JVhPnttTYer8E,9.2274,5682117999,"Deine Aufgaben Werde für 4-6 Monate Teil unseres Daten & KI Teams, unterstütze datenbasierte Analysen und entwickle innovative Automatisierungslösungen. … konkret heißt das: Erhalte Einblicke in Big Data und Machine Learning Technologien Wirke mit bei Datenerhebung, -aufbereitung und explorativer Analyse Entwickle, validiere und pilotiere KI- und Statistik-basierte Lösungen für automatisierte Entscheidungen in Fachabteilungen. Bringe dich in die strategische Definition von Daten- & KI-Themen ei…",Adzuna::API::Response::Job,49.18975,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",https://www.adzuna.de/land/ad/5682117999?se=0C1PNxEs8RGHa_2FZqtk6A&utm_medium=api&utm_source=a4bcf954&v=6D16EBDA578527D7CDCE3E3C859F0132275C1675,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",0,Praktikum Data Science,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co KG'}",2026-03-29T10:57:31Z,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEMxUE54RXM4UkdIYV8yRlpxdGs2QSIsImkiOiI1NjgwOTAyMTYwIn0.0RrEmh-VFmFppPjCWhvO7aea3hUJN-aa61FreSEDHik,,5680902160,"Unsere Unternehmenszentrale in Burgwedel bei Hannover – Hier arbeiten rund 3.000 Mitarbeitende mit vollem Einsatz daran, die Zukunft von ROSSMANN zu gestalten. Heute wissen, was uns morgen verbindet! Unser Human Resources Fachbereich besteht aus engagierten Bereichen mit vielen fantastischen Expertenteams und zählt über 300 Mitarbeitende: Ob HR Management, HR Service, Learning & Development, Talent Acquisition & Employer Branding, HR Start Up oder HR Tech, Analytics & Projects – alle Teams arbe…",Adzuna::API::Response::Job,,"{'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland'}",https://www.adzuna.de/land/ad/5680902160?se=0C1PNxEs8RGHa_2FZqtk6A&utm_medium=api&utm_source=a4bcf954&v=DFCD9DD4FDFA5F7ED6DC1903CBFFEF438D05A477,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",0,HR Controller (m/w/d) mit Schwerpunkt Data Science,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Dirk Rossmann GmbH'}",2026-03-28T03:16:03Z,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3MDM4ODg0MyIsInMiOiIwQzFQTnhFczhSR0hhXzJGWnF0azZBIn0.y7XkUPQdoXIo6kcpoMbbFkzrqOQZAwZWq9C4K1bJxjY,10.307105,5670388843,"Job ID : 3532 | Arbeitszeitmodell : Vollzeit | Vertragsart : Unbefristet | Jobkategorie : IT „Logistics is People Business"" - dieser Leitsatz macht deutlich, dass die Mitarbeitenden für DACHSER der Schlüsselfaktor für den Unternehmenserfolg sind. Gemeinsam verfolgen wir die Mission, die weltweit intelligenteste Kombination und Integration logistischer Netzkompetenzen zu schaffen und so die Logistikbilanz unserer Kunden zu optimieren. Gestalten Sie mit uns die Logistik von morgen. Aufgaben Du id…",Adzuna::API::Response::Job,47.73273,"{'display_name': 'Kempten (Allgäu), Bayern', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'Kempten (Allgäu)']}",https://www.adzuna.de/land/ad/5670388843?se=0C1PNxEs8RGHa_2FZqtk6A&utm_medium=api&utm_source=a4bcf954&v=E7B848689B1130A623CD76738008FF683B1D9AA1,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Beraterstellen', 'tag': 'consultancy-jobs'}",0,Consultant (m/w/d) Data Science & Machine Learning,"{'display_name': 'DACHSER SE', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-03-18T06:55:25Z,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEMxUE54RXM4UkdIYV8yRlpxdGs2QSIsImkiOiI1NjgxNDA4MDI0In0.ZvUDRIE5Own6k91v1LsOA5kG5n6ySkoHaoHGBs8eSJI,9.24812,5681408024,"SAF-HOLLAND ist ein international führender Hersteller von fahrwerksbezogenen Baugruppen und Komponenten für Trailer, LKW und Busse. Auf sechs Kontinenten beschäftigt SAF-HOLLAND rund 6.000 engagierte Mitarbeitende. Die Produktpalette umfasst unter anderem Achs- und Federungssysteme für Trailer sowie Sattelkupplungen und Kupplungssysteme für LKW, Anhänger und Sattelauflieger als auch Brems- und EBS-Systeme. SAF-HOLLAND entwickelt innovative Produkte zur Erhöhung der Effizienz, Sicherheit und Um…",Adzuna::API::Response::Job,49.9599,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Bessenbach, Aschaffenburg (Kreis)', 'area': ['Deutschland', 'Bayern', 'Aschaffenburg (Kreis)', 'Bessenbach']}",https://www.adzuna.de/land/ad/5681408024?se=0C1PNxEs8RGHa_2FZqtk6A&utm_medium=api&utm_source=a4bcf954&v=A1DD0E6D97748FF0A4B273EE6DE584BD00A0FE4F,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",0,Duales Studium Data Science und Künstliche Intelligenz (m/w/d),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'SAF-HOLLAND GmbH'}",2026-03-28T15:19:53Z,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MjExOTMwMiIsInMiOiIwQzFQTnhFczhSR0hhXzJGWnF0azZBIn0.C5FqkB4AadiwyCscTDt3vo0H_Zs8cj7cuWjnFUvS82M,,5682119302,"Deine Aufgaben Werde für 4-6 Monate Teil unseres Daten & KI Teams, unterstütze datenbasierte Analysen und entwickle innovative Automatisierungslösungen. … konkret heißt das: Erhalte Einblicke in Big Data und Machine Learning Technologien Wirke mit bei Datenerhebung, -aufbereitung und explorativer Analyse Entwickle, validiere und pilotiere KI- und Statistik-basierte Lösungen für automatisierte Entscheidungen in Fachabteilungen. Bringe dich in die strategische Definition von Daten- & KI-Themen ei…",Adzuna::API::Response::Job,,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland', 'area': ['Deutschland']}",https://www.adzuna.de/land/ad/5682119302?se=0C1PNxEs8RGHa_2FZqtk6A&utm_medium=api&utm_source=a4bcf954&v=74C8871A4C27770A7FE8A7AB0F2E53FF568D839F,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",0,Praktikum Data Science,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co KG'}",2026-03-29T10:57:39Z,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEMxUE54RXM4UkdIYV8yRlpxdGs2QSIsImkiOiI1NjU4MzU0MDA0In0.yr_VmSRK7XNUKNeDcPpJzFiaXaGwRMOR5V_EP9aMJoU,,5658354004,"BE PART OF THE BOS FAMILY BE PART OF THE AUTOMOTIVE FUTURE BOS ist eine internationale Unternehmensgruppe in mehrheitlichem Familienbesitz und gehört zu den Hidden Champions in der Automobilindustrie. Wir entwickeln und produzieren innovative Mechatronik-, Kinematik- und Kunststoffsysteme und sind Technologieführer für Abdeckrollos und Sonnenschutzsysteme. Mit unseren über 6.250 Mitarbeitern gestalten wir die globale automobile Zukunft ebenso aktiv wie dynamisch mit und setzen Maßstäbe in Komfo…",Adzuna::API::Response::Job,,"{'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland'}",https://www.adzuna.de/land/ad/5658354004?se=0C1PNxEs8RGHa_2FZqtk6A&utm_medium=api&utm_source=a4bcf954&v=01CDC0CA36822379CEE19BA68862DC29D39AC4D8,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",0,Duales Studium – Wirtschaftsinformatik – Data Science (B. Sc.),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'BOS GmbH & Co. KG'}",2026-03-08T06:48:46Z,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjU1Mzg0MCIsInMiOiIwQzFQTnhFczhSR0hhXzJGWnF0azZBIn0.vueEUuftwY05MWjkxw58sMt-fDijMIg8OjpR9eppPTU,10.07197,5676553840,"Über die Voith Group Die Voith Group ist ein weltweit agierender Technologiekonzern. Mit seinem breiten Portfolio aus Anlagen, Produkten, Serviceleistungen und digitalen Anwendungen setzt Voith Maßstäbe in den Märkten Energie, Papier, Rohstoffe und Transport & Automotive. Gegründet 1867 ist Voith heute mit rund 22.000 Mitarbeiterinnen und Mitarbeitern, 5,2 Milliarden Euro Umsatz und Standorten in über 60 Ländern der Welt eines der großen Familienunternehmen Europas . Unterstütze die Voith Group…",Adzuna::API::Response::Job,49.13436,"{'display_name': 'Crailsheim, Schwäbisch Hall (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Schwäbisch Hall (Kreis)', 'Crailsheim']}",https://www.adzuna.de/land/ad/5676553840?se=0C1PNxEs8RGHa_2FZqtk6A&utm_medium=api&utm_source=a4bcf954&v=FB102C31A21812BD560A0E435BBC783F4DA54E88,"{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen'}",0,Praktikum (m|w|d) im Bereich Data Science & Process Improvement,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Voith SE & Co. KG'}",2026-03-24T05:57:12Z,full_time,,,
