adref,salary_is_predicted,redirect_url,id,latitude,description,company,created,__CLASS__,location,category,longitude,title,contract_time,salary_min,salary_max,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MzE4NDIwNCIsInMiOiJtS3NmZ3BFeDhSR09lN2Q5Q00zcklnIn0.yUMU5y2MLIZSHegcfk53SdL4uvzuY2-hbuleznCw6Io,0,https://www.adzuna.de/land/ad/5683184204?se=mKsfgpEx8RGOe7d9CM3rIg&utm_medium=api&utm_source=a4bcf954&v=590E40C6C3F5E6ABBF676788408116B685B62BC1,5683184204,49.9599,"SAF-HOLLAND ist ein international führender Hersteller von fahrwerksbezogenen Baugruppen und Komponenten für Trailer, LKW und Busse. Auf sechs Kontinenten beschäftigt SAF-HOLLAND rund 6.000 engagierte Mitarbeitende. Die Produktpalette umfasst unter anderem Achs- und Federungssysteme für Trailer sowie Sattelkupplungen und Kupplungssysteme für LKW, Anhänger und Sattelauflieger als auch Brems- und EBS-Systeme. SAF-HOLLAND entwickelt innovative Produkte zur Erhöhung der Effizienz, Sicherheit und Um…","{'display_name': 'SAF-HOLLAND GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-03-30T16:17:25Z,Adzuna::API::Response::Job,"{'display_name': 'Bessenbach, Aschaffenburg (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'Aschaffenburg (Kreis)', 'Bessenbach']}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",9.24812,Duales Studium Data Science und Künstliche Intelligenz (m/w/d),,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibUtzZmdwRXg4UkdPZTdkOUNNM3JJZyIsImkiOiI1Njc5MjgxOTk1In0.q7Oz7dpM7mX7L1ZJ2iB2AoRneBqqB9bkWmd285afMIU,0,https://www.adzuna.de/land/ad/5679281995?se=mKsfgpEx8RGOe7d9CM3rIg&utm_medium=api&utm_source=a4bcf954&v=978FE26E4547D136B9274FF9F6A6808603AD356F,5679281995,48.03972,"Über RTLZWEI Überraschend, unangepasst, optimistisch und ganz nah dran: Das ist RTLZWEI. Hier erlebt das Publikum das Leben in all seinen Facetten. Als „Home of Reality“ zeigt der Sender Dokumentationen, Reportagen und Doku-Soaps, faszinierende Menschen und bewegende Schicksale. Mit einer konsequenten Multichannel-Strategie steigen die Reichweiten in den digitalen Kanälen stetig an. Exklusive Inhalte werden unter anderem auch im Streaming-Dienst RTL angeboten. Studieren und gleichzeitig Praxise…","{'display_name': 'RTL2 Fernsehen GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-03-26T15:13:44Z,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'Grünwald'], 'display_name': 'Grünwald, München (Kreis)'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",11.52226,Duales Studium - Data Science und Künstliche Intelligenz,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3MDM4ODg0MyIsInMiOiJtS3NmZ3BFeDhSR09lN2Q5Q00zcklnIn0.N_SPxnavEiYsbPH3va3NxOCJAoDaP2Q8V5Elzxv2vas,0,https://www.adzuna.de/land/ad/5670388843?se=mKsfgpEx8RGOe7d9CM3rIg&utm_medium=api&utm_source=a4bcf954&v=E7B848689B1130A623CD76738008FF683B1D9AA1,5670388843,47.73273,"Job ID : 3532 | Arbeitszeitmodell : Vollzeit | Vertragsart : Unbefristet | Jobkategorie : IT „Logistics is People Business"" - dieser Leitsatz macht deutlich, dass die Mitarbeitenden für DACHSER der Schlüsselfaktor für den Unternehmenserfolg sind. Gemeinsam verfolgen wir die Mission, die weltweit intelligenteste Kombination und Integration logistischer Netzkompetenzen zu schaffen und so die Logistikbilanz unserer Kunden zu optimieren. Gestalten Sie mit uns die Logistik von morgen. Aufgaben Du id…","{'display_name': 'DACHSER SE', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-03-18T06:55:25Z,Adzuna::API::Response::Job,"{'display_name': 'Kempten (Allgäu), Bayern', 'area': ['Deutschland', 'Bayern', 'Kempten (Allgäu)'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Beraterstellen', 'tag': 'consultancy-jobs'}",10.307105,Consultant (m/w/d) Data Science & Machine Learning,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibUtzZmdwRXg4UkdPZTdkOUNNM3JJZyIsImkiOiI1Njg2NzI1NTIwIn0.QHm6GfoEJ0NYNeesFwSLgrNiwoTrNtlXBUxXnAztphc,0,https://www.adzuna.de/land/ad/5686725520?se=mKsfgpEx8RGOe7d9CM3rIg&utm_medium=api&utm_source=a4bcf954&v=5214F60BA29B8358C0343E25F6FC201B4BFFB255,5686725520,48.42392,"Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Markant Gruppe'}",2026-04-02T04:21:00Z,Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Offenburg, Ortenaukreis'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",7.94837,Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2027 (m/w/d),,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4ODE3NDA1MyIsInMiOiJtS3NmZ3BFeDhSR09lN2Q5Q00zcklnIn0.9E0eBZP7XC1nn2h2TWL4d7thjK8bguohw1Kk5hVQC0o,0,https://www.adzuna.de/land/ad/5688174053?se=mKsfgpEx8RGOe7d9CM3rIg&utm_medium=api&utm_source=a4bcf954&v=DEBD320A4512BF84D46B780621CED64AA0A9A44F,5688174053,,"Unsere Unternehmenszentrale in Burgwedel bei Hannover – Hier arbeiten rund 3.000 Mitarbeitende mit vollem Einsatz daran, die Zukunft von ROSSMANN zu gestalten. Heute wissen, was uns morgen verbindet! Unser Human Resources Fachbereich besteht aus engagierten Bereichen mit vielen fantastischen Expertenteams und zählt über 300 Mitarbeitende: Ob HR Management, HR Service, Learning & Development, Talent Acquisition & Employer Branding, HR Start Up oder HR Tech, Analytics & Projects – alle Teams arbe…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Dirk Rossmann GmbH'}",2026-04-03T04:23:53Z,Adzuna::API::Response::Job,"{'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland'}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,HR Controller (m/w/d) mit Schwerpunkt Data Science,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NzU1ODkxNCIsInMiOiJtS3NmZ3BFeDhSR09lN2Q5Q00zcklnIn0.8Vbn-i_1V4vpZqlZvjp4RQ-6RkmolgVkptYiCuCfIrI,0,https://www.adzuna.de/land/ad/5687558914?se=mKsfgpEx8RGOe7d9CM3rIg&utm_medium=api&utm_source=a4bcf954&v=5F3FB4A49B8593D74896ACD826E228D576CBD7D5,5687558914,50.228422,"Ausbildungsbeginn: 27.07.2026 Du bist fasziniert von der Welt der Daten und IT? Du möchtest aktiv dazu beitragen, komplexe Datensätze zu analysieren, um wertvolle Erkenntnisse zu gewinnen und innovative Lösungen zu entwickeln? Daten sind für dich nicht nur Rohmaterial, sondern das Fundament für die digitale Transformation – eine Quelle für relevante Erkenntnisse und die Basis für zukunftsweisende Entwicklungen in Wissenschaft, Wirtschaft und Technik. Deine Mission: Sinnvolle Beiträge leisten un…","{'display_name': 'Fresenius Kabi Deutschland GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-04-02T16:31:59Z,Adzuna::API::Response::Job,"{'display_name': 'Bad Homburg, Hochtaunuskreis', 'area': ['Deutschland', 'Hessen', 'Hochtaunuskreis', 'Bad Homburg'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",8.632526,Duales Studium – Data Science und Künstliche Intelligenz (m/w/d) 2026,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibUtzZmdwRXg4UkdPZTdkOUNNM3JJZyIsImkiOiI1Njc3MTQ2ODM1In0.JB6NUZp0Z4rclXhgfeQhQMXxaByVFmXD4rY3EBKeHxY,0,https://www.adzuna.de/land/ad/5677146835?se=mKsfgpEx8RGOe7d9CM3rIg&utm_medium=api&utm_source=a4bcf954&v=E017769A6FCC8A28D52D2358D93E069E1AF74C83,5677146835,48.137418,"Willkommen bei ASMPT. Hier bist du auf dem direkten Weg in das digitale Zeitalter. Mit 12.000 Mitarbeitenden weltweit sind wir technologischer Prozesspartner für die Elektroindustrie und brennen für innovative Automatisierungsstrategien am Puls der Zeit. Mit unseren smarten Lösungen fordern unsere passionierten Teams den technischen Status quo immer wieder heraus und setzen so neue Maßstäbe für die Fertigung von Smartphones, Computern, Netzwerken, autonomen Fahrzeugen, intelligenten Maschinen s…","{'display_name': 'ASMPT GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-03-24T18:58:17Z,Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'München, München (Kreis)'}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",11.555737,Dualer Student (m/w/d) - Data Science & Scientific Computing Bachelor,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTQ5MjMzNjc3NiIsInMiOiJtS3NmZ3BFeDhSR09lN2Q5Q00zcklnIn0.0bp_YmeXKgAwNiWyXyL3-tdFuXFS6j-Wg3keFCk8Q34,0,https://www.adzuna.de/land/ad/5492336776?se=mKsfgpEx8RGOe7d9CM3rIg&utm_medium=api&utm_source=a4bcf954&v=2943AE67898FDE42079E37CFC5F7E390C951177C,5492336776,,"Aufgaben Das primäre Ziel ist die Ausbildung von Informatik-Allroundern (m/w/d) für eine Tätigkeit in der Berufspraxis Die Pflichtfächer decken ein breites fachliches Spektrum ab, eine große Zahl an Modulen mit Wahlmöglichkeit erlaubt die individuelle Vertiefung Während der Praxisphasen erhältst du von uns Projekte und/oder Problemstellungen, die du selbstständig behandelst und natürlich mit Unterstützung löst Das Studium verbindet ein wissenschaftliches Hochschulstudium mit unternehmerischer P…","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Swarco AG'}",2025-11-12T15:13:27Z,Adzuna::API::Response::Job,"{'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Deutschland'}","{'tag': 'it-jobs', 'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}",,Schulabsolvent als Dualer Student Künstliche Intelligenz & Data Science (m/w/d),full_time,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3NjU1Mzg0MCIsInMiOiJtS3NmZ3BFeDhSR09lN2Q5Q00zcklnIn0.vZPF4efn6LMKh_OujcwzCOihY60Mva5DeoKtCiDxjVQ,0,https://www.adzuna.de/land/ad/5676553840?se=mKsfgpEx8RGOe7d9CM3rIg&utm_medium=api&utm_source=a4bcf954&v=FB102C31A21812BD560A0E435BBC783F4DA54E88,5676553840,49.13436,"Über die Voith Group Die Voith Group ist ein weltweit agierender Technologiekonzern. Mit seinem breiten Portfolio aus Anlagen, Produkten, Serviceleistungen und digitalen Anwendungen setzt Voith Maßstäbe in den Märkten Energie, Papier, Rohstoffe und Transport & Automotive. Gegründet 1867 ist Voith heute mit rund 22.000 Mitarbeiterinnen und Mitarbeitern, 5,2 Milliarden Euro Umsatz und Standorten in über 60 Ländern der Welt eines der großen Familienunternehmen Europas . Unterstütze die Voith Group…","{'display_name': 'Voith SE & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-03-24T05:57:12Z,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Schwäbisch Hall (Kreis)', 'Crailsheim'], 'display_name': 'Crailsheim, Schwäbisch Hall (Kreis)'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT-Stellen'}",10.07197,Praktikum (m|w|d) im Bereich Data Science & Process Improvement,full_time,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoibUtzZmdwRXg4UkdPZTdkOUNNM3JJZyIsImkiOiI1Njg0NzM4MzU4In0.WmdROapM4vFiKPYOyUz5HVpg3zuVhOq-anM0yIqT1kQ,0,https://www.adzuna.de/land/ad/5684738358?se=mKsfgpEx8RGOe7d9CM3rIg&utm_medium=api&utm_source=a4bcf954&v=9A01A3985E816584891336ED4416D8CD7233BF08,5684738358,50.71942,"Das Bundes­institut für Bau-, Stadt- und Raumforschung (BBSR) sucht für das Referat RS 1 „Raumentwicklung“ in Bonn zum nächstmöglichen Zeitpunkt befristet für 3 Jahre eine/ einen wissenschaftliche Mitarbeiterin / wissenschaftlichen Mitarbeiter (w/m/d) mit dem Ziel der Promotion im Bereich Spatial Data Science Knr. 054.2-25 Vergütung E 13 TVöD Beschäftigungs­art befristet für 3 Jahre Wochen­stunden 39 h Arbeits­ort Bonn Bewerbungs­frist 10.04.2026 Das BBSR im Bundesamt für Bauwesen und Raumordnu…","{'display_name': 'Bundesamt für Bauwesen und Raumordnung ', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-04-01T04:21:14Z,Adzuna::API::Response::Job,"{'display_name': 'Bonn, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bonn'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'sales-jobs', 'label': 'Vertriebsstellen'}",7.112412,Wissenschaftliche Mitarbeiterin / Wissenschaftlicher Mitarbeiter (w/m/d) mit dem Ziel der Promotion im Bereich Spatial Data Science,,,,
