title,company,__CLASS__,location,latitude,salary_is_predicted,description,redirect_url,id,category,adref,created,longitude,contract_time,salary_max,salary_min,contract_type
DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",Adzuna::API::Response::Job,"{'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location'}",48.776198,0,DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Bereit für ein echt spannendes und abwechslungsreiches Studium? Wir machen dich fit für deine Zukunft in einer modernen Versicherung. Für den Studienstart am 01.09.2026 in Stuttgart suchen wir aufgeschlossene und motivierte Studierende. Aufgaben Drei Jahre…,https://www.adzuna.de/land/ad/5704542694?se=OijS_pc88RGZ3L9kDetG3g&utm_medium=api&utm_source=a4bcf954&v=07A39DE0A1C2F32A0DC4B8EC9668F509D901E418,5704542694,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiT2lqU19wYzg4UkdaM0w5a0RldEczZyIsImkiOiI1NzA0NTQyNjk0In0.sKe46b41Rht_PQ4WSxiaMvLgPM-NoY1NxWGuciNIFyY,2026-04-19T16:49:29Z,9.187224,,,,
Abschlussarbeit Data Science / Mechanikdesign (m/w/x),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",Adzuna::API::Response::Job,"{'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen']}",48.78408,0,"Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…",https://www.adzuna.de/land/ad/5648255808?se=OijS_pc88RGZ3L9kDetG3g&utm_medium=api&utm_source=a4bcf954&v=94199157C255DD05FA931560A9DCB29A1F1E5984,5648255808,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Sonstige/Allgemeine Stellen', 'tag': 'other-general-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0ODI1NTgwOCIsInMiOiJPaWpTX3BjODhSR1ozTDlrRGV0RzNnIn0.JJJXmNKLFE34AusQlToVd1PHNZLTUuwloez9rW7V-4w,2026-02-28T06:34:52Z,10.10558,,,,
Duales Studium - Data Science und Künstliche Intelligenz,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'RTL2 Fernsehen GmbH & Co. KG'}",Adzuna::API::Response::Job,"{'display_name': 'Grünwald, München (Kreis)', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'Grünwald'], '__CLASS__': 'Adzuna::API::Response::Location'}",48.03972,0,"Über RTLZWEI Überraschend, unangepasst, optimistisch und ganz nah dran: Das ist RTLZWEI. Hier erlebt das Publikum das Leben in all seinen Facetten. Als „Home of Reality“ zeigt der Sender Dokumentationen, Reportagen und Doku-Soaps, faszinierende Menschen und bewegende Schicksale. Mit einer konsequenten Multichannel-Strategie steigen die Reichweiten in den digitalen Kanälen stetig an. Exklusive Inhalte werden unter anderem auch im Streaming-Dienst RTL angeboten. Studieren und gleichzeitig Praxise…",https://www.adzuna.de/land/ad/5679281995?se=OijS_pc88RGZ3L9kDetG3g&utm_medium=api&utm_source=a4bcf954&v=978FE26E4547D136B9274FF9F6A6808603AD356F,5679281995,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY3OTI4MTk5NSIsInMiOiJPaWpTX3BjODhSR1ozTDlrRGV0RzNnIn0.yp1qlRNrd3S4u9dPraIkTSLwVpu5knqQ4yg-Yyu3Vao,2026-03-26T15:13:44Z,11.52226,,,,
Duales Studium Data Science und Künstliche Intelligenz (m/w/d),"{'display_name': 'SAF-HOLLAND GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Bayern', 'Aschaffenburg (Kreis)', 'Bessenbach'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Bessenbach, Aschaffenburg (Kreis)'}",49.9599,0,"SAF-HOLLAND ist ein international führender Hersteller von fahrwerksbezogenen Baugruppen und Komponenten für Trailer, LKW und Busse. Auf sechs Kontinenten beschäftigt SAF-HOLLAND rund 6.000 engagierte Mitarbeitende. Die Produktpalette umfasst unter anderem Achs- und Federungssysteme für Trailer sowie Sattelkupplungen und Kupplungssysteme für LKW, Anhänger und Sattelauflieger als auch Brems- und EBS-Systeme. SAF-HOLLAND entwickelt innovative Produkte zur Erhöhung der Effizienz, Sicherheit und Um…",https://www.adzuna.de/land/ad/5681408024?se=OijS_pc88RGZ3L9kDetG3g&utm_medium=api&utm_source=a4bcf954&v=A1DD0E6D97748FF0A4B273EE6DE584BD00A0FE4F,5681408024,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiT2lqU19wYzg4UkdaM0w5a0RldEczZyIsImkiOiI1NjgxNDA4MDI0In0.ZN4ysnOwLNSP7QfSEgOZfMYU3g5mMqO00nFaXWayOak,2026-03-28T15:19:53Z,9.24812,,,,
Duales Studium – Data Science und Künstliche Intelligenz (m/w/d) 2026,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Fresenius Kabi Deutschland GmbH'}",Adzuna::API::Response::Job,"{'display_name': 'Bad Homburg, Hochtaunuskreis', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Hessen', 'Hochtaunuskreis', 'Bad Homburg']}",50.228422,0,"Fresenius – Committed to life! Wir retten und verbessern Menschenleben mit erschwinglichen, zugänglichen und innovativen Gesundheitsprodukten und höchster Qualität in der klinischen Versorgung. Fresenius besteht aus den operativen Unternehmensbereichen Fresenius Kabi und Fresenius Helios. Fresenius Helios ist mit 140 Krankenhäusern und zahlreichen ambulanten Einrichtungen der führende private Krankenhausbetreiber in Deutschland und Spanien und behandelt jährlich rund 26 Millionen Patienten. Das…",https://www.adzuna.de/land/ad/5704544045?se=OijS_pc88RGZ3L9kDetG3g&utm_medium=api&utm_source=a4bcf954&v=6E60DADC07377557CD660064E86A4A97B72EF1AA,5704544045,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiT2lqU19wYzg4UkdaM0w5a0RldEczZyIsImkiOiI1NzA0NTQ0MDQ1In0.xDzSRS0b4rpG6Wg1Hsrj9puvfpAdyXGkinGjz8YEqsI,2026-04-19T16:49:42Z,8.632526,,,,
Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2027 (m/w/d),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Markant Gruppe'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg'], 'display_name': 'Offenburg, Ortenaukreis'}",48.42392,0,"Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…",https://www.adzuna.de/land/ad/5686725520?se=OijS_pc88RGZ3L9kDetG3g&utm_medium=api&utm_source=a4bcf954&v=5214F60BA29B8358C0343E25F6FC201B4BFFB255,5686725520,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NjcyNTUyMCIsInMiOiJPaWpTX3BjODhSR1ozTDlrRGV0RzNnIn0.ncPtAE0JE5fUZfpigEpYUylSIBpZjnkKkO9XCfA95gU,2026-04-02T04:21:00Z,7.94837,,,,
HR Controller (m/w/d) mit Schwerpunkt Data Science,"{'display_name': 'Dirk Rossmann GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}",,0,"Unsere Unternehmenszentrale in Burgwedel bei Hannover – Hier arbeiten rund 3.000 Mitarbeitende mit vollem Einsatz daran, die Zukunft von ROSSMANN zu gestalten. Heute wissen, was uns morgen verbindet! Unser Human Resources Fachbereich besteht aus engagierten Bereichen mit vielen fantastischen Expertenteams und zählt über 300 Mitarbeitende: Ob HR Management, HR Service, Learning & Development, Talent Acquisition & Employer Branding, HR Start Up oder HR Tech, Analytics & Projects – alle Teams arbe…",https://www.adzuna.de/land/ad/5688174053?se=OijS_pc88RGZ3L9kDetG3g&utm_medium=api&utm_source=a4bcf954&v=DEBD320A4512BF84D46B780621CED64AA0A9A44F,5688174053,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiT2lqU19wYzg4UkdaM0w5a0RldEczZyIsImkiOiI1Njg4MTc0MDUzIn0.NfJhKJLCELSOFx5gBWyeGgcHW5coguBvQhzzBeLRbuk,2026-04-03T04:23:53Z,,,,,
Wissenschaftsmanager/ -in zur Administration des Heilbronn Data Science Center (m/w/d) - CIT2026-14,"{'display_name': 'Technische Universität München', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'display_name': 'Heilbronn, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Heilbronn'], '__CLASS__': 'Adzuna::API::Response::Location'}",49.142335,0,"Die TUM School of Computation, Information and Technology (CIT) sucht für das mit der TUM School of Management (MGT) gemeinschaftlich aufzubauende Heilbronn Data Science Center (HDSC) des TUM Campus Heilbronn zum nächstmöglichen Zeitpunkt, in Vollzeit, unbefristet eine/ einen Wissenschaftsmanager/ -in zur Administration des Heilbronn Data Science Center (m⁠/⁠w⁠/⁠d) (CIT2026-14) Über uns Die Technische Universität München zählt zu den besten Universitäten Europas und ist eine der drei ersten Exz…",https://www.adzuna.de/land/ad/5704543552?se=OijS_pc88RGZ3L9kDetG3g&utm_medium=api&utm_source=a4bcf954&v=2FDE14C4767923D537FFC04BF15C5F9E9229E708,5704543552,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNDU0MzU1MiIsInMiOiJPaWpTX3BjODhSR1ozTDlrRGV0RzNnIn0.zSM-N0xRQJJtC5oa0YqXoaIZVxhQNF2yTMtDEc39mcE,2026-04-19T16:49:38Z,9.209895,,,,
Duales Studium Bachelor of Science (B.Sc.) Data Science und Künstliche Intelligenz,"{'display_name': 'MAINGAU Energie GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'display_name': 'Obertshausen, Offenbach (Kreis)', 'area': ['Deutschland', 'Hessen', 'Offenbach (Kreis)', 'Obertshausen'], '__CLASS__': 'Adzuna::API::Response::Location'}",50.08229,0,"Wir sind MAINGAU – ein ambitioniertes Energie- und Techunternehmen mit klarem Fokus auf technologiegetriebene Lösungen für die Energiewelt von morgen. Mehr als 1.000.000 Kundenbeziehungen europaweit und ein Umsatz von 1,3 Milliarden Euro in 2024 machen uns zu einem der am schnellsten wachsenden Energieunternehmen Deutschlands. Neben dem Strom- und Gasvertrieb bieten wir vielfältige Produkte in den Bereichen E-Mobilität, Internet und Mobilfunk und betreiben einen Onlineshop. An unserem Standort …",https://www.adzuna.de/land/ad/5704541413?se=OijS_pc88RGZ3L9kDetG3g&utm_medium=api&utm_source=a4bcf954&v=0BDCEEABAB5A5A922084F8BAB584D04B7799A9D6,5704541413,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiT2lqU19wYzg4UkdaM0w5a0RldEczZyIsImkiOiI1NzA0NTQxNDEzIn0.HjXzlb5ZbNjk3mjC13d8b-bWI_wqKaQ3HuPcWCrwIfo,2026-04-19T16:47:25Z,8.86518,,,,
Duales Studium: Bachelor of Science Wirtschaftsinformatik - Künstliche Intelligenz & Data Science (m/w/d),"{'display_name': 'Westfalen Weser', '__CLASS__': 'Adzuna::API::Response::Company'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Paderborn (Kreis)', 'Paderborn'], 'display_name': 'Paderborn, Paderborn (Kreis)'}",51.737096,0,"Wir suchen dich ! Bewirb dich jetzt für ein Duales Studium bei Westfalen Weser. ‍ Du willst die Energiewende zu deinem Job machen? Dann komm in unser Team und leiste mit uns jeden Tag einen echten Beitrag zum Klimaschutz! Und das nicht irgendwo, sondern direkt vor deiner Haustür. Wir sind nicht nur verlässlicher Betreiber von Verteilnetzen für Strom, Gas und Wasser, sondern auch Wegbegleiter von Menschen, Unternehmen und Kommunen auf dem Weg zur Klimaneutralität in unserer Region. Innovatives D…",https://www.adzuna.de/land/ad/5702626298?se=OijS_pc88RGZ3L9kDetG3g&utm_medium=api&utm_source=a4bcf954&v=D4845CD1076131DFE0418488320F9E2B5B3B9408,5702626298,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMjYyNjI5OCIsInMiOiJPaWpTX3BjODhSR1ozTDlrRGV0RzNnIn0.oxgzzwwoyrbBVwvGkHxc927uPxD-qxvlR29e_nzID9k,2026-04-17T16:24:33Z,8.753842,,,,
