location,adref,company,redirect_url,description,longitude,category,title,id,created,__CLASS__,latitude,salary_is_predicted,contract_time,salary_min,salary_max,contract_type
"{'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen']}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNTcwNjg4MSIsInMiOiJKanlaZ0psSDhSR3J6X2dZOEtsZlZ3In0.gj8XSf1evW88eLrzPuqsHnjf9xWwGA0yZlh3egjGOks,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",https://www.adzuna.de/land/ad/5705706881?se=JjyZgJlH8RGrz_gY8KlfVw&utm_medium=api&utm_source=a4bcf954&v=A5C2CF267DE66012517AA7F8757752842268C66E,"Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…",10.10558,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",Abschlussarbeit Data Science / Mechanikdesign (m/w/x),5705706881,2026-04-21T04:33:20Z,Adzuna::API::Response::Job,48.78408,0,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Hamburg'], 'display_name': 'Hamburg, Deutschland'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNzg5OTUwNCIsInMiOiJKanlaZ0psSDhSR3J6X2dZOEtsZlZ3In0.KmPOhmPUziohlHo0w6I3ll03lNgzDLfkuXm3Vo9RUJI,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ENCAVIS Management GmbH & Co. KG'}",https://www.adzuna.de/land/ad/5717899504?se=JjyZgJlH8RGrz_gY8KlfVw&utm_medium=api&utm_source=a4bcf954&v=3863AA5C633842E0FCA1476883012137FA1443E9,"Auf was wir bei ENCAVIS setzen? Die Sonne. Den Wind. Und auf dich. Willkommen in der Welt von Encavis! Bei uns dreht sich alles um die Kraft der Sonne, des Windes und der konzernweit über 400 Menschen, die gemeinsam das Energiesystem der Zukunft gestalten, um eine nachhaltige Energieversorgung für zukünftige Generationen sicherzustellen. Die ENCAVIS Management GmbH & Co. KG ist die Holding der ENCAVIS GmbH, einem der führenden Stromerzeuger aus Erneuerbaren Energien in Europa. Wir betreiben ein…",9.987297,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",Berufsbegleitendes Studium - Data Science & Artificial Intelligence (M.Sc.) / Master@Encavis,5717899504,2026-05-03T16:41:19Z,Adzuna::API::Response::Job,53.557429,0,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Hessen', 'Hochtaunuskreis', 'Bad Homburg'], 'display_name': 'Bad Homburg, Hochtaunuskreis'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSmp5WmdKbEg4Ukdyel9nWThLbGZWdyIsImkiOiI1NzA1NzA5MjIxIn0.9CDVxw6kZJqAgrkCMwVafyaerjqKHWn1v1Bqp3D7k2k,"{'display_name': 'Fresenius Kabi Deutschland GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",https://www.adzuna.de/land/ad/5705709221?se=JjyZgJlH8RGrz_gY8KlfVw&utm_medium=api&utm_source=a4bcf954&v=0860A5C35B1F7E3CA910FE4928C82F3ACDE3A0F9,"Fresenius – Committed to life! Wir retten und verbessern Menschenleben mit erschwinglichen, zugänglichen und innovativen Gesundheitsprodukten und höchster Qualität in der klinischen Versorgung. Fresenius besteht aus den operativen Unternehmensbereichen Fresenius Kabi und Fresenius Helios. Fresenius Helios ist mit 140 Krankenhäusern und zahlreichen ambulanten Einrichtungen der führende private Krankenhausbetreiber in Deutschland und Spanien und behandelt jährlich rund 26 Millionen Patienten. Das…",8.632526,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",Duales Studium – Data Science und Künstliche Intelligenz (m/w/d) 2026,5705709221,2026-04-21T04:33:36Z,Adzuna::API::Response::Job,50.228422,0,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg'], 'display_name': 'Offenburg, Ortenaukreis'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4NjcyNTUyMCIsInMiOiJKanlaZ0psSDhSR3J6X2dZOEtsZlZ3In0.Q_Wg2F41Zb1JYjnErlv2R4l1aQvlrXf1x-EeU12OUI4,"{'display_name': 'Markant Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}",https://www.adzuna.de/land/ad/5686725520?se=JjyZgJlH8RGrz_gY8KlfVw&utm_medium=api&utm_source=a4bcf954&v=5214F60BA29B8358C0343E25F6FC201B4BFFB255,"Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…",7.94837,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2027 (m/w/d),5686725520,2026-04-02T04:21:00Z,Adzuna::API::Response::Job,48.42392,0,,,,
"{'display_name': 'Hamburg, Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Hamburg']}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNTk1NTMyMCIsInMiOiJKanlaZ0psSDhSR3J6X2dZOEtsZlZ3In0.KMg8ExpCniz2kcTiJb8_9-RB2THWcBqhY671rp_FpVI,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'TKMS GmbH'}",https://www.adzuna.de/land/ad/5715955320?se=JjyZgJlH8RGrz_gY8KlfVw&utm_medium=api&utm_source=a4bcf954&v=B2240DF56E8AF6D8C88847734D218CD3C709CED1,"TKMS steht für herausragende Ingenieurskunst und Innovationskraft im Überwasser- und Unterwasserschiffbau. Seit mehr als 185 Jahren. Als starker Partner, dem die NATO vertraut, bauen wir 70 Prozent ihrer U-Boot-Flotte und tragen so zu Frieden und Sicherheit bei. Weltweit. Bereit mit den Besten zu arbeiten? Werde Teil unseres Teams aus mehr als 8.500 Kolleginnen und Kollegen. Als wachsendes Marineunternehmen bieten wir zukunftssichere Entwicklungsmöglichkeiten in einem internationalen, diversen …",9.987297,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}","Duales Studium Data Science (d/m/w), Bachelor of Science, Start 2026",5715955320,2026-05-01T16:39:34Z,Adzuna::API::Response::Job,53.557429,0,,,,
"{'display_name': 'Altstadt-Lehel, München', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München', 'Altstadt-Lehel']}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSmp5WmdKbEg4Ukdyel9nWThLbGZWdyIsImkiOiI1NzE2NjQ3MTA0In0.41h3e0U80grvuvQrZrtp9kna0ifRz8R2o3ZNpH4-CZU,"{'display_name': 'Technische Universität München ', '__CLASS__': 'Adzuna::API::Response::Company'}",https://www.adzuna.de/land/ad/5716647104?se=JjyZgJlH8RGrz_gY8KlfVw&utm_medium=api&utm_source=a4bcf954&v=E1FA40777917C0610CA94F60F9E1C1A4D22D94E7,"Technische Universität München TUM School of Management Heilbronn Data Science Center TUM - Logo 3 PhD Positions in Empirical Economics & Data Science The Professorship of Empirical Economics & Data Science at the Technical University of Munich (TUM), Campus Heilbronn - part of the Heilbronn Data Science Center and the TUM School of Management - invites applications for PhD position, starting as soon as possible for an initial duration of four years. Research Focus The Professorship of Empirica…",11.56907,"{'tag': 'teaching-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Lehrberufe'}",3 PhD Positions in Empirical Economics & Data Science,5716647104,2026-05-02T06:55:31Z,Adzuna::API::Response::Job,48.14093,0,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Paderborn (Kreis)', 'Paderborn'], 'display_name': 'Paderborn, Paderborn (Kreis)'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMjM2OTE3NSIsInMiOiJKanlaZ0psSDhSR3J6X2dZOEtsZlZ3In0.cNlFl_ZZ3ek_hN2pR2ENvukDJvqftroc0xThaN3GDEU,"{'display_name': 'Westfalen Weser Netz GmbH Ausbildungsstellen', '__CLASS__': 'Adzuna::API::Response::Company'}",https://www.adzuna.de/land/ad/5702369175?se=JjyZgJlH8RGrz_gY8KlfVw&utm_medium=api&utm_source=a4bcf954&v=3D597232FC86C061AAD85183B41F5B1CD290E2E9,"Wir suchen dich!  Bewirb dich jetzt für ein Duales Studium bei Westfalen Weser. ‍✍ Um weitere Infos zur Vergütung, den Benefits, deinen Aufgaben, dem Profil, zu erhalten, klicke ""Mehr lesen"" ⬇️ Starte noch in 2026 dein duales Studium mit uns!  Unser Angebot Du machst mit uns ein überdurchschnittlich gutes duales Studium:  Zertifiziert durch das Ausbildungssiegel ""BEST PLACE TO LEARN""  Moderner Studiengang in der IT  Praxis im Team Daten- und Prozessmanagement Deine Benefits:  faire Vergütung  M…",8.753842,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'hospitality-catering-jobs', 'label': 'Stellen aus Gastronomie & Catering'}",B. Sc. Wirtschaftsinformatik - KI & Data Science (m/w/d),5702369175,2026-04-17T10:33:16Z,Adzuna::API::Response::Job,51.737096,0,full_time,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Paderborn (Kreis)', 'Paderborn'], 'display_name': 'Paderborn, Paderborn (Kreis)'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwNjE5OTE5MSIsInMiOiJKanlaZ0psSDhSR3J6X2dZOEtsZlZ3In0.vJ9_o4js2xoGzEfRjM_NgSKy1t1jds1ksQ3lHbuIYG8,"{'display_name': 'Westfalen Weser', '__CLASS__': 'Adzuna::API::Response::Company'}",https://www.adzuna.de/land/ad/5706199191?se=JjyZgJlH8RGrz_gY8KlfVw&utm_medium=api&utm_source=a4bcf954&v=13F6D1FC0851CD825BB77EF90813912CDEFDFB0D,"Wir suchen dich ! Bewirb dich jetzt für ein Duales Studium bei Westfalen Weser. ‍ Du willst die Energiewende zu deinem Job machen? Dann komm in unser Team und leiste mit uns jeden Tag einen echten Beitrag zum Klimaschutz! Und das nicht irgendwo, sondern direkt vor deiner Haustür. Wir sind nicht nur verlässlicher Betreiber von Verteilnetzen für Strom, Gas und Wasser, sondern auch Wegbegleiter von Menschen, Unternehmen und Kommunen auf dem Weg zur Klimaneutralität in unserer Region. Innovatives D…",8.753842,"{'label': 'IT-Stellen', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",Duales Studium: Bachelor of Science Wirtschaftsinformatik - Künstliche Intelligenz & Data Science (m/w/d),5706199191,2026-04-21T16:33:39Z,Adzuna::API::Response::Job,51.737096,0,,,,
"{'display_name': 'Obertshausen, Offenbach (Kreis)', 'area': ['Deutschland', 'Hessen', 'Offenbach (Kreis)', 'Obertshausen'], '__CLASS__': 'Adzuna::API::Response::Location'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSmp5WmdKbEg4Ukdyel9nWThLbGZWdyIsImkiOiI1NzEyNzk2Mzc0In0.gRcsUlL8CSNbUOh7qknaikq4Q8zPvFkYkNKf6k7PZWA,"{'display_name': 'MAINGAU Energie GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",https://www.adzuna.de/land/ad/5712796374?se=JjyZgJlH8RGrz_gY8KlfVw&utm_medium=api&utm_source=a4bcf954&v=21D61F35D56451717DB8DE3133DA522ED8C0DB2C,"Wir sind MAINGAU – ein ambitioniertes Energie- und Techunternehmen mit klarem Fokus auf technologiegetriebene Lösungen für die Energiewelt von morgen. Mehr als 1.000.000 Kundenbeziehungen europaweit und ein Umsatz von 1,3 Milliarden Euro in 2024 machen uns zu einem der am schnellsten wachsenden Energieunternehmen Deutschlands. Neben dem Strom- und Gasvertrieb bieten wir vielfältige Produkte in den Bereichen E-Mobilität, Internet und Mobilfunk und betreiben einen Onlineshop. An unserem Standort …",8.86518,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",Duales Studium Bachelor of Science (B.Sc.) Data Science und Künstliche Intelligenz,5712796374,2026-04-28T16:32:55Z,Adzuna::API::Response::Job,50.08229,0,,,,
"{'display_name': 'Deutschland', 'area': ['Deutschland'], '__CLASS__': 'Adzuna::API::Response::Location'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcxNzExNzIwMCIsInMiOiJKanlaZ0psSDhSR3J6X2dZOEtsZlZ3In0.Yymn1MqWx7kx-NMcLxLjjHu1GXYYgTgdjJO3zJOzx3s,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Dienstleistung GmbH & Co. KG'}",https://www.adzuna.de/land/ad/5717117200?se=JjyZgJlH8RGrz_gY8KlfVw&utm_medium=api&utm_source=a4bcf954&v=8931C29D452EE9CECAFF3B2ADC785E8E4A8F1AD6,"Duales Studium Wirtschaftsinformatik - Data Science 2026 Einleitung Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmac…",,"{'label': 'Stellen für Hochschulabsolventen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'graduate-jobs'}",Duales Studium Wirtschaftsinformatik - Data Science 2026,5717117200,2026-05-02T15:40:44Z,Adzuna::API::Response::Job,,0,,,,
