category,redirect_url,title,__CLASS__,longitude,adref,salary_is_predicted,location,id,created,company,description,latitude,contract_time,contract_type,salary_max,salary_min
"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.de/land/ad/5728121131?se=HvZlLalS8RGp5LRCbTa79g&utm_medium=api&utm_source=a4bcf954&v=B505084BE4DA37FC72BA9E70ED4574BF4E93F0A8,Duales Studium Softwaretechnologie – Data Science (B. SC),Adzuna::API::Response::Job,8.79911,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSHZabExhbFM4UkdwNUxSQ2JUYTc5ZyIsImkiOiI1NzI4MTIxMTMxIn0.zfnhhj7q9cA7nKM7IiY86HjqcNiu48KPcbPIDENRPG0,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Hessen', 'Waldeck-Frankenberg (Kreis)', 'Frankenberg (Eder)'], 'display_name': 'Frankenberg (Eder), Waldeck-Frankenberg (Kreis)'}",5728121131,2026-05-13T17:14:48Z,"{'display_name': 'FingerHaus GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}","FingerHaus – mit mehr als 950 Mitarbeitenden sind wir nicht nur ein bedeutender Arbeitgeber in der Region Waldeck-Frankenberg, sondern auch einer der größten und innovativsten familien­geführten Hersteller von Holz­fertig­häusern. 19.000 begeisterte Haus­besitzer, weit mehr als 200 Jahre Erfahrung in der Holz­ver­arbei­tung, über 75 Jahre Expertise im Fertig­hausbau und mehr als 740 deutsch­land­weit gebaute Häuser pro Jahr zeigen, wofür wir stehen: Gemeinsam sichtbare Zukunft bauen. Aus Tradit…",51.06067,,,,
"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",https://www.adzuna.de/land/ad/5708957550?se=HvZlLalS8RGp5LRCbTa79g&utm_medium=api&utm_source=a4bcf954&v=9590663FC02CA453E924079570508770D2C880F5,Abschlussarbeit Data Science / Mechanikdesign (m/w/x),Adzuna::API::Response::Job,10.10558,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSHZabExhbFM4UkdwNUxSQ2JUYTc5ZyIsImkiOiI1NzA4OTU3NTUwIn0.4Y4oNwINLtKv0YJl-FzWRcTvxxT5eIPopZGfPcKbQGA,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], 'display_name': 'Oberkochen, Ostalbkreis'}",5708957550,2026-04-24T04:29:11Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}","Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…",48.78408,,,,
"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",https://www.adzuna.de/land/ad/5686725520?se=HvZlLalS8RGp5LRCbTa79g&utm_medium=api&utm_source=a4bcf954&v=5214F60BA29B8358C0343E25F6FC201B4BFFB255,Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2027 (m/w/d),Adzuna::API::Response::Job,7.94837,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSHZabExhbFM4UkdwNUxSQ2JUYTc5ZyIsImkiOiI1Njg2NzI1NTIwIn0.0MqS5n1akA9MYRiJbA6WV91HPNt7VxRV9byulN7J_qA,0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg'], 'display_name': 'Offenburg, Ortenaukreis', '__CLASS__': 'Adzuna::API::Response::Location'}",5686725520,2026-04-02T04:21:00Z,"{'display_name': 'Markant Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}","Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…",48.42392,,,,
"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.de/land/ad/5731520587?se=HvZlLalS8RGp5LRCbTa79g&utm_medium=api&utm_source=a4bcf954&v=4A88991E37BFFDD1AEC2968192E33372B3C88349,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,Adzuna::API::Response::Job,9.187224,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSHZabExhbFM4UkdwNUxSQ2JUYTc5ZyIsImkiOiI1NzMxNTIwNTg3In0.Nq_Pr0icFEDWsiT7XWMbdnOLPfMsP3WUzZ9ffxqOQco,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg'}",5731520587,2026-05-16T16:50:07Z,"{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}",DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Bereit für ein echt spannendes und abwechslungsreiches Studium? Wir machen dich fit für deine Zukunft in einer modernen Versicherung. Für den Studienstart am 01.09.2026 in Stuttgart suchen wir aufgeschlossene und motivierte Studierende. Aufgaben Drei Jahre…,48.776198,,,,
"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",https://www.adzuna.de/land/ad/5732826036?se=HvZlLalS8RGp5LRCbTa79g&utm_medium=api&utm_source=a4bcf954&v=756AA7BDB6F444AE2AE3D7090D2185524D7620FF,Duales BA-Studium Wirtschaftsinformatik Data Science & KI (m/w/d) - Düsseldorf & Ravensburg,Adzuna::API::Response::Job,6.808387,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSHZabExhbFM4UkdwNUxSQ2JUYTc5ZyIsImkiOiI1NzMyODI2MDM2In0.6rLkqeszfMSHqxnPVl-3QNth2aitAaK2mCl8g8EaAHg,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Düsseldorf, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Düsseldorf']}",5732826036,2026-05-18T04:51:42Z,"{'display_name': 'Publicis Media GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}","Publicis Media ist das weltweit zweitgrößte Mediaagenturnetzwerk und Teil des französischen Kommunikationskonzerns Publicis Groupe. Als globale Holding lebt Publicis Media durch seine globalen Agenturmarken Zenith, Starcom und Spark, die das Kundengeschäft in der strategischen Kommunikationsberatung in über 100 Ländern steuern und ständig weiterentwickeln. Darüber hinaus unterstützen bei Publicis Media zentrale Spezialistenteams die Kunden der Agenturen in den Bereichen: Data und Technology, An…",51.226802,,,,
"{'label': 'Stellen aus Gastronomie & Catering', 'tag': 'hospitality-catering-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.de/land/ad/5702369175?se=HvZlLalS8RGp5LRCbTa79g&utm_medium=api&utm_source=a4bcf954&v=3D597232FC86C061AAD85183B41F5B1CD290E2E9,B. Sc. Wirtschaftsinformatik - KI & Data Science (m/w/d),Adzuna::API::Response::Job,8.753842,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSHZabExhbFM4UkdwNUxSQ2JUYTc5ZyIsImkiOiI1NzAyMzY5MTc1In0.m_3SMBODqPFdCvF54cZKPnEsyuQycDZVguWEhn0xbPw,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Paderborn (Kreis)', 'Paderborn'], 'display_name': 'Paderborn, Paderborn (Kreis)'}",5702369175,2026-04-17T10:33:16Z,"{'display_name': 'Westfalen Weser Netz GmbH Ausbildungsstellen', '__CLASS__': 'Adzuna::API::Response::Company'}","Wir suchen dich!  Bewirb dich jetzt für ein Duales Studium bei Westfalen Weser. ‍✍ Um weitere Infos zur Vergütung, den Benefits, deinen Aufgaben, dem Profil, zu erhalten, klicke ""Mehr lesen"" ⬇️ Starte noch in 2026 dein duales Studium mit uns!  Unser Angebot Du machst mit uns ein überdurchschnittlich gutes duales Studium:  Zertifiziert durch das Ausbildungssiegel ""BEST PLACE TO LEARN""  Moderner Studiengang in der IT  Praxis im Team Daten- und Prozessmanagement Deine Benefits:  faire Vergütung  M…",51.737096,full_time,,,
"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",https://www.adzuna.de/land/ad/5693047456?se=HvZlLalS8RGp5LRCbTa79g&utm_medium=api&utm_source=a4bcf954&v=9352D51F46000961DCB48290162075ADF565AF48,Junior Consultant Analytics Data Science (m/w/d),Adzuna::API::Response::Job,9.987297,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5MzA0NzQ1NiIsInMiOiJIdlpsTGFsUzhSR3A1TFJDYlRhNzlnIn0.oQ6sqrVku8J_H379QhMSKofs-7uedXW1p2rDZsKkfRI,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Hamburg'], 'display_name': 'Hamburg, Deutschland'}",5693047456,2026-04-08T12:40:42Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ISR Information Products AG'}","Dein Team Du hast Freude an Innovationen, spannenden Inhalten und kollegialem Teamspirit? Mit unseren Berater:innen wächst du mit deinen Aufgaben und lernst von unseren Expert:innen. Gemeinsam beraten wir unsere deutsch- und englischsprachigen Kunden bei ihren Herausforderungen im Umfeld von Business Intelligence, Planung, Advanced Analytics & Data Science. Wir verbinden höchste Beratungskompetenz mit technischer Expertise. Dabei konzipieren und implementieren wir maßgeschneiderte Lösungen auf …",53.557429,full_time,,,
"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT-Stellen'}",https://www.adzuna.de/land/ad/5676553840?se=HvZlLalS8RGp5LRCbTa79g&utm_medium=api&utm_source=a4bcf954&v=FB102C31A21812BD560A0E435BBC783F4DA54E88,Praktikum (m|w|d) im Bereich Data Science & Process Improvement,Adzuna::API::Response::Job,10.07197,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSHZabExhbFM4UkdwNUxSQ2JUYTc5ZyIsImkiOiI1Njc2NTUzODQwIn0.t8KvAhIn3DKPQyMkdKIllK0idXWYFbauCDm0IhiSC50,0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Schwäbisch Hall (Kreis)', 'Crailsheim'], 'display_name': 'Crailsheim, Schwäbisch Hall (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",5676553840,2026-03-24T05:57:12Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Voith SE & Co. KG'}","Über die Voith Group Die Voith Group ist ein weltweit agierender Technologiekonzern. Mit seinem breiten Portfolio aus Anlagen, Produkten, Serviceleistungen und digitalen Anwendungen setzt Voith Maßstäbe in den Märkten Energie, Papier, Rohstoffe und Transport & Automotive. Gegründet 1867 ist Voith heute mit rund 22.000 Mitarbeiterinnen und Mitarbeitern, 5,2 Milliarden Euro Umsatz und Standorten in über 60 Ländern der Welt eines der großen Familienunternehmen Europas . Unterstütze die Voith Group…",49.13436,full_time,,,
"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",https://www.adzuna.de/land/ad/5730473746?se=HvZlLalS8RGp5LRCbTa79g&utm_medium=api&utm_source=a4bcf954&v=103A9D3227F056490908753B18AE3F7C2F78FA40,(Senior) Data Scientist - m/f/d,Adzuna::API::Response::Job,6.808387,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQ3Mzc0NiIsInMiOiJIdlpsTGFsUzhSR3A1TFJDYlRhNzlnIn0.osEnfHZLJoAhHZXdjpPagj6_R9pAQq7Lov2xbQi6lhI,0,"{'display_name': 'Düsseldorf, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Düsseldorf'], '__CLASS__': 'Adzuna::API::Response::Location'}",5730473746,2026-05-15T19:39:23Z,"{'display_name': 'The Stepstone Group GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}","As a (Senior) Data Scientist, you will play a key role in advancing core areas of our platform, developing intelligent, data-driven solutions that meaningfully impact how millions of people find jobs and how employers connect with talent. You are positioned in the Marketing department and as such you are close to stakeholders, data scientists, engineers and analysts. You play a crucial role in bridging the gaps and you will directly help drive fairer, more effective and commercially efficient s…",51.226802,,,,
"{'label': 'Lehrberufe', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'teaching-jobs'}",https://www.adzuna.de/land/ad/5716647104?se=HvZlLalS8RGp5LRCbTa79g&utm_medium=api&utm_source=a4bcf954&v=E1FA40777917C0610CA94F60F9E1C1A4D22D94E7,3 PhD Positions in Empirical Economics & Data Science,Adzuna::API::Response::Job,11.56907,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiSHZabExhbFM4UkdwNUxSQ2JUYTc5ZyIsImkiOiI1NzE2NjQ3MTA0In0.VpFSCJsWDcsYPpGWa-wDUfDdjNVxbIcSgXly3MkZMqQ,0,"{'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München', 'Altstadt-Lehel'], 'display_name': 'Altstadt-Lehel, München', '__CLASS__': 'Adzuna::API::Response::Location'}",5716647104,2026-05-02T06:55:31Z,"{'display_name': 'Technische Universität München ', '__CLASS__': 'Adzuna::API::Response::Company'}","Technische Universität München TUM School of Management Heilbronn Data Science Center TUM - Logo 3 PhD Positions in Empirical Economics & Data Science The Professorship of Empirical Economics & Data Science at the Technical University of Munich (TUM), Campus Heilbronn - part of the Heilbronn Data Science Center and the TUM School of Management - invites applications for PhD position, starting as soon as possible for an initial duration of four years. Research Focus The Professorship of Empirica…",48.14093,,,,
