company,latitude,created,longitude,__CLASS__,salary_is_predicted,location,title,redirect_url,id,description,category,adref,contract_time,contract_type,salary_min,salary_max
"{'display_name': 'N26 GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",52.507706,2026-05-23T07:47:42Z,13.420806,Adzuna::API::Response::Job,0,"{'area': ['Deutschland', 'Berlin'], 'display_name': 'Berlin, Deutschland', '__CLASS__': 'Adzuna::API::Response::Location'}",Head of Data Science - Generative AI,https://www.adzuna.de/land/ad/5738481419?se=-rD90ilY8RGvjPD20Sc1wQ&utm_medium=api&utm_source=a4bcf954&v=124B1683B1351E3050BFA36905C2E77DDCD3A5E9,5738481419,"About the opportunity Who we are N26 has reimagined banking for today's digital world. Technology and design empower everything we do and it's how we are building the global banking platform the world loves to use. We've eliminated physical branches, paperwork, and hidden fees for an elegant digital experience and supreme savings. Giving people the power to live and bank their way is what gets us out of bed in the morning and inspires the work that we do. We are headquartered in Berlin with off…","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczODQ4MTQxOSIsInMiOiItckQ5MGlsWThSR3ZqUEQyMFNjMXdRIn0.OLhJRJ9S1caA1IudIsJMhVU8QwIawDECCRQ9KD9a3gI,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",49.18975,2026-05-18T19:45:18Z,9.2274,Adzuna::API::Response::Job,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",Duales Studium Wirtschaftsinformatik - Data Science 2027,https://www.adzuna.de/land/ad/5733288662?se=-rD90ilY8RGvjPD20Sc1wQ&utm_medium=api&utm_source=a4bcf954&v=366DE9802B50CE4713055921F48A779825AE62E1,5733288662,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLXJEOTBpbFk4Ukd2alBEMjBTYzF3USIsImkiOiI1NzMzMjg4NjYyIn0.N13062YJXXmWRTrJP8JGtDZNdK9EmYcpnrR8dJ6v5Rc,,,,
"{'display_name': 'FingerHaus GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",51.06067,2026-05-21T11:48:22Z,8.79911,Adzuna::API::Response::Job,0,"{'area': ['Deutschland', 'Hessen', 'Waldeck-Frankenberg (Kreis)', 'Frankenberg (Eder)'], 'display_name': 'Frankenberg (Eder), Waldeck-Frankenberg (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",Duales Studium Softwaretechnologie – Data Science (B. SC),https://www.adzuna.de/land/ad/5736315610?se=-rD90ilY8RGvjPD20Sc1wQ&utm_medium=api&utm_source=a4bcf954&v=D8F34C53940F7BD430B482AF0A40601AC18E8853,5736315610,"FingerHaus – mit mehr als 950 Mitarbeitenden sind wir nicht nur ein bedeutender Arbeitgeber in der Region Waldeck-Frankenberg, sondern auch einer der größten und innovativsten familien­geführten Hersteller von Holz­fertig­häusern. 19.000 begeisterte Haus­besitzer, weit mehr als 200 Jahre Erfahrung in der Holz­ver­arbei­tung, über 75 Jahre Expertise im Fertig­hausbau und mehr als 740 deutsch­land­weit gebaute Häuser pro Jahr zeigen, wofür wir stehen: Gemeinsam sichtbare Zukunft bauen. Aus Tradit…","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLXJEOTBpbFk4Ukd2alBEMjBTYzF3USIsImkiOiI1NzM2MzE1NjEwIn0.5EaXGADI_JwjjrZArrD2Ss9LIAdDlH-rlb_dmlmLXhQ,,,,
"{'display_name': 'S Rating und Risikosysteme GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",52.507706,2026-05-24T19:52:32Z,13.420806,Adzuna::API::Response::Job,0,"{'area': ['Deutschland', 'Berlin'], 'display_name': 'Berlin, Deutschland', '__CLASS__': 'Adzuna::API::Response::Location'}",Senior Spezialist (m/w/d) – Meldewesen | Regulatorik | Data Science,https://www.adzuna.de/land/ad/5739881305?se=-rD90ilY8RGvjPD20Sc1wQ&utm_medium=api&utm_source=a4bcf954&v=10D2F8DD7B014F7F474FE6807A6FA634E4E69A85,5739881305,"Die Sparkassen Rating und Risikosysteme (SR) ist der zentrale Dienstleister für Verfahren des Risiko­manage­ments in der Sparkassen-Finanzgruppe. Wir unterstützen die Institute mit Standardlösungen in den Bereichen der Risiko­messung und -steuerung, der regulatorischen Banksteuerung sowie im Vertrieb mit Data-Analytics-Lösungen. Gemeinsam mit unseren Partnern bieten wir den Instituten, von der Konzeption der Verfahren, über deren Weiterentwicklung, IT-Umsetzung und Umsetzungsunterstützung, zent…","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'accounting-finance-jobs', 'label': 'Stellen aus Buchhaltung & Finanzwesen'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczOTg4MTMwNSIsInMiOiItckQ5MGlsWThSR3ZqUEQyMFNjMXdRIn0.AwoUIim8kKLdkTJkcHGGkGR-0hZI_B61zswROB0gcPc,,,,
"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",49.18975,2026-05-19T13:53:54Z,9.2274,Adzuna::API::Response::Job,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",Duales Studium Data Science und KI - Smart Operations Management 2027,https://www.adzuna.de/land/ad/5733974483?se=-rD90ilY8RGvjPD20Sc1wQ&utm_medium=api&utm_source=a4bcf954&v=C44063A8613D3152F32376D2CD101CAF5781FF26,5733974483,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzk3NDQ4MyIsInMiOiItckQ5MGlsWThSR3ZqUEQyMFNjMXdRIn0.kYQxttp-5TyyfcojfhdLjf9pT1WvIwPE6lpgv97WYuc,,,,
"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",48.78408,2026-04-21T04:33:20Z,10.10558,Adzuna::API::Response::Job,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Oberkochen, Ostalbkreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen']}",Abschlussarbeit Data Science / Mechanikdesign (m/w/x),https://www.adzuna.de/land/ad/5705706881?se=-rD90ilY8RGvjPD20Sc1wQ&utm_medium=api&utm_source=a4bcf954&v=A5C2CF267DE66012517AA7F8757752842268C66E,5705706881,"Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLXJEOTBpbFk4Ukd2alBEMjBTYzF3USIsImkiOiI1NzA1NzA2ODgxIn0.B8nggWQamMAXeTGEqbnQLRFM4ouh7DsyKeEXt2Wzh9k,,,,
"{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}",48.776198,2026-05-13T17:14:35Z,9.187224,Adzuna::API::Response::Job,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg'}",DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,https://www.adzuna.de/land/ad/5728120716?se=-rD90ilY8RGvjPD20Sc1wQ&utm_medium=api&utm_source=a4bcf954&v=E937045495C5251A0A8C697DF06CE13C00EBCE9C,5728120716,DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Bereit für ein echt spannendes und abwechslungsreiches Studium? Wir machen dich fit für deine Zukunft in einer modernen Versicherung. Für den Studienstart am 01.09.2026 in Stuttgart suchen wir aufgeschlossene und motivierte Studierende. Aufgaben Drei Jahre…,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyODEyMDcxNiIsInMiOiItckQ5MGlsWThSR3ZqUEQyMFNjMXdRIn0.y9h-SuTAB245O734DXsQhX4PnvHcCSvNmrALNTTJNPs,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Markant Gruppe'}",48.42392,2026-04-02T04:21:00Z,7.94837,Adzuna::API::Response::Job,0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg'], 'display_name': 'Offenburg, Ortenaukreis', '__CLASS__': 'Adzuna::API::Response::Location'}",Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2027 (m/w/d),https://www.adzuna.de/land/ad/5686725520?se=-rD90ilY8RGvjPD20Sc1wQ&utm_medium=api&utm_source=a4bcf954&v=5214F60BA29B8358C0343E25F6FC201B4BFFB255,5686725520,"Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLXJEOTBpbFk4Ukd2alBEMjBTYzF3USIsImkiOiI1Njg2NzI1NTIwIn0.4P5Oh-3mOmW1X955Z6OpeCDq8JKXK0Ny9aBNETs1XRs,,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Westfalen Weser Netz GmbH Ausbildungsstellen'}",51.737096,2026-04-17T10:33:16Z,8.753842,Adzuna::API::Response::Job,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Paderborn, Paderborn (Kreis)', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Paderborn (Kreis)', 'Paderborn']}",B. Sc. Wirtschaftsinformatik - KI & Data Science (m/w/d),https://www.adzuna.de/land/ad/5702369175?se=-rD90ilY8RGvjPD20Sc1wQ&utm_medium=api&utm_source=a4bcf954&v=3D597232FC86C061AAD85183B41F5B1CD290E2E9,5702369175,"Wir suchen dich!  Bewirb dich jetzt für ein Duales Studium bei Westfalen Weser. ‍✍ Um weitere Infos zur Vergütung, den Benefits, deinen Aufgaben, dem Profil, zu erhalten, klicke ""Mehr lesen"" ⬇️ Starte noch in 2026 dein duales Studium mit uns!  Unser Angebot Du machst mit uns ein überdurchschnittlich gutes duales Studium:  Zertifiziert durch das Ausbildungssiegel ""BEST PLACE TO LEARN""  Moderner Studiengang in der IT  Praxis im Team Daten- und Prozessmanagement Deine Benefits:  faire Vergütung  M…","{'label': 'Stellen aus Gastronomie & Catering', 'tag': 'hospitality-catering-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwMjM2OTE3NSIsInMiOiItckQ5MGlsWThSR3ZqUEQyMFNjMXdRIn0.t29HZtXCNw8siDOH3qAezgFaIWloqOOudmGKeSZcwVs,full_time,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ISR Information Products AG'}",53.557429,2026-04-08T12:40:42Z,9.987297,Adzuna::API::Response::Job,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Hamburg, Deutschland', 'area': ['Deutschland', 'Hamburg']}",Junior Consultant Analytics Data Science (m/w/d),https://www.adzuna.de/land/ad/5693047456?se=-rD90ilY8RGvjPD20Sc1wQ&utm_medium=api&utm_source=a4bcf954&v=9352D51F46000961DCB48290162075ADF565AF48,5693047456,"Dein Team Du hast Freude an Innovationen, spannenden Inhalten und kollegialem Teamspirit? Mit unseren Berater:innen wächst du mit deinen Aufgaben und lernst von unseren Expert:innen. Gemeinsam beraten wir unsere deutsch- und englischsprachigen Kunden bei ihren Herausforderungen im Umfeld von Business Intelligence, Planung, Advanced Analytics & Data Science. Wir verbinden höchste Beratungskompetenz mit technischer Expertise. Dabei konzipieren und implementieren wir maßgeschneiderte Lösungen auf …","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLXJEOTBpbFk4Ukd2alBEMjBTYzF3USIsImkiOiI1NjkzMDQ3NDU2In0.zWdlW_Vb5njJ4eRHCN6Ek_5F0laboM1A1AFM89ceYks,full_time,,,
