adref,description,created,id,__CLASS__,redirect_url,longitude,latitude,location,salary_is_predicted,category,company,title,contract_time,contract_type,salary_max,salary_min
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI4ODY2MiIsInMiOiJXcEJUNkxWZDhSR19xNldUeHNPYVZRIn0.41-GXpYMFP8-Upq8DUgvRBUCTGXZdqTblp-DaRuTKk8,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",2026-05-18T19:45:18Z,5733288662,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5733288662?se=WpBT6LVd8RG_q6WTxsOaVQ&utm_medium=api&utm_source=a4bcf954&v=366DE9802B50CE4713055921F48A779825AE62E1,9.2274,49.18975,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",0,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",Duales Studium Wirtschaftsinformatik - Data Science 2027,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MjQyNzc2MCIsInMiOiJXcEJUNkxWZDhSR19xNldUeHNPYVZRIn0.9Iu8AC77nN2NzUO1Bb8OCSQJJ6SWOTG4BgpGE3tpHdc,"Die Sparkassen Rating und Risikosysteme (SR) ist der zentrale Dienstleister für Verfahren des Risiko­manage­ments in der Sparkassen-Finanzgruppe. Wir unterstützen die Institute mit Standardlösungen in den Bereichen der Risiko­messung und -steuerung, der regulatorischen Banksteuerung sowie im Vertrieb mit Data-Analytics-Lösungen. Gemeinsam mit unseren Partnern bieten wir den Instituten, von der Konzeption der Verfahren, über deren Weiterentwicklung, IT-Umsetzung und Umsetzungsunterstützung, zent…",2026-05-27T19:56:49Z,5742427760,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5742427760?se=WpBT6LVd8RG_q6WTxsOaVQ&utm_medium=api&utm_source=a4bcf954&v=151823D9BA71C14E33D6B16BA049671E629AFFB3,13.420806,52.507706,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Berlin'], 'display_name': 'Berlin, Deutschland'}",0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'accounting-finance-jobs', 'label': 'Stellen aus Buchhaltung & Finanzwesen'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'S Rating und Risikosysteme GmbH'}",Senior Spezialist (m/w/d) – Meldewesen | Regulatorik | Data Science,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV3BCVDZMVmQ4UkdfcTZXVHhzT2FWUSIsImkiOiI1NzMzOTc0NDgzIn0.1qbiktn-0_eXHhHING5ahZPCENzFdPCENibbkF7vZt0,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",2026-05-19T13:53:54Z,5733974483,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5733974483?se=WpBT6LVd8RG_q6WTxsOaVQ&utm_medium=api&utm_source=a4bcf954&v=C44063A8613D3152F32376D2CD101CAF5781FF26,9.2274,49.18975,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}","{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",Duales Studium Data Science und KI - Smart Operations Management 2027,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcyODEyMDcxNiIsInMiOiJXcEJUNkxWZDhSR19xNldUeHNPYVZRIn0.vcnBVZOqSNkpBECywsaG0rmT9O4dt9axJDXyMCVW6_M,DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Bereit für ein echt spannendes und abwechslungsreiches Studium? Wir machen dich fit für deine Zukunft in einer modernen Versicherung. Für den Studienstart am 01.09.2026 in Stuttgart suchen wir aufgeschlossene und motivierte Studierende. Aufgaben Drei Jahre…,2026-05-13T17:14:35Z,5728120716,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5728120716?se=WpBT6LVd8RG_q6WTxsOaVQ&utm_medium=api&utm_source=a4bcf954&v=E937045495C5251A0A8C697DF06CE13C00EBCE9C,9.187224,48.776198,"{'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location'}",0,"{'label': 'IT-Stellen', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}","{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}",DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV3BCVDZMVmQ4UkdfcTZXVHhzT2FWUSIsImkiOiI1Njg2NzI1NTIwIn0.n9DgpH_Evj84tBtgfIVOA3Qq0qlvUKYsyRM8ha3XRbE,"Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. Was noch dahintersteck…",2026-04-02T04:21:00Z,5686725520,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5686725520?se=WpBT6LVd8RG_q6WTxsOaVQ&utm_medium=api&utm_source=a4bcf954&v=5214F60BA29B8358C0343E25F6FC201B4BFFB255,7.94837,48.42392,"{'display_name': 'Offenburg, Ortenaukreis', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ortenaukreis', 'Offenburg']}",0,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Markant Gruppe'}",Duales Studium zum Bachelor of Science – Data Science & Künstliche Intelligenz 2027 (m/w/d),,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV3BCVDZMVmQ4UkdfcTZXVHhzT2FWUSIsImkiOiI1NzQzNTcwMDA1In0.IfyM8AReaESbY1HJf6XNvmBPB5N4rsO95uq67IBhwRw,"FingerHaus – mit mehr als 950 Mitarbeitenden sind wir nicht nur ein bedeutender Arbeitgeber in der Region Waldeck-Frankenberg, sondern auch einer der größten und innovativsten familien­geführten Hersteller von Holz­fertig­häusern. 19.000 begeisterte Haus­besitzer, weit mehr als 200 Jahre Erfahrung in der Holz­ver­arbei­tung, über 75 Jahre Expertise im Fertig­hausbau und mehr als 740 deutsch­land­weit gebaute Häuser pro Jahr zeigen, wofür wir stehen: Gemeinsam sichtbare Zukunft bauen. Aus Tradit…",2026-05-28T17:00:20Z,5743570005,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5743570005?se=WpBT6LVd8RG_q6WTxsOaVQ&utm_medium=api&utm_source=a4bcf954&v=AE0BB51C3133776EC88CF986196F73B55DC0A98C,8.79911,51.06067,"{'area': ['Deutschland', 'Hessen', 'Waldeck-Frankenberg (Kreis)', 'Frankenberg (Eder)'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Frankenberg (Eder), Waldeck-Frankenberg (Kreis)'}",0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}","{'display_name': 'FingerHaus GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Duales Studium Softwaretechnologie – Data Science (B. SC),,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MTI2NTc3OSIsInMiOiJXcEJUNkxWZDhSR19xNldUeHNPYVZRIn0.jnSGJ8huVWC8iWeLcxX1JKEVDto_EduQQ_o0Ksg95ro,"Du. Mit uns? Du. Mit uns? Für unser Team IT-Process & Business Demand Management, Standort Essen , suchen wir zum nächstmöglichen Zeitpunkt engagierte Verstärkung. Deine Arbeit sollte sinnstiftend sein und Du willst Dich mit all Deinen Facetten einbringen? Dann bist Du bei uns richtig. Wie Du bist, was Du fühlst: Wir sehen Dich. Die , eine 100-prozentige Tochter der Westenergie AG, ist der größte Verteilnetzbetreiber Deutschlands. Mit über 6.000 Mitarbeiter*innen und unserer offenen Unternehmen…",2026-05-26T15:31:35Z,5741265779,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5741265779?se=WpBT6LVd8RG_q6WTxsOaVQ&utm_medium=api&utm_source=a4bcf954&v=E2A524677F78E7D840EFE92771115791A54B6441,7.464954,51.504967,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Dortmund'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Dortmund, Nordrhein-Westfalen'}",0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}","{'display_name': 'Westnetz GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Student Data Science als Werkstudent Prozessmanagement - Power BI (m/w/d),full_time,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV3BCVDZMVmQ4UkdfcTZXVHhzT2FWUSIsImkiOiI1NzA4OTU3NTUwIn0.elpTD7_1bgXvxgOTakUjur579LjRE4nAO0P-f8aIuo8,"Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…",2026-04-24T04:29:11Z,5708957550,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5708957550?se=WpBT6LVd8RG_q6WTxsOaVQ&utm_medium=api&utm_source=a4bcf954&v=9590663FC02CA453E924079570508770D2C880F5,10.10558,48.78408,"{'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen']}",0,"{'tag': 'other-general-jobs', 'label': 'Sonstige/Allgemeine Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'ZEISS'}",Abschlussarbeit Data Science / Mechanikdesign (m/w/x),,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiV3BCVDZMVmQ4UkdfcTZXVHhzT2FWUSIsImkiOiI1NjkzMDQ3NDU2In0.V3pTXfzvnP9HNcjsS-E7RX4v77nxCsVcae8u5rny4Ws,"Dein Team Du hast Freude an Innovationen, spannenden Inhalten und kollegialem Teamspirit? Mit unseren Berater:innen wächst du mit deinen Aufgaben und lernst von unseren Expert:innen. Gemeinsam beraten wir unsere deutsch- und englischsprachigen Kunden bei ihren Herausforderungen im Umfeld von Business Intelligence, Planung, Advanced Analytics & Data Science. Wir verbinden höchste Beratungskompetenz mit technischer Expertise. Dabei konzipieren und implementieren wir maßgeschneiderte Lösungen auf …",2026-04-08T12:40:42Z,5693047456,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5693047456?se=WpBT6LVd8RG_q6WTxsOaVQ&utm_medium=api&utm_source=a4bcf954&v=9352D51F46000961DCB48290162075ADF565AF48,9.987297,53.557429,"{'display_name': 'Hamburg, Deutschland', 'area': ['Deutschland', 'Hamburg'], '__CLASS__': 'Adzuna::API::Response::Location'}",0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}","{'display_name': 'ISR Information Products AG', '__CLASS__': 'Adzuna::API::Response::Company'}",Junior Consultant Analytics Data Science (m/w/d),full_time,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNjI4NzUyMSIsInMiOiJXcEJUNkxWZDhSR19xNldUeHNPYVZRIn0.eLFpRcWi8-X4NkT-qP-Ommk-Y4dmtBZ-md24SlBptKM,Syntex GmbH Das Syntax Institut ist ein AZAV-zertifizierter Bildungsträger mit Fokus auf digitale Zukunftskompetenzen. Wir sind spezialisiert auf praxisnahe Trainings im Bereich Künstliche Intelligenz und darüber hinaus. In unseren Programmen machen wir Menschen mit und ohne Vorkenntnisse fit für die Tech-Welt – individuell begleitet und konsequent am Jobmarkt ausgerichtet. Was erwartet dich? Du möchtest dich beruflich neu aufstellen und das Zukunftsfeld Künstliche Intelligenz erobern? Dann ist…,2026-05-21T11:24:58Z,5736287521,Adzuna::API::Response::Job,https://www.adzuna.de/land/ad/5736287521?se=WpBT6LVd8RG_q6WTxsOaVQ&utm_medium=api&utm_source=a4bcf954&v=58838737B7A720CF1B5FAE2D3890C81367DFCD26,7.07281,51.21014,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Solingen', 'Gräfrath'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Gräfrath, Solingen'}",0,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'pr-advertising-marketing-jobs', 'label': 'Stellen aus PR, Werbung & Marketing'}","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Syntex GmbH'}",Quereinstieg KI / Data Science (m/w/d) – ohne Vorkenntnisse!,full_time,permanent,,
