company,title,salary_is_predicted,longitude,latitude,adref,description,__CLASS__,created,redirect_url,location,id,category,contract_time,salary_min,salary_max,contract_type
"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",Duales Studium Wirtschaftsinformatik - Data Science 2027,0,9.2274,49.18975,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0JiMWt6Qmo4UkdkSjdzeTlyT09EdyIsImkiOiI1NzMzMjg4NjYyIn0.8srkYBdGrU9t-B08bbS_lRh-bBLRM5_hwb2LrVmOXoA,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",Adzuna::API::Response::Job,2026-05-18T19:45:18Z,https://www.adzuna.de/land/ad/5733288662?se=cBb1kzBj8RGdJ7sy9rOODw&utm_medium=api&utm_source=a4bcf954&v=366DE9802B50CE4713055921F48A779825AE62E1,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",5733288662,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",,,,
"{'display_name': 'S Rating und Risikosysteme GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Senior Spezialist (m/w/d) – Meldewesen | Regulatorik | Data Science,0,13.420806,52.507706,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0JiMWt6Qmo4UkdkSjdzeTlyT09EdyIsImkiOiI1NzM5ODgxMzA1In0.Fq1yh8OQQTY16oHuPdmAJzPCdvUtRRTVpF3wH3cq_AA,"Die Sparkassen Rating und Risikosysteme (SR) ist der zentrale Dienstleister für Verfahren des Risiko­manage­ments in der Sparkassen-Finanzgruppe. Wir unterstützen die Institute mit Standardlösungen in den Bereichen der Risiko­messung und -steuerung, der regulatorischen Banksteuerung sowie im Vertrieb mit Data-Analytics-Lösungen. Gemeinsam mit unseren Partnern bieten wir den Instituten, von der Konzeption der Verfahren, über deren Weiterentwicklung, IT-Umsetzung und Umsetzungsunterstützung, zent…",Adzuna::API::Response::Job,2026-05-24T19:52:32Z,https://www.adzuna.de/land/ad/5739881305?se=cBb1kzBj8RGdJ7sy9rOODw&utm_medium=api&utm_source=a4bcf954&v=10D2F8DD7B014F7F474FE6807A6FA634E4E69A85,"{'area': ['Deutschland', 'Berlin'], 'display_name': 'Berlin, Deutschland', '__CLASS__': 'Adzuna::API::Response::Location'}",5739881305,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'BMW Group'}",Dualer Student Data Science & Scientific Computing (w/m/x),0,11.555737,48.137418,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0OTg4NzA5NyIsInMiOiJjQmIxa3pCajhSR2RKN3N5OXJPT0R3In0.URhIQAk6HXw8YiBnY_cqn1RlrpWAXVeIpox-PZUe-o0,"Aufgaben Profil Wir bieten Hinweis: Dieser Studiengang wird als Studium mit vertiefter Praxis angeboten. Du liebst es, Ursachen für Probleme zu entdecken und Lösungen zu finden und möchtest an Zukunftsthemen arbeiten? Du hast eine Leidenschaft für IT und Digitalisierung? Dann ist dieses Studium genau das Richtige für dich. Denn du bist Expert:in dafür, riesige Datenmengen zu bändigen und daraus Vorhersagen abzuleiten. Egal ob Entwicklungsdaten oder Daten unserer Kund:innen, du weißt wo du die r…",Adzuna::API::Response::Job,2026-06-03T02:43:06Z,https://www.adzuna.de/land/ad/5749887097?se=cBb1kzBj8RGdJ7sy9rOODw&utm_medium=api&utm_source=a4bcf954&v=36F0BBF9F2CED6326BBFB76EB26F96182428D6CC,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'München, München (Kreis)', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München']}",5749887097,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'BMW Group'}",Dualer Student Data Science & Scientific Computing (w/m/x),0,12.49782,48.62848,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0JiMWt6Qmo4UkdkSjdzeTlyT09EdyIsImkiOiI1NzQ5ODg3MjM5In0.BiRPTMTjZq8AyXFUf9S4ghlBLLawS4CGpUgK3yMrnb4,"Aufgaben Profil Wir bieten Hinweis: Dieser Studiengang wird als Studium mit vertiefter Praxis angeboten. Du liebst es, Ursachen für Probleme zu entdecken und Lösungen zu finden und möchtest an Zukunftsthemen arbeiten? Du hast eine Leidenschaft für IT und Digitalisierung? Dann ist dieses Studium genau das Richtige für dich. Denn du bist Expert:in dafür, riesige Datenmengen zu bändigen und daraus Vorhersagen abzuleiten. Egal ob Entwicklungsdaten oder Daten unserer Kund:innen, du weißt wo du die r…",Adzuna::API::Response::Job,2026-06-03T02:43:08Z,https://www.adzuna.de/land/ad/5749887239?se=cBb1kzBj8RGdJ7sy9rOODw&utm_medium=api&utm_source=a4bcf954&v=834C93F9BBEA00E72381249583BD7CAB05221EF6,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Dingolfing, Dingolfing-Landau (Kreis)', 'area': ['Deutschland', 'Bayern', 'Dingolfing-Landau (Kreis)', 'Dingolfing']}",5749887239,"{'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",,,,
"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",Duales Studium Data Science und KI - Smart Operations Management 2027,0,9.2274,49.18975,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0JiMWt6Qmo4UkdkSjdzeTlyT09EdyIsImkiOiI1NzMzOTc0NDgzIn0.iulJclkb-R4XCn0RcrqIf0tel1BDljCHd8x2mKv4bQw,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",Adzuna::API::Response::Job,2026-05-19T13:53:54Z,https://www.adzuna.de/land/ad/5733974483?se=cBb1kzBj8RGdJ7sy9rOODw&utm_medium=api&utm_source=a4bcf954&v=C44063A8613D3152F32376D2CD101CAF5781FF26,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",5733974483,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",,,,
"{'display_name': 'Atruvia AG', '__CLASS__': 'Adzuna::API::Response::Company'}",Duales Studium Data Science & Künstliche Intelligenz B.Sc. ab September 2027,0,8.412378,49.001249,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NDUwNTI1NCIsInMiOiJjQmIxa3pCajhSR2RKN3N5OXJPT0R3In0.tCyBS9rGQQgmHnSt0XG4d528Q_2Pe5cAwEWRXAXgKm8,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,Adzuna::API::Response::Job,2026-06-06T14:47:19Z,https://www.adzuna.de/land/ad/5754505254?se=cBb1kzBj8RGdJ7sy9rOODw&utm_medium=api&utm_source=a4bcf954&v=700A7F714FB3DF942776796CD2BECFEBA1CD57D3,"{'display_name': 'Karlsruhe, Karlsruhe (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], '__CLASS__': 'Adzuna::API::Response::Location'}",5754505254,"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'FERI AG'}",Duales Master-Studium „Artificial Intelligence & Data Science“ im Vertriebsmanagement,0,8.632526,50.228422,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NTU0MzYxOCIsInMiOiJjQmIxa3pCajhSR2RKN3N5OXJPT0R3In0.8-X7HvnYzmAAbn6UjbX0EZdz3re7E6mUKMZt_txhLJ0,"Die FERI Gruppe ist ein führendes, bankenunabhängiges Multi Asset-Investmenthaus im deutschsprachigen Raum. Mit einem engagierten Team von über 280 Beschäftigten sowie rund 50 dualen und Werkstudierenden entwickeln wir maßgeschneiderte Investmentlösungen für Institutionelle Investoren, Familienvermögen und Stiftungen. Aktuell betreuen unsere Investmentspezialisten ein Vermögen von ca. 64 Mrd. Euro, davon rund 18,5 Mrd. Euro in alternativen Investments. Das Vertriebsmanagement ist eine vertriebs…",Adzuna::API::Response::Job,2026-06-07T17:06:01Z,https://www.adzuna.de/land/ad/5755543618?se=cBb1kzBj8RGdJ7sy9rOODw&utm_medium=api&utm_source=a4bcf954&v=BEAF03D36489FE7FD6A2FEF11886AF4E6D809AFE,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Hessen', 'Hochtaunuskreis', 'Bad Homburg'], 'display_name': 'Bad Homburg, Hochtaunuskreis'}",5755543618,"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'BMW Group'}",Dualer Student Data Science & Scientific Computing (w/m/x),0,11.57287,48.18446,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0JiMWt6Qmo4UkdkSjdzeTlyT09EdyIsImkiOiI1NzQ4OTg5NzEzIn0.DAtUQNmijZre4YiW43i7XQS7Ur38C57xbwuok2QDBRo,"Hinweis: Dieser Studiengang wird als Studium mit vertiefter Praxis angeboten. Du liebst es, Ursachen für Probleme zu entdecken und Lösungen zu finden und möchtest an Zukunftsthemen arbeiten? Du hast eine Leidenschaft für IT und Digitalisierung? Dann ist dieses Studium genau das Richtige für dich. Denn du bist Expert:in dafür, riesige Datenmengen zu bändigen und daraus Vorhersagen abzuleiten. Egal ob Entwicklungsdaten oder Daten unserer Kund:innen, du weißt wo du die richtigen Infos findest und …",Adzuna::API::Response::Job,2026-06-02T11:41:27Z,https://www.adzuna.de/land/ad/5748989713?se=cBb1kzBj8RGdJ7sy9rOODw&utm_medium=api&utm_source=a4bcf954&v=CE81F3AA7996831BB79775E2CB1C29C56A1A394C,"{'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München', 'Milbertshofen-Am Hart'], 'display_name': 'Milbertshofen-Am Hart, München', '__CLASS__': 'Adzuna::API::Response::Location'}",5748989713,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
"{'display_name': 'BMW Group', '__CLASS__': 'Adzuna::API::Response::Company'}",Dualer Student Data Science & Scientific Computing (w/m/x),0,12.49782,48.62848,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY0JiMWt6Qmo4UkdkSjdzeTlyT09EdyIsImkiOiI1NzQ4OTg5NzE0In0.qtGdo26WuXNbOifN_kdQ7z3MPM1ZdE-xi9XBXGXWhWk,"Hinweis: Dieser Studiengang wird als Studium mit vertiefter Praxis angeboten. Du liebst es, Ursachen für Probleme zu entdecken und Lösungen zu finden und möchtest an Zukunftsthemen arbeiten? Du hast eine Leidenschaft für IT und Digitalisierung? Dann ist dieses Studium genau das Richtige für dich. Denn du bist Expert:in dafür, riesige Datenmengen zu bändigen und daraus Vorhersagen abzuleiten. Egal ob Entwicklungsdaten oder Daten unserer Kund:innen, du weißt wo du die richtigen Infos findest und …",Adzuna::API::Response::Job,2026-06-02T11:41:27Z,https://www.adzuna.de/land/ad/5748989714?se=cBb1kzBj8RGdJ7sy9rOODw&utm_medium=api&utm_source=a4bcf954&v=4E1B06CE88F0E200B5D274984E2D25540FB1EC48,"{'area': ['Deutschland', 'Bayern', 'Dingolfing-Landau (Kreis)', 'Dingolfing'], 'display_name': 'Dingolfing, Dingolfing-Landau (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",5748989714,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,0,9.187224,48.776198,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1NDU2Mzg2MiIsInMiOiJjQmIxa3pCajhSR2RKN3N5OXJPT0R3In0.J1atoaMtVHEfiohkUlac3Jw_3VNbBTQAhppDDZpJ3mQ,DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Bereit für ein echt spannendes und abwechslungsreiches Studium? Wir machen dich fit für deine Zukunft in einer modernen Versicherung. Für den Studienstart am 01.09.2026 in Stuttgart suchen wir aufgeschlossene und motivierte Studierende. Aufgaben Drei Jahre…,Adzuna::API::Response::Job,2026-06-06T17:06:24Z,https://www.adzuna.de/land/ad/5754563862?se=cBb1kzBj8RGdJ7sy9rOODw&utm_medium=api&utm_source=a4bcf954&v=913EFB35A729CE8A5E12F5D2E5B54B477520A3E8,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}",5754563862,"{'label': 'IT-Stellen', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",,,,
