latitude,title,salary_is_predicted,adref,redirect_url,id,created,company,category,__CLASS__,location,longitude,description,contract_time,salary_min,salary_max,contract_type
49.18975,Duales Studium Wirtschaftsinformatik - Data Science 2027,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZnRCY2FiRno4UkcxRWMzLV9VdlNzQSIsImkiOiI1NzMzMjg4NjYyIn0.ZCOPOIiZQ7JTu7SexStQcQdc4nmhJ1xwvadeW_W5YYQ,https://www.adzuna.de/land/ad/5733288662?se=ftBcabFz8RG1Ec3-_UvSsA&utm_medium=api&utm_source=a4bcf954&v=366DE9802B50CE4713055921F48A779825AE62E1,5733288662,2026-05-18T19:45:18Z,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",9.2274,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",,,,
48.776198,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Data Science,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2NzgxMjYyMyIsInMiOiJmdEJjYWJGejhSRzFFYzMtX1V2U3NBIn0.RfLAyMmNcpVzdXElkibdwgxgLWEUUmE45vyqwWPUWf4,https://www.adzuna.de/land/ad/5767812623?se=ftBcabFz8RG1Ec3-_UvSsA&utm_medium=api&utm_source=a4bcf954&v=0D28DB1EAF00BCA078C2C039D4074B51B63D995C,5767812623,2026-06-18T09:58:12Z,"{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}","{'tag': 'it-jobs', 'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}",Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location'}",9.187224,DHBW-Studium Bachelor of Science – Wirt­schafts­informatik – Data Science Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Bereit für ein echt spannendes und abwechslungsreiches Studium? Wir machen dich fit für deine Zukunft in einer modernen Versicherung. Für den Studienstart am 01.09.2026 in Stuttgart suchen wir aufgeschlossene und motivierte Studierende. Aufgaben Drei Jahre…,,,,
48.78408,Abschlussarbeit Data Science / Mechanikdesign (m/w/x),0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MTM2NDc4MSIsInMiOiJmdEJjYWJGejhSRzFFYzMtX1V2U3NBIn0.AYu_gTxKsYB5fJT97OPAhWVhAH0vqUgGfe8yE9YuiHE,https://www.adzuna.de/land/ad/5771364781?se=ftBcabFz8RG1Ec3-_UvSsA&utm_medium=api&utm_source=a4bcf954&v=BDFED5017FD0277CFE08ED1C74B87B06A81ED5A1,5771364781,2026-06-21T06:16:48Z,"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Oberkochen, Ostalbkreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen']}",10.10558,"Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…",,,,
49.18975,Duales Studium Data Science und KI - Smart Operations Management 2027,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzk3NDQ4MyIsInMiOiJmdEJjYWJGejhSRzFFYzMtX1V2U3NBIn0.LOEuEiQq529jlxdXKqHXdIWvCcx4Voy3bhEiWDsZUmY,https://www.adzuna.de/land/ad/5733974483?se=ftBcabFz8RG1Ec3-_UvSsA&utm_medium=api&utm_source=a4bcf954&v=C44063A8613D3152F32376D2CD101CAF5781FF26,5733974483,2026-05-19T13:53:54Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",9.2274,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",,,,
48.137418,Director - Process Mining / BPM / Data Science (m/w/d),0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZnRCY2FiRno4UkcxRWMzLV9VdlNzQSIsImkiOiI1NzczMTgwNjg2In0.njikcQKUOMACVmU2qflvKMDAQK8Tu6nfwPjYHO21Yq0,https://www.adzuna.de/land/ad/5773180686?se=ftBcabFz8RG1Ec3-_UvSsA&utm_medium=api&utm_source=a4bcf954&v=259F9C76B4F1B0A3232F8E1364C02D6E8BDD8325,5773180686,2026-06-23T06:22:07Z,"{'display_name': 'PMMG Group GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}","{'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",Adzuna::API::Response::Job,"{'display_name': 'München, München (Kreis)', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München'], '__CLASS__': 'Adzuna::API::Response::Location'}",11.555737,"PMMG Process Solutions ist eine spezialisierte, inhabergeführte Beratung für prozess- und datenbasierte Transformationen. Mit über 15 Jahren Erfahrung in Business Process Management, Process Mining, Process Intelligence, Projektmanagement und digitaler Transformation begleiten wir Unternehmen bei der nachhaltigen Steigerung ihrer operativen Exzellenz und Profitabilität. Aufgaben Du leitest das interne Kompetenzteam für Process Mining und datengetriebene Wertschöpfung und baust das Team, die Str…",,,,
51.476986,Leitung Datenintegrationszentrum (DIZ) / Medical Data Science (m/w/d),0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZnRCY2FiRno4UkcxRWMzLV9VdlNzQSIsImkiOiI1NzgxMTE0OTY1In0.dlAnAUwQPDPGS2je0Bbw1TudPWBEm4NoYenUkTtGNtM,https://www.adzuna.de/land/ad/5781114965?se=ftBcabFz8RG1Ec3-_UvSsA&utm_medium=api&utm_source=a4bcf954&v=93D04A331B1215855A8655E0390591686B2673A7,5781114965,2026-06-29T13:25:36Z,"{'display_name': 'Ruhr-Universität Bochum', '__CLASS__': 'Adzuna::API::Response::Company'}","{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",Adzuna::API::Response::Job,"{'display_name': 'Bochum, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bochum'], '__CLASS__': 'Adzuna::API::Response::Location'}",7.211571,Die Ruhr-Universität Bochum (RUB) ist eine der führenden Forschungs­universitäten in Deutschland. Als reform­orientierte Campus­universität vereint sie in einzig­artiger Weise die gesamte Spann­breite der großen Wissenschafts­bereiche an einem Ort. Das dynamische Mit­einander von Fächern und Fächer­kulturen bietet den Forschenden wie den Studierenden gleicher­maßen besondere Chancen zur inter­disziplinären Zusammen­arbeit. Medizinische Fakultät: Medical Research Services Medizinisches Dateninte…,,,,
51.504967,Head of AI & Data Science (m/w/d),0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZnRCY2FiRno4UkcxRWMzLV9VdlNzQSIsImkiOiI1Nzc4NjEyNjA1In0.7S8tlCEdT9SUTetVyCK_TFGLjbeY0fN7BDgDK60RwFU,https://www.adzuna.de/land/ad/5778612605?se=ftBcabFz8RG1Ec3-_UvSsA&utm_medium=api&utm_source=a4bcf954&v=618D595659D80CC814AEDB32378C842FA87F230F,5778612605,2026-06-27T06:23:04Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Dr. Ausbüttel GmbH & Co. KG'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT-Stellen', 'tag': 'it-jobs'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Dortmund'], 'display_name': 'Dortmund, Nordrhein-Westfalen'}",7.464954,"Head of AI & Data Science: Tragen Sie dazu bei, Wunden zu heilen, Innovationen zu fördern und Wachstum zu gestalten! Schwer heilende Wunden sind eine enorme Belastung für Patienten, Angehörige und Behandelnde. Machen Sie durch Ihr gestalterisches Mitwirken einen signifikanten Unterschied. Wir entwickeln Produkte und Services, um Wunden bezahlbar zu heilen. Als wachsendes, zukunftsorientiertes inhabergeführtes Familienunternehmen investieren und arbeiten wir mit langfristiger Perspektive statt m…",,,,
51.226802,Duales BA-Studium Wirtschaftsinformatik Data Science & KI (m/w/d) - Düsseldorf & Ravensburg,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3ODYxMjM3NSIsInMiOiJmdEJjYWJGejhSRzFFYzMtX1V2U3NBIn0.LxWHmwV7uoiDJQnxLEq20gbYaFIenaGtGH8vyP7vie0,https://www.adzuna.de/land/ad/5778612375?se=ftBcabFz8RG1Ec3-_UvSsA&utm_medium=api&utm_source=a4bcf954&v=B26E13B918BBCE5B8E09092342ED375B6E8604BC,5778612375,2026-06-27T06:22:54Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Publicis Media GmbH'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Düsseldorf'], 'display_name': 'Düsseldorf, Nordrhein-Westfalen', '__CLASS__': 'Adzuna::API::Response::Location'}",6.808387,"Publicis Media ist das weltweit zweitgrößte Mediaagenturnetzwerk und Teil des französischen Kommunikationskonzerns Publicis Groupe. Als globale Holding lebt Publicis Media durch seine globalen Agenturmarken Zenith, Starcom und Spark, die das Kundengeschäft in der strategischen Kommunikationsberatung in über 100 Ländern steuern und ständig weiterentwickeln. Darüber hinaus unterstützen bei Publicis Media zentrale Spezialistenteams die Kunden der Agenturen in den Bereichen: Data und Technology, An…",,,,
48.137418,Dualer Student (m/w/d) - Data Science & Scientific Computing Bachelor,0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZnRCY2FiRno4UkcxRWMzLV9VdlNzQSIsImkiOiI1Nzc1NzMzNzgxIn0.lIaV_Hmi-pVLfTxu2sJorjcLkmwzStVVaQKM6d7sQ54,https://www.adzuna.de/land/ad/5775733781?se=ftBcabFz8RG1Ec3-_UvSsA&utm_medium=api&utm_source=a4bcf954&v=C64166443E4E5037171EF5268ECC4DE15198BD64,5775733781,2026-06-25T06:23:40Z,"{'display_name': 'ASMPT GmbH & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}","{'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München'], 'display_name': 'München, München (Kreis)'}",11.555737,"Willkommen bei ASMPT. Hier bist du auf dem direkten Weg in das digitale Zeitalter. Mit 12.000 Mitarbeitenden weltweit sind wir technologischer Prozesspartner für die Elektroindustrie und brennen für innovative Automatisierungsstrategien am Puls der Zeit. Mit unseren smarten Lösungen fordern unsere passionierten Teams den technischen Status quo immer wieder heraus und setzen so neue Maßstäbe für die Fertigung von Smartphones, Computern, Netzwerken, autonomen Fahrzeugen, intelligenten Maschinen s…",,,,
48.745846,"Duales Studium Wirtschaftsinformatik/Data Science (B.Sc.), Mercedes-Benz Group AG, Stuttgart, 01.10.2027 (m/w/d)",0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZnRCY2FiRno4UkcxRWMzLV9VdlNzQSIsImkiOiI1Nzc4NDYyNzgyIn0.ujBDMPgR2BfelPNI4c80gF2lQe_I-aJW8GQCBulZfWs,https://www.adzuna.de/land/ad/5778462782?se=ftBcabFz8RG1Ec3-_UvSsA&utm_medium=api&utm_source=a4bcf954&v=2A0A571378B3B57A0A4EA3EE2727C2EF68B5DAE0,5778462782,2026-06-27T04:07:44Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz Group AG'}","{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Esslingen am Neckar'], 'display_name': 'Esslingen am Neckar, Esslingen (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",9.315933,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",,,,
