__CLASS__,adref,redirect_url,longitude,company,title,latitude,created,description,id,category,salary_is_predicted,location,contract_time,salary_min,salary_max,contract_type
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY29xZk9DMTU4UkdsaV9SZG51V2FqdyIsImkiOiI1Nzg4MTk2OTIyIn0.1DVP6MFLjFdzquCqoGer7jenPwGv5FF2o8lbbhwss2o,https://www.adzuna.de/land/ad/5788196922?se=coqfOC158RGli_RdnuWajw&utm_medium=api&utm_source=a4bcf954&v=9F234F9342A02A2103254C1B8E6F4BD573CFF1F2,9.026231,"{'display_name': 'Mercedes-Benz AG', '__CLASS__': 'Adzuna::API::Response::Company'}",Werksstudent*in Data Science - Emissionsdaten,48.720071,2026-07-04T18:56:35Z,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",5788196922,"{'tag': 'other-general-jobs', 'label': 'Sonstige/Allgemeine Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}",0,"{'display_name': 'Sindelfingen, Böblingen (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Böblingen (Kreis)', 'Sindelfingen'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,,
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY29xZk9DMTU4UkdsaV9SZG51V2FqdyIsImkiOiI1NzMzMjg4NjYyIn0.mXzIJd4T_mkUhxnW4OTlevQCb2dK3eqGs2fKeCBtRvw,https://www.adzuna.de/land/ad/5733288662?se=coqfOC158RGli_RdnuWajw&utm_medium=api&utm_source=a4bcf954&v=366DE9802B50CE4713055921F48A779825AE62E1,9.2274,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",Duales Studium Wirtschaftsinformatik - Data Science 2027,49.18975,2026-05-18T19:45:18Z,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",5733288662,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",0,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}",,,,
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTY5MTAxMiIsInMiOiJjb3FmT0MxNThSR2xpX1JkbnVXYWp3In0.uBtyqaePkA7XsGHwVVTzT1W610i1Lbq7gToS28-sFUc,https://www.adzuna.de/land/ad/5785691012?se=coqfOC158RGli_RdnuWajw&utm_medium=api&utm_source=a4bcf954&v=5942B2CD9A01DB7EAEB51D08F8F6B9DC4060303B,9.37738,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Festool Group'}",Duales Studium: Wirtschaftsinformatik - Data Science (m/w/d) 2027,48.67129,2026-07-02T19:37:28Z,"Jedes Werkzeug kann immer nur so gut sein wie der Mensch, der dahintersteckt. Deshalb suchen wir bei der Festool Group Mitarbeitende, die gemeinsam mit ihren 3.000 Kolleginnen und Kollegen weltweit etwas bewegen wollen. Tauche ein in unsere Welt - und erlebe, wie stolz es macht, in einem Familienunternehmen die besten Elektrowerkzeuge der Welt zu bauen. Aufgaben Technik und Wirtschaft gehören für dich zusammen? Du begeisterst dich für Informationstechnologien ebenso wie für ökonomische Zusammen…",5785691012,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Wendlingen am Neckar'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Wendlingen am Neckar, Esslingen (Kreis)'}",,,,
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MzMwMzkzOSIsInMiOiJjb3FmT0MxNThSR2xpX1JkbnVXYWp3In0.4wGy8FJ4EBVHAM6Xyct-0vVoKXrJ1Utu0Nm8BlMGRLM,https://www.adzuna.de/land/ad/5783303939?se=coqfOC158RGli_RdnuWajw&utm_medium=api&utm_source=a4bcf954&v=BCE6104A273AA83C09F059F788C1FFC992DA4BA5,12.49782,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'BMW Group'}",Dualer Student Data Science & Scientific Computing (w/m/x),48.62848,2026-07-01T10:25:09Z,"Aufgaben Profil Wir bieten Hinweis: Dieser Studiengang wird als Studium mit vertiefter Praxis angeboten. Du liebst es, Ursachen für Probleme zu entdecken und Lösungen zu finden und möchtest an Zukunftsthemen arbeiten? Du hast eine Leidenschaft für IT und Digitalisierung? Dann ist dieses Studium genau das Richtige für dich. Denn du bist Expert:in dafür, riesige Datenmengen zu bändigen und daraus Vorhersagen abzuleiten. Egal ob Entwicklungsdaten oder Daten unserer Kund:innen, du weißt wo du die r…",5783303939,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs'}",0,"{'area': ['Deutschland', 'Bayern', 'Dingolfing-Landau (Kreis)', 'Dingolfing'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Dingolfing, Dingolfing-Landau (Kreis)'}",,,,
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MzMwMzkzNyIsInMiOiJjb3FmT0MxNThSR2xpX1JkbnVXYWp3In0.uQo7XaHbRxPckb4Oi1mSwEvzfJ7GpKlyvUU09qt59Ug,https://www.adzuna.de/land/ad/5783303937?se=coqfOC158RGli_RdnuWajw&utm_medium=api&utm_source=a4bcf954&v=5BDCB38395F6AB03040EEB2D567284B76FEF8C5C,11.555737,"{'display_name': 'BMW Group', '__CLASS__': 'Adzuna::API::Response::Company'}",Dualer Student Data Science & Scientific Computing (w/m/x),48.137418,2026-07-01T10:25:09Z,"Aufgaben Profil Wir bieten Hinweis: Dieser Studiengang wird als Studium mit vertiefter Praxis angeboten. Du liebst es, Ursachen für Probleme zu entdecken und Lösungen zu finden und möchtest an Zukunftsthemen arbeiten? Du hast eine Leidenschaft für IT und Digitalisierung? Dann ist dieses Studium genau das Richtige für dich. Denn du bist Expert:in dafür, riesige Datenmengen zu bändigen und daraus Vorhersagen abzuleiten. Egal ob Entwicklungsdaten oder Daten unserer Kund:innen, du weißt wo du die r…",5783303937,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",0,"{'display_name': 'München, München (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München']}",,,,
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY29xZk9DMTU4UkdsaV9SZG51V2FqdyIsImkiOiI1NzMzOTc0NDgzIn0.ODXnTMiqt4sOvuOC3X1Fu6l6U6a38k5W7sGe5s834ig,https://www.adzuna.de/land/ad/5733974483?se=coqfOC158RGli_RdnuWajw&utm_medium=api&utm_source=a4bcf954&v=C44063A8613D3152F32376D2CD101CAF5781FF26,9.2274,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",Duales Studium Data Science und KI - Smart Operations Management 2027,49.18975,2026-05-19T13:53:54Z,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",5733974483,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",,,,
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4Mjk0MjQ1MyIsInMiOiJjb3FmT0MxNThSR2xpX1JkbnVXYWp3In0.tybfx6P_py42w7QQ8PilOiTrRMeaf1d0Y8mFKSe4I28,https://www.adzuna.de/land/ad/5782942453?se=coqfOC158RGli_RdnuWajw&utm_medium=api&utm_source=a4bcf954&v=F2D7D9BCE8772A4412B76F42F8DC0DA3D450DAE2,7.464954,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Dr. Ausbüttel GmbH & Co. KG'}",Head of AI & Data Science (m/w/d),51.504967,2026-07-01T07:24:35Z,"Head of AI & Data Science: Tragen Sie dazu bei, Wunden zu heilen, Innovationen zu fördern und Wachstum zu gestalten! Schwer heilende Wunden sind eine enorme Belastung für Patienten, Angehörige und Behandelnde. Machen Sie durch Ihr gestalterisches Mitwirken einen signifikanten Unterschied. Wir entwickeln Produkte und Services, um Wunden bezahlbar zu heilen. Als wachsendes, zukunftsorientiertes inhabergeführtes Familienunternehmen investieren und arbeiten wir mit langfristiger Perspektive statt m…",5782942453,"{'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category'}",0,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Dortmund'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Dortmund, Nordrhein-Westfalen'}",,,,
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY29xZk9DMTU4UkdsaV9SZG51V2FqdyIsImkiOiI1Nzg1NjkxNTk3In0.cjdqHlWH1kHSUSYId7EYhdf7WonfEUGxeE5ZB15TcMk,https://www.adzuna.de/land/ad/5785691597?se=coqfOC158RGli_RdnuWajw&utm_medium=api&utm_source=a4bcf954&v=E7E6105B8657F51A8D4062F37021188A09433F72,9.21629,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Schwarz Digits'}",Duales Studium Data Science und Künstliche Intelligenz 2027 (m/w/d),49.2291,2026-07-02T19:37:57Z,"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. {Studienbeginn:} 01.09.2027 mit dem Begrüßungsmonat {Studiendauer:} 3 Jahre {Studiendauer:} 01.10…",5785691597,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Bad Friedrichshall'], 'display_name': 'Bad Friedrichshall, Heilbronn (Kreis)'}",,,,
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc3MzE4MDY4NiIsInMiOiJjb3FmT0MxNThSR2xpX1JkbnVXYWp3In0.chrJzkXE6P5aRC5DKeQ6B4XiGVtvYECrqGol2IbAlC0,https://www.adzuna.de/land/ad/5773180686?se=coqfOC158RGli_RdnuWajw&utm_medium=api&utm_source=a4bcf954&v=259F9C76B4F1B0A3232F8E1364C02D6E8BDD8325,11.555737,"{'display_name': 'PMMG Group GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Director - Process Mining / BPM / Data Science (m/w/d),48.137418,2026-06-23T06:22:07Z,"PMMG Process Solutions ist eine spezialisierte, inhabergeführte Beratung für prozess- und datenbasierte Transformationen. Mit über 15 Jahren Erfahrung in Business Process Management, Process Mining, Process Intelligence, Projektmanagement und digitaler Transformation begleiten wir Unternehmen bei der nachhaltigen Steigerung ihrer operativen Exzellenz und Profitabilität. Aufgaben Du leitest das interne Kompetenzteam für Process Mining und datengetriebene Wertschöpfung und baust das Team, die Str…",5773180686,"{'label': 'Stellen aus Wissenschaft & Qualitätssicherung', 'tag': 'scientific-qa-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München'], 'display_name': 'München, München (Kreis)'}",,,,
Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY29xZk9DMTU4UkdsaV9SZG51V2FqdyIsImkiOiI1NzgxMTE0OTY1In0.XctmoFO052ZKMkmYQBQSI7n96whOQgRaH2zQo0PHurM,https://www.adzuna.de/land/ad/5781114965?se=coqfOC158RGli_RdnuWajw&utm_medium=api&utm_source=a4bcf954&v=93D04A331B1215855A8655E0390591686B2673A7,7.211571,"{'display_name': 'Ruhr-Universität Bochum', '__CLASS__': 'Adzuna::API::Response::Company'}",Leitung Datenintegrationszentrum (DIZ) / Medical Data Science (m/w/d),51.476986,2026-06-29T13:25:36Z,Die Ruhr-Universität Bochum (RUB) ist eine der führenden Forschungs­universitäten in Deutschland. Als reform­orientierte Campus­universität vereint sie in einzig­artiger Weise die gesamte Spann­breite der großen Wissenschafts­bereiche an einem Ort. Das dynamische Mit­einander von Fächern und Fächer­kulturen bietet den Forschenden wie den Studierenden gleicher­maßen besondere Chancen zur inter­disziplinären Zusammen­arbeit. Medizinische Fakultät: Medical Research Services Medizinisches Dateninte…,5781114965,"{'tag': 'consultancy-jobs', 'label': 'Beraterstellen', '__CLASS__': 'Adzuna::API::Response::Category'}",0,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bochum'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Bochum, Nordrhein-Westfalen'}",,,,
