category,id,redirect_url,__CLASS__,description,latitude,adref,created,salary_is_predicted,location,title,company,longitude,contract_time,salary_max,salary_min,contract_type
"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",5733288662,https://www.adzuna.de/land/ad/5733288662?se=2lyTYKR-8RGx_pHdrNGfmQ&utm_medium=api&utm_source=a4bcf954&v=366DE9802B50CE4713055921F48A779825AE62E1,Adzuna::API::Response::Job,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",49.18975,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzI4ODY2MiIsInMiOiIybHlUWUtSLThSR3hfcEhkck5HZm1RIn0.Ktxo3eDfPWX6TJrxSbs4C9spUeAIYRQRMKcL1tkA7Wc,2026-05-18T19:45:18Z,0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}",Duales Studium Wirtschaftsinformatik - Data Science 2027,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",9.2274,,,,
"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",5797421372,https://www.adzuna.de/land/ad/5797421372?se=2lyTYKR-8RGx_pHdrNGfmQ&utm_medium=api&utm_source=a4bcf954&v=BF64957ED79E6CF279CE26BB88150CAFBB09DB51,Adzuna::API::Response::Job,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",48.720071,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5NzQyMTM3MiIsInMiOiIybHlUWUtSLThSR3hfcEhkck5HZm1RIn0.NXjZPRHsRBFuMROU4evre9s6zqjdCoBFNUr_VSwRRLE,2026-07-12T01:31:06Z,0,"{'display_name': 'Sindelfingen, Böblingen (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Böblingen (Kreis)', 'Sindelfingen']}",Werksstudent*in Data Science - Emissionsdaten,"{'display_name': 'Mercedes-Benz AG', '__CLASS__': 'Adzuna::API::Response::Company'}",9.026231,,,,
"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",5792832146,https://www.adzuna.de/land/ad/5792832146?se=2lyTYKR-8RGx_pHdrNGfmQ&utm_medium=api&utm_source=a4bcf954&v=A8FD1691BED0E1CFCB330DF26E7FFA0D958FF932,Adzuna::API::Response::Job,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,49.001249,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMmx5VFlLUi04Ukd4X3BIZHJOR2ZtUSIsImkiOiI1NzkyODMyMTQ2In0.zHKNGI-hOdrxouu7UXmzvqq2rPJpF6rC-y4Ap_z2Zdw,2026-07-08T18:25:46Z,0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Karlsruhe, Karlsruhe (Kreis)'}",Duales Studium Data Science & Künstliche Intelligenz B.Sc.,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Atruvia AG'}",8.412378,,,,
"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",5791115834,https://www.adzuna.de/land/ad/5791115834?se=2lyTYKR-8RGx_pHdrNGfmQ&utm_medium=api&utm_source=a4bcf954&v=0A88F3F744A75FD0A67FF949452551D1BC3B243B,Adzuna::API::Response::Job,"Jedes Werkzeug kann immer nur so gut sein wie der Mensch, der dahintersteckt. Deshalb suchen wir bei der Festool Group Mitarbeitende, die gemeinsam mit ihren 3.000 Kolleginnen und Kollegen weltweit etwas bewegen wollen. Tauche ein in unsere Welt - und erlebe, wie stolz es macht, in einem Familienunternehmen die besten Elektrowerkzeuge der Welt zu bauen. Aufgaben Technik und Wirtschaft gehören für dich zusammen? Du begeisterst dich für Informationstechnologien ebenso wie für ökonomische Zusammen…",48.67129,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MTExNTgzNCIsInMiOiIybHlUWUtSLThSR3hfcEhkck5HZm1RIn0.9AE5NmfOL5FBki8zg8qMhD5N-5OZ4CNbkw6IounfqpY,2026-07-07T17:13:42Z,0,"{'display_name': 'Wendlingen am Neckar, Esslingen (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Wendlingen am Neckar'], '__CLASS__': 'Adzuna::API::Response::Location'}",Duales Studium: Wirtschaftsinformatik - Data Science (m/w/d) 2027,"{'display_name': 'Festool Group', '__CLASS__': 'Adzuna::API::Response::Company'}",9.37738,,,,
"{'label': 'Stellen aus Wissenschaft & Qualitätssicherung', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs'}",5783303939,https://www.adzuna.de/land/ad/5783303939?se=2lyTYKR-8RGx_pHdrNGfmQ&utm_medium=api&utm_source=a4bcf954&v=BCE6104A273AA83C09F059F788C1FFC992DA4BA5,Adzuna::API::Response::Job,"Aufgaben Profil Wir bieten Hinweis: Dieser Studiengang wird als Studium mit vertiefter Praxis angeboten. Du liebst es, Ursachen für Probleme zu entdecken und Lösungen zu finden und möchtest an Zukunftsthemen arbeiten? Du hast eine Leidenschaft für IT und Digitalisierung? Dann ist dieses Studium genau das Richtige für dich. Denn du bist Expert:in dafür, riesige Datenmengen zu bändigen und daraus Vorhersagen abzuleiten. Egal ob Entwicklungsdaten oder Daten unserer Kund:innen, du weißt wo du die r…",48.62848,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MzMwMzkzOSIsInMiOiIybHlUWUtSLThSR3hfcEhkck5HZm1RIn0.G4wb15eZ_Ur2QXbjOp8diAZQedoSddG0-Eutb02joX0,2026-07-01T10:25:09Z,0,"{'display_name': 'Dingolfing, Dingolfing-Landau (Kreis)', 'area': ['Deutschland', 'Bayern', 'Dingolfing-Landau (Kreis)', 'Dingolfing'], '__CLASS__': 'Adzuna::API::Response::Location'}",Dualer Student Data Science & Scientific Computing (w/m/x),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'BMW Group'}",12.49782,,,,
"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",5783303937,https://www.adzuna.de/land/ad/5783303937?se=2lyTYKR-8RGx_pHdrNGfmQ&utm_medium=api&utm_source=a4bcf954&v=5BDCB38395F6AB03040EEB2D567284B76FEF8C5C,Adzuna::API::Response::Job,"Aufgaben Profil Wir bieten Hinweis: Dieser Studiengang wird als Studium mit vertiefter Praxis angeboten. Du liebst es, Ursachen für Probleme zu entdecken und Lösungen zu finden und möchtest an Zukunftsthemen arbeiten? Du hast eine Leidenschaft für IT und Digitalisierung? Dann ist dieses Studium genau das Richtige für dich. Denn du bist Expert:in dafür, riesige Datenmengen zu bändigen und daraus Vorhersagen abzuleiten. Egal ob Entwicklungsdaten oder Daten unserer Kund:innen, du weißt wo du die r…",48.137418,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMmx5VFlLUi04Ukd4X3BIZHJOR2ZtUSIsImkiOiI1NzgzMzAzOTM3In0.UbvmhvrNKeTEla2Pe1zF7TynKk8dY_vtbSpLeq0NNuk,2026-07-01T10:25:09Z,0,"{'display_name': 'München, München (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München']}",Dualer Student Data Science & Scientific Computing (w/m/x),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'BMW Group'}",11.555737,,,,
"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",5733974483,https://www.adzuna.de/land/ad/5733974483?se=2lyTYKR-8RGx_pHdrNGfmQ&utm_medium=api&utm_source=a4bcf954&v=C44063A8613D3152F32376D2CD101CAF5781FF26,Adzuna::API::Response::Job,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",49.18975,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzk3NDQ4MyIsInMiOiIybHlUWUtSLThSR3hfcEhkck5HZm1RIn0.ri7YeLScAyKPJG2rlqD7b_MH1nCr4wGPqVrebygsH_g,2026-05-19T13:53:54Z,0,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location'}",Duales Studium Data Science und KI - Smart Operations Management 2027,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",9.2274,,,,
"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",5785691597,https://www.adzuna.de/land/ad/5785691597?se=2lyTYKR-8RGx_pHdrNGfmQ&utm_medium=api&utm_source=a4bcf954&v=E7E6105B8657F51A8D4062F37021188A09433F72,Adzuna::API::Response::Job,"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. {Studienbeginn:} 01.09.2027 mit dem Begrüßungsmonat {Studiendauer:} 3 Jahre {Studiendauer:} 01.10…",49.2291,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMmx5VFlLUi04Ukd4X3BIZHJOR2ZtUSIsImkiOiI1Nzg1NjkxNTk3In0.kVidgiaAnWxXsCkJGu9Y9uSW2KHE_yzugoarpzfBRxk,2026-07-02T19:37:57Z,0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Bad Friedrichshall'], 'display_name': 'Bad Friedrichshall, Heilbronn (Kreis)'}",Duales Studium Data Science und Künstliche Intelligenz 2027 (m/w/d),"{'display_name': 'Schwarz Digits', '__CLASS__': 'Adzuna::API::Response::Company'}",9.21629,,,,
"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",5781114965,https://www.adzuna.de/land/ad/5781114965?se=2lyTYKR-8RGx_pHdrNGfmQ&utm_medium=api&utm_source=a4bcf954&v=93D04A331B1215855A8655E0390591686B2673A7,Adzuna::API::Response::Job,Die Ruhr-Universität Bochum (RUB) ist eine der führenden Forschungs­universitäten in Deutschland. Als reform­orientierte Campus­universität vereint sie in einzig­artiger Weise die gesamte Spann­breite der großen Wissenschafts­bereiche an einem Ort. Das dynamische Mit­einander von Fächern und Fächer­kulturen bietet den Forschenden wie den Studierenden gleicher­maßen besondere Chancen zur inter­disziplinären Zusammen­arbeit. Medizinische Fakultät: Medical Research Services Medizinisches Dateninte…,51.476986,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MTExNDk2NSIsInMiOiIybHlUWUtSLThSR3hfcEhkck5HZm1RIn0.oJtsW1-nVW2kskACyYE2j01WLCbslQliBZUIh9MpDK8,2026-06-29T13:25:36Z,0,"{'display_name': 'Bochum, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bochum'], '__CLASS__': 'Adzuna::API::Response::Location'}",Leitung Datenintegrationszentrum (DIZ) / Medical Data Science (m/w/d),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Ruhr-Universität Bochum'}",7.211571,,,,
"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",5782380629,https://www.adzuna.de/land/ad/5782380629?se=2lyTYKR-8RGx_pHdrNGfmQ&utm_medium=api&utm_source=a4bcf954&v=F340A0D115EAF64737B8B630F823B3017AD3F9D9,Adzuna::API::Response::Job,"Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…",48.78408,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MjM4MDYyOSIsInMiOiIybHlUWUtSLThSR3hfcEhkck5HZm1RIn0.Ja3E1qM9or0EfazsHBfa-d3P0oJDC_279IUeoBoEj9w,2026-06-30T22:28:57Z,0,"{'display_name': 'Oberkochen, Ostalbkreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], '__CLASS__': 'Adzuna::API::Response::Location'}",Abschlussarbeit Data Science / Mechanikdesign (m/w/x),"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",10.10558,,,,
