longitude,category,adref,company,salary_is_predicted,location,redirect_url,latitude,id,created,description,title,__CLASS__,contract_time,salary_min,salary_max,contract_type
9.026231,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS29WaUJTR0U4Ukc2NGJwbS02Qnc2dyIsImkiOiI1Nzk3NDIxMzcyIn0.UjYQ-VMiCM2DP95AeYYkIzaHu92yhLS6FrNv3C_LZlw,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Mercedes-Benz AG'}",0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Böblingen (Kreis)', 'Sindelfingen'], 'display_name': 'Sindelfingen, Böblingen (Kreis)'}",https://www.adzuna.de/land/ad/5797421372?se=KoViBSGE8RG64bpm-6Bw6w&utm_medium=api&utm_source=a4bcf954&v=BF64957ED79E6CF279CE26BB88150CAFBB09DB51,48.720071,5797421372,2026-07-12T01:31:06Z,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",Werksstudent*in Data Science - Emissionsdaten,Adzuna::API::Response::Job,,,,
8.412378,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwMjY0ODQwNiIsInMiOiJLb1ZpQlNHRThSRzY0YnBtLTZCdzZ3In0.2vjdh__u34LkEMZmfz_i9RREkKV5UPgEwuzTgSwKPac,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Atruvia AG'}",0,"{'display_name': 'Karlsruhe, Karlsruhe (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe'], '__CLASS__': 'Adzuna::API::Response::Location'}",https://www.adzuna.de/land/ad/5802648406?se=KoViBSGE8RG64bpm-6Bw6w&utm_medium=api&utm_source=a4bcf954&v=978287067F98204CEF73B60A2279E1F8018596FB,49.001249,5802648406,2026-07-16T11:16:39Z,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,Duales Studium Data Science & Künstliche Intelligenz B.Sc.,Adzuna::API::Response::Job,,,,
8.28354,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5ODk0MTYyNSIsInMiOiJLb1ZpQlNHRThSRzY0YnBtLTZCdzZ3In0.Gzk6eiK5K8mnlvH96sJLNjgyY92ZIYFAl7PafeIVUXk,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Isabellenhütte Heusler GmbH & Co. KG'}",0,"{'display_name': 'Dillenburg, Lahn-Dill-Kreis', 'area': ['Deutschland', 'Hessen', 'Lahn-Dill-Kreis', 'Dillenburg'], '__CLASS__': 'Adzuna::API::Response::Location'}",https://www.adzuna.de/land/ad/5798941625?se=KoViBSGE8RG64bpm-6Bw6w&utm_medium=api&utm_source=a4bcf954&v=650AEE66A7914EE4CFFAE820B7417CB40B915E64,50.74053,5798941625,2026-07-13T18:50:16Z,"Die Isabellenhütte ist ein international agierendes, familiengeführtes Unternehmen mit einer einzigartigen Fertigungstiefe. Wir vereinen unsere Tradition mit dem unbedingten Willen, Zukunftsmärkte aktiv mitzugestalten. Dies macht uns zu einem 500 Jahre jungen Start Up. Bei uns ist jeder im Team willkommen, der die Leidenschaft für zukunftsweisende Technologien mit uns teilt. Wir sind nicht nur in fast jedem Fahrzeug weltweit vertreten, sondern unsere Produkte finden sich auch in der Luft- und R…",Duales Studium Softwaretechnologie - Data Science 2027 (m/w/d),Adzuna::API::Response::Job,,,,
9.37738,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5MTExNTgzNCIsInMiOiJLb1ZpQlNHRThSRzY0YnBtLTZCdzZ3In0.6i7LcPGI_UInwV3kwA-Y98d5xaSyti8Syy5bcwDECI8,"{'display_name': 'Festool Group', '__CLASS__': 'Adzuna::API::Response::Company'}",0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Esslingen (Kreis)', 'Wendlingen am Neckar'], 'display_name': 'Wendlingen am Neckar, Esslingen (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",https://www.adzuna.de/land/ad/5791115834?se=KoViBSGE8RG64bpm-6Bw6w&utm_medium=api&utm_source=a4bcf954&v=0A88F3F744A75FD0A67FF949452551D1BC3B243B,48.67129,5791115834,2026-07-07T17:13:42Z,"Jedes Werkzeug kann immer nur so gut sein wie der Mensch, der dahintersteckt. Deshalb suchen wir bei der Festool Group Mitarbeitende, die gemeinsam mit ihren 3.000 Kolleginnen und Kollegen weltweit etwas bewegen wollen. Tauche ein in unsere Welt - und erlebe, wie stolz es macht, in einem Familienunternehmen die besten Elektrowerkzeuge der Welt zu bauen. Aufgaben Technik und Wirtschaft gehören für dich zusammen? Du begeisterst dich für Informationstechnologien ebenso wie für ökonomische Zusammen…",Duales Studium: Wirtschaftsinformatik - Data Science (m/w/d) 2027,Adzuna::API::Response::Job,,,,
10.96603,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgwNzA4ODk2NCIsInMiOiJLb1ZpQlNHRThSRzY0YnBtLTZCdzZ3In0.XnrBB2X-cnOsSGALMlTRt0YPMVt3dhbwuI99OgPJpD8,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'HUK-COBURG Versicherungsgruppe'}",0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'Coburg (Kreis)', 'Coburg'], 'display_name': 'Coburg, Coburg (Kreis)'}",https://www.adzuna.de/land/ad/5807088964?se=KoViBSGE8RG64bpm-6Bw6w&utm_medium=api&utm_source=a4bcf954&v=46BE1E14428D835DA75BA42B77F1FDC694F8140A,50.25777,5807088964,2026-07-19T12:17:08Z,"Hallo, lass uns WIR sagen! Wir - die HUK-COBURG Versicherungsgruppe - zählen zu den 10 größten in Deutschland. Vor über 90 Jahren gegründet sind wir mit über 13 Millionen Kund:innen heute der große Versicherer für Privathaushalte und der größte deutsche Autoversicherer. Dass wir oft preisgünstiger sind als andere Versicherungen, hat bei uns schon Tradition. Genau wie unser Ruf als Arbeitgeberin, mit der DU wachsen und deine persönlichen Ziele erreichen kannst. Bei uns kannst du eine spannende K…",Spezialist für Steuerungs- und Controllingsysteme - Schwerpunkt Data Science (w/m/d),Adzuna::API::Response::Job,,,,
9.21629,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTY5MTU5NyIsInMiOiJLb1ZpQlNHRThSRzY0YnBtLTZCdzZ3In0.sxgdAL7zQKjwkHsHdUU0PPyi7Cpr2u3n_3jeSk0E1Tg,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Schwarz Digits'}",0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Bad Friedrichshall, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Bad Friedrichshall']}",https://www.adzuna.de/land/ad/5785691597?se=KoViBSGE8RG64bpm-6Bw6w&utm_medium=api&utm_source=a4bcf954&v=E7E6105B8657F51A8D4062F37021188A09433F72,49.2291,5785691597,2026-07-02T19:37:57Z,"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. {Studienbeginn:} 01.09.2027 mit dem Begrüßungsmonat {Studiendauer:} 3 Jahre {Studiendauer:} 01.10…",Duales Studium Data Science und Künstliche Intelligenz 2027 (m/w/d),Adzuna::API::Response::Job,,,,
8.696891,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS29WaUJTR0U4Ukc2NGJwbS02Qnc2dyIsImkiOiI1ODAwODYyNTYwIn0.Xoad-Ha8VccMFZyRot6G3d4uVpcS7sIj2OsoXdfW3O8,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Springer-Verlag GmbH'}",0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heidelberg'], 'display_name': 'Heidelberg, Baden-Württemberg'}",https://www.adzuna.de/land/ad/5800862560?se=KoViBSGE8RG64bpm-6Bw6w&utm_medium=api&utm_source=a4bcf954&v=FC7E79CCCA46386DBDEECC43D948D5BCCE4A8CB2,49.403755,5800862560,2026-07-15T09:26:58Z,"Springer Nature öffnet Türen zu Entdeckungen. Seit mehr als 180 Jahren sind unsere Marken zuverlässige Wissensquellen für Wissenschaftler*innen, Lehrer*innen, Mediziner*innen und andere Fachkräfte. Mit unseren Büchern, wissenschaftlichen Zeitschriften, Plattformen und technologischen Lösungen erreichen wir jeden Tag weltweit Millionen von Menschen. Aufgaben Als Duale*r Student*in bei der Springer-Verlag GmbH am Standort Heidelberg wirst Du als Teil unseres HR Systems Teams an der Schnittstelle …",Duale*r Student*in Data Science & KI in Kooperation mit der DHBW Mannheim,Adzuna::API::Response::Job,,,,
7.211571,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MTExNDk2NSIsInMiOiJLb1ZpQlNHRThSRzY0YnBtLTZCdzZ3In0.haY0aZMY9iRFWp7-OJyJBekkEqXei-XW2FaW5Mu2My8,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Ruhr-Universität Bochum'}",0,"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Bochum'], 'display_name': 'Bochum, Nordrhein-Westfalen', '__CLASS__': 'Adzuna::API::Response::Location'}",https://www.adzuna.de/land/ad/5781114965?se=KoViBSGE8RG64bpm-6Bw6w&utm_medium=api&utm_source=a4bcf954&v=93D04A331B1215855A8655E0390591686B2673A7,51.476986,5781114965,2026-06-29T13:25:36Z,Die Ruhr-Universität Bochum (RUB) ist eine der führenden Forschungs­universitäten in Deutschland. Als reform­orientierte Campus­universität vereint sie in einzig­artiger Weise die gesamte Spann­breite der großen Wissenschafts­bereiche an einem Ort. Das dynamische Mit­einander von Fächern und Fächer­kulturen bietet den Forschenden wie den Studierenden gleicher­maßen besondere Chancen zur inter­disziplinären Zusammen­arbeit. Medizinische Fakultät: Medical Research Services Medizinisches Dateninte…,Leitung Datenintegrationszentrum (DIZ) / Medical Data Science (m/w/d),Adzuna::API::Response::Job,,,,
10.10558,"{'label': 'Sonstige/Allgemeine Stellen', 'tag': 'other-general-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MjM4MDYyOSIsInMiOiJLb1ZpQlNHRThSRzY0YnBtLTZCdzZ3In0.pk9yhRAZMBmWdtlt_PMoBVYqNGKlRXWrI7vzLwxYEDw,"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",0,"{'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], 'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location'}",https://www.adzuna.de/land/ad/5782380629?se=KoViBSGE8RG64bpm-6Bw6w&utm_medium=api&utm_source=a4bcf954&v=F340A0D115EAF64737B8B630F823B3017AD3F9D9,48.78408,5782380629,2026-06-30T22:28:57Z,"Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…",Abschlussarbeit Data Science / Mechanikdesign (m/w/x),Adzuna::API::Response::Job,,,,
10.10558,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiS29WaUJTR0U4Ukc2NGJwbS02Qnc2dyIsImkiOiI1NzkwOTgyMzU0In0.kc3ZwCpTWaIpHklYy7iM4KnET1Uy1YV2jEVE6b8IpsQ,"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",0,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], 'display_name': 'Oberkochen, Ostalbkreis'}",https://www.adzuna.de/land/ad/5790982354?se=KoViBSGE8RG64bpm-6Bw6w&utm_medium=api&utm_source=a4bcf954&v=67FF04F7F2EE835A97EC22B52DAB8E0ADBC19DFF,48.78408,5790982354,2026-07-07T15:13:53Z,"Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …","Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2027",Adzuna::API::Response::Job,,,,
