created,title,description,salary_is_predicted,longitude,category,latitude,redirect_url,location,id,__CLASS__,adref,company,contract_time,salary_max,salary_min,contract_type
2026-05-18T19:45:18Z,Duales Studium Wirtschaftsinformatik - Data Science 2027,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",0,9.2274,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",49.18975,https://www.adzuna.de/land/ad/5733288662?se=DFypJKeJ8RGy-dwpXG4wwQ&utm_medium=api&utm_source=a4bcf954&v=366DE9802B50CE4713055921F48A779825AE62E1,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location'}",5733288662,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREZ5cEpLZUo4Ukd5LWR3cFhHNHd3USIsImkiOiI1NzMzMjg4NjYyIn0.taVhg7ZcVIuPkkayod1gTYbFXg14zStuMdqbWpfK7QI,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",,,,
2026-07-20T15:32:54Z,DHBW Studium - Data Science und Künstliche Intelligenz (B.Sc.),Die Liebherr-Werk Ehingen GmbH zählt zu den weltweit führenden Herstellern von Fahrzeugkranen. Das Programm umfasst Teleskop- und Gittermastkrane auf Mobil- und Raupenfahrwerken. Seit der Gründung wurde die Produktionsstätte und ihre Kapazität kontinuierlich erweitert. Heute werden täglich sechs Fahrzeugkrane aus Ehingen in die ganze Welt geliefert. DHBW Studium - Data Science und Künstliche Intelligenz (B.Sc.) Job-ID 83588 Aufgaben Mitarbeit an innovativen Projekten im Bereich Data Science und…,0,10.53811,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",49.08598,https://www.adzuna.de/land/ad/5808151947?se=DFypJKeJ8RGy-dwpXG4wwQ&utm_medium=api&utm_source=a4bcf954&v=79FB669341B0957C8EB9F12E17B3015DE4F4E158,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'Ansbach (Kreis)', 'Ehingen'], 'display_name': 'Ehingen, Ansbach (Kreis)'}",5808151947,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREZ5cEpLZUo4Ukd5LWR3cFhHNHd3USIsImkiOiI1ODA4MTUxOTQ3In0.8Py3dUne3Djd3kbpyDLrzx2cwvP3yR5DNyRQGIaV3z4,"{'display_name': 'Liebherr-Werk Ehingen GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",,,,
2026-05-19T13:53:54Z,Duales Studium Data Science und KI - Smart Operations Management 2027,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …",0,9.2274,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",49.18975,https://www.adzuna.de/land/ad/5733974483?se=DFypJKeJ8RGy-dwpXG4wwQ&utm_medium=api&utm_source=a4bcf954&v=C44063A8613D3152F32376D2CD101CAF5781FF26,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location'}",5733974483,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREZ5cEpLZUo4Ukd5LWR3cFhHNHd3USIsImkiOiI1NzMzOTc0NDgzIn0.wQ8muDEsPxutAhom76K-pEsD2mh5wgee8jyWiyrvmR8,"{'display_name': 'Lidl Stiftung & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",,,,
2026-07-18T13:42:25Z,Masterarbeit im Bereich Data Science / Machine Learning im Spritzguss (w/m/d),"„We will wow your world!” Das ist unser Versprechen, wenn es um Arbeiten bei Freudenberg geht. Als globaler Technologiekonzern machen wir die Welt nicht nur sauberer, gesünder und komfortabler, sondern bieten unseren 52.000 Mitarbeitenden auch ein vernetztes und vielfältiges Arbeitsumfeld, in dem sich alle individuell entfalten können. Lassen Sie sich überraschen und erleben Sie Ihre eigenen „Wow”-Momente. Gemeinsam mit Partnern, Kunden und der Wissenschaft entwickeln wir technisch führende Pro…",0,8.66573,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",49.55214,https://www.adzuna.de/land/ad/5806120186?se=DFypJKeJ8RGy-dwpXG4wwQ&utm_medium=api&utm_source=a4bcf954&v=B79B811F508D75DABDB866F43748B056D706395F,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Weinheim, Rhein-Neckar-Kreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Rhein-Neckar-Kreis', 'Weinheim']}",5806120186,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREZ5cEpLZUo4Ukd5LWR3cFhHNHd3USIsImkiOiI1ODA2MTIwMTg2In0.JL2RoD77lgk1aT8sI75V0gVj_TukgSCL_X44MGUPgas,"{'display_name': 'Freudenberg Technology Innovation SE & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",,,,
2026-07-02T19:37:57Z,Duales Studium Data Science und Künstliche Intelligenz 2027 (m/w/d),"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. {Studienbeginn:} 01.09.2027 mit dem Begrüßungsmonat {Studiendauer:} 3 Jahre {Studiendauer:} 01.10…",0,9.21629,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",49.2291,https://www.adzuna.de/land/ad/5785691597?se=DFypJKeJ8RGy-dwpXG4wwQ&utm_medium=api&utm_source=a4bcf954&v=E7E6105B8657F51A8D4062F37021188A09433F72,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Bad Friedrichshall, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Bad Friedrichshall']}",5785691597,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTY5MTU5NyIsInMiOiJERnlwSktlSjhSR3ktZHdwWEc0d3dRIn0.3LfA_9xw1EIW9EUwjk5ioqc50thrqBSIw4emMoEV77U,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Schwarz Digits'}",,,,
2026-07-26T11:33:30Z,Duales Studium (DHBW) - Data Science und künstliche Intelligenz (d/m/w) 2027,"Du bist technikbegeistert und voller Ideen, mit denen Du die Welt bewegen willst? Dann ist eine Ausbildung oder ein duales Studium bei Schaeffler genau das Richtige für Dich. Ohne unsere Produkte könnten Autos nicht fahren, Maschinen nicht laufen und Flugzeuge nicht fliegen. Als führender Anbieter von Wälzlagern für sämtliche Industrien und wichtiger Partner im internationalen Automobilbau bietet Dir Schaeffler ein hervorragendes Umfeld für Deinen Start in die Berufswelt. Aufgaben Im Überblick …",0,10.88109,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",49.56892,https://www.adzuna.de/land/ad/5816396546?se=DFypJKeJ8RGy-dwpXG4wwQ&utm_medium=api&utm_source=a4bcf954&v=D30BC49D4823562419822DFB62EC6EAEBD51C436,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Herzogenaurach, Erlangen-Höchstadt (Kreis)', 'area': ['Deutschland', 'Bayern', 'Erlangen-Höchstadt (Kreis)', 'Herzogenaurach']}",5816396546,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxNjM5NjU0NiIsInMiOiJERnlwSktlSjhSR3ktZHdwWEc0d3dRIn0.33plXP2EnfZcTdnX5xUK2El_hPGl0L3c8MPc_nM0Ug0,"{'display_name': 'Schaeffler Technologies AG & Co. KG', '__CLASS__': 'Adzuna::API::Response::Company'}",,,,
2026-07-07T15:13:53Z,"Duales Studium – Data Science und Künstliche Intelligenz (m/w/x), Beginn Herbst 2027","Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu definieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen ein Zeichen zu setzen und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierende Menschen. In einem offenen und modernen Umfeld mit zahlreichen Entwicklungs- und Weiterbildungsmöglichkeiten, arbeiten die Mitarbeitenden bei ZEISS in einer …",0,10.10558,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",48.78408,https://www.adzuna.de/land/ad/5790982354?se=DFypJKeJ8RGy-dwpXG4wwQ&utm_medium=api&utm_source=a4bcf954&v=67FF04F7F2EE835A97EC22B52DAB8E0ADBC19DFF,"{'display_name': 'Oberkochen, Ostalbkreis', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], '__CLASS__': 'Adzuna::API::Response::Location'}",5790982354,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREZ5cEpLZUo4Ukd5LWR3cFhHNHd3USIsImkiOiI1NzkwOTgyMzU0In0.zgl-zKMg6uihDHOYnu-L8SNcZAHk74ajiqpTVA5tvkU,"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",,,,
2026-07-03T16:50:57Z,"Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Ulm, Start 2027","HENSOLDT ist ein führendes Unternehmen der europäischen Verteidigungsindustrie mit globaler Reichweite. Das Unternehmen mit Sitz in Taufkirchen bei München entwickelt Sensor-Komplettlösungen für Verteidigungs- und Sicherheitsanwendungen. Als Technologieführer treibt HENSOLDT die Entwicklung der Verteidigungselektronik und Optronik voran und baut sein Portfolio auf der Grundlage innovativer Ansätze für Datenmanagement, Robotik und Cybersicherheit kontinuierlich aus. Unsere Produkte sind einsetzb…",0,9.856945,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",48.383137,https://www.adzuna.de/land/ad/5786942953?se=DFypJKeJ8RGy-dwpXG4wwQ&utm_medium=api&utm_source=a4bcf954&v=00666AD07F83A2F025A13851A4AD8EC6B56AE2A4,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Ulm, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Ulm']}",5786942953,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREZ5cEpLZUo4Ukd5LWR3cFhHNHd3USIsImkiOiI1Nzg2OTQyOTUzIn0.f42YKaUPNtM2a4QlR2NCIsowOxjveVtFydWVDZHjvTQ,"{'display_name': 'HENSOLDT', '__CLASS__': 'Adzuna::API::Response::Company'}",,,,
2026-07-21T19:12:48Z,Werksstudent*in Data Science - Emissionsdaten,"Life is always about becoming… Im Leben geht es darum, sich auf eine Reise zu begeben, um die beste Version unseres zukünftigen Selbst zu werden. Während wir Neues entdecken, stellen wir uns Herausforderungen, meistern sie und wachsen über uns hinaus. Bewerben Sie sich bei Mercedes-Benz und finden Sie den Aufgabenbereich, in dem Sie Ihre Talente individuell entfalten können. Dabei werden Sie von visionären Kolleginnen und Kollegen unterstützt, die Ihren Pioniergeist teilen. Bei uns einzusteigen…",0,9.026231,"{'label': 'Sonstige/Allgemeine Stellen', 'tag': 'other-general-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",48.720071,https://www.adzuna.de/land/ad/5809583437?se=DFypJKeJ8RGy-dwpXG4wwQ&utm_medium=api&utm_source=a4bcf954&v=1D10AA0B139CDA31651D0D61ECB9D53BE9775575,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Böblingen (Kreis)', 'Sindelfingen'], 'display_name': 'Sindelfingen, Böblingen (Kreis)'}",5809583437,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREZ5cEpLZUo4Ukd5LWR3cFhHNHd3USIsImkiOiI1ODA5NTgzNDM3In0.V3X7Z5xUjLmiQzu0dQfWBhCK-gx2HoANVMHWSlrCkog,"{'display_name': 'Mercedes-Benz AG', '__CLASS__': 'Adzuna::API::Response::Company'}",,,,
2026-07-24T21:41:05Z,Duales Studium Data Science & Künstliche Intelligenz B.Sc.,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,0,8.412378,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",49.001249,https://www.adzuna.de/land/ad/5814248930?se=DFypJKeJ8RGy-dwpXG4wwQ&utm_medium=api&utm_source=a4bcf954&v=E01D58E53D23F65C70C83406928E6A0E117A74CA,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Karlsruhe, Karlsruhe (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe']}",5814248930,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREZ5cEpLZUo4Ukd5LWR3cFhHNHd3USIsImkiOiI1ODE0MjQ4OTMwIn0.20kfdl2q75M9AAlgXjDj2Q6b5N4SuFXG4mmX3Ekj32M,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Atruvia AG'}",,,,
