adref,id,redirect_url,location,description,company,created,salary_is_predicted,latitude,title,category,longitude,__CLASS__,contract_time,salary_min,salary_max,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQ3F2V3RwU1U4Ukc3ZXU0V2ZGYlh3QSIsImkiOiI1NzMzMjg4NjYyIn0.AGVuB6U0eH-pUsmSW_DMdBqQxIRC8uOvb5YTCWDVs-k,5733288662,https://www.adzuna.de/land/ad/5733288662?se=CqvWtpSU8RG7eu4WfFbXwA&utm_medium=api&utm_source=a4bcf954&v=366DE9802B50CE4713055921F48A779825AE62E1,"{'display_name': 'Neckarsulm, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm']}","Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",2026-05-18T19:45:18Z,0,49.18975,Duales Studium Wirtschaftsinformatik - Data Science 2027,"{'tag': 'unknown', 'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",9.2274,Adzuna::API::Response::Job,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQ3F2V3RwU1U4Ukc3ZXU0V2ZGYlh3QSIsImkiOiI1ODIzODgwMjIyIn0.wq3569GeniYE6WbUw5ZwNYmi4fAtmpDAIjNZZ9bqB5g,5823880222,https://www.adzuna.de/land/ad/5823880222?se=CqvWtpSU8RG7eu4WfFbXwA&utm_medium=api&utm_source=a4bcf954&v=0DA43476A6E2E2613DA11F87BA2429BC69BB4D78,"{'area': ['Deutschland', 'Bayern', 'München (Kreis)', 'München'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'München, München (Kreis)'}","Aufgaben Profil Wir bieten Hinweis: Dieser Studiengang wird als Studium mit vertiefter Praxis angeboten. Du liebst es, Ursachen für Probleme zu entdecken und Lösungen zu finden und möchtest an Zukunftsthemen arbeiten? Du hast eine Leidenschaft für IT und Digitalisierung? Dann ist dieses Studium genau das Richtige für dich. Denn du bist Expert:in dafür, riesige Datenmengen zu bändigen und daraus Vorhersagen abzuleiten. Egal ob Entwicklungsdaten oder Daten unserer Kund:innen, du weißt wo du die r…","{'display_name': 'BMW Group', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-08-01T13:07:12Z,0,48.137418,Dualer Student Data Science & Scientific Computing (w/m/x),"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs', 'label': 'Stellen aus Wissenschaft & Qualitätssicherung'}",11.555737,Adzuna::API::Response::Job,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMzk3NDQ4MyIsInMiOiJDcXZXdHBTVThSRzdldTRXZkZiWHdBIn0.DVKKwt1YLHt17VHna9v2uspELtPPFosk_1RMI-29UwM,5733974483,https://www.adzuna.de/land/ad/5733974483?se=CqvWtpSU8RG7eu4WfFbXwA&utm_medium=api&utm_source=a4bcf954&v=C44063A8613D3152F32376D2CD101CAF5781FF26,"{'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Neckarsulm'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Neckarsulm, Heilbronn (Kreis)'}","Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen …","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Lidl Stiftung & Co. KG'}",2026-05-19T13:53:54Z,0,49.18975,Duales Studium Data Science und KI - Smart Operations Management 2027,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",9.2274,Adzuna::API::Response::Job,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzMDc0ODgyNSIsInMiOiJDcXZXdHBTVThSRzdldTRXZkZiWHdBIn0.I8GneJ9VbEi_tyeTBds_HUDouzaMtfTJEMdpp3XaenA,5830748825,https://www.adzuna.de/land/ad/5830748825?se=CqvWtpSU8RG7eu4WfFbXwA&utm_medium=api&utm_source=a4bcf954&v=9A632DEE423B445C6A2596BA2EC989F1AD07F063,"{'area': ['Deutschland', 'Bayern', 'Coburg (Kreis)', 'Coburg'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Coburg, Coburg (Kreis)'}","Hallo, lass uns WIR sagen! Wir - die HUK-COBURG Versicherungsgruppe - zählen zu den 10 größten in Deutschland. Vor über 90 Jahren gegründet sind wir mit über 13 Millionen Kund:innen heute der große Versicherer für Privathaushalte und der größte deutsche Autoversicherer. Dass wir oft preisgünstiger sind als andere Versicherungen, hat bei uns schon Tradition. Genau wie unser Ruf als Arbeitgeberin, mit der DU wachsen und deine persönlichen Ziele erreichen kannst. Bei uns kannst du eine spannende K…","{'display_name': 'HUK-COBURG Versicherungsgruppe', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-08-06T17:44:59Z,0,50.25777,Spezialist für Steuerungs- und Controllingsysteme - Schwerpunkt Data Science (w/m/d),"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",10.96603,Adzuna::API::Response::Job,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQ3F2V3RwU1U4Ukc3ZXU0V2ZGYlh3QSIsImkiOiI1ODMzNzg2MTUyIn0.pTXCObeLO7aYYw_0h9nM1OglnDEg3zSORbL7fqYRSUA,5833786152,https://www.adzuna.de/land/ad/5833786152?se=CqvWtpSU8RG7eu4WfFbXwA&utm_medium=api&utm_source=a4bcf954&v=09CB4996991B9A92F1A2289FE7BC6285E9449926,"{'display_name': 'Ludwigsburg, Ludwigsburg (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ludwigsburg (Kreis)', 'Ludwigsburg']}","Seit über 180 Jahren unterstützen wir Unternehmen weltweit dabei, Arbeitsprozesse einfacher, effizienter und zukunftssicher zu gestalten. Mit Niederlassungen in über 40 Ländern und Kunden in mehr als 180 Märkten sind wir ein globaler Partner für Fachwissen und Technologie. Unsere Lösungen verbinden tiefgehendes Know-how mit innovativen Technologien – inklusive moderner KI-Funktionen – und helfen unseren Kunden, ihre größten Herausforderungen erfolgreich zu meistern. Mehr als 21.000 Kolleginnen …","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Wolters Kluwer Tax & Accounting Deutschland GmbH'}",2026-08-08T19:46:46Z,0,48.876425,Duales Studium Bachelor der Wirtschaftsinformatik - Data Science (m/w/d),"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",9.198334,Adzuna::API::Response::Job,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzMDUxNTkwMyIsInMiOiJDcXZXdHBTVThSRzdldTRXZkZiWHdBIn0.keJei91xXAQoZ976bZFb47-ui1aNdC7igzKUwXUnWsY,5830515903,https://www.adzuna.de/land/ad/5830515903?se=CqvWtpSU8RG7eu4WfFbXwA&utm_medium=api&utm_source=a4bcf954&v=1461466B5BE98CD304C80FA6F29BDE7B8A89B838,"{'display_name': 'Ehingen, Ansbach (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'Ansbach (Kreis)', 'Ehingen']}",Die Liebherr-Werk Ehingen GmbH zählt zu den weltweit führenden Herstellern von Fahrzeugkranen. Das Programm umfasst Teleskop- und Gittermastkrane auf Mobil- und Raupenfahrwerken. Seit der Gründung wurde die Produktionsstätte und ihre Kapazität kontinuierlich erweitert. Heute werden täglich sechs Fahrzeugkrane aus Ehingen in die ganze Welt geliefert. DHBW Studium - Data Science und Künstliche Intelligenz (B.Sc.) Job-ID 83588 Aufgaben Mitarbeit an innovativen Projekten im Bereich Data Science und…,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Liebherr-Werk Ehingen GmbH'}",2026-08-06T15:53:57Z,0,49.08598,DHBW Studium - Data Science und Künstliche Intelligenz (B.Sc.),"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown', 'label': 'Unknown'}",10.53811,Adzuna::API::Response::Job,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyODE1NDk0OCIsInMiOiJDcXZXdHBTVThSRzdldTRXZkZiWHdBIn0.09E6NAyp_Ba5LwqrjLIQ5wO7f-u7AqxvTP5ig2gsrZc,5828154948,https://www.adzuna.de/land/ad/5828154948?se=CqvWtpSU8RG7eu4WfFbXwA&utm_medium=api&utm_source=a4bcf954&v=3861431C8C2A7523043FF94D1D880DA2A7A7C8AF,"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], 'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location'}",DHBW-Studium Bachelor of Science – Wirt­schafts­informatik Data Science Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Bereit für ein echt spannendes und abwechslungsreiches Studium? Wir machen dich fit für deine Zukunft in einer modernen Versicherung. Für den Studienstart am 01.09.2027 in Stuttgart suchen wir aufgeschlossene und motivierte Studierende. Aufgaben Drei Jahre b…,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",2026-08-04T21:53:15Z,0,48.776198,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik Data Science,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT-Stellen'}",9.187224,Adzuna::API::Response::Job,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4NTY5MTU5NyIsInMiOiJDcXZXdHBTVThSRzdldTRXZkZiWHdBIn0.cPv3M49l8x2sfo-NQ0BpoiMq5Oi_LFUjZaQY8ImaJiM,5785691597,https://www.adzuna.de/land/ad/5785691597?se=CqvWtpSU8RG7eu4WfFbXwA&utm_medium=api&utm_source=a4bcf954&v=E7E6105B8657F51A8D4062F37021188A09433F72,"{'display_name': 'Bad Friedrichshall, Heilbronn (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Bad Friedrichshall']}","Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. {Studienbeginn:} 01.09.2027 mit dem Begrüßungsmonat {Studiendauer:} 3 Jahre {Studiendauer:} 01.10…","{'display_name': 'Schwarz Digits', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-07-02T19:37:57Z,0,49.2291,Duales Studium Data Science und Künstliche Intelligenz 2027 (m/w/d),"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",9.21629,Adzuna::API::Response::Job,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc4MjM4MDYyOSIsInMiOiJDcXZXdHBTVThSRzdldTRXZkZiWHdBIn0.gH9RQ3e6uKSTvwJ-lut_ORAuxwnTR-nseScQuXuWQvQ,5782380629,https://www.adzuna.de/land/ad/5782380629?se=CqvWtpSU8RG7eu4WfFbXwA&utm_medium=api&utm_source=a4bcf954&v=F340A0D115EAF64737B8B630F823B3017AD3F9D9,"{'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen']}","Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…","{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-06-30T22:28:57Z,0,48.78408,Abschlussarbeit Data Science / Mechanikdesign (m/w/x),"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Sonstige/Allgemeine Stellen', 'tag': 'other-general-jobs'}",10.10558,Adzuna::API::Response::Job,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzMzUyODAwMCIsInMiOiJDcXZXdHBTVThSRzdldTRXZkZiWHdBIn0.8bDr6vc3ffnTARN8S6oacWqWXfN_VHSEDK6_gUIdD4s,5833528000,https://www.adzuna.de/land/ad/5833528000?se=CqvWtpSU8RG7eu4WfFbXwA&utm_medium=api&utm_source=a4bcf954&v=236DB9F6EB458688EFC9AE6800E72FC822BA4FF7,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Mannheim, Baden-Württemberg', 'area': ['Deutschland', 'Baden-Württemberg', 'Mannheim']}","FUCHS ist der weltweit größte unabhängige Anbieter von innovativen Schmierstofflösungen für nahezu alle Branchen und Anwendungsbereiche. Unsere Produkte und Lösungen halten die Welt in Bewegung, auch wenn diese nicht immer sichtbar sind. Entscheidend ist, dass jeder Einzelne unserer über 6.000 Mitarbeiter in mehr als 50 Ländern sichtbar ist - ihr Unternehmergeist, ihre Ideen und Fähigkeiten sind das Herzstück unseres globalen Geschäfts. Aufgaben Das sind Deine Aufgaben: Du kombinierst Informati…","{'display_name': 'FUCHS LUBRICANTS GERMANY GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-08-08T16:24:13Z,0,49.496025,Duales Studium B.Sc. Data Science und Künstliche Intelligenz (m/w/d) 2027,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",8.491505,Adzuna::API::Response::Job,,,,
