category,longitude,salary_is_predicted,title,created,redirect_url,company,description,latitude,id,adref,__CLASS__,location,contract_time,salary_min,salary_max,contract_type
"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",10.10558,0,Abschlussarbeit Data Science / Mechanikdesign (m/w/x),2026-08-22T04:11:25Z,https://www.adzuna.de/land/ad/5851873442?se=4hz0z5Cf8RGfQpohglHoaw&utm_medium=api&utm_source=a4bcf954&v=954354938500E281533EBC697C84FE2899EDE7D8,"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}","Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…",48.78408,5851873442,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNGh6MHo1Q2Y4UkdmUXBvaGdsSG9hdyIsImkiOiI1ODUxODczNDQyIn0.O1H1PDPZrjEdJwyHRBKInSIUhMaW7MQj5568gJkWPp8,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], 'display_name': 'Oberkochen, Ostalbkreis'}",,,,
"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",10.36551,0,Duales Studium - Data Science & Künstliche Intelligenz (B. Sc.) - 2027,2026-08-13T16:36:24Z,https://www.adzuna.de/land/ad/5840348618?se=4hz0z5Cf8RGfQpohglHoaw&utm_medium=api&utm_source=a4bcf954&v=037BB5B20476D475C26E6E1CA1A3015316F54EEB,"{'display_name': 'BSH Hausgeräte Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}","Wir begleiten dich auf dem Weg zum Traumberuf. Als führender Hausgerätehersteller in Europa bilden wir junge Menschen in Berufen aus, die zu ihnen passen und sie erfüllen. Mit unserem Portfolio an Marken – unter anderem Bosch, Siemens, Gaggenau und Neff – bieten wir Nachwuchskräften spannende Aufgaben und die Möglichkeit, von Anfang an Verantwortung zu übernehmen. Ob im Bereich Klimaschutz, Innovation oder Fairness – wir setzen uns gemeinsam mit dir für eine nachhaltige Zukunft ein. Spannende L…",48.55149,5840348618,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNGh6MHo1Q2Y4UkdmUXBvaGdsSG9hdyIsImkiOiI1ODQwMzQ4NjE4In0.7G-6FE4U6cIwIS-rlXUDAjMOJ1JgQLNbGo8_hT6JeSE,Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Bayern', 'Dillingen an der Donau (Kreis)', 'Gundelfingen an der Donau'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Gundelfingen an der Donau, Dillingen an der Donau (Kreis)'}",,,,
"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",8.412378,0,Duales Studium Data Science & Künstliche Intelligenz B.Sc.,2026-08-15T16:07:13Z,https://www.adzuna.de/land/ad/5843126998?se=4hz0z5Cf8RGfQpohglHoaw&utm_medium=api&utm_source=a4bcf954&v=CAAE945F2F337B9438F33B45691F188B3DD170DA,"{'display_name': 'Atruvia AG', '__CLASS__': 'Adzuna::API::Response::Company'}",Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,49.001249,5843126998,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0MzEyNjk5OCIsInMiOiI0aHowejVDZjhSR2ZRcG9oZ2xIb2F3In0.ovHzePVkcJ4Gn1ajG3LLasGdJ7Flzd9v3_FV96ZGsqE,Adzuna::API::Response::Job,"{'display_name': 'Karlsruhe, Karlsruhe (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe']}",,,,
"{'label': 'Unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'unknown'}",10.53811,0,DHBW Studium - Data Science und Künstliche Intelligenz (B.Sc.),2026-08-06T15:53:57Z,https://www.adzuna.de/land/ad/5830515903?se=4hz0z5Cf8RGfQpohglHoaw&utm_medium=api&utm_source=a4bcf954&v=1461466B5BE98CD304C80FA6F29BDE7B8A89B838,"{'display_name': 'Liebherr-Werk Ehingen GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}",Die Liebherr-Werk Ehingen GmbH zählt zu den weltweit führenden Herstellern von Fahrzeugkranen. Das Programm umfasst Teleskop- und Gittermastkrane auf Mobil- und Raupenfahrwerken. Seit der Gründung wurde die Produktionsstätte und ihre Kapazität kontinuierlich erweitert. Heute werden täglich sechs Fahrzeugkrane aus Ehingen in die ganze Welt geliefert. DHBW Studium - Data Science und Künstliche Intelligenz (B.Sc.) Job-ID 83588 Aufgaben Mitarbeit an innovativen Projekten im Bereich Data Science und…,49.08598,5830515903,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNGh6MHo1Q2Y4UkdmUXBvaGdsSG9hdyIsImkiOiI1ODMwNTE1OTAzIn0.WzyIqOr21fA5ooTjBVr4mok-YJFA4G9svAoqIzHqa-M,Adzuna::API::Response::Job,"{'display_name': 'Ehingen, Ansbach (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Bayern', 'Ansbach (Kreis)', 'Ehingen']}",,,,
"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",9.187224,0,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik Data Science,2026-08-04T21:53:15Z,https://www.adzuna.de/land/ad/5828154948?se=4hz0z5Cf8RGfQpohglHoaw&utm_medium=api&utm_source=a4bcf954&v=3861431C8C2A7523043FF94D1D880DA2A7A7C8AF,"{'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.', '__CLASS__': 'Adzuna::API::Response::Company'}",DHBW-Studium Bachelor of Science – Wirt­schafts­informatik Data Science Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Bereit für ein echt spannendes und abwechslungsreiches Studium? Wir machen dich fit für deine Zukunft in einer modernen Versicherung. Für den Studienstart am 01.09.2027 in Stuttgart suchen wir aufgeschlossene und motivierte Studierende. Aufgaben Drei Jahre b…,48.776198,5828154948,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyODE1NDk0OCIsInMiOiI0aHowejVDZjhSR2ZRcG9oZ2xIb2F3In0.2EsGrJF6KTsQyQIaeOHyWXIGAXcNI2RtRzjeB8BNUfU,Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Stuttgart, Baden-Württemberg'}",,,,
"{'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown'}",9.21629,0,Duales Studium Data Science und Künstliche Intelligenz 2027 (m/w/d),2026-07-30T05:34:30Z,https://www.adzuna.de/land/ad/5820702966?se=4hz0z5Cf8RGfQpohglHoaw&utm_medium=api&utm_source=a4bcf954&v=BE3D12135DE0840B4088885DB20B6F0296D1C288,"{'display_name': 'Schwarz Digits', '__CLASS__': 'Adzuna::API::Response::Company'}","Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischen Daten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen. {Studienbeginn:} 01.09.2027 mit dem Begrüßungsmonat {Studiendauer:} 3 Jahre {Studiendauer:} 01.10…",49.2291,5820702966,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMDcwMjk2NiIsInMiOiI0aHowejVDZjhSR2ZRcG9oZ2xIb2F3In0.llwLlQgfZtJJPtPIPgMZMU92k1bRi58Fnf1qIQva0bY,Adzuna::API::Response::Job,"{'display_name': 'Bad Friedrichshall, Heilbronn (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Heilbronn (Kreis)', 'Bad Friedrichshall'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,,
"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",9.198334,0,Duales Studium Bachelor der Wirtschaftsinformatik - Data Science (m/w/d),2026-08-05T15:52:36Z,https://www.adzuna.de/land/ad/5829115126?se=4hz0z5Cf8RGfQpohglHoaw&utm_medium=api&utm_source=a4bcf954&v=8D3819136E4FF6D5426F83E2D089286F27291C0D,"{'display_name': 'Wolters Kluwer Tax & Accounting Deutschland GmbH', '__CLASS__': 'Adzuna::API::Response::Company'}","Seit über 180 Jahren unterstützen wir Unternehmen weltweit dabei, Arbeitsprozesse einfacher, effizienter und zukunftssicher zu gestalten. Mit Niederlassungen in über 40 Ländern und Kunden in mehr als 180 Märkten sind wir ein globaler Partner für Fachwissen und Technologie. Unsere Lösungen verbinden tiefgehendes Know-how mit innovativen Technologien – inklusive moderner KI-Funktionen – und helfen unseren Kunden, ihre größten Herausforderungen erfolgreich zu meistern. Mehr als 21.000 Kolleginnen …",48.876425,5829115126,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyOTExNTEyNiIsInMiOiI0aHowejVDZjhSR2ZRcG9oZ2xIb2F3In0.tA7woafsfErD3MPa_v3s-vw3aAMfpx8UgYDXBSj3bK0,Adzuna::API::Response::Job,"{'display_name': 'Ludwigsburg, Ludwigsburg (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Ludwigsburg (Kreis)', 'Ludwigsburg'], '__CLASS__': 'Adzuna::API::Response::Location'}",,,,
"{'tag': 'it-jobs', 'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category'}",10.36551,0,Duales Studium Master Informatik - AI & Data Science (M.Sc.) 2027,2026-08-17T22:06:47Z,https://www.adzuna.de/land/ad/5845418683?se=4hz0z5Cf8RGfQpohglHoaw&utm_medium=api&utm_source=a4bcf954&v=4C648E6911179CE4ACA0903E534C1998D393D3E7,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'BSH Hausgeräte Gruppe'}","Wir begleiten dich auf dem Weg zum Traumberuf. Als führender Hausgerätehersteller in Europa bilden wir junge Menschen in Berufen aus, die zu ihnen passen und sie erfüllen. Mit unserem Portfolio an Marken – unter anderem Bosch, Siemens, Gaggenau und Neff – bieten wir Nachwuchskräften spannende Aufgaben und die Möglichkeit, von Anfang an Verantwortung zu übernehmen. Ob im Bereich Klimaschutz, Innovation oder Fairness – wir setzen uns gemeinsam mit dir für eine nachhaltige Zukunft ein. Spannende L…",48.55149,5845418683,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg0NTQxODY4MyIsInMiOiI0aHowejVDZjhSR2ZRcG9oZ2xIb2F3In0.XVC3A49rD2H0tgb91MnZJdcU0nDZbxodwvR2cIaz5QA,Adzuna::API::Response::Job,"{'area': ['Deutschland', 'Bayern', 'Dillingen an der Donau (Kreis)', 'Gundelfingen an der Donau'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Gundelfingen an der Donau, Dillingen an der Donau (Kreis)'}",,,,
"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",9.856945,0,"Duales Studium: ""Data Science & künstliche Intelligenz"" (w/m/d), Ulm, Start 2027",2026-08-13T16:36:21Z,https://www.adzuna.de/land/ad/5840348480?se=4hz0z5Cf8RGfQpohglHoaw&utm_medium=api&utm_source=a4bcf954&v=E8DA5563133BA1505E3370217FC3703069C94CE3,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Hensoldt'}","HENSOLDT ist ein führendes europäisches Hightech-Unternehmen der Verteidigungs- und Sicherheitsindustrie mit Sitz in Taufkirchen bei München. Das Unternehmen entwickelt Sensorlösungen, Elektronik und Software für die Bereiche Luft, Land, See, Cyber und Weltraum und unterstützt Streitkräfte weltweit dabei, Bedrohungen frühzeitig zu erkennen und fundierte operative Entscheidungen zu treffen. Aufbauend auf jahrzehntelanger Erfahrung in missionskritischer Sensorik verbindet HENSOLDT Radar-, Optroni…",48.383137,5840348480,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNGh6MHo1Q2Y4UkdmUXBvaGdsSG9hdyIsImkiOiI1ODQwMzQ4NDgwIn0.MVpDVsy31H_4WLvIagiYIkEpd3P3AUVzOjSgB1rmt0U,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Ulm'], 'display_name': 'Ulm, Baden-Württemberg'}",,,,
"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Unknown', 'tag': 'unknown'}",8.491505,0,Duales Studium B.Sc. Data Science und Künstliche Intelligenz (m/w/d) 2027,2026-08-08T16:24:13Z,https://www.adzuna.de/land/ad/5833528000?se=4hz0z5Cf8RGfQpohglHoaw&utm_medium=api&utm_source=a4bcf954&v=236DB9F6EB458688EFC9AE6800E72FC822BA4FF7,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'FUCHS LUBRICANTS GERMANY GmbH'}","FUCHS ist der weltweit größte unabhängige Anbieter von innovativen Schmierstofflösungen für nahezu alle Branchen und Anwendungsbereiche. Unsere Produkte und Lösungen halten die Welt in Bewegung, auch wenn diese nicht immer sichtbar sind. Entscheidend ist, dass jeder Einzelne unserer über 6.000 Mitarbeiter in mehr als 50 Ländern sichtbar ist - ihr Unternehmergeist, ihre Ideen und Fähigkeiten sind das Herzstück unseres globalen Geschäfts. Aufgaben Das sind Deine Aufgaben: Du kombinierst Informati…",49.496025,5833528000,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNGh6MHo1Q2Y4UkdmUXBvaGdsSG9hdyIsImkiOiI1ODMzNTI4MDAwIn0.q12HiZ4SK9roXKKALYCGapVRKrYQFIwfBbqtmKjltGg,Adzuna::API::Response::Job,"{'display_name': 'Mannheim, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Mannheim']}",,,,
