location,id,longitude,company,adref,latitude,description,redirect_url,created,__CLASS__,category,salary_is_predicted,title,contract_time,salary_min,salary_max,contract_type
"{'area': ['Deutschland', 'Nordrhein-Westfalen', 'Duisburg'], 'display_name': 'Duisburg, Nordrhein-Westfalen', '__CLASS__': 'Adzuna::API::Response::Location'}",5849936545,6.743718,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Universität Duisburg-Essen'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoibWdiQnEwcWw4UkdYQW9nczBxekJEUSIsImkiOiI1ODQ5OTM2NTQ1In0.yBxqlmNBcHofrFd86NnKpa_LITSiHfgdUQvO7MNe728,51.443356,"Universitätsprofessur für Data Science im Maschinenbau (Besoldungsgruppe W2 LBesO W – mit Tenure Track nach W3) Gesucht wird eine ausgewiesene Persönlichkeit für Data Science in den Ingenieurwissenschaften mit Anwendungsfokus auf der Entwicklung datenbasierter Methoden für die Automatisierungstechnik, autonome Systeme sowie die Mechatronik. Forschungsbereiche Die zukünftigen Forschungsbereiche der Professur umfassen: Automatisierung von Fahrzeugen, Transportsystemen und Produktionsanlagen Model…",https://www.adzuna.de/land/ad/5849936545?se=mgbBq0ql8RGXAogs0qzBDQ&utm_medium=api&utm_source=a4bcf954&v=98B5F3098F405B730E3164CFE9FC7C57D4117887,2026-08-20T22:19:34Z,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs', 'label': 'Technikerstellen'}",0,Universitätsprofessur für Data Science im Maschinenbau,,,,
"{'area': ['Deutschland', 'Niedersachsen', 'Osnabrück (Kreis)', 'Osnabrück'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Osnabrück, Osnabrück (Kreis)'}",5858051764,8.055137,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Hochschule Osnabrück'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1ODA1MTc2NCIsInMiOiJtZ2JCcTBxbDhSR1hBb2dzMHF6QkRRIn0.aHaQjcqZqQnMyvVoOkd7sHydcY64QK0WcMnt61uJm5A,52.274227,"Professur für Business Data Science Als größte Hochschule für Angewandte Wissenschaften in Niedersachsen leisten wir mit praxisorientierter Lehre und Forschung unseren Beitrag für eine lebenswerte Zukunft. Als Stiftungshochschule profitieren wir von höherer Gestaltungsfreiheit und Eigenverantwortung. Wir suchen Kolleg*innen, die gemeinsam mit unseren Studierenden die Gesellschaft nachhaltig prägen und unseren Weg hin zu einer inklusiven und diversen Hochschule mitgestalten. Das Themengebiet der…",https://www.adzuna.de/land/ad/5858051764?se=mgbBq0ql8RGXAogs0qzBDQ&utm_medium=api&utm_source=a4bcf954&v=FDFDFEC29A2BB8072EC0E60D99B3193A7E18F43C,2026-08-27T10:33:39Z,Adzuna::API::Response::Job,"{'label': 'Unknown', 'tag': 'unknown', '__CLASS__': 'Adzuna::API::Response::Category'}",0,Professur für Business Data Science,,,,
"{'area': ['Deutschland', 'Bayern', 'Dillingen an der Donau (Kreis)', 'Gundelfingen an der Donau'], 'display_name': 'Gundelfingen an der Donau, Dillingen an der Donau (Kreis)', '__CLASS__': 'Adzuna::API::Response::Location'}",5836630554,10.36551,"{'display_name': 'BSH Hausgeräte Gruppe', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjYzMDU1NCIsInMiOiJtZ2JCcTBxbDhSR1hBb2dzMHF6QkRRIn0.y3eQ6J8p4ZI7NXmeQP_w9r_pS4pWSIyXZiW32COib4M,48.55149,"Wir begleiten dich auf dem Weg zum Traumberuf. Als führender Hausgerätehersteller in Europa bilden wir junge Menschen in Berufen aus, die zu ihnen passen und sie erfüllen. Mit unserem Portfolio an Marken – unter anderem Bosch, Siemens, Gaggenau und Neff – bieten wir Nachwuchskräften spannende Aufgaben und die Möglichkeit, von Anfang an Verantwortung zu übernehmen. Ob im Bereich Klimaschutz, Innovation oder Fairness – wir setzen uns gemeinsam mit dir für eine nachhaltige Zukunft ein. Spannende L…",https://www.adzuna.de/land/ad/5836630554?se=mgbBq0ql8RGXAogs0qzBDQ&utm_medium=api&utm_source=a4bcf954&v=B298C8549D272CF4A95310C61FFD07C041B321D5,2026-08-11T12:50:37Z,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'graduate-jobs', 'label': 'Stellen für Hochschulabsolventen'}",0,Duales Studium - Data Science & Künstliche Intelligenz (B. Sc.) - 2027,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Ostalbkreis', 'Oberkochen'], 'display_name': 'Oberkochen, Ostalbkreis', '__CLASS__': 'Adzuna::API::Response::Location'}",5810550889,10.10558,"{'display_name': 'ZEISS', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDU1MDg4OSIsInMiOiJtZ2JCcTBxbDhSR1hBb2dzMHF6QkRRIn0.HSG03sDpezjdJF_IJfx-hBKKw8WErpuKLx2KLXOabOA,48.78408,"Als Student arbeitest Du mit Deinen Kolleginnen und Kollegen auf Augenhöhe und schaffst ideale Voraussetzungen für Deine spätere Karriere. Sich etwas Neues trauen, über sich hinauswachsen und dabei die Grenzen des Machbaren neu deﬁnieren. Genau das ist es, was unsere Mitarbeitenden täglich leben dürfen und sollen. Um mit unseren Innovationen das Tempo vorzugeben und Großartiges zu ermöglichen. Denn hinter jedem erfolgreichen Unternehmen stehen eine ganze Menge faszinierender Menschen. Die Mitar…",https://www.adzuna.de/land/ad/5810550889?se=mgbBq0ql8RGXAogs0qzBDQ&utm_medium=api&utm_source=a4bcf954&v=1FEF4813105946798F9B4DCA0FC26772816D4906,2026-07-22T10:26:36Z,Adzuna::API::Response::Job,"{'label': 'Stellen für Hochschulabsolventen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'graduate-jobs'}",0,Abschlussarbeit Data Science / Mechanikdesign (m/w/x),,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Karlsruhe, Karlsruhe (Kreis)', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe']}",5836064238,8.412378,"{'display_name': 'Atruvia AG', '__CLASS__': 'Adzuna::API::Response::Company'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNjA2NDIzOCIsInMiOiJtZ2JCcTBxbDhSR1hBb2dzMHF6QkRRIn0.oiHDAh4WjX6rhbyPecrjaOQYoioKUaUEStSUajV6yKI,49.001249,Wir sind der Digitalisierungspartner in der genossenschaftlichen FinanzGruppe und vereinen jahrzehntelanges Expertenwissen in Banking und Informationstechnologie. Die speziell auf Banken zugeschnittenen IT-Lösungen und Leistungen reichen vom Rechenzentrumsbetrieb über das Bankverfahren von Atruvia bis hin zur App-Entwicklung. Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Gestalte die Zukunft mit KI – Starte dein Duales Studi…,https://www.adzuna.de/land/ad/5836064238?se=mgbBq0ql8RGXAogs0qzBDQ&utm_medium=api&utm_source=a4bcf954&v=011856F1EBC450BA235F63CBA586A79B55380F8A,2026-08-11T00:56:17Z,Adzuna::API::Response::Job,"{'tag': 'graduate-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Stellen für Hochschulabsolventen'}",0,Duales Studium Data Science & Künstliche Intelligenz B.Sc.,,,,
"{'area': ['Deutschland', 'Baden-Württemberg', 'Alb-Donau-Kreis', 'Ehingen (Donau)'], 'display_name': 'Ehingen (Donau), Alb-Donau-Kreis', '__CLASS__': 'Adzuna::API::Response::Location'}",5810531742,9.72719,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Liebherr-Werk Ehingen GmbH'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDUzMTc0MiIsInMiOiJtZ2JCcTBxbDhSR1hBb2dzMHF6QkRRIn0.RRMWFCkQAFWK4fhqYoPM6TIZM_SiU8p7Ak_2bSCDULw,48.28207,Die Liebherr-Werk Ehingen GmbH zählt zu den weltweit führenden Herstellern von Fahrzeugkranen. Das Programm umfasst Teleskop- und Gittermastkrane auf Mobil- und Raupenfahrwerken. Seit der Gründung wurde die Produktionsstätte und ihre Kapazität kontinuierlich erweitert. Heute werden täglich sechs Fahrzeugkrane aus Ehingen in die ganze Welt geliefert. DHBW Studium - Data Science und Künstliche Intelligenz (B.Sc.) Job-ID 83588 JLFT1_DE,https://www.adzuna.de/land/ad/5810531742?se=mgbBq0ql8RGXAogs0qzBDQ&utm_medium=api&utm_source=a4bcf954&v=0C439F9A8606839B5DD9EDB9D4B6C60EC3112F9B,2026-07-22T10:22:44Z,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'graduate-jobs', 'label': 'Stellen für Hochschulabsolventen'}",0,DHBW Studium - Data Science und Künstliche Intelligenz (B.Sc.),,,,
"{'display_name': 'Stuttgart, Baden-Württemberg', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Baden-Württemberg', 'Stuttgart']}",5827038455,9.187224,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'WGV - Württembergische Gemeinde-Versicherung a.G.'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNzAzODQ1NSIsInMiOiJtZ2JCcTBxbDhSR1hBb2dzMHF6QkRRIn0.32VMbZD9opwDNLHWIEpECeZMXkRwwzL4-dPFZcrfoL8,48.776198,DHBW-Studium Bachelor of Science – Wirt­schafts­informatik Data Science Als starker Arbeitgeber und attrak­tives Aus­bildungs­unter­nehmen bieten wir viel­fältige und spannende Aus­bildungs- und Studien­plätze mit besten Über­nahme­chancen. Bereit für ein echt spannendes und abwechslungsreiches Studium? Wir machen dich fit für deine Zukunft in einer modernen Versicherung. Für den Studienstart am 01.09.2027 in Stuttgart suchen wir aufgeschlossene und motivierte Studierende. JLFT1_DE,https://www.adzuna.de/land/ad/5827038455?se=mgbBq0ql8RGXAogs0qzBDQ&utm_medium=api&utm_source=a4bcf954&v=3AF8645B7EF161E752C573E858BE82C8BC972F37,2026-08-04T00:54:22Z,Adzuna::API::Response::Job,"{'label': 'Stellen für Hochschulabsolventen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'graduate-jobs'}",0,DHBW-Studium Bachelor of Science – Wirtschaftsinformatik Data Science,,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Innenstadt, Karlsruhe', 'area': ['Deutschland', 'Baden-Württemberg', 'Karlsruhe (Kreis)', 'Karlsruhe', 'Innenstadt']}",5857152742,8.38979,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'VBL. Versorgungsanstalt des Bundes und der Länder'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1NzE1Mjc0MiIsInMiOiJtZ2JCcTBxbDhSR1hBb2dzMHF6QkRRIn0.3R3bIg90S-TRKWkbqY6ycCW6m0MnWHMZXjSUdfpb2yQ,49.01336,"Die VBL mit Sitz in Karlsruhe ist Deutschlands größte Zusatzversorgungseinrichtung für Beschäftigte des öffentlichen Dienstes und betreut circa 5,4 Mio. Versicherte und circa 1,5 Mio. Rentenberechtigte. Sie begeistern sich für Daten, digitale Technologien und intelligente Systeme? Dann verbinden Sie Theorie und Praxis in einem zukunftsweisenden dualen Studium bei der VBL. Ab sofort suchen wir einen Studierenden für 2027. Duales Studium (B.Sc.) – Data Science und Künstliche Intelligenz (m/w/d) I…",https://www.adzuna.de/land/ad/5857152742?se=mgbBq0ql8RGXAogs0qzBDQ&utm_medium=api&utm_source=a4bcf954&v=DDD29E764B66EF694C753111D67F445CD1235D4A,2026-08-26T18:08:38Z,Adzuna::API::Response::Job,"{'label': 'IT-Stellen', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",0,Duales Studium (B.Sc.) - Data Science und Künstliche Intelligenz (m/w/d),full_time,,,
"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Dortmund, Nordrhein-Westfalen', 'area': ['Deutschland', 'Nordrhein-Westfalen', 'Dortmund']}",5810579233,7.464954,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Dr. Ausbüttel GmbH & Co. KG'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMDU3OTIzMyIsInMiOiJtZ2JCcTBxbDhSR1hBb2dzMHF6QkRRIn0.v01xSWJjHrVsUtIH2hiiIgQWsiGc9mN-uXg3Qmmi-jc,51.504967,"Head of AI & Data Science: Tragen Sie dazu bei, Wunden zu heilen, Innovationen zu fördern und Wachstum zu gestalten! Schwer heilende Wunden sind eine enorme Belastung für Patienten, Angehörige und Behandelnde. Machen Sie durch Ihr gestalterisches Mitwirken einen signifikanten Unterschied. Wir entwickeln Produkte und Services, um Wunden bezahlbar zu heilen. Als wachsendes, zukunftsorientiertes inhabergeführtes Familienunternehmen investieren und arbeiten wir mit langfristiger Perspektive statt m…",https://www.adzuna.de/land/ad/5810579233?se=mgbBq0ql8RGXAogs0qzBDQ&utm_medium=api&utm_source=a4bcf954&v=E5CB564F625F7AC343A646D91B42342134CC24FB,2026-07-22T10:33:42Z,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'other-general-jobs', 'label': 'Sonstige/Allgemeine Stellen'}",0,Head of AI & Data Science (m/w/d),,,,
"{'display_name': 'Berlin, Deutschland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Deutschland', 'Berlin']}",5769224016,13.420806,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Zenjob SE'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc2OTIyNDAxNiIsInMiOiJtZ2JCcTBxbDhSR1hBb2dzMHF6QkRRIn0.tRHBE60Onn2tRBjPYgh4dwh4o_J9KOjsQ4FbCM8h6pE,52.507706,"About us Zenjob is an AI-powered flexible staffing platform that has efficiently connected companies and temporary workers since 2015. Companies use our platform to book ready-to-work staff in real time, while students use our app to find part-time jobs that conveniently fit around their studies. Over 40,000 students and 1,000 partner companies from logistics, retail, and hospitality in all major German cities share our belief that good work is not a coincidence. It is the result of innovative …",https://www.adzuna.de/land/ad/5769224016?se=mgbBq0ql8RGXAogs0qzBDQ&utm_medium=api&utm_source=a4bcf954&v=0CBE58766F7271E596F1D0041EF7C0033C10DF28,2026-06-19T11:24:10Z,Adzuna::API::Response::Job,"{'label': 'Stellen aus Gastronomie & Catering', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'hospitality-catering-jobs'}",0,Head of Analytics and Data Science,full_time,,,
